"Name","RA","DEC","pmra","e_pmra","pmde","e_pmde","plx","e_plx","RV","e_RV","r_RV","E(B-V)","(m-M)0","Dist","e_Dist","logAge","[Fe/H]","e_[Fe/H]","Z","e_Z","Nmeas","r_[Fe/H]","Apo","Peri","Rguide","Rbirth","Ecc","Zmax","N","Rgc","Nstars"
"Basel 11b",89.5471,21.9654,"nan","nan","nan","nan","nan","nan",3.13,0.23,"2021A&A...647A..19T","nan","nan",1.86,"nan",8.48,0.0,0.01,"nan","nan","nan","Apogee",10.03,8.06,8.95,7.75,0.11,0.05,"nan",9.85,1.0
"Basel 4",87.2422,30.1895,0.846,0.014,-1.804,0.016,0.278,0.009,6.52,0.12,"2021A&A...647A..19T",0.55,12.5,3.6,0.121,8.2,-0.18,0.14,0.01,0.003,"nan","nan",11.16,10.27,10.7,11.01,0.04,0.13,67.0,11.16,2.0
"Berkeley 104","nan","nan",-2.399,0.025,0.097,0.02,0.191,0.011,"nan","nan","nan",0.52,13.1,5.244,0.307,8.9,-0.06,0.14,0.013,0.004,"nan","nan","nan","nan","nan","nan","nan","nan",53.0,"nan","nan"
"Berkeley 17",80.1498,30.6001,"nan","nan","nan","nan","nan","nan",-73.51,0.09,"2021A&A...647A..19T","nan","nan",2.75,"nan",9.93,-0.16,0.02,"nan","nan","nan","Apogee",13.9,8.35,10.38,5.52,0.25,1.18,"nan",10.74,7.0
"Berkeley 18",80.5504,45.3996,"nan","nan","nan","nan","nan","nan",-10.1,3.43,"2021A&A...647A..19T","nan","nan",6.31,"nan",9.5,-0.39,0.11,"nan","nan",2.0,"HQ",16.13,13.97,14.84,12.37,0.07,1.33,"nan",14.14,1.0
"Berkeley 19",81.0141,29.5748,"nan","nan","nan","nan","nan","nan",17.76,0.05,"2021A&A...647A..19T","nan","nan",5.5,"nan",9.4,-0.32,0.01,"nan","nan","nan","Apogee",15.15,13.27,14.1,11.82,0.07,0.72,"nan",13.48,1.0
"Berkeley 20",83.1539,0.1885,"nan","nan","nan","nan","nan","nan",75.65,1.38,"2021A&A...647A..19T","nan","nan",8.71,"nan",9.76,-0.4,0.01,"nan","nan","nan","Apogee",16.28,13.88,14.58,10.6,0.08,2.64,"nan",15.97,1.0
"Berkeley 21",87.9248,21.7829,"nan","nan","nan","nan","nan","nan",4.84,1.45,"2021A&A...647A..19T","nan","nan",6.03,"nan",9.3,-0.18,"nan","nan","nan",1.0,"HQ",14.65,12.43,13.45,9.87,0.08,0.28,"nan",14.0,1.0
"Berkeley 22",89.6124,7.7561,"nan","nan","nan","nan","nan","nan",94.31,0.44,"2021A&A...647A..19T","nan","nan",6.92,"nan",9.4,-0.24,"nan","nan","nan",1.0,"HQ",15.78,11.64,13.33,10.51,0.15,1.06,"nan",14.63,1.0
"Berkeley 25",100.2497,-16.5171,"nan","nan","nan","nan","nan","nan",136.0,0.8,"2017A&A...603A...2M","nan","nan",7.94,"nan",9.6,-0.2,0.04,"nan","nan",7.0,"LQ",15.19,11.4,12.9,8.96,0.14,1.32,"nan",14.54,6.0
