"Cluster","RA_ICRS","DE_ICRS","r_[Fe/H]","[Fe/H]","s_[Fe/H]","AV","AV16","AV84","DM","DM16","DM84","logAge","logAge16","logAge84"
"IC_2714",169.36925862,-62.73408478,"ARC;ZGR;FS;nan;HRS","-0.254;-0.291;-0.112;0.256;0.02","0.199;0.183;0.081;nan;nan","1.182;1.211;1.188;1.075;1.029","1.146;1.148;1.145;0.983;1.008","1.23;1.253;1.232;1.191;1.15","10.31;10.307;10.324;10.577;10.318","10.218;10.238;10.286;10.475;10.298","10.368;10.341;10.396;10.656;10.375","8.678;8.661;8.674;8.671;8.657","8.581;8.448;8.473;7.859;8.656","8.707;8.72;8.704;8.729;8.659"
"IC_4756",279.6274683,5.43708948,"ARC;ZGR;FS;nan;HRS","-0.17;-0.13;-0.057;0.374;0.0","0.129;0.097;0.069;nan;nan","0.953;0.784;0.617;0.396;0.566","0.716;0.667;0.559;0.302;0.539","1.1;0.996;0.648;0.472;0.611","8.267;8.2;8.226;8.441;8.231","8.152;8.135;8.194;8.332;8.209","8.43;8.295;8.254;8.511;8.249","8.77;9.031;9.013;8.946;9.003","8.766;8.767;8.966;8.917;9.001","9.033;9.034;9.014;8.994;9.004"
"Melotte_71",114.37757148,-12.05782944,"ARC;ZGR;FS;nan;HRS","-0.334;-0.137;-0.117;0.093;-0.27","0.178;0.157;0.09;nan;nan","0.514;0.468;0.468;0.437;0.537","0.471;0.415;0.448;0.326;0.523","0.55;0.496;0.493;0.484;0.547","11.486;11.576;11.568;11.702;11.472","11.404;11.533;11.528;11.56;11.45","11.529;11.609;11.604;11.82;11.539","9.131;9.088;9.088;8.994;9.138","9.107;9.069;9.075;8.967;9.136","9.152;9.099;9.094;9.083;9.141"
"NGC_1039",40.54817559,42.72207819,"ARC;ZGR;FS;nan;HRS","-0.113;-0.049;-0.008;0.27;0.0","0.107;0.125;0.059;nan;nan","0.395;0.352;0.375;0.313;0.367","0.205;0.076;0.189;0.186;0.213","0.55;0.568;0.485;0.472;0.582","8.383;8.394;8.431;8.555;8.47","8.204;8.238;8.298;8.395;8.272","8.531;8.574;8.596;8.702;8.668","7.904;7.906;7.911;8.111;7.906","7.834;7.851;7.825;7.951;7.776","7.973;7.991;7.999;8.378;8.029"
"NGC_188",11.83722881,85.2514619,"ARC;ZGR;FS;nan;HRS","-0.093;0.092;0.053;0.349;0.11","0.136;0.098;0.069;nan;nan","0.387;0.08;0.101;0.097;0.188","0.219;0.052;0.065;0.045;0.17","0.512;0.117;0.145;0.154;0.234","11.228;11.112;11.095;11.268;11.214","11.034;11.061;11.034;11.219;11.186","11.433;11.153;11.164;11.323;11.241","9.713;9.924;9.942;9.779;9.826","9.494;9.915;9.888;9.659;9.813","9.915;9.936;9.944;9.801;9.829"
"NGC_1912",82.16674313,35.82082347,"ARC;ZGR;FS;nan;HRS","-0.261;-0.171;-0.092;-0.141;-0.1","0.169;0.142;0.08;nan;nan","0.998;0.989;0.979;0.985;0.899","0.848;0.867;0.825;0.877;0.886","1.053;1.05;1.041;1.105;0.916","10.069;10.086;10.149;10.152;10.1","9.963;10.017;9.979;10.001;10.05","10.206;10.207;10.223;10.315;10.145","8.581;8.55;8.531;8.391;8.461","8.536;8.4;8.4;7.964;8.461","8.594;8.584;8.564;8.559;8.464"
"NGC_2287",101.49513993,-20.70304973,"ARC;ZGR;FS;nan;HRS","-0.131;-0.144;-0.04;0.176;-0.11","0.098;0.096;0.054;nan;nan","0.267;0.284;0.183;0.128;0.251","0.194;0.212;0.084;0.055;0.231","0.324;0.327;0.233;0.189;0.28","9.312;9.366;9.374;9.471;9.283","9.223;9.232;9.247;9.395;9.269","9.403;9.415;9.408;9.536;9.298","8.193;8.245;8.233;8.272;8.591","8.001;7.85;8.231;8.166;8.59","8.25;8.25;8.382;8.406;8.592"
"NGC_2423",114.31740938,-13.86327647,"ARC;ZGR;FS;nan;HRS","-0.115;-0.043;-0.016;-0.176;0.08","0.116;0.105;0.059;nan;nan","0.324;0.275;0.259;0.4;0.246","0.254;0.183;0.189;0.241;0.236","0.406;0.325;0.303;0.543;0.272","9.679;9.695;9.68;9.714;9.808","9.631;9.638;9.627;9.516;9.791","9.752;9.781;9.804;9.898;9.825","9.075;9.104;9.111;9.067;9.068","9.067;9.035;9.034;8.994;9.067","9.157;9.114;9.114;9.093;9.069"
"NGC_2447",116.13457651,-23.84885439,"ARC;ZGR;FS;nan;HRS","-0.18;-0.173;-0.083;0.058;0.0","0.088;0.121;0.072;nan;nan","0.144;0.071;0.056;0.105;0.054","0.022;0.022;0.021;0.038;0.024","0.229;0.178;0.144;0.19;0.127","9.845;9.907;9.915;10.062;9.982","9.832;9.857;9.892;9.968;9.935","9.934;9.966;9.992;10.178;10.047","8.843;8.828;8.79;8.762;8.784","8.799;8.792;8.691;8.669;8.683","8.887;8.893;8.869;8.795;8.846"
"NGC_2516",119.52149869,-60.79290454,"ARC;ZGR;FS;nan;HRS","-0.143;-0.211;-0.069;-0.148;0.0","0.099;0.099;0.059;nan;nan","0.399;0.417;0.377;0.454;0.336","0.351;0.374;0.28;0.366;0.325","0.452;0.465;0.45;0.467;0.469","7.868;7.805;7.919;7.868;7.921","7.808;7.771;7.862;7.705;7.902","7.948;7.842;7.96;7.964;8.06","8.456;8.482;8.428;8.491;8.189","8.011;8.067;8.021;8.078;7.976","8.564;8.626;8.459;8.54;8.19"
