"Cluster","Tile","RA_ICRS","DE_ICRS","A","B","C","D"
"VVVX-Obasi 1","e0961",271.556,-20.054,68,68,0,62
"VVVX-Obasi 2","e0961",271.902,-19.371,104,102,0,97
"VVVX-Obasi 3","e0961",271.353,-19.565,11,11,0,12
"VVVX-Obasi 4","e0965",275.125,-14.232,44,41,0,41
"VVVX-Obasi 5","e1030",139.49,-51.024,31,32,84,14
"VVVX-Obasi 6","e1022",127.917,-41.786,18,14,14,2
"VVVX-Obasi 7","e0602",108.096,-18.16,12,9,0,0
"VVVX-Obasi 8","e0605",109.818,-22.231,36,35,11,28
"VVVX-Obasi 9","e1030",139.497,-51.028,23,23,18,22
"VVVX-Obasi 10","e0689",112.097,-22.678,11,9,1,0
"VVVX-Obasi 11","e0689",112.098,-22.674,11,9,1,0
"VVVX-Obasi 12","e1135",176.346,-60.941,14,12,0,14
"VVVX-Obasi 13","b0473",255.324,-30.687,4,0,2,0
"VVVX-Obasi 14","e1135",176.333,-60.941,9,24,1,0
"VVVX-Obasi 15","e1131",165.118,-58.834,10,11,17,11
"VVVX-Obasi 16","e1047",110.755,-16.673,10,15,18,20
"VVVX-Obasi 17","b0407",281.761,-35.136,2,0,4,0
"VVVX-Obasi 18","e0971",273.415,-15.534,2,2,0,2
"VVVX-Obasi 19","e1124",146.851,-53.504,8,3,22,1
"VVVX-Obasi 20","e0816",191.084,-60.095,1,1,0,0
"VVVX-Obasi 21","e1001",109.534,-16.72,1,3,0,0
"VVVX-Obasi 22","e0957",274.496,-16.137,3,3,0,3
"VVVX-Obasi 23","e1115",133.533,-43.693,6,6,0,5
"VVVX-Obasi 24","e0810",174.308,-58.891,6,5,6,8
"VVVX-Obasi 25","e0954",273.271,-19.501,4,2,0,0
"VVVX-Obasi 26","e1010",116.175,-28.378,3,3,4,0
"VVVX-Obasi 27","e0634",143.489,-57.313,7,8,0,9
"VVVX-Obasi 28","e0904",203.571,-58.113,4,4,0,0
"VVVX-Obasi 29","e0811",175.023,-58.656,4,1,0,1
"VVVX-Obasi 30","e0784",127.95,-35.82,1,0,0,0
"VVVX-Obasi 31","e0963",273.618,-16.465,5,5,0,5
"VVVX-Obasi 32","e0963",272.85,-16.942,1,1,0,1
"VVVX-Obasi 33","e0789",133.954,-41.005,7,8,3,7
"VVVX-Obasi 34","e1180",176.489,-59.701,2,0,2,0
"VVVX-Obasi 35","e0859",122.03,-31.687,3,0,2,3
"VVVX-Obasi 36","b0437",280.754,-31.687,6,0,0,0
"VVVX-Obasi 37","e0962",272.161,-17.796,7,7,0,4
"VVVX-Obasi 38","b0425",283.056,-30.407,9,0,0,0
"VVVX-Obasi 39","e0767",113.843,-13.908,8,9,0,7
"VVVX-Obasi 40","e0647",180.507,-65.988,2,4,0,1
