"Cluster","GLON","GLAT","RAdeg","DEdeg","Radius","Age","Rgc","RGuide","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","[FeH]","e_[FeH]","Qual","Nstars","[OH]","e_[OH]","[NaH]","e_[NaH]","[MgH]","e_[MgH]","[AlH]","e_[AlH]","[SiH]","e_[SiH]","[SH]","e_[SH]","[KH]","e_[KH]","[CaH]","e_[CaH]","[TiH]","e_[TiH]","[CrH]","e_[CrH]","[MnH]","e_[MnH]","[CoH]","e_[CoH]","[NiH]","e_[NiH]","[CeH]","e_[CeH]","[NdH]","e_[NdH]"
"ASCC_123",104.672,-4.028,340.563,54.199,1.29,0.045,8.4,8.81,12.09,0.47,-1.41,0.44,-4.2,0.0,-0.03,0.02,1,1,0.06,0.02,0.3,0.02,-0.11,0.03,-0.01,0.05,-0.08,0.02,0.0,0.02,0.01,0.02,-0.01,0.03,0.23,0.03,0.06,0.02,-0.15,0.02,0.28,0.13,-0.06,0.02,0.14,0.05,-0.14,0.05
"ASCC_19",204.789,-19.38,81.978,-1.856,0.6,0.01,8.64,8.91,1.15,0.25,-1.23,0.22,23.2,0.6,0.03,0.02,2,2,0.02,0.04,0.2,0.38,-0.13,0.06,-0.11,0.05,0.02,0.02,0.03,0.04,0.08,0.13,0.08,0.05,0.36,0.28,0.21,0.17,-0.06,0.06,0.28,0.13,-0.03,0.02,0.2,0.14,-0.43,0.52
"ASCC_21",199.883,-16.53,82.212,3.607,0.41,0.009,8.65,8.79,1.4,0.26,-0.63,0.24,41.0,0.1,0.09,0.02,1,1,0.12,0.02,"nan","nan",-0.05,0.02,0.16,0.05,-0.03,0.02,-0.38,0.02,-0.13,0.02,0.16,0.02,-0.2,0.02,0.02,0.02,0.18,0.02,0.25,0.13,0.05,0.02,0.37,0.05,-0.07,0.05
"ASCC_99",16.165,-7.682,282.172,-18.384,0.64,0.355,8.07,8.45,5.19,0.35,-1.31,0.46,-29.9,0.0,0.15,0.02,1,1,0.07,0.02,0.06,0.02,0.06,0.02,0.15,0.05,0.16,0.02,0.14,0.02,0.07,0.02,0.13,0.02,0.15,0.02,0.08,0.02,0.17,0.02,0.65,0.13,0.13,0.02,0.46,0.05,0.29,0.05
"Alessi_19",39.932,12.72,274.534,11.897,0.59,0.026,7.92,7.93,-1.0,0.22,-7.07,0.18,-7.8,0.0,0.13,0.02,1,1,0.17,0.03,"nan","nan",0.04,0.04,0.16,0.05,0.1,0.03,0.02,0.02,0.04,0.02,0.31,0.04,0.55,0.04,-0.78,0.03,0.23,0.02,0.58,0.14,0.13,0.02,0.51,0.05,0.14,0.05
"Alessi_2",152.327,6.336,71.557,55.184,0.55,0.355,8.92,9.51,-0.9,0.14,-1.05,0.12,-10.1,0.1,0.05,0.02,2,2,-0.01,0.06,0.38,0.03,-0.02,0.07,-0.13,0.07,-0.06,0.05,-0.12,0.04,-0.05,0.02,-0.17,0.16,0.65,0.05,-0.24,0.12,0.11,0.1,-1.15,0.69,0.09,0.07,0.28,0.05,0.07,0.2
"Alessi_20",117.643,-3.695,2.643,58.757,0.23,0.009,8.54,8.71,8.2,0.29,-2.34,0.28,-7.5,0.0,0.24,0.02,1,1,0.44,0.02,0.84,0.02,0.17,0.02,-0.25,0.05,0.2,0.02,0.6,0.02,0.15,0.02,0.28,0.02,"nan","nan",0.1,0.02,0.12,0.02,-0.28,0.13,0.29,0.02,-0.55,0.05,0.15,0.05
"Alessi_21",223.373,-0.079,107.592,-9.318,0.47,0.066,8.78,8.86,-5.47,0.19,2.6,0.16,40.0,0.0,0.0,0.02,1,1,0.12,0.04,0.67,0.02,-0.02,0.07,0.06,0.06,0.07,0.05,-0.06,0.03,-0.09,0.02,-0.08,0.06,"nan","nan",0.05,0.03,0.02,0.02,"nan","nan",0.01,0.02,-0.32,0.05,-0.09,0.06
"Alessi_62",52.799,8.742,283.963,21.607,0.26,0.692,7.97,8.96,0.24,0.16,-1.07,0.18,13.7,0.0,0.09,0.02,1,1,0.22,0.04,"nan","nan",0.07,0.07,-0.03,0.06,0.06,0.05,0.28,0.02,0.38,0.02,0.14,0.06,"nan","nan",-0.54,0.04,0.16,0.02,0.52,0.14,0.12,0.02,-0.39,0.05,"nan","nan"
"VDBH_211, BH_211",344.947,0.461,255.527,-41.112,0.08,0.427,6.52,6.97,-0.67,0.16,-1.94,0.15,-49.0,0.4,0.2,0.02,2,2,0.11,0.02,0.46,0.02,0.1,0.04,0.21,0.05,0.2,0.04,0.21,0.02,0.15,0.09,0.11,0.04,0.09,0.03,0.16,0.02,0.29,0.02,0.28,0.13,0.18,0.03,0.26,0.05,0.48,0.05
