Cluster,[Fe/H],sigma_[Fe/H],N
Berkeley 1,-0.14,0.10,1
Berkeley 2,-0.59,0.10,1
Berkeley 7,-0.25,0.10,1
Berkeley 14,-1.20,0.10,1
Berkeley 21,-0.96,0.10,1
Berkeley 22,-0.42,0.10,1
Berkeley 28,-0.61,0.10,1
Berkeley 29,-0.30,0.10,1
Berkeley 30,+0.10,0.10,1
Berkeley 31,-0.60,0.10,1
Berkeley 32,-0.42,0.09,3
Berkeley 39,-0.33,0.07,3
Berkeley 58,+0.09,0.10,1
Berkeley 60,-0.77,0.10,1
Berkeley 62,-0.85,0.10,1
Berkeley 79,-0.32,0.10,1
Berkeley 86,-0.08,0.10,1
Collinder 74,+0.05,0.10,1
Collinder 140,-0.05,0.06,2
Collinder 173,-0.06,0.20,1
Collinder 258,-0.07,0.16,3
Collinder 272,-0.40,0.10,1
Haffner 8,+0.02,0.08,3
IC 348,+0.03,0.10,1
IC 1311,-0.23,0.10,1
IC 1590,-0.73,0.10,1
IC 1805,+0.08,0.10,1
IC 2391,-0.12,0.04,2
IC 2488,+0.09,0.08,1
IC 2602,-0.23,0.10,1
IC 2714,-0.04,0.07,3
IC 4651,+0.07,0.13,10
IC 4665,-0.11,0.07,1
IC 4725,-0.09,0.10,1
IC 4756,+0.01,0.03,3
IC 4996,-0.47,0.10,1
King 2,-0.32,0.10,1
King 7,+0.03,0.10,1
King 10,+0.09,0.10,1
King 11,-0.34,0.04,2
Loden 807,-0.18,0.05,3
Melotte 20,+0.04,0.03,3
Melotte 22,+0.06,0.01,3
Melotte 25,+0.14,0.04,5
Melotte 66,-0.43,0.08,5
Melotte 71,-0.33,0.31,2
Melotte 105,+0.00,0.10,1
Melotte 111,-0.03,0.03,3
NGC 103,-0.85,0.10,1
NGC 129,-0.46,0.10,1
NGC 188,-0.04,0.11,3
NGC 366,-0.55,0.10,1
NGC 381,-0.04,0.10,1
NGC 433,-0.68,0.10,1
NGC 436,-0.77,0.10,1
NGC 457,-0.46,0.10,1
NGC 581,-0.85,0.10,1
NGC 654,-0.68,0.10,1
NGC 663,-0.70,0.10,1
NGC 752,-0.15,0.11,8
NGC 1039,-0.29,0.10,1
NGC 1193,-0.49,0.07,2
NGC 1342,-0.20,0.06,2
NGC 1528,-0.13,0.10,1
NGC 1545,-0.13,0.07,3
NGC 1662,-0.11,0.08,4
NGC 1750,-0.69,0.10,1
NGC 1798,-0.46,0.10,1
NGC 1817,-0.31,0.03,2
NGC 1931,-0.06,0.10,1
NGC 2099,+0.14,0.06,2
NGC 2112,-1.30,0.22,1
NGC 2158,-0.29,0.09,2
NGC 2168,-0.27,0.12,3
NGC 2192,-0.22,0.10,1
NGC 2194,-0.27,0.06,1
NGC 2204,-0.43,0.11,4
NGC 2232,-0.20,0.21,1
NGC 2236,-0.30,0.20,1
NGC 2243,-0.57,0.08,3
NGC 2244,-0.46,0.10,1
NGC 2251,-0.21,0.06,2
NGC 2264,-0.08,0.08,3
NGC 2266,-0.26,0.20,1
NGC 2281,-0.07,0.10,1
NGC 2287,-0.06,0.13,5
NGC 2301,+0.05,0.04,5
NGC 2324,-0.38,0.39,3
NGC 2335,+0.08,0.15,3
NGC 2343,-0.25,0.17,2
NGC 2354,-0.30,0.02,1
NGC 2355,+0.02,0.20,2
NGC 2360,-0.15,0.07,5
NGC 2420,-0.38,0.07,4
NGC 2422,+0.11,0.10,1
NGC 2423,+0.08,0.07,4
NGC 2437,-0.03,0.17,2
NGC 2447,-0.10,0.08,1
NGC 2477,-0.03,0.07,4
NGC 2482,+0.13,0.05,6
NGC 2489,+0.05,0.05,4
NGC 2506,-0.51,0.10,5
NGC 2516,-0.07,0.16,7
NGC 2527,-0.06,0.04,3
NGC 2539,+0.12,0.10,5
NGC 2546,+0.11,0.16,4
NGC 2547,-0.16,0.04,5
NGC 2548,+0.08,0.07,3
NGC 2567,+0.03,0.14,5
NGC 2571,+0.05,0.10,1
NGC 2627,-0.08,0.06,2
NGC 2632,+0.13,0.06,6
NGC 2658,-0.94,0.10,1
NGC 2660,-0.27,0.32,4
NGC 2669,-0.20,0.10,1
NGC 2682,-0.04,0.03,7
NGC 2818,-0.30,0.02,2
NGC 2910,-0.04,0.10,1
NGC 2972,-0.10,0.04,3
NGC 3114,-0.05,0.08,3
NGC 3532,-0.01,0.09,3
NGC 3680,-0.02,0.11,9
NGC 3766,-0.47,0.10,1
NGC 3960,-0.23,0.29,3
NGC 4103,-0.47,0.10,1
NGC 4349,-0.13,0.08,3
NGC 4609,+0.05,0.13,1
NGC 4755,-0.21,0.10,1
NGC 4815,-0.19,0.10,1
NGC 5138,+0.15,0.04,2
NGC 5168,+0.05,0.10,1
NGC 5281,-0.18,0.10,1
NGC 5316,+0.11,0.10,3
NGC 5606,+0.09,0.10,1
NGC 5617,+0.10,0.60,2
NGC 5662,+0.03,0.09,2
NGC 5822,-0.07,0.10,6
NGC 6025,+0.19,0.10,1
NGC 6067,+0.08,0.07,3
NGC 6087,-0.04,0.10,1
NGC 6134,+0.20,0.12,5
NGC 6192,-0.21,0.19,2
NGC 6204,-0.14,0.10,1
