Name,Bands_m,FeH_m,e_FeH_m,log_age_m,e_log_age_m,E_BV_m,e_E_BV_m,Dist_kpc_m,e_Dist_kpc_m,Bands_a,FeH_a,e_FeH_a,log_age_a,e_log_age_a,E_BV_a,e_E_BV_a,Dist_kpc_a,e_Dist_kpc_a
Berkeley 7,BV,-0.6,0.7,7.3,0.2,0.90,0.07,1.8,0.3,BV,-0.7,0.6,7.0,0.2,0.90,0.09,1.7,0.2
Bochum 11,UV,-0.1,0.3,7.0,0.2,0.45,0.06,1.2,0.3,UV,0.1,0.2,7.3,0.2,0.7,0.3,1.2,0.2
Czernik 26,CT1,0.14,0.08,8.85,0.06,0.30,0.06,9.1,0.8,CT1,-0.1,0.3,10,1,0.1,0.2,6,2
Czernik 30,CT1,0.07,0.09,9.5,0.3,0.1,0.1,8,1,CT1,-0.3,0.4,8.9,0.2,0.5,0.1,8,1
Haffner 11,CT1,0.05,0.1,8.8,0.1,0.55,0.06,6.6,0.9,CT1,-0.1,0.2,8.9,0.4,0.5,0.1,5.0,0.7
Haffner 19,BV,-0.9,0.4,7.1,0.2,0.3,0.1,3.0,0.8,BV,-1.2,0.9,7.0,0.1,0.4,0.2,3.2,0.9
NGC 133,BV,0.3,0.1,9.0,0.4,0.0,0.2,0.6,0.1,BV,-1.5,1,7.5,0.7,0.7,0.3,0.9,0.3
NGC 2236,CT1,-0.1,0.2,8.75,0.07,0.55,0.05,2.8,0.3,CT1,-0.1,0.1,8.70,0.08,0.55,0.05,2.9,0.1
NGC 2264,BV,-0.6,0.2,6.7,0.2,0.10,0.05,0.58,0.05,BV,-1.5,0.2,6.8,0.2,0.0,0.07,0.44,0.06
NGC 2324,CT1,0.05,0.1,8.85,0.06,0.05,0.05,4.2,0.2,CT1,0.02,0.1,8.8,0.1,0.10,0.07,4.4,0.4
NGC 2421,BV,-1.2,0.4,7.8,0.4,0.45,0.05,1.8,0.2,BV,-1.2,0.4,8.0,0.2,0.45,0.05,1.9,0.2
NGC 2627,CT1,-0.1,0.2,8.9,0.8,0.3,0.2,3,1,CT1,-0.3,0.3,9.2,0.2,0.20,0.06,1.9,0.4
NGC 6231,BV,-0.9,0.7,6.9,0.3,0.40,0.05,0.91,0.08,BV,-1.2,0.9,7.0,0.2,0.40,0.05,0.91,0.04
NGC 6705,JH,-0.1,0.2,8.60,0.07,0.45,0.05,1.45,0.07,JH,0.1,0.1,8.6,0.1,0.30,0.08,1.7,0.2
NGC 6383,BV,0.2,0.1,6.7,0.6,0.4,0.4,1.3,0.5,BV,-0.1,0.4,6.90,0.07,0.20,0.05,1.1,0.2
Ruprecht 1,CT1,0.1,0.2,9,1,0.0,0.4,2,1,CT1,0.3,0.1,8.9,0.8,0.0,0.3,1.6,0.7
Tombaugh 1,CT1,-0.2,0.3,8.6,0.2,0.6,0.1,3.3,0.5,CT1,-0.2,0.3,9.0,0.1,0.35,0.06,2.6,0.2
Trumpler 1,BV,-0.3,0.4,7.7,0.2,0.60,0.05,1.9,0.3,BV,-0.2,0.3,8.1,0.5,0.55,0.08,2.2,0.4
Trumpler 5,CT1,0.19,0.09,9.70,0.06,0.45,0.08,2.8,0.3,CT1,-0.1,0.2,9.5,0.2,0.60,0.08,2.9,0.1
Trumpler 14,BV,-0.5,0.6,7.1,0.1,0.40,0.05,1.3,0.2,BV,-0.6,0.5,7.05,0.08,0.40,0.05,1.3,0.2
