"Cluster","RA_ICRS","DE_ICRS","FeH","FeH_err_m","FeH_err_p","log_age","log_age_err_m","log_age_err_p","EBV","EBV_err_m","EBV_err_p","dm","dm_err_m","dm_err_p","Dist_kpc","Dist_err_m","Dist_err_p","Mass","Mass_err_m","Mass_err_p","b_fr","b_fr_err_m","b_fr_err_p","N"
"Berkeley 73      ",95.52,-6.321,-0.41,0.09,0.26,9.6,0.33,0.42,0.16,0.1,0.19,13.7,0.62,0.6,5.49,1.35,1.76,3300,1200,2600,0.53,0.31,0.28,103
"Berkeley 25      ",100.317,-16.487,-0.2,0.29,0.2,9.72,0.1,0.07,0.39,0.04,0.07,14.34,0.09,0.11,7.37,0.29,0.39,15000,6000,7000,0.82,0.22,0.12,213
"Berkeley 75      ",102.252,-23.999,-0.39,0.16,0.36,9.74,0.06,0.1,0.11,0.06,0.05,14.52,0.27,0.2,8.03,0.95,0.77,6800,3800,6200,0.77,0.58,0.19,95
"Berkeley 26      ",102.547,5.755,0.07,0.27,0.17,9.94,0.15,0.12,0.55,0.05,0.04,13.3,0.34,0.37,4.57,0.66,0.86,4600,2300,3900,0.78,0.33,0.17,76
"Berkeley 29      ",103.2675,16.9275,-0.21,0.11,0.12,9.57,0.05,0.04,0.07,0.03,0.03,15.79,0.12,0.09,14.41,0.77,0.62,11000,3600,7000,0.56,0.22,0.26,202
"Tombaugh 2       ",105.773,-20.82,-0.48,0.01,0.01,9.33,0.02,0.01,0.39,0,0.01,14.7,0.03,0.04,8.73,0.14,0.15,21000,3000,1000,0.45,0.05,0.04,845
"Berkeley 76      ",106.672,-11.735,-0.11,0.23,0.13,9.26,0.06,0.06,0.6,0.05,0.06,13.66,0.13,0.15,5.4,0.32,0.37,4300,1300,2500,0.61,0.19,0.2,156
"FSR 1212         ",106.941,-14.145,-0.12,0.22,0.23,9.1,0.05,0.06,0.66,0.06,0.06,15.01,0.16,0.19,10.05,0.71,0.92,5000,1400,3400,0.51,0.18,0.25,99
"Saurer 1         ",110.225,1.8,-0.08,0.26,0.24,9.82,0.11,0.1,0.13,0.06,0.04,15.46,0.24,0.2,12.37,1.3,1.17,10000,5200,7000,0.81,0.35,0.15,84
"Czernik 30       ",112.796,-9.945,-0.32,0.13,0.28,9.56,0.08,0.09,0.29,0.07,0.04,14.08,0.18,0.13,6.54,0.51,0.42,7200,2900,3800,0.79,0.21,0.14,119
"Arp-Madore 2     ",114.683,-33.845,-0.33,0.17,0.26,9.61,0.05,0.08,0.63,0.05,0.03,15.19,0.09,0.11,10.91,0.45,0.55,9800,2700,4200,0.34,0.17,0.23,195
"VDBH 4,vdBergh-Hagen 4",114.45,-36.03333,-0.29,0.15,0.44,9.1,0.22,0.18,0.34,0.21,0.09,14.55,0.33,0.49,8.12,1.15,2.08,1800,700,1500,0.64,0.32,0.24,66
"FSR 1419         ",124.711,-47.786,0.02,0.4,0.13,9.62,0.13,0.23,0.57,0.07,0.08,14.82,0.39,0.17,9.21,1.5,0.74,11000,4200,9000,0.63,0.23,0.25,142
"VDBH 37,vdBergh-Hagen 37",128.946,-43.61,-0.06,0.35,0.26,8.87,0.24,0.77,1.22,0.42,0.12,12.28,1.28,0.51,2.85,1.27,0.76,2500,1100,1800,0.52,0.21,0.28,90
"ESO 092 05       ",150.80833,-64.75333,-0.12,0.32,0.25,9.78,0.06,0.02,0.11,0.05,0.06,15.52,0.09,0.06,12.7,0.48,0.34,33000,6000,10000,0.74,0.09,0.12,378
"ESO 092 18       ",153.73,-64.611,-0.3,0.03,0,9.68,0,0.03,0.24,0.01,0.01,15.25,0.02,0.06,11.24,0.12,0.29,52000,7000,7000,0.6,0.08,0.09,721
"Saurer 3         ",160.375,-55.3,0.02,0.36,0.17,9.81,0.3,0.1,0.71,0.07,0.07,13.94,0.17,0.36,6.12,0.44,1.14,14000,5700,6000,0.86,0.19,0.1,146
"Kronberger 39    ",163.55667,-61.73778,-0.11,0.32,0.26,9.45,0.11,0.22,0.78,0.09,0.08,15.57,0.32,0.23,13.03,1.81,1.41,13000,6600,13000,0.75,0.34,0.19,55
"VDBH 144, vd Bergh-Hagen 144",198.78,-65.92,-0.53,0.02,0.05,9.02,0.03,0.01,0.83,0.03,0.01,15.01,0.06,0.08,10.06,0.27,0.35,6900,800,700,0.32,0.07,0.09,307
"Kronberger 31    ",295.04583,26.26333,-0.37,0.12,0.5,9,0.08,0.06,1.32,0.1,0.03,14.4,0.17,0.34,7.57,0.55,1.3,8300,2600,3700,0.8,0.15,0.13,133
"Saurer 6         ",297.75,32.25,-0.11,0.29,0.26,9.14,0.09,0.3,0.94,0.09,0.1,14.82,0.56,0.28,9.19,2.09,1.29,5200,1700,3000,0.52,0.19,0.22,129
"Berkeley 56      ",319.425,41.9,-0.34,0.01,0,9.72,0.01,0,0.51,0.01,0,15.23,0.05,0.02,11.12,0.25,0.11,61000,8000,6000,0.7,0.1,0.05,843
"Berkeley 102     ",354.66,56.637,-0.17,0.28,0.24,9.69,0.06,0.15,0.45,0.06,0.06,14.33,0.19,0.25,7.35,0.63,0.87,5800,1600,3400,0.55,0.19,0.2,156
