"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
1,"Berkeley 58",116.73,-1.29,14.555,0.55,3715,8.2,"nan","nan","nan","nan",22.9,10.9,3.38,0.623,0.0032,60.961
2,"Berkeley 59",118.22,5.0,13.782,1.22,1000,6.8,"nan","nan","nan","nan",8.0,3.5,2.221,0.564,0.5539,67.4203
3,"Blanco 1",14.17,-79.02,7.18,0.01,269,8.32,22.8,3.8,3.646,0.219,20.0,2.4,3.48,0.16,0.8223,-30.1429
4,"Alessi 20",117.64,-3.69,8.948,0.22,450,8.22,5.4,1.6,1.742,0.391,4.0,0.8,1.362,0.25,2.6369,58.761
5,"Mayer 1",119.44,-0.93,12.015,0.4,1429,7.74,"nan","nan","nan","nan",16.7,5.6,3.15,0.442,5.4692,61.7412
6,"Stock 20",119.92,-0.1,10.413,0.2,909,8.53,"nan","nan","nan","nan",6.6,1.3,1.974,0.26,6.2994,62.6182
7,"Stock 21",120.05,-4.83,11.447,0.4,1100,8.72,"nan","nan","nan","nan",8.3,2.4,2.259,0.376,7.4466,57.9205
8,"NGC 129",120.27,-2.54,12.759,0.55,1625,7.87,14.9,2.7,2.984,0.24,15.2,2.7,3.011,0.235,7.4992,60.2209
9,"NGC 146",120.87,0.5,13.897,0.48,3032,7.37,"nan","nan","nan","nan",20.8,7.1,3.298,0.445,8.267,63.2982
10,"NGC 225",122.01,-1.08,9.925,0.27,657,8.19,"nan","nan","nan","nan",5.7,1.3,1.787,0.311,10.91,61.7778
11,"Berkeley 4",122.28,1.53,14.696,0.7,3200,7.08,30.0,5.7,3.751,0.25,31.2,7.8,3.803,0.328,11.3514,64.3941
12,"IC 1590",123.12,-6.24,12.879,0.32,2384,6.84,"nan","nan","nan","nan",6.0,1.8,1.723,0.394,13.1994,56.6313
13,"Alessi 1",123.26,-13.3,9.825,0.1,800,8.85,12.3,3.2,2.791,0.346,9.9,1.5,2.512,0.2,13.3518,49.5705
14,"NGC 381",124.94,-1.21,11.176,0.34,1058,8.77,"nan","nan","nan","nan",4.7,1.4,1.515,0.384,17.0829,61.5959
15,"Platais 2",128.23,-30.57,6.671,0.05,201,8.54,10.5,1.2,2.626,0.156,11.0,2.3,2.678,0.281,18.2435,32.0801
16,"NGC 433",125.88,-2.61,13.21,0.55,2000,7.65,"nan","nan","nan","nan",12.2,4.0,2.682,0.43,18.78,60.1261
17,"NGC 457",126.63,-4.37,13.384,0.47,2429,7.38,23.3,5.3,3.478,0.299,20.3,3.7,3.299,0.239,19.8894,58.2997
18,"NGC 581",128.05,-1.81,12.915,0.39,2194,7.44,"nan","nan","nan","nan",8.9,1.9,2.245,0.276,23.339,60.6445
19,"NGC 637",128.54,1.73,13.563,0.61,2160,7.21,"nan","nan","nan","nan",7.0,1.9,1.926,0.363,25.7525,64.0388
20,"NGC 654",129.08,-0.37,14.246,0.87,2041,7.3,"nan","nan","nan","nan",7.9,3.4,2.096,0.561,25.9903,61.8732
21,"NGC 659",129.37,-1.54,13.452,0.65,1938,7.8,"nan","nan","nan","nan",7.4,2.3,2.024,0.405,26.087,60.6687
22,"NGC 663",129.46,-0.94,13.87,0.78,1952,7.14,27.8,6.2,3.746,0.293,23.4,3.4,3.523,0.193,26.5241,61.2371
23,"Collinder 463",127.28,9.4,10.162,0.3,702,8.35,17.5,1.7,3.251,0.13,17.9,1.9,3.279,0.146,26.7169,71.8023
24,"Stock 4",131.25,-4.81,10.706,0.1,1200,8.7,9.8,1.7,2.448,0.227,11.2,1.9,2.623,0.224,28.2354,57.0651
25,"NGC 752",137.12,-23.26,8.428,0.04,458,9.14,20.0,1.9,3.44,0.133,17.4,1.5,3.258,0.123,29.4131,37.7807
26,"NGC 744",132.4,-6.17,11.587,0.38,1207,8.41,5.7,1.9,1.748,0.441,9.0,1.7,2.335,0.248,29.6264,55.464
27,"Stock 5",130.73,2.6,11.447,0.4,1100,7.73,"nan","nan","nan","nan",9.5,1.9,2.413,0.267,31.1143,64.3606
28,"Stock 2",133.36,-1.92,8.953,0.34,380,8.17,41.1,2.8,4.383,0.097,30.3,2.4,3.987,0.11,33.5879,59.2627
29,"NGC 869",134.63,-3.72,13.077,0.48,2079,7.28,"nan","nan","nan","nan",162.9,12.6,6.022,0.108,34.7591,57.1488
30,"NGC 884",135.01,-3.6,13.587,0.56,2345,7.1,"nan","nan","nan","nan",191.0,15.0,6.2,0.11,35.4917,57.1336
31,"NGC 886",132.89,2.69,12.392,0.4,1700,8.48,"nan","nan","nan","nan",11.7,2.9,2.632,0.331,35.8642,63.7684
32,"Stock 7",134.66,0.09,10.955,0.56,698,7.13,"nan","nan","nan","nan",4.5,1.1,1.481,0.32,37.4062,60.7063
33,"IC 1805",134.72,0.91,13.393,0.65,1886,6.73,15.9,2.4,3.007,0.2,20.7,4.6,3.357,0.292,38.1571,61.444
34,"NGC 957",136.28,-2.65,13.898,0.84,1815,6.84,19.8,8.6,3.301,0.564,14.0,3.0,2.848,0.286,38.321,57.5582
35,"Trumpler 2",137.37,-3.97,10.053,0.32,649,7.93,7.9,1.8,2.205,0.293,10.9,1.6,2.634,0.191,39.211,55.9186
36,"NGC 1039",143.65,-15.62,8.708,0.07,499,8.42,7.5,2.0,2.155,0.349,5.8,0.7,1.827,0.164,40.5075,42.7589
37,"NGC 1027",135.74,1.55,10.461,0.33,772,8.55,6.8,1.1,2.011,0.223,7.0,1.1,2.035,0.214,40.6544,61.6255
38,"IC 1848",137.19,0.91,13.367,0.6,2002,6.65,25.9,2.9,3.627,0.154,33.7,7.3,3.97,0.285,42.789,60.4245
39,"Collinder 33",138.09,1.34,11.24,0.4,1000,8.36,11.8,2.2,2.705,0.244,12.2,2.2,2.748,0.238,44.8078,60.395
40,"Trumpler 3",138.01,4.5,8.948,0.22,450,8.34,9.4,4.5,2.455,0.622,7.8,1.2,2.204,0.213,47.9517,63.1859
41,"Stock 23",140.08,2.09,8.705,0.26,380,7.51,"nan","nan","nan","nan",2.8,0.8,0.86,0.399,49.0335,60.0531
42,"Melotte 20",147.2,-6.33,6.673,0.09,190,7.55,35.0,2.4,4.186,0.097,27.4,2.3,3.863,0.116,51.4835,49.1234
43,"King 6",143.35,-0.08,10.064,0.58,450,8.41,"nan","nan","nan","nan",2.0,0.5,0.463,0.331,52.0055,56.4532
44,"Alessi 13",237.65,-55.71,5.331,0.04,110,8.72,10.9,1.9,2.68,0.228,10.4,2.8,2.62,0.357,52.0415,-35.9017
45,"NGC 1342",154.97,-15.38,10.106,0.32,665,8.21,7.4,1.6,2.122,0.285,7.8,1.8,2.186,0.303,52.8979,37.3358
46,"IC 348",160.49,-17.81,10.519,0.82,394,7.79,"nan","nan","nan","nan",2.4,0.6,0.67,0.338,56.1358,32.1573
47,"Melotte 22",166.63,-23.47,5.632,0.02,130,8.08,21.3,1.4,3.54,0.092,10.9,0.9,2.672,0.112,56.8318,24.1179
48,"Tombaugh 5",143.94,3.57,10.775,0.25,1000,8.73,"nan","nan","nan","nan",8.1,2.3,2.211,0.376,56.9435,59.0494
49,"NGC 1502",143.67,7.65,11.587,0.65,821,6.8,"nan","nan","nan","nan",6.4,1.1,1.911,0.235,61.9436,62.3277
50,"NGC 1528",152.05,0.25,10.193,0.24,776,8.43,12.8,4.1,2.811,0.425,11.6,1.5,2.684,0.175,63.8294,51.2141
51,"NGC 1545",153.36,0.18,10.189,0.3,711,8.15,6.5,1.0,1.946,0.206,5.7,1.4,1.756,0.332,65.234,50.2494
