"Cluster","_RA","_DE","fdim-all","fdim-inrt","fdim-outrt","Age","Type","logAge"
"ASCC_101",288.34468,36.3599,"1.6137","1.5642","1.6951","nan","nan",8.2761
"ASCC_105",295.44411,27.49313,"1.1343","1.5016","1.3827",74.1,"f1","nan"
"ASCC_127",347.30205,65.18292,"1.3469,1.794","1.6506,1.7515","1.4069,1.7672",15.0,"f1",7.0851
"ASCC_16",81.16091,1.5581,"1.5495","1.9656","1.4549",10.7,"nan","nan"
"ASCC_19",81.97812,-1.85602,"1.6561,1.6222","1.9999,1.7526","1.718",8.7,"f2",6.8721
"ASCC_20",82.19356,1.7213,"1.6534","1.8367","1.9864","nan","nan",7.0984
"ASCC_21",82.21203,3.60659,"1.6449","1.5496","nan","nan","nan",6.8387
"ASCC_32",105.71417,-26.51194,"1.8082","2.0212","1.8984",25.0,"nan","nan"
"ASCC_58",153.7057,-55.02032,"1.4302,1.6234","1.7504,1.7651","1.4894,1.7464",52.5,"f2",7.756
"ASCC_99",282.17179,-18.38406,"1.8979","1.6631","1.9479","nan","nan",7.9497
"Alessi_10",301.23229,-10.52871,"1.2449","1.539","1.2674","nan","nan",8.0272
"Alessi_20",2.64343,58.75652,"1.6999,1.8945","1.7398,1.8031","1.7714,1.3443",9.0,"f1",6.8256
"Alessi_24",260.97844,-62.81752,"1.5172,1.48","1.8205,1.6428","1.5058,1.335",88.0,"nan",7.9986
"Alessi_3",109.18677,-46.68033,"1.6925,1.5735","1.5627,1.7131","1.837,1.5951",631.0,"t",8.7963
"Alessi_34",120.06237,-50.6552,"2.0177","1.7157","2.0733","nan","nan",7.3148
"Alessi_36",106.56518,-37.59597,"1.401","1.8828","nan","nan","nan",7.461
"Alessi_5",160.9023,-61.11151,"1.1295,1.6732","1.7287,1.8975","1.7847",52.5,"nan",7.751
"Alessi_62",284.02551,21.58148,"1.0842","1.7183","1.0889",691.8,"nan","nan"
"Alessi_9",265.64232,-46.74397,"0.9134,1.9911","1.4319,1.9383","0.7619,2.0888",265.0,"nan",8.6141
"Alessi_96",75.48517,37.4876,"2.0622","1.6652","1.9742","nan","nan",8.3157
"Blanco_1",0.91489,-30.01063,"1.5395,1.5553","2.0179,1.9974","1.7152,1.6119",100.0,"t",8.2391
"Briceno_1",81.08336,1.69561,"1.496","1.6157","nan","nan","nan",6.9134
"CWNU_1044",129.93049,-51.85909,"1.6907","1.6094","1.5637","nan","nan",7.5347
"CWNU_1084",302.54677,33.48995,"1.4204","1.6822","1.5212","nan","nan",8.0245
"CWNU_314",288.15655,-9.63326,"1.462","nan","1.652","nan","nan",8.1046
"CWNU_519",313.93171,56.75452,"1.8867","1.8092","1.9589","nan","nan",7.3539
"CWNU_522",75.678,8.08103,"2.0839","nan","2.0674","nan","nan",7.5539
"Chamaleon_I",167.11746,-77.49946,"1.5095","1.7548","nan","nan","nan",6.7534
"Collinder_135",109.4056,-36.9209,"1.7389,1.5636","1.9646,1.8796","1.6426,1.6179",40.0,"f2",7.4746
"Collinder_140",110.80244,-32.01161,"1.6842,1.587","1.7655,1.8823","1.7959,1.8123",50.0,"f2",7.2368
"Collinder_350",267.06498,1.41762,"1.5811,1.7657","1.7031,1.6907","1.7402,1.8891",589.0,"t",8.3929
"Collinder_69",83.81417,9.88806,"1.6978,1.6668","2.0061,2.1978","1.6015,1.4198",13.5,"f1",6.7193
"Gaia_8",282.54313,33.39284,"1.3043","1.5242","1.6648","nan","nan",7.3235
"Group_X",217.76619,54.43266,"1.5833","nan","1.6339",400.0,"d","nan"
"Gulliver_20",273.83972,11.43778,"1.4152","1.524","1.5211","nan","nan",8.4066
"Gulliver_21",106.88985,-25.4715,"1.3929","1.391","1.4267",275.0,"nan","nan"
"Gulliver_6",83.20795,-1.71113,"1.382","2.0225","1.4503",7.4,"f1","nan"
"HSC_1262",57.64355,35.07489,"1.3385","1.6265","1.0336","nan","nan",6.7036
"HSC_1403",75.69316,24.30054,"1.9624","nan","1.9996","nan","nan",7.4655
"HSC_1553",93.01272,13.98195,"2.0037","1.5768","2.0218","nan","nan",7.5854
"HSC_2505",185.02138,-64.09662,"1.832","1.8491","nan","nan","nan",6.8445
"HSC_2636",204.88885,-44.48215,"1.8411","1.7463","1.5351","nan","nan",6.993
"HSC_2733",228.0648,-44.52904,"1.549","1.754","1.6473","nan","nan",6.9782
"HSC_2765",245.08633,-49.67292,"1.5794","nan","1.5794","nan","nan",8.2367
"HSC_2907",244.77271,-24.44996,"1.772","1.9128","1.7272","nan","nan",6.9902
"HSC_2919",246.60169,-24.08473,"1.6241","1.6241","nan","nan","nan",7.4336
"Herschel_1",116.70784,0.07722,"1.5713","1.7524","1.5951","nan","nan",8.248
"Huluwa_1",122.39026,-47.0179,"1.8806","2.1655","1.9152",12.1,"f1","nan"
"Huluwa_2",121.16363,-48.8848,"1.771","2.0685","1.813",11.4,"f1","nan"
"Huluwa_3",117.39763,-46.60064,"1.6377","2.093","1.7816",10.6,"nan","nan"
"Huluwa_4",125.99456,-41.17868,"1.6352","1.9887","1.731",10.3,"f1","nan"
"Huluwa_5",126.93377,-34.93035,"1.4512","1.5609","1.7006",7.5,"f1","nan"
"IC_2391",130.26033,-53.0418,"1.4753,1.3779","1.6536,1.7861","1.5429",50.0,"nan",7.4366
"IC_2602",160.97327,-64.39328,"1.2812,1.7505","1.8322,2.1098","0.8078,1.7828",45.0,"nan",7.4145
"IC_348",56.09303,32.17364,"1.1934","1.4758","0.9888",5.0,"nan","nan"
"IC_4665",266.53245,5.63478,"1.4335,1.2401","1.7837,1.7665","1.3176,1.5588",36.0,"nan",7.5145
"IC_4756",279.62746,5.43711,"1.1914,1.8144","2.0964,2.1768","1.5181,1.6382",955.0,"t",8.9227
"LISC_3534",12.08766,49.90562,"1.5765","1.8758","1.6474","nan","nan",8.1724
"LP_2371, FoF_2371",82.05684,1.6323,"1.3811","1.6849","1.4566",19.6,"nan","nan"
"LP_2373, FoF_2373",83.84484,-5.67068,"1.2414","1.6623","1.3794",9.0,"f1","nan"
"LP_2383, FoF_2383",95.38013,-16.09672,"1.7286,1.5377","1.9036,1.8498","1.8212,1.8131",50.0,"f2",7.5781
"LP_2388, FoF_2388",127.06613,-47.93164,"1.4172","1.666","1.3437",200.0,"nan","nan"
"LP_2428, FoF_2428",43.29694,68.87504,"1.3603","1.7719","1.3264",200.0,"nan","nan"
"LP_2429, FoF_2429",84.46053,57.16926,"1.3755","1.7537","1.4106",1150.0,"t","nan"
"LP_2439, FoF_2439",103.5402,-5.89618,"1.5161","1.8767","1.5972",25.0,"f2","nan"
"LP_2441, FoF_2441",279.29756,-14.22539,"1.3571","1.7381","1.5373",75.0,"f2","nan"
"LP_2442, FoF_2442",250.10103,-39.56018,"1.4799","1.9733","1.4967",14.8,"f2","nan"
"Mamajek_2",264.36,-8.01561,"1.7891","1.426","1.8695","nan","nan",7.9941
"Mamajek_4",276.37095,-50.63725,"1.7147,1.8269","1.6836,1.717","1.7189,1.8142",371.5,"t",8.4942
"Melotte_111",186.01726,26.42271,"1.3801,1.8922","1.5802,1.7158","1.394,1.6249",700.0,"t",8.8157
"Melotte_20",51.33178,49.11877,"1.9382","2.0746","1.9208","nan","nan",7.7451
"Melotte_22",56.67969,24.10866,"1.5541,1.7393","2.0415,2.1938","1.5368,1.9732",125.0,"t",8.085
"Melotte_25",66.70816,16.08093,"1.6854","2.1211","2.064","nan","nan",8.7611
"NGC_1039",40.54817,42.7221,"1.2663","1.9675","1.2224","nan","nan",8.0873
"NGC_1662",72.114,10.90377,"1.4214","1.813","1.3634","nan","nan",8.5384
"NGC_1901",79.28835,-68.44097,"1.1813,1.7367","1.7367,1.6681","1.2636,1.6939",850.0,"nan",8.4513
"NGC_1977",83.84714,-4.97357,"1.3108","1.8554","1.4131",3.3,"nan","nan"
"NGC_1980",83.80061,-5.92125,"1.6206,1.5759","2.0731,1.6637","1.5794",5.9,"nan",6.8412
"NGC_2232",96.97757,-4.77169,"1.584,1.6601","1.9229,1.8888","1.5969,1.5196",25.0,"f1",7.1231
"NGC_2422",114.16912,-14.49266,"1.2167,1.4611","1.9159,2.0406","1.332,1.5025",73.0,"nan",8.0359
"NGC_2451A",115.97079,-38.24082,"1.3198,1.7818","1.9204,2.0472","1.4456,1.6946",58.0,"nan",7.416
"NGC_2451B",116.17618,-37.94209,"1.4489,2.0953","1.9318,1.8956","1.9285,1.901",50.0,"f2",7.4402
"NGC_2516",119.52154,-60.79295,"1.7568,1.5951","2.1715,2.2153","1.8821,1.3388",123.0,"t",8.098
"NGC_2547",122.53353,-49.19469,"1.1463,1.6532","2.0253,2.1333","1.455,1.9057",40.0,"f2",7.3366
"NGC_2632",130.08827,19.66593,"1.2175,1.8352","2.121,2.1239","1.6025,1.855",700.0,"h",8.5394
"NGC_3228",155.27794,-51.84506,"0.9539,1.3349","1.6093,1.6638","0.8809,1.4881",63.1,"nan",7.4821
"NGC_3532",166.39363,-58.69381,"1.3288,1.6535","2.1765,2.2085","1.7209,1.3679",398.1,"h",8.3765
"NGC_6405",265.06726,-32.22803,"1.2769,1.6435","2.0175,2.0534","1.3482,1.9266",79.0,"nan",7.7195
"NGC_6475",268.47604,-34.82831,"1.2586,1.8522","2.06,2.2129","1.4952,1.9022",186.0,"h",8.2321
"NGC_6633",276.80547,6.55921,"1.4008,1.8217","1.769,1.8334","1.6118,1.8215",426.0,"nan",8.6743
"NGC_6774",289.14079,-16.26873,"1.2755,1.798","1.761,1.9136","1.4571,1.6194",2650.0,"nan",8.9488
"NGC_6991",313.62083,47.4,"1.3825","1.7324","1.3992",1400.0,"nan","nan"
"NGC_7058",320.40854,50.83011,"1.0714,1.5335","1.5453,1.8195","1.0617,1.6175",80.0,"nan",7.8434
"NGC_7092",322.78219,48.24718,"1.5871","1.9034","1.3045",350.0,"t","nan"
"NGC_752",29.16001,37.79277,"1.5884","1.935","1.8212","nan","nan",9.1525
"OCSN_100",242.72138,-19.38323,"1.4593","1.4938","nan","nan","nan",6.5583
"OCSN_27",321.60719,47.63256,"1.5117","1.536","1.5707","nan","nan",7.1731
"OCSN_3",276.45597,-21.03735,"1.4494","1.4989","1.5797","nan","nan",8.8483
"OCSN_61",84.08366,-0.40216,"1.5847","1.7211","1.1969","nan","nan",7.0689
"OCSN_65",83.76421,-2.15506,"1.391","1.3986","nan","nan","nan",7.117
"OCSN_96",240.42971,-22.70911,"1.8022","2.0044","nan","nan","nan",6.671
"OC_0279",58.54701,31.92308,"1.5673","1.7178","1.6474","nan","nan",7.2299
"OC_0450",118.13786,-42.43189,"1.7936","2.0526","1.8391","nan","nan",7.3375
"OC_0470",117.37505,-46.36831,"1.742","2.1645","1.5014","nan","nan",6.8456
"OC_0479",119.5516,-49.19832,"1.6138","1.5104","nan","nan","nan",6.8549
"Platais_10",205.27921,-59.15641,"1.2941","1.4443","1.2666","nan","nan",8.0949
"Platais_12",207.91954,-63.4538,"1.8611","1.7829","1.7436","nan","nan",8.1681
"Platais_8",136.89498,-59.30888,"1.9409","1.8306","1.8767","nan","nan",7.4943
"Platais_9",138.32084,-43.55763,"1.4482","1.6218","1.516","nan","nan",7.566
"Pozzo_1",122.37468,-47.35371,"2.0065","2.0103","1.9892","nan","nan",6.9715
"RSG_4",287.69567,56.52276,"1.7309","1.8028","1.7862","nan","nan",8.0481
"RSG_5",303.90868,45.73801,"1.5301","1.7477","1.644","nan","nan",7.3591
"RSG_7",343.94965,59.77258,"0.9411","1.6403","0.8436",70.0,"nan","nan"
"RSG_8",345.45291,59.5088,"1.8185,1.4909","1.6103,1.5004","1.7901,1.4194",18.0,"f2",7.1331
"Renou_23",84.52616,57.10844,"1.3879","1.6087","1.3783","nan","nan",8.2956
"Roslund_5",302.6593,33.75108,"1.1973","1.712","1.4047",97.7,"f2","nan"
"Roslund_6",307.59327,40.3559,"1.7205","2.0143","1.9268","nan","nan",8.2252
