"Cluster","Nstar","Age","[Fe/H]","e_[Fe/H]","[Si/Fe]","e_[Si/Fe]","[Al/Fe]","e_[Al/Fe]","[Mg/Fe]","e_[Mg/Fe]","[O/Fe]","e_[O/Fe]","New","N","_RA","_DE"
"Collinder 205",2,6.66,-0.07,0.19,0.02,0.06,0.04,0.11,-0.03,0.07,0.0,0.05,"Y",2,135.119,-48.984
"Collinder 258",2,7.99,-0.03,0.19,0.02,0.06,0.03,0.11,-0.03,0.07,0.01,0.05,"Y",2,186.798,-60.767
"Harvard 10",4,8.3,-0.04,0.14,0.02,0.05,0.03,0.08,-0.03,0.05,0.0,0.04,"N",4,244.859,-54.957
"IC 2395",1,7.31,0.05,0.27,0.01,0.09,0.01,0.16,0.01,0.1,0.0,0.07,"N",1,130.62917,-48.1
"IC 2488",3,8.21,0.06,0.16,0.02,0.05,0.0,0.09,-0.01,0.06,0.0,0.04,"N",3,141.857,-57.004
"IC 2581",1,7.01,-0.1,0.27,-0.01,0.09,0.01,0.16,-0.05,0.1,-0.01,0.07,"N",1,156.867,-57.626
"IC 4651",9,9.22,0.04,0.09,0.0,0.03,0.01,0.05,0.01,0.03,0.0,0.02,"N",9,261.212,-49.917
"IC 4756",3,9.11,-0.05,0.16,0.06,0.05,-0.15,0.09,0.02,0.06,0.01,0.04,"N",3,279.63,5.49
"Lynga 1",2,8.22,-0.01,0.19,0.01,0.06,0.02,0.11,-0.04,0.07,0.0,0.05,"N",2,209.994,-62.152
"Lynga 2",3,8.01,0.06,0.16,0.03,0.05,0.03,0.09,0.01,0.06,0.02,0.04,"N",3,216.08792,-61.3225
"NGC 1662",3,8.89,0.04,0.16,0.06,0.05,-0.07,0.09,0.05,0.06,0.04,0.04,"N",3,72.198,10.882
"NGC 2215",7,8.84,-0.07,0.1,0.02,0.03,0.03,0.06,-0.02,0.04,0.01,0.03,"N",7,95.199,-7.277
"NGC 2301",3,8.33,0.09,0.16,0.01,0.05,0.02,0.09,0.01,0.06,0.01,0.04,"N",3,102.943,0.465
"NGC 2323",3,8.12,0.11,0.16,0.01,0.05,0.05,0.09,0.03,0.06,0.02,0.04,"N",3,105.69792,-8.33778
"NGC 2353",5,8.01,-0.16,0.12,0.03,0.04,0.04,0.07,-0.03,0.04,0.02,0.03,"N",5,108.641,-10.257
"NGC 2354",10,9.15,-0.12,0.09,0.02,0.03,0.03,0.05,-0.03,0.03,0.0,0.02,"N",10,108.503,-25.724
"NGC 2423",8,9.04,0.1,0.1,-0.01,0.03,-0.01,0.06,0.0,0.04,-0.02,0.02,"N",6,114.299,-13.863
"NGC 2437",3,8.48,-0.08,0.16,0.02,0.05,0.02,0.09,-0.02,0.06,-0.01,0.04,"Y",7,115.445,-14.844
"NGC 2447",17,8.76,-0.06,0.07,0.01,0.02,0.02,0.04,-0.03,0.02,-0.02,0.02,"T",17,116.141,-23.853
"NGC 2482",5,8.54,0.07,0.12,-0.01,0.04,-0.01,0.07,0.01,0.04,-0.01,0.03,"N",5,118.787,-24.263
"NGC 2516",3,8.38,-0.09,0.16,0.01,0.05,0.05,0.09,-0.04,0.06,-0.01,0.04,"N",3,119.527,-60.8
"NGC 2527",3,8.84,-0.11,0.16,0.02,0.05,0.03,0.09,-0.04,0.06,0.0,0.04,"N",3,121.246,-28.122
"NGC 2539",9,8.84,-0.08,0.09,0.02,0.03,0.02,0.05,-0.03,0.03,-0.01,0.02,"N",9,122.658,-12.834
"NGC 2546",1,8.15,0.06,0.27,0.01,0.09,0.04,0.16,0.04,0.1,0.02,0.07,"Y",1,123.082,-37.661
"NGC 2547",3,7.51,-0.05,0.16,0.02,0.05,0.03,0.09,-0.02,0.06,-0.01,0.04,"N",3,122.46816,-49.17639
"NGC 2548",3,8.59,0.12,0.16,-0.01,0.05,0.0,0.09,0.0,0.06,-0.02,0.04,"N",3,123.412,-5.726
"NGC 2567",6,8.5,-0.07,0.11,0.01,0.04,0.02,0.07,-0.03,0.04,-0.01,0.03,"N",6,124.645,-30.631
"NGC 2579",2,"nan",-0.08,0.19,0.01,0.06,0.05,0.11,-0.03,0.07,-0.02,0.05,"Y",2,125.23042,-36.22306
"NGC 2669",1,8.13,-0.06,0.27,0.0,0.09,0.03,0.16,-0.04,0.1,-0.03,0.07,"Y",1,131.611,-52.931
"NGC 2670",2,8.01,-0.05,0.19,0.03,0.06,0.03,0.11,-0.02,0.07,0.01,0.05,"N",2,131.386,-48.801
"NGC 2682",10,9.63,0.09,0.09,-0.02,0.03,-0.01,0.05,0.0,0.03,-0.02,0.02,"T",10,132.846,11.814
"NGC 2925",1,8.11,0.1,0.27,0.02,0.09,0.03,0.16,0.01,0.1,0.01,0.07,"N",1,143.321,-53.413
"NGC 3680",6,9.34,-0.05,0.11,-0.01,0.04,0.01,0.07,-0.03,0.04,-0.02,0.03,"N",6,171.392,-43.24
"NGC 5138",2,7.68,-0.01,0.19,0.02,0.06,0.03,0.11,-0.01,0.07,0.0,0.05,"N",2,201.829,-59.023
"NGC 5281",7,7.6,-0.02,0.1,0.01,0.03,0.02,0.06,-0.04,0.04,-0.01,0.03,"Y",7,206.614,-62.916
"NGC 5316",4,8.22,-0.01,0.14,0.01,0.05,0.03,0.08,-0.03,0.05,-0.02,0.04,"N",4,208.516,-61.883
"NGC 5460",2,8.2,-0.03,0.19,0.02,0.06,0.03,0.11,-0.02,0.07,-0.01,0.05,"N",2,211.847,-48.285
"NGC 5617",6,8.02,-0.04,0.11,0.02,0.04,0.03,0.07,-0.03,0.04,0.0,0.03,"N",6,217.452,-60.719
"NGC 5662",2,8.3,0.07,0.19,0.03,0.06,0.02,0.11,0.0,0.07,0.01,0.05,"N",2,218.734,-56.64
"NGC 5822",3,8.96,0.01,0.16,0.01,0.05,0.02,0.09,-0.03,0.06,-0.02,0.04,"N",3,226.051,-54.366
"NGC 5823",2,7.9,0.0,0.19,0.02,0.06,0.03,0.11,-0.03,0.07,-0.01,0.05,"N",2,226.365,-55.608
"NGC 6025",3,8.02,0.19,0.16,0.01,0.05,0.04,0.09,0.02,0.06,0.0,0.04,"N",3,240.779,-60.43
"NGC 6031",2,7.95,-0.07,0.19,0.02,0.06,0.03,0.11,-0.03,0.07,0.01,0.05,"N",2,241.907,-54.014
"NGC 6067",1,8.1,0.03,0.27,0.03,0.09,0.06,0.16,-0.02,0.1,0.02,0.07,"N",1,243.299,-54.227
"NGC 6124",19,8.28,0.07,0.06,0.02,0.02,0.02,0.04,0.0,0.02,0.01,0.02,"Y",19,246.332,-40.661
"NGC 6134",2,8.99,0.0,0.19,0.01,0.06,0.02,0.11,-0.02,0.07,0.0,0.05,"N",2,246.953,-49.161
"NGC 6167",3,8.19,0.05,0.16,0.01,0.05,0.02,0.09,0.01,0.06,0.01,0.04,"Y",3,248.662,-49.759
"NGC 6250",1,7.38,-0.15,0.27,0.07,0.09,-0.17,0.16,0.03,0.1,0.0,0.07,"Y",1,254.497,-45.951
"NGC 6281",7,8.71,-0.06,0.1,0.02,0.03,0.03,0.06,-0.04,0.04,0.0,0.03,"N",7,256.179,-37.948
"NGC 6405",6,7.54,-0.06,0.11,0.02,0.04,0.03,0.07,-0.03,0.04,0.01,0.03,"N",6,265.069,-32.242
"NGC 6416",6,8.36,-0.07,0.11,0.02,0.04,0.03,0.07,-0.03,0.04,0.01,0.03,"N",6,266.014,-32.344
"NGC 6603",1,8.34,0.05,0.27,-0.01,0.09,-0.01,0.16,-0.04,0.1,-0.01,0.07,"N",1,274.616,-18.409
"NGC 6705",3,8.49,0.01,0.16,0.06,0.05,-0.08,0.09,0.01,0.06,0.01,0.04,"T",3,282.766,-6.272
"NGC 6885",2,"nan",0.02,0.19,0.06,0.06,-0.08,0.11,0.01,0.07,0.01,0.05,"Y",2,303.00417,26.47833
"Roslund 3",1,7.73,0.03,0.27,0.01,0.09,-0.06,0.16,0.01,0.1,0.0,0.07,"N",1,299.695,20.509
"Ruprecht 119",2,7.68,0.08,0.19,0.02,0.06,0.03,0.11,0.01,0.07,0.01,0.05,"Y",2,247.039,-51.5
"Trumpler 10",2,7.51,-0.06,0.19,0.02,0.06,0.04,0.11,-0.02,0.07,0.0,0.05,"N",2,131.943,-42.566
"Trumpler 18",2,7.68,0.14,0.19,0.01,0.06,0.04,0.11,0.03,0.07,0.01,0.05,"N",2,167.826,-60.656
