"Name","RAJ2000","DEJ2000","Nsini","Ns","NOut","NM1","NM2","NM3","percM1","percM2","percM3","pxcM1","s_pxcM1","pxcM2","s_pxcM2","pxcM3","s_pxcM3","pycM1","s_pycM1","pycM2","s_pycM2","pycM3","s_pycM3","cccM1","cccM2","cccM3","Dist","E(B-V)","logAge","Radius","pxfM1","s_pxfM1","pxfM2","s_pxfM2","pxfM3","s_pxfM3","pyfM1","s_pyfM1","pyfM2","s_pyfM2","pyfM3","s_pyfM3","ccfM1","ccfM2","ccfM3","File"
"AH03_J0822_36.4",125.55,-36.4,137,117,6,77,99,65,65.81,84.61,55.56,-2.99,3.78,-3.77,5.95,-2.78,3.44,2.32,3.56,1.94,4.92,2.86,3.37,-0.15,-0.1,-0.33,750.0,0.13,6.95,4.02,-4.01,9.79,0.5,10.92,-3.92,8.67,-1.03,9.24,-7.22,11.84,-0.59,8.09,-0.21,-0.13,-0.18,"AH03_J0822_36.4.dat"
"AH03_J1725_34.4",261.38333,-34.40556,26,23,2,8,14,7,34.78,60.87,30.43,-3.4,1.26,-4.06,5.4,-3.46,1.24,0.74,1.05,-0.33,4.53,0.79,1.01,0.15,-0.17,0.33,290.0,1.58,6.85,1.8,-2.62,7.2,0.08,6.05,-2.63,7.06,-2.63,6.56,-4.36,6.82,-2.52,6.46,-0.42,-0.62,-0.42,"AH03_J1725_34.4.dat"
"AH03_J2011+26.7",302.9875,26.73556,43,34,1,18,27,0,52.94,79.41,0.0,-1.62,3.87,-2.91,8.38,"nan","nan",-5.4,4.2,-4.1,11.15,"nan","nan",0.16,0.19,-99.99,2567.0,0.9,7.35,2.8,1.58,15.48,14.01,13.77,"nan","nan",-1.0,15.2,1.32,11.76,"nan","nan",0.02,-0.76,-99.99,"AH03_J2011+26.7.dat"
"ASCC_1",2.4,62.68,1456,1276,34,931,989,927,72.96,77.51,72.65,-3.04,4.55,-2.86,5.07,-3.09,4.67,1.55,3.76,1.56,3.96,1.53,3.62,0.01,0.0,0.02,4000.0,0.16,8.25,12.5,-1.04,16.81,-0.96,19.07,-1.0,16.47,2.32,15.43,2.57,17.79,2.35,15.27,-0.02,-0.02,-0.02,"ASCC_1.dat"
"ASCC_100",285.40417,33.57,462,374,13,271,310,265,72.46,82.89,70.86,0.43,4.61,0.17,5.7,0.31,4.28,-3.38,5.92,-2.96,7.14,-3.26,6.22,0.1,0.11,0.18,350.0,0.02,8.01,9.16,0.48,13.93,2.22,18.29,0.68,13.12,-2.24,15.42,-3.49,19.77,-2.63,14.14,0.1,0.1,0.08,"ASCC_100.dat"
"ASCC_101",288.40417,36.33,2658,2307,39,1863,1821,1857,80.75,78.93,80.49,-0.15,5.43,-0.01,5.07,-0.12,5.32,-2.82,5.79,-2.82,5.63,-2.81,6.09,0.13,0.19,0.2,350.0,0.0,8.52,22.1,-0.56,17.26,-1.08,18.29,-0.65,17.29,-3.93,16.44,-4.05,17.24,-3.96,16.01,0.24,0.22,0.21,"ASCC_101.dat"
"ASCC_102",291.20833,29.95,1314,1099,41,821,874,834,74.7,79.53,75.89,-1.4,5.17,-1.47,5.37,-1.37,5.15,-1.76,5.3,-1.75,5.96,-1.81,5.58,0.09,0.07,0.13,1500.0,0.0,8.79,11.3,-3.63,19.33,-4.39,23.01,-3.82,19.78,-0.56,18.65,0.01,21.63,-0.36,18.85,0.07,0.08,0.07,"ASCC_102.dat"
"ASCC_104",294.72083,18.69,3236,2483,72,1971,1927,1986,79.38,77.61,79.98,-0.99,5.52,-1.04,5.3,-1.01,5.62,-2.58,5.79,-2.52,5.5,-2.61,5.83,0.1,0.16,0.16,800.0,0.33,7.71,16.0,0.01,20.81,0.2,21.13,0.1,21.08,-1.54,22.09,-1.77,22.5,-1.41,22.44,0.08,0.07,0.07,"ASCC_104.dat"
"ASCC_107",297.13333,21.96,455,360,14,273,301,273,75.83,83.61,75.83,1.26,5.75,1.06,6.56,1.05,5.62,-4.64,5.73,-4.99,6.83,-4.44,6.15,0.15,0.2,0.25,700.0,0.2,8.41,6.9,1.25,18.8,2.58,24.16,1.8,18.16,-9.3,15.71,-11.38,18.72,-9.43,14.57,0.11,0.09,0.09,"ASCC_107.dat"
"ASCC_108",298.45417,39.37,1879,1593,44,1146,1228,1161,71.94,77.09,72.88,-1.7,4.69,-1.65,5.0,-1.78,4.74,-4.24,4.74,-4.22,5.14,-4.31,4.92,0.09,0.1,0.15,1100.0,0.05,8.64,13.7,0.31,16.73,0.91,19.3,0.49,16.74,-2.06,16.1,-1.23,18.38,-1.87,16.0,0.14,0.14,0.13,"ASCC_108.dat"
