"N","Name","Type","n_Type","RAJ2000","DEJ2000","GLON","GLAT","r0","r1","r2","pmRA","pmDE","e_pm","N1sr0","N1sr1","N1sr2","d","E(B-V)","MOD","E(J-Ks)","E(J-H)","deltaH","logt","e_logt","Nt","rc","e_rc","rt","e_rt","k","e_k","Src"
2061,"MWSC_5004","nan","nan",64.47,86.183,126.223,24.716,0.02,0.1,0.17,0.04,2.26,0.61,2,17,24,2274.0,0.406,11.915,0.195,0.13,0.0,9.215,"nan",-1,1.86,0.62,12.9,4.36,1.38,0.26,"ARIn"
1744,"MWSC_5010","nan","nan",94.575,86.035,127.314,26.485,0.02,0.077,0.13,2.68,-2.38,0.69,3,8,19,3553.0,0.146,12.8,0.07,0.047,0.0,9.45,"nan",-1,0.66,0.42,15.1,9.1,1.05,0.89,"ARIn"
3012,"MWSC_5011","nan","nan",96.15,62.63,152.192,20.919,0.02,0.085,0.155,2.24,-0.94,0.56,3,23,53,1272.0,0.083,10.55,0.04,0.027,-0.04,9.45,"nan",-1,0.67,0.15,6.33,1.49,13.13,2.45,"ARIn"
2768,"MWSC_5012","nan","nan",96.832,57.46,157.507,19.514,0.02,0.08,0.125,-2.41,-1.0,0.54,4,16,31,2492.0,0.364,12.1,0.175,0.117,0.015,9.085,0.039,3,0.98,0.51,10.27,5.9,1.25,0.52,"ARIn"
2787,"MWSC_5016","nan","nan",107.31,40.42,176.994,20.373,0.015,0.09,0.15,-4.32,-4.74,0.57,1,20,40,2276.0,0.354,11.9,0.17,0.113,0.02,8.81,"nan",-1,2.48,0.82,9.72,2.77,1.43,0.36,"ARIn"
3027,"MWSC_5018","nan","nan",113.625,22.825,196.512,19.269,0.018,0.08,0.145,-0.93,-4.36,0.59,4,23,46,2070.0,0.375,11.7,0.18,0.12,0.0,9.12,"nan",-1,3.12,0.97,7.98,1.66,3.01,1.19,"ARIn"
2362,"MWSC_5019","nan","nan",115.14,32.78,186.948,23.949,0.02,0.085,0.15,-4.2,-3.27,0.54,3,19,35,1534.0,0.375,11.05,0.18,0.12,0.0,8.97,0.05,3,2.14,1.29,7.29,3.53,0.72,0.4,"ARIn"
2387,"MWSC_5022","nan","nan",124.099,0.45,222.559,19.021,0.02,0.085,0.13,3.36,-2.5,0.61,4,19,29,1308.0,0.208,10.65,0.1,0.067,0.0,9.17,0.084,3,0.4,0.17,4.57,2.12,11.75,4.44,"ARIn"
2684,"MWSC_5029","nan","nan",131.407,-11.655,237.489,18.928,0.012,0.09,0.135,-2.86,3.0,0.63,3,23,38,1953.0,0.146,11.5,0.07,0.047,0.0,9.285,"nan",-1,0.36,0.21,7.85,5.31,7.71,5.08,"ARIn"
1472,"MWSC_5033","nan","nan",133.987,30.155,194.733,38.814,0.013,0.13,0.205,-3.15,-5.07,0.46,1,20,31,1530.0,0.208,10.99,0.1,0.067,0.0,9.17,0.063,3,0.85,0.39,9.84,5.04,3.25,1.14,"ARIn"
1067,"MWSC_5038","r","o",138.574,23.94,203.901,41.284,0.01,0.07,0.125,-3.84,-5.53,0.78,2,6,8,1953.0,0.146,11.5,0.07,0.047,0.0,9.3,"nan",-1,0.59,0.21,8.7,3.46,5.95,2.07,"ARIn"
2216,"MWSC_5042","r","c",140.272,-7.475,239.297,28.473,0.02,0.135,0.2,-5.58,-7.48,1.01,1,9,19,1762.0,0.219,11.3,0.105,0.07,0.0,9.5,"nan",-1,1.3,0.58,14.61,7.66,1.09,0.36,"ARIn"
897,"MWSC_5044","r","o",141.285,29.925,196.639,44.974,0.015,0.08,0.14,-5.72,-5.25,0.78,1,8,10,2729.0,0.062,12.2,0.03,0.02,-0.01,9.57,"nan",-1,1.55,0.69,10.94,4.98,0.96,0.28,"ARIn"
1684,"MWSC_5051","r","c",146.467,-7.005,243.267,33.615,0.012,0.11,0.195,-4.55,-1.27,0.72,1,14,28,1365.0,0.229,10.75,0.11,0.073,-0.01,9.45,"nan",-1,0.69,0.3,9.28,4.44,4.8,1.76,"ARIn"
1369,"MWSC_5058","r","c",152.073,12.318,225.93,49.075,0.025,0.135,0.23,2.38,-3.81,0.77,1,9,12,1191.0,0.062,10.4,0.03,0.02,0.0,8.95,"nan",-1,0.91,0.2,7.11,1.69,17.05,2.18,"ARIn"
1503,"MWSC_5060","r","c",152.617,-14.045,254.381,33.254,0.03,0.1,0.19,-2.83,-3.76,0.75,2,8,15,1445.0,0.0,10.8,0.0,0.0,-0.01,9.7,"nan",-1,1.0,0.38,7.57,2.97,5.5,1.09,"ARIn"
1087,"MWSC_5062","r","c",153.09,-9.181,250.618,37.05,0.012,0.08,0.12,-1.93,0.82,1.13,1,8,12,5232.0,0.021,13.6,0.01,0.007,0.0,9.45,"nan",-1,1.0,0.45,23.7,11.95,1.12,0.59,"ARIn"
2523,"MWSC_5071","nan","nan",158.182,-29.585,270.048,24.29,0.012,0.075,0.15,-11.63,6.8,0.8,1,10,21,1965.0,0.104,11.5,0.05,0.033,0.0,9.45,"nan",-1,0.45,0.27,8.94,5.79,3.19,2.25,"ARIn"
1132,"MWSC_5076","nan","nan",161.677,78.45,130.371,36.809,0.02,0.07,0.12,-1.67,1.54,0.74,3,8,17,9842.0,0.729,15.2,0.35,0.233,0.0,8.85,"nan",-1,2.85,1.36,42.52,21.7,0.1,0.05,"ARIn"
2012,"MWSC_5083","nan","nan",163.995,-32.405,276.33,24.437,0.012,0.08,0.125,-4.49,-1.99,0.75,1,11,15,4860.0,0.208,13.5,0.1,0.067,0.0,9.2,"nan",-1,2.12,0.98,21.22,10.76,0.33,0.12,"ARIn"
2884,"MWSC_5088","nan","nan",167.185,-32.53,279.044,25.537,0.02,0.095,0.185,-7.82,0.86,0.93,1,9,19,2831.0,0.125,12.3,0.06,0.04,-0.01,9.225,"nan",-1,5.06,2.43,15.3,5.38,0.64,0.32,"ARIn"
3423,"MWSC_5116","nan","nan",174.772,-36.34,287.001,24.286,0.02,0.1,0.18,-9.94,5.21,0.94,4,30,77,1622.0,0.156,11.1,0.075,0.05,0.0,9.515,"nan",-1,0.54,0.28,9.63,5.57,5.05,2.61,"ARIn"
1534,"MWSC_5117","nan","nan",175.08,-17.835,279.955,41.844,0.02,0.12,0.19,-4.42,1.66,0.79,1,9,17,1380.0,0.0,10.7,0.0,0.0,0.0,9.36,"nan",-1,1.01,0.43,7.55,3.38,2.49,0.69,"ARIn"
