"Cluster","Radeg","e_RAdeg","DEdeg","e_DEdeg","r","e_r","Rt","e_Rt","Rc","e_Rc","rho-c","e_rho-c","logAge"
"ASCC 10",51.85,0.24,34.96,0.27,"639",68,"29.44",2.87,1.27,"1.13",0.8,0.05,8.6
"ASCC 101",288.33,0.24,36.35,0.26,"390",18,"13.44",2.09,3.09,"1.76",0.9,0.1,8.2
"ASCC 105",295.54,0.5,27.41,0.58,"541",49,"34.45",1.49,1.15,"1.07",1.4,0.43,8.5
"ASCC 108",298.34,0.33,39.4,0.45,"1082",115,"50.7",1.47,0.31,"0.56",6.0,1.2,8.4
"ASCC 11",53.05,0.26,44.87,0.17,"789",87,"33.63",0.69,5.07,"2.25",1.3,0.1,8.4
"ASCC 110",300.74,0.08,33.49,0.14,"1831",305,"39.49",7.37,0.47,"0.68",2.6,0.42,8.8
"ASCC 111",302.94,0.32,37.52,0.3,"798",73,"46.09",3.09,1.86,"1.36",1.2,0.15,8.4
"ASCC 113",317.93,0.52,38.65,0.36,"563",34,"19.89",1.31,3.21,"1.79",0.8,0.1,8.5
"ASCC 114",325.01,0.29,53.99,0.14,"884",80,"16.3",0.53,1.54,"1.24",2.5,0.51,7.7
"ASCC 12",72.38,0.32,41.72,0.16,"894",131,"24.11",0.25,1.83,"1.35",1.7,0.24,7.9
"ASCC 127",347.29,0.88,65.0,0.54,"383",42,"15.4",0.11,0.94,"0.97",3.3,0.87,7.3
"ASCC 128",349.99,0.7,54.4,0.31,"648",51,"24.61",4.32,0.14,"0.37",7.8,2.78,8.4
"ASCC 13",78.26,0.16,44.5,0.35,"1003",152,"37.98",4.94,0.18,"0.42",4.8,1.98,8.3
"ASCC 16",81.21,0.32,1.69,0.28,"347",31,"10.46",1.21,4.66,"2.16",1.4,0.06,7.2
"ASCC 19",81.99,0.65,-2.02,0.39,"356",41,"14.36",0.88,0.63,"0.79",4.3,0.91,7.1
"ASCC 21",82.11,0.39,3.58,0.15,"353",50,"8.93",0.37,2.52,"1.59",1.0,0.23,7.2
"ASCC 23",95.04,0.27,46.74,0.24,"594",60,"20.38",3.65,3.8,"1.95",1.1,0.04,8.4
"ASCC 32",105.77,0.35,-26.47,0.47,"755",58,"32.7",1.03,0.39,"0.62",4.6,1.4,7.4
"ASCC 41",116.73,0.37,0.13,0.49,"289",17,"23.26",2.46,3.24,"1.8",1.2,0.13,8.2
"ASCC 58",153.62,0.79,-55.01,0.37,"464",51,"21.67",1.35,1.27,"1.12",2.4,0.4,7.7
"ASCC 6",26.85,0.14,57.73,0.09,"1433",254,"25.86",0.17,2.5,"1.58",1.2,0.06,8.4
"ASCC 71",185.11,0.3,-67.52,0.03,"1115",178,"18.91",2.48,1.99,"1.41",1.0,0.16,8.2
"ASCC 77",212.7,0.22,-62.34,0.1,"1015",170,"14.63",0.67,4.86,"2.2",1.2,0.08,8.2
"ASCC 79",229.77,0.7,-60.8,0.5,"825",82,"44.96",4.08,0.12,"0.35",8.3,3.95,7.8
"ASCC 85",251.77,0.39,-45.58,0.23,"827",92,"17.8",0.82,1.03,"1.02",1.9,0.31,8.2
"ASCC 88",256.88,0.27,-35.58,0.15,"819",110,"43.4",3.74,1.85,"1.36",1.2,0.16,8.4
"ASCC 90",264.76,0.21,-34.86,0.28,"568",33,"22.67",2.96,1.96,"1.4",1.0,0.18,8.7
"ASCC 99",282.26,0.55,-18.55,0.62,"289",11,"13.53",1.03,0.54,"0.74",3.3,0.65,8.2
"Alessi 10",301.21,0.18,-10.53,0.11,"429",51,"11.57",1.11,5.74,"2.4",0.6,0.04,8.2
"Alessi 12",310.9,0.58,23.84,0.49,"539",64,"35.48",1.19,1.24,"1.11",3.8,0.87,8.2
