"ID","ID2","RA_ICRS","DE_ICRS","dmode","Nmemb","Nsele","RV","e_RV","s_RV","X","e_X","Y","e_Y","Z","e_Z","U","e_U","V","e_V","W","e_W","Vr","e_Vr","Vphi","e_Vphi","Vz","e_Vz"
"ASCC_10","[KPS2012] MWSC 0275",51.87,34.981,672.0,4,2,-15.67,1.16,1.63,-8923.4,5.1,263.1,2.3,-191.1,1.8,16.27,1.01,-5.24,0.46,-1.67,0.36,-20.08,1.02,247.7,0.43,5.58,0.36
"ASCC_101","[KPS2012] MWSC 3070",288.399,36.369,397.3,17,15,-20.17,0.92,3.56,-8194.4,0.5,360.9,1.1,93.9,0.3,-10.08,0.34,-17.12,0.84,-4.6,0.19,9.33,0.31,234.94,0.85,2.65,0.19
"ASCC_105","[KPS2012] MWSC 3157",295.548,27.366,551.8,24,20,-13.81,0.5,2.23,-8088.1,0.8,490.6,1.6,33.9,0.1,-4.59,0.23,-12.93,0.45,-5.94,0.06,7.99,0.21,239.26,0.46,1.31,0.06
"ASCC_108","[KPS2012] MWSC 3201",298.306,39.349,1154.0,2,1,-6.33,2.1,0.0,-8031.0,1.1,1105.1,3.8,136.1,0.4,7.43,0.56,-8.37,2.01,-2.88,0.23,14.89,0.3,244.12,2.07,4.37,0.23
"ASCC_11","[KPS2012] MWSC 0284",53.056,44.856,854.5,3,3,-14.43,0.32,0.56,-9074.4,2.5,414.8,1.4,-123.0,0.5,8.48,0.28,-16.49,0.16,-5.38,0.08,-8.79,0.29,236.39,0.15,1.87,0.08
"ASCC_110","[KPS2012] MWSC 3234",300.742,33.528,1902.2,4,3,-1.09,1.14,1.97,-7702.4,4.9,1791.6,13.6,59.7,0.3,21.09,0.42,-8.23,1.08,-17.09,0.15,23.93,0.31,244.96,1.13,-9.84,0.15
"ASCC_111","[KPS2012] MWSC 3274",302.891,37.515,836.9,8,3,-22.81,2.66,4.61,-8119.5,0.9,806.8,3.4,44.0,0.1,1.28,0.7,-24.0,2.56,-0.31,0.11,10.25,0.45,228.35,2.62,6.94,0.11
"ASCC_113","[KPS2012] MWSC 3480",317.933,38.638,558.2,17,16,-4.44,0.84,3.35,-8271.2,0.1,550.2,0.9,-50.1,0.1,4.99,0.11,-6.01,0.83,-7.61,0.1,0.29,0.06,246.75,0.83,-0.36,0.1
"ASCC_115","[KPS2012] MWSC 3575",329.28,51.558,746.0,1,1,-46.01,17.26,0.0,-8437.6,0.4,738.9,2.8,-18.6,0.1,8.71,2.26,-45.23,17.09,1.69,0.76,-1.68,3.74,207.95,16.83,8.94,0.76
"ASCC_123","[KPS2012] MWSC 3654",340.299,53.986,233.1,8,7,-2.49,1.28,3.38,-8398.0,0.3,225.2,1.2,-2.8,0.1,-9.87,0.33,-5.68,1.24,-7.58,0.12,5.38,0.37,246.5,1.23,-0.33,0.12
"ASCC_127","[KPS2012] MWSC 3704",347.205,64.974,375.6,16,15,-11.81,0.65,2.5,-8482.4,0.4,346.4,1.0,41.7,0.1,-5.99,0.25,-14.56,0.6,-8.86,0.07,4.59,0.28,237.69,0.59,-1.61,0.07
"ASCC_128","[KPS2012] MWSC 3720",349.949,54.435,650.3,1,1,-14.91,5.88,0.0,-8558.7,1.0,608.5,2.8,-54.9,0.3,1.49,1.98,-15.31,5.5,0.79,0.62,4.24,2.37,237.23,5.35,8.04,0.62
"ASCC_13","[KPS2012] MWSC 0486",78.255,44.417,1078.2,1,1,32.37,4.55,0.0,-9372.3,7.8,305.7,2.3,72.7,0.4,-33.01,4.36,3.73,1.29,-5.41,0.26,30.25,4.4,255.12,1.15,1.84,0.26
"ASCC_16","[KPS2012] MWSC 0531",81.198,1.655,348.8,18,15,23.18,0.88,3.4,-8648.7,0.9,-119.4,0.3,-95.9,0.3,-20.68,0.78,-9.2,0.3,-5.46,0.28,6.23,0.78,243.15,0.29,1.79,0.28
"ASCC_19","[KPS2012] MWSC 0547",81.982,-1.987,357.6,10,8,23.89,0.92,2.6,-8645.8,0.8,-142.1,0.4,-105.0,0.3,-19.49,0.79,-12.1,0.37,-7.26,0.31,4.44,0.79,240.24,0.35,-0.01,0.31
"ASCC_21","[KPS2012] MWSC 0558",82.179,3.527,345.5,12,9,18.7,1.48,4.45,-8651.3,1.3,-112.9,0.5,-84.7,0.4,-16.55,1.33,-8.17,0.49,-3.92,0.42,2.27,1.34,244.12,0.47,3.33,0.42
"ASCC_23","[KPS2012] MWSC 0839",95.047,46.71,616.3,13,6,-13.29,1.49,3.65,-8922.7,2.2,129.5,0.5,167.4,0.6,12.47,1.41,-5.76,0.32,-1.18,0.37,-19.99,1.41,246.8,0.3,6.07,0.37
"ASCC_30","[KPS2012] MWSC 1028",104.271,-6.23,1080.4,1,1,36.34,0.13,0.0,-9177.9,5.4,-681.4,4.4,-15.9,0.2,-29.88,0.11,-20.5,0.1,-8.67,0.1,1.57,0.15,232.49,0.09,-1.42,0.1
"ASCC_32","[KPS2012] MWSC 1069",105.714,-26.512,794.6,17,14,35.05,1.08,4.03,-8755.7,1.3,-664.6,2.1,-116.2,0.4,-32.44,0.57,-19.42,0.9,-11.21,0.18,3.66,0.63,233.77,0.86,-3.96,0.18
"ASCC_41","[KPS2012] MWSC 1337",116.674,0.137,295.8,24,23,-10.07,0.35,1.67,-8563.9,0.7,-182.7,0.6,77.2,0.2,10.72,0.27,1.81,0.22,-3.92,0.08,-27.23,0.27,253.53,0.21,3.33,0.08
"ASCC_58","[KPS2012] MWSC 1782",153.657,-55.001,478.6,17,15,12.12,0.66,2.5,-8243.2,0.3,-468.6,1.3,24.5,0.0,-25.36,0.16,-17.88,0.65,-11.45,0.07,0.94,0.12,234.8,0.65,-4.2,0.07
"ASCC_71","[KPS2012] MWSC 2016",185.033,-67.509,1227.6,6,4,-11.43,0.23,0.47,-7729.6,3.7,-1060.1,6.5,-89.1,0.6,-51.87,0.33,-15.33,0.26,-13.35,0.13,8.2,0.18,240.25,0.24,-6.11,0.13
"ASCC_73","[KPS2012] MWSC 2053",189.281,-67.203,646.3,8,3,-6.34,4.82,8.35,-8002.9,3.5,-549.2,5.7,-35.2,0.5,-33.4,2.54,-12.1,4.1,-10.46,0.41,5.81,2.24,241.1,4.26,-3.21,0.41
"ASCC_79","[KPS2012] MWSC 2288",229.731,-60.798,829.7,9,5,-1.4,2.45,5.47,-7705.4,3.2,-532.9,2.7,-28.0,0.2,-13.33,1.88,-13.07,1.58,-7.86,0.19,-14.27,1.76,238.75,1.7,-0.61,0.19
"ASCC_85","[KPS2012] MWSC 2465",251.853,-45.555,870.7,4,2,16.48,6.82,5.37,-7522.8,3.6,-300.4,1.3,10.1,0.0,11.12,6.4,-17.36,2.35,-11.56,0.08,-31.57,6.3,233.8,2.61,-4.31,0.08
"ASCC_87","[KPS2012] MWSC 2520",255.658,-28.421,769.8,6,4,5.3,2.24,4.47,-7580.6,5.8,-64.8,0.5,122.4,0.8,4.75,2.21,-14.17,0.23,-4.12,0.33,-17.89,2.21,237.93,0.25,3.13,0.33
"ASCC_88","[KPS2012] MWSC 2536",256.886,-35.564,888.3,4,2,-29.53,5.94,6.49,-7466.3,3.9,-153.9,0.7,60.1,0.2,-29.98,5.84,-3.61,1.03,-12.89,0.32,13.75,5.82,248.97,1.15,-5.64,0.32
"ASCC_90","[KPS2012] MWSC 2655",264.777,-34.874,574.1,13,10,7.27,0.58,1.83,-7769.1,2.0,-57.7,0.2,-5.6,0.1,6.37,0.58,-9.23,0.13,-0.38,0.1,-19.27,0.58,242.88,0.13,6.87,0.1
"ASCC_97","[KPS2012] MWSC 2963",279.263,-19.139,565.4,7,6,-0.34,0.61,1.51,-7794.6,4.6,138.5,1.2,-40.7,0.5,3.98,0.59,-17.96,0.26,-2.25,0.18,-10.92,0.59,234.51,0.26,5.0,0.18
"ASCC_99","[KPS2012] MWSC 2999",282.17,-18.488,294.4,7,6,-29.8,1.07,2.62,-8059.7,1.0,80.8,0.3,-25.6,0.1,-29.75,1.02,-6.97,0.3,-3.23,0.16,21.1,1.02,245.08,0.31,4.02,0.16
"Alessi_1","[KPS2012] MWSC 0088",13.343,49.536,704.8,14,13,-3.73,0.39,1.42,-8716.1,2.4,573.5,3.6,-148.6,1.0,-13.79,0.24,-19.09,0.34,-19.28,0.21,17.99,0.3,232.47,0.33,-12.03,0.21
"Alessi_10","[KPS2012] MWSC 3242",301.233,-10.555,442.0,7,6,-13.57,1.16,2.83,-7988.7,1.6,216.1,1.0,-144.8,0.7,-6.64,0.92,-20.09,0.57,-4.28,0.42,1.82,0.91,232.18,0.6,2.97,0.42
"Alessi_12","[KPS2012] MWSC 3404",310.875,23.871,542.0,27,19,2.43,0.85,3.23,-8136.6,0.7,490.8,1.6,-93.2,0.3,2.42,0.32,-1.85,0.77,-16.15,0.18,1.58,0.28,250.75,0.79,-8.9,0.18
"Alessi_13","[KPS2012] MWSC 0278",51.762,-35.821,104.0,3,3,21.13,1.97,3.41,-8371.3,0.1,-49.1,0.2,-72.2,0.3,-13.38,0.6,-23.21,0.93,-7.41,1.63,0.93,0.6,229.04,0.93,-0.16,1.63
"Alessi_17","[KPS2012] MWSC 1271",113.853,-15.098,3418.8,2,2,70.21,3.95,5.58,-10473.0,116.7,-2667.6,145.9,168.1,8.4,-70.67,2.89,-33.84,3.3,-6.22,0.71,3.81,3.38,226.34,2.84,1.03,0.71
"Alessi_19","[KPS2012] MWSC 2887",274.741,12.311,575.0,7,4,-4.51,2.69,5.38,-7912.9,2.0,363.6,1.7,140.5,0.6,9.67,2.0,-16.18,1.7,-6.65,0.6,-9.91,1.92,236.76,1.79,0.6,0.6
"Alessi_2","[KPS2012] MWSC 0419",71.602,55.199,618.2,19,14,-11.0,0.29,1.1,-8884.1,2.0,285.3,1.1,82.5,0.3,8.99,0.26,-5.44,0.14,-5.2,0.05,-12.16,0.26,247.32,0.13,2.05,0.05
"Alessi_20","[KPS2012] MWSC 0023",2.593,58.742,427.3,9,7,-5.04,1.25,3.3,-8537.6,0.6,377.8,1.1,-13.6,0.1,-11.3,0.58,-12.12,1.11,-6.98,0.1,10.82,0.63,239.87,1.08,0.27,0.1
