"Cluster","logAge","Nmemb","RAJ2000","s_RAJ2000","DEJ2000","s_DEJ2000","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","dist","s_dist","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[O/Fe]","e_[O/Fe]","o_[O/Fe]","[Na/Fe]","e_[Na/Fe]","o_[Na/Fe]","[Mg/Fe]","e_[Mg/Fe]","o_[Mg/Fe]","[Al/Fe]","e_[Al/Fe]","o_[Al/Fe]","[Si/Fe]","e_[Si/Fe]","o_[Si/Fe]","[Ca/Fe]","e_[Ca/Fe]","o_[Ca/Fe]","[Ti/Fe]","e_[Ti/Fe]","o_[Ti/Fe]","[V/Fe]","e_[V/Fe]","o_[V/Fe]","[Cr/Fe]","e_[Cr/Fe]","o_[Cr/Fe]","[Mn/Fe]","e_[Mn/Fe]","o_[Mn/Fe]","[Co/Fe]","e_[Co/Fe]","o_[Co/Fe]","[Ni/Fe]","e_[Ni/Fe]","o_[Ni/Fe]","[Cu/Fe]","e_[Cu/Fe]","o_[Cu/Fe]","[Zn/Fe]","e_[Zn/Fe]","o_[Zn/Fe]","[Y/Fe]","e_[Y/Fe]","o_[Y/Fe]","[Zr/Fe]","e_[Zr/Fe]","o_[Zr/Fe]","[Ba/Fe]","e_[Ba/Fe]","o_[Ba/Fe]","[La/Fe]","e_[La/Fe]","o_[La/Fe]","[Nd/Fe]","e_[Nd/Fe]","o_[Nd/Fe]","[Eu/Fe]","e_[Eu/Fe]","o_[Eu/Fe]"
"ASCC_16",7.13,289,81.171005,0.323216,1.652395,0.368368,2.835,0.14,1.355,0.277,-0.019,0.292,0.354,0.019,-0.104,0.06,19.0,0.409,0.277,9.0,-0.017,0.156,9.0,-0.111,0.059,10.0,0.021,0.082,10.0,0.023,0.071,10.0,0.205,0.079,10.0,-0.064,0.116,9.0,-0.025,0.218,4.0,-0.03,0.073,7.0,0.021,0.092,10.0,-0.32,0.306,7.0,-0.039,0.169,9.0,-0.172,0.221,8.0,0.096,0.258,7.0,0.412,0.153,9.0,-0.047,0.165,1.0,0.375,0.15,8.0,0.39,0.141,1.0,"nan","nan","nan","nan","nan","nan"
"ASCC_19",7.02,264,82.046997,0.653333,-1.976446,0.508171,2.767,0.112,1.153,0.266,-1.282,0.247,0.363,0.015,-0.059,0.049,21.0,0.424,0.081,6.0,-0.048,0.036,1.0,-0.071,0.034,10.0,0.058,0.105,10.0,0.001,0.097,10.0,0.101,0.106,10.0,-0.103,0.199,9.0,0.067,0.13,1.0,0.01,0.052,1.0,-0.053,0.093,10.0,0.105,0.429,8.0,-0.113,0.055,10.0,0.067,0.224,10.0,0.187,0.064,1.0,0.533,0.089,1.0,"nan","nan","nan",0.618,0.062,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC_90",8.91,67,264.756836,0.461799,-34.892029,0.529645,1.722,0.052,-1.597,0.201,-2.674,0.178,0.582,0.017,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC_99",8.55,82,282.218628,0.544328,-18.527493,0.663828,3.377,0.119,5.2,0.32,-1.36,0.394,0.297,0.011,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Alessi_24",7.86,152,260.772339,0.943924,-62.673843,0.563663,2.056,0.074,-0.435,0.23,-8.945,0.223,0.486,0.018,0.079,0.013,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Alessi_9",8.45,290,265.907837,2.621027,-47.173027,1.971586,4.781,0.389,9.89,0.885,-9.037,0.76,0.21,0.018,-0.04,0.051,3.0,0.143,0.068,2.0,-0.033,0.044,1.0,-0.041,0.076,2.0,-0.041,0.023,1.0,-0.101,0.085,2.0,0.215,0.042,2.0,0.324,0.053,2.0,"nan","nan","nan",0.093,0.076,1.0,-0.054,0.015,2.0,0.236,0.135,1.0,-0.088,0.018,1.0,-0.137,0.064,1.0,-0.09,0.075,1.0,0.196,0.101,1.0,"nan","nan","nan",-0.062,0.08,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"VDBH_211, BH_211",8.63,101,255.529739,0.098989,-41.11961,0.074067,0.507,0.09,-0.689,0.161,-1.939,0.175,2.007,0.396,0.214,0.015,3.0,-0.127,0.024,3.0,0.28,0.039,3.0,-0.047,0.015,3.0,0.117,0.031,3.0,-0.036,0.015,3.0,0.087,0.025,3.0,-0.038,0.028,3.0,-0.145,0.039,1.0,"nan","nan","nan",0.098,0.014,3.0,-0.04,0.062,3.0,0.15,0.016,3.0,0.032,0.02,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"VDBH_90, BH_90",8.1,132,153.060669,0.073321,-58.070267,0.040038,0.362,0.06,-5.4,0.143,2.313,0.111,2.759,0.482,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"VDBH_99, BH_99",7.98,425,159.537476,1.025403,-59.167953,0.526917,2.214,0.085,-14.464,0.29,0.954,0.323,0.453,0.018,-0.099,0.006,2.0,0.163,0.041,2.0,0.052,0.006,2.0,-0.072,0.002,2.0,-0.045,0.035,2.0,0.088,0.032,2.0,0.149,0.012,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.007,0.022,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan",-0.155,0.009,2.0,0.035,0.049,2.0,"nan","nan","nan",0.221,0.002,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"Basel_11b",8.36,77,89.549553,0.064659,21.96394,0.069494,0.514,0.09,1.038,0.141,-4.144,0.162,1.956,0.385,-0.037,0.034,2.0,-0.083,0.076,2.0,0.132,0.017,2.0,-0.054,0.033,2.0,-0.002,0.045,2.0,-0.008,0.021,2.0,0.056,0.026,2.0,-0.045,0.014,2.0,0.138,0.044,1.0,"nan","nan","nan",0.068,0.011,2.0,-0.107,0.016,2.0,0.001,0.013,2.0,-0.149,0.089,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
