"Cluster","Fe","Fe_err","Reference","X_XYZ_low","X_XYZ_med","X_XYZ_up","Y_XYZ_low","Y_XYZ_med","Y_XYZ_up","Z_XYZ_low","Z_XYZ_med","Z_XYZ_up","U_LSR_low","U_LSR_med","U_LSR_up","V_LSR_low","V_LSR_med","V_LSR_up","W_LSR_low","W_LSR_med","W_LSR_up","R_Rzphi_low","R_Rzphi_med","R_Rzphi_up","phi_Rzphi_low","phi_Rzphi_med","phi_Rzphi_up","z_Rzphi_low","z_Rzphi_med","z_Rzphi_up","vR_Rzphi_low","vR_Rzphi_med","vR_Rzphi_up","vphi_Rzphi_low","vphi_Rzphi_med","vphi_Rzphi_up","vz_Rzphi_low","vz_Rzphi_med","vz_Rzphi_up","vT_Rzphi_low","vT_Rzphi_med","vT_Rzphi_up","J_R_low","J_R_med","J_R_up","L_Z_low","L_Z_med","L_Z_up","J_Z_low","J_Z_med","J_Z_up","ecc_low","ecc_med","ecc_up","zmax_low","zmax_med","zmax_up","R_peri_low","R_peri_med","R_peri_up","R_ap_low","R_ap_med","R_ap_up","Energy_low","Energy_med","Energy_up","Rguid_low","Rguid_med","Rguid_up"
"ASCC_11",-0.13244,0.05,"SPA-Zhang",8.92905,8.93162,8.9342,0.42389,0.42534,0.4268,-0.11363,-0.11316,-0.11269,8.10502,8.37802,8.65445,-16.89811,-16.73805,-16.57699,-5.65202,-5.58224,-5.50988,8.9391,8.94175,8.94439,0.04744,0.04759,0.04773,-0.11363,-0.11316,-0.11269,-9.04496,-8.75777,-8.47619,225.026,225.17363,225.32175,1.57276,1.64211,1.71394,225.026,225.17363,225.32175,1.12656,1.21086,1.29988,2012.12665,2013.46588,2014.82458,0.44213,0.44519,0.44829,0.02893,0.03,0.0311,0.11742,0.11785,0.11829,8.59824,8.61362,8.629,9.14238,9.14644,9.15056,-41991.89948,-41960.57259,-41928.74669,8.86124,8.86786,8.87458
"ASCC_116",-0.13,0.01,"APOGEE","nan",8.42524,"nan","nan",1.47947,"nan","nan",0.01759,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",8.55415,"nan","nan",0.17383,"nan","nan",0.01759,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC_16",-0.10175,0.06,"GALAH",8.48929,8.49035,8.49115,-0.12095,-0.12064,-0.12023,-0.08544,-0.08516,-0.08478,-18.90422,-18.78697,-18.66605,-8.53157,-8.4766,-8.42217,-4.82209,-4.76883,-4.71518,8.49014,8.49121,8.49201,-0.01424,-0.01421,-0.01416,-0.08544,-0.08516,-0.08478,4.27241,4.39423,4.51213,232.79572,232.84945,232.90221,2.48572,2.53858,2.59197,232.79572,232.84945,232.90221,0.9969,1.00726,1.0181,1976.65568,1977.14635,1977.63326,0.30464,0.30733,0.31016,0.02746,0.0276,0.02775,0.09609,0.09653,0.09699,8.45557,8.45786,8.46001,8.93476,8.93802,8.94129,-42929.2258,-42916.08844,-42903.03904,8.68619,8.6886,8.691
"ASCC_18",-0.14,0.01,"APOGEE","nan",8.45359,"nan","nan",-0.11134,"nan","nan",-0.07308,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",8.45433,"nan","nan",-0.01317,"nan","nan",-0.07308,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC_19",-0.05618,0.049,"GALAH",8.4865,8.48727,8.48804,-0.14383,-0.14348,-0.14312,-0.09455,-0.09425,-0.09396,-18.65186,-18.37982,-18.10461,-11.74825,-11.61721,-11.48621,-6.93214,-6.8204,-6.71021,8.48771,8.48848,8.48926,-0.01694,-0.0169,-0.01686,-0.09455,-0.09425,-0.09396,3.13935,3.4186,3.6934,229.58699,229.71326,229.83985,0.37478,0.48574,0.59523,229.58699,229.71326,229.83985,0.23811,0.25086,0.26634,1948.85164,1949.93497,1951.02876,0.31896,0.32116,0.32343,0.01351,0.01387,0.0143,0.09601,0.09635,0.0967,8.4326,8.44123,8.44918,8.67591,8.67874,8.68184,-43688.08795,-43659.69146,-43630.99093,8.54951,8.55482,8.56019
"ASCC_20",0.02,0.01,"APOGEE","nan",8.52756,"nan","nan",-0.13869,"nan","nan",-0.09252,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",8.52868,"nan","nan",-0.01626,"nan","nan",-0.09252,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC_21",-0.18,0.01,"APOGEE",8.49101,8.49263,8.49425,-0.11461,-0.11402,-0.11343,-0.07421,-0.07371,-0.0732,-18.07783,-17.71823,-17.35495,-8.75374,-8.61638,-8.47826,-4.39756,-4.27353,-4.15105,8.49177,8.49339,8.49502,-0.01349,-0.01342,-0.01336,-0.07421,-0.07371,-0.0732,3.14105,3.5092,3.86991,232.55881,232.69149,232.82522,2.90764,3.03044,3.15209,232.55881,232.69149,232.82522,0.84726,0.861,0.87546,1975.17176,1976.34783,1977.52053,0.25546,0.26121,0.26715,0.02532,0.02553,0.02574,0.08767,0.08871,0.08976,8.46543,8.47101,8.47598,8.90782,8.91433,8.92131,-42976.58042,-42945.33777,-42914.1123,8.67888,8.68467,8.69045
"Alessi_1",0.00756,0.08,"SPA-Zhang",8.56011,8.56235,8.56475,0.58195,0.58537,0.58902,-0.14077,-0.13974,-0.13878,-14.35543,-14.11748,-13.88159,-19.75223,-19.42636,-19.09424,-19.88174,-19.69549,-19.51068,8.57987,8.58234,8.58498,0.06788,0.06826,0.06866,-0.14077,-0.13974,-0.13878,17.90505,18.19965,18.50073,220.77217,221.0865,221.41366,-12.58789,-12.40232,-12.21761,220.77217,221.0865,221.41366,5.7053,5.83914,5.97559,1894.85824,1897.46113,1900.0837,1.73541,1.77625,1.81761,0.06683,0.06761,0.06841,0.23558,0.23874,0.24187,7.77258,7.78679,7.80095,8.90132,8.91589,8.93088,-44842.56175,-44770.41756,-44699.02131,8.28549,8.29817,8.31096
"Alessi_24",0.08358,0.013,"GALAH",7.77445,7.77544,7.77668,-0.24285,-0.24226,-0.24151,-0.09875,-0.09845,-0.09807,-1.81212,-1.31322,-0.81963,-20.79625,-20.49424,-20.19158,-12.82558,-12.67091,-12.51292,7.77824,7.77922,7.78043,-0.03123,-0.03115,-0.03105,-0.09875,-0.09845,-0.09807,-17.09939,-16.61609,-16.12884,220.01881,220.33535,220.65288,-5.5731,-5.41655,-5.25748,220.01881,220.33535,220.65288,5.40392,5.74616,6.08978,1711.53299,1714.05119,1716.55065,0.57109,0.58333,0.59574,0.0681,0.07026,0.07236,0.12269,0.12409,0.1255,6.90699,6.93181,6.95675,7.97341,7.97935,7.9854,-50259.0011,-50196.4564,-50133.72957,7.40452,7.41644,7.42828
"Alessi_9",-0.03694,0.051,"GALAH",7.98026,7.98083,7.98168,-0.05573,-0.05557,-0.05533,-0.00837,-0.00828,-0.00813,-9.0236,-8.85264,-8.68401,-0.51076,-0.44459,-0.37447,-11.86584,-11.78841,-11.7145,7.98045,7.98102,7.98187,-0.00698,-0.00696,-0.00693,-0.00837,-0.00828,-0.00813,-4.05444,-3.88702,-3.71597,240.70747,240.77427,240.84501,-4.58871,-4.51136,-4.43731,240.70747,240.77427,240.84501,3.98281,4.02026,4.05869,1921.06588,1921.66017,1922.26955,0.12768,0.13195,0.1365,0.05557,0.05582,0.05608,0.0625,0.06353,0.06461,7.96865,7.96996,7.97122,8.90711,8.91233,8.9178,-44313.59366,-44296.52722,-44278.83069,8.4134,8.41631,8.41929
