"NGC","m_NGC","Type","RA1975","DE1975","Xpos","Ypos","Mag","r_Mag","OldDesc","NewDesc","Notes","RA_deg","DEC_deg"
NGC_103,"nan",1,"00 23.9","+61 12",57.0,204.0,11.0,5.0,"CL,PS,PC,*11...18","nan","O,R",6.32292,61.33833
NGC_110,"nan",1,"00 25.9","+71 15",88.0,105.0,"nan","nan","CL,PR,LC,*9...12","nan","nan",6.84333,71.38806
NGC_129,"nan",1,"00 28.5","+60 05",20.0,145.0,10.0,5.0,"CL,VL,PR,LC,*9...13","nan","O,R",7.47625,60.22139
NGC_133,"nan",1,"00 29.7","+63 13",29.0,315.0,9.5,5.0,"CL,PL,*10...,D*INV","nan","O,R",7.78208,63.35444
NGC_136,"nan",1,"00 30.1","+61 23",18.0,217.0,11.5,5.0,"GCL,VF,S,EC","nan","O,R",7.88,61.52111
NGC_146,"nan",1,"00 31.6","+63 08",18.0,314.0,9.5,5.0,"CL,PL,LC,*11-12,D*","nan","O,R",8.25917,63.27111
NGC_188,"nan",1,"00 41.9","+85 12",130.0,201.0,9.5,5.0,"CL,VL,R,150-200*,ST10...18","nan","O,R,9",11.11042,85.33667
NGC_189,"nan",1,"00 37.3","+60 55",257.0,189.0,11.0,5.0,"CL,PL,R,*11...15","nan","O,R",9.68708,61.05389
NGC_225,"nan",1,"00 42.0","+61 39",226.0,225.0,9.0,5.0,"CL,L,LC,*9...10","nan","O,R",10.86833,61.78667
NGC_272,"nan",1,"00 50.0","+35 42",308.0,127.0,"nan","nan","CL,L,LC","nan","nan",12.8425,35.83583
NGC_281,"nan",1,"00 51.4","+56 29",122.0,272.0,7.5,5.0,"F,VL,DIF,STRIP*NP","nan","O,R,LY,SH",13.21792,56.61889
NGC_366,"nan",1,"01 04.9","+62 06",86.0,250.0,12.0,5.0,"CL,S","nan","O,R",16.62,62.23333
NGC_381,"nan",1,"01 06.8","+61 27",72.0,216.0,9.5,5.0,"CL,PC","nan","O,R",17.095,61.58306
NGC_433,"nan",1,"01 13.7","+60 00",22.0,141.0,"nan","nan","CL,S,LC","nan","O,R",18.8225,60.13194
NGC_436,"nan",1,"01 14.0","+58 41",10.0,72.0,9.5,5.0,"CL,S,IF,PC","nan","O,R",18.89417,58.815
NGC_457,"nan",1,"01 17.5","+58 12",299.0,45.0,8.0,5.0,"CL,B,L,PRI,*7,8,10","nan","O,R",19.77083,58.33111
NGC_559,"nan",1,"01 27.8","+63 11",222.0,312.0,7.5,5.0,"CL,B,PL,PRI","nan","O,R",22.37458,63.31222
NGC_581,"nan",1,"01 31.6","+60 35",200.0,167.0,7.0,5.0,"CL,PL,B,R,RI,*10..11","nan","O,R,M103",23.3175,60.71139
NGC_609,"nan",1,"01 35.5","+64 25",279.0,61.0,12.5,5.0,"CL,S,PRI,*14...","nan","O,R",24.31458,64.54361
NGC_637,"nan",1,"01 41.3","+63 53",242.0,32.0,7.5,5.0,"CL,PS,B&VF ST","nan","O,R",25.76833,64.00889
NGC_654,"nan",1,"01 42.2","+61 46",133.0,235.0,10.0,5.0,"CL,IF,RI,1*6.7,,*11...14","nan","O,R,9",25.98333,61.89194
NGC_657,"nan",1,"01 42.1","+55 45",34.0,236.0,"nan","nan","CL,PRI,ST12","nan","nan",25.93458,55.87528
NGC_659,"nan",1,"01 42.5","+60 35",129.0,170.0,10.0,5.0,"CL,LRI,ST B","nan","O,R",26.05333,60.70861
NGC_663,"nan",1,"01 44.3","+61 07",117.0,200.0,7.5,5.0,"CL,B,L,ERI,ST PL","nan","O,R",26.5075,61.24139
NGC_743,"nan",1,"01 56.9","+60 03",33.0,148.0,"nan","nan","CL,NOTRI,D*","nan","O,R",29.66458,60.17111
NGC_744,"nan",1,"01 56.9","+55 21",209.0,217.0,9.0,5.0,"CL,PL,PRI,IF,*11..13","nan","O,R",29.64458,55.47111
NGC_752,"nan",1,"01 56.3","+37 33",205.0,235.0,6.5,5.0,"CL,VVL,RI,*L&SC","nan","O,R",29.44792,37.67139
NGC_869,"nan",1,"02 17.3","+57 02",60.0,310.0,4.5,5.0,"CL,VVL,VRI,*7...14","nan","O,R",34.7675,57.14778
NGC_884,"nan",1,"02 20.7","+57 00",38.0,312.0,4.5,5.0,"CL,VL,VRI,RUBY*M","nan","O,R",35.62,57.11333
NGC_956,"nan",1,"02 30.8","+44 32",236.0,278.0,9.0,5.0,"CL,PRI,*9...15","nan","O,R",38.10458,44.64306
NGC_957,"nan",1,"02 31.8","+57 25",237.0,334.0,7.0,5.0,"CL,PL,PRI,*13...15","nan","O,R",38.40542,57.52611
NGC_1027,"nan",1,"02 40.7","+61 26",47.0,230.0,7.5,5.0,"CL,L,SC ST,ONE10M","nan","O,R",40.66167,61.53917
NGC_1039,"nan",1,"02 40.4","+42 40",144.0,179.0,6.0,5.0,"CL,B,VL,LC,SC ST9","nan","O,R,M34",40.50375,42.77278
NGC_1193,"nan",1,"03 04.2","+44 17",204.0,275.0,12.5,5.0,"F,CL,ER","nan","O,R",46.46875,44.37944
NGC_1220,"nan",1,"03 09.8","+53 15",242.0,113.0,12.0,5.0,"CL,VS,STVF","nan","O,R",47.90833,53.34361
NGC_1245,"nan",1,"03 12.9","+47 09",35.0,102.0,9.0,5.0,"CL,PL,RI,C,IR,*12.15","nan","O,R",48.65792,47.24222
NGC_1342,"nan",1,"03 30.0","+37 15",103.0,220.0,7.0,5.0,"CL,VL,AB60*","nan","O,R",52.90458,37.33444
NGC_1348,"nan",1,"03 32.0","+51 21",177.0,323.0,"nan","nan","CL,LRI,ST L","nan","nan",53.46,51.43333
NGC_1444,"nan",1,"03 47.5","+52 35",255.0,80.0,6.5,5.0,"CL OF AB30*12...14","nan","O,R",57.34833,52.65889
NGC_1496,"nan",1,"04 02.5","+52 33",126.0,83.0,9.5,5.0,"CL,SEGMENT OF A RING","nan","O,R",61.10417,52.61778
NGC_1502,"nan",1,"04 05.2","+62 15",76.0,280.0,5.5,5.0,"CL,PRI,CC,IF","nan","O,R",61.85333,62.31611
NGC_1513,"nan",1,"04 08.2","+49 27",159.0,231.0,9.0,5.0,"CL,L,VRI,PC,ST VL","nan","O,R",62.51458,49.51472
NGC_1528,"nan",1,"04 13.5","+51 11",115.0,324.0,6.5,5.0,"CL,B,VRI,CC","nan","O,R",63.85042,51.24528
NGC_1545,"nan",1,"04 19.0","+50 12",66.0,276.0,8.0,5.0,"CL,PRI,LC,ST L","nan","O,R",65.22208,50.25889
NGC_1548,"nan",1,"04 19.3","+36 52",180.0,203.0,"nan","nan","CL,VL,LRI,LC,*10..12","nan","nan",65.24,36.92528
NGC_1582,"nan",1,"04 30.4","+43 48",250.0,255.0,7.0,5.0,"CL,VL,PRI,LC,ST L","nan","O,R",68.04417,43.8525
NGC_1605,"nan",1,"04 33.2","+45 12",221.0,334.0,11.0,5.0,"CL,VF,PS,C,ST ES","nan","O,R",68.75083,45.25083
NGC_1624,"nan",6,"04 38.4","+50 24",191.0,290.0,12.0,5.0,"F,CL,IF,60R7*+NEB","nan","Y,R",70.07833,50.44806
NGC_1647,"nan",1,"04 44.7","+19 02",303.0,224.0,6.0,5.0,"CL,VL,ST L,SC","nan","O,R",71.54083,19.07778
NGC_1662,"nan",1,"04 47.1","+10 54",268.0,103.0,8.0,5.0,"CL OF L&S SC ST","nan","O,R",72.12083,10.94306
NGC_1663,"nan",1,"04 47.2","+13 07",268.0,222.0,"nan","nan","CL,LRI,ST L&S","nan","nan",72.15125,13.15972
NGC_1664,"nan",1,"04 49.2","+43 40",68.0,250.0,8.0,5.0,"CL,LRI,LC,PL","nan","O,R",72.74708,43.70833
NGC_1746,"nan",1,"05 02.1","+23 47",64.0,150.0,6.0,5.0,"CL,P","LOOSE CL DC","O,R",75.905,23.81778
NGC_1750,"nan",1,"05 02.4","+23 37",62.0,139.0,"nan","nan","CL,ST L,VCSC","LOOSE CL DC","O,R",75.97958,23.65083
NGC_1758,"nan",1,"05 02.9","+23 44",67.0,149.0,"nan","nan","CL,PC,ST L&S","LOOSE CL DC","nan",76.105,23.76722
NGC_1778,"nan",1,"05 06.4","+37 01",273.0,222.0,8.5,5.0,"CL,PC,LRI,IF,ST L","nan","O,R",77.0225,37.04833
NGC_1807,"nan",1,"05 09.2","+16 30",295.0,85.0,8.5,5.0,"CL,PRI,ST L&S","nan","O,R",77.66083,16.53028
NGC_1817,"nan",1,"05 10.6","+16 40",273.0,94.0,8.0,5.0,"CL,L,RI,LC,ST11...14","nan","O,R",78.01125,16.69611
NGC_1857,"nan",1,"05 18.3","+39 20",146.0,346.0,8.5,5.0,"CL,PRI,PC,ST7...","nan","O,R",80.00792,39.35806
NGC_1883,"nan",1,"05 24.1","+46 31",87.0,83.0,12.0,5.0,"CL,VF,PRI,PC,IF","nan","O,R",81.49042,46.53778
NGC_1893,"nan",1,"05 21.0","+33 22",112.0,29.0,8.0,5.0,"CL,L,RI,LC","nan","O,R,SH",80.66083,33.38972
NGC_1901,"nan",1,"05 17.9","-68 28","nan","nan","nan","nan","CL,BM,LRI,ST7...","nan","nan",79.44875,-68.44111
NGC_1907,"nan",1,"05 26.4","+35 18",56.0,132.0,10.5,5.0,"CL,PRI,PC,R,ST9...12","nan","O,R",82.01792,35.31972
NGC_1912,"nan",1,"05 27.0","+35 49",50.0,160.0,7.0,5.0,"CL,B,VL,VRI,IF,STL&S","nan","O,R,M38",82.17,35.83611
NGC_1931,"nan",6,"05 29.8","+34 14",17.0,76.0,13.0,5.0,"VB,L,R,B***IN M","nan","Y,HO,R",82.86458,34.25111
NGC_1960,"nan",1,"05 34.5","+34 07",275.0,71.0,6.5,5.0,"CL,B,VL,VRI,CL,*9.11,STSC","nan","O,R,9,M36",84.03917,34.13167
"NGC_1976, Trapezium","nan",6,"05 34.1","-05 24",285.0,207.0,"nan","nan","THETAORI &GREAT NEB","nan","Y,HO,SH,M42,PKS,SH",83.8325,-5.38472
NGC_1977,"nan",6,"05 34.2","-04 49",273.0,230.0,"nan","nan","42ORIONIS&NEB","nan","O",83.85875,-4.80139
NGC_1980,"nan",6,"05 34.0","-05 56",275.0,173.0,2.5,5.0,"VF,VVL,44ORIONIS INV","nan","Y,HO,SH,R",83.80625,-5.91806
NGC_1981,"nan",1,"05 34.0","-04 27",278.0,255.0,"nan","nan","CL,VB,LRI,ST L,SC","nan","O,R",83.80958,-4.43472
NGC_2099,"nan",1,"05 50.7","+32 32",116.0,311.0,6.0,5.0,"CL,RI,PCM,ST L&S","nan","O,R,M37",88.08417,32.53861
NGC_2112,"nan",1,"05 52.6","+00 23",33.0,193.0,9.0,5.0,"CL,PL,LRI,PC,ST S","nan","O,R",88.47125,0.3875
NGC_2126,"nan",1,"06 01.0","+49 54",71.0,276.0,10.0,5.0,"CL,NOT RI,*7M NORTH","nan","O,R",90.73583,49.89889
NGC_2129,"nan",1,"05 59.6","+23 18",318.0,140.0,7.0,5.0,"CL,PL,40OR50ST8...15","nan","O,R",90.28042,23.29972
NGC_2141,"nan",1,"06 01.7","+10 26",240.0,93.0,11.0,5.0,"F,PS,DIF,","nan","O,R",90.77125,10.43194
NGC_2168,"nan",1,"06 07.3","+24 21",219.0,193.0,5.5,5.0,"CL,VL,CRI,PC,ST9..16","nan","O,R,M35",92.20833,24.345
NGC_2169,"nan",1,"06 07.0","+13 58",169.0,282.0,7.0,5.0,"CL,S,LRI,PMC,**","nan","O,R",92.105,13.96194
NGC_2175,"nan",6,"06 08.3","+20 20",161.0,309.0,7.0,5.0,"*8IN NEB","nan","Y,HO,SH,R",92.44708,20.32778
NGC_2186,"nan",1,"06 10.7","+05 28",114.0,148.0,9.0,5.0,"CL,PL,PRI,PC,ST L&S","nan","O,R",93.00875,5.45972
NGC_2192,"nan",1,"06 13.4","+39 52",122.0,61.0,11.0,5.0,"CL,CL,C,IF,ST VS","nan","O,R",93.78625,39.85806
NGC_2194,"nan",1,"06 12.4","+12 50",100.0,221.0,10.5,5.0,"CL,L,RI,GVMCM","nan","O,R",93.45208,12.82528
NGC_2204,"nan",1,"06 14.6","-18 39",54.0,138.0,9.5,5.0,"CL,L,PRI,LC","nan","O,R",93.92333,-18.65917
NGC_2215,"nan",1,"06 19.6","-07 17",310.0,107.0,8.5,5.0,"CL,CL,PRI,PC,ST11.15","nan","O,R",95.2025,-7.29556
NGC_2232,"nan",1,"06 25.5","-04 43",232.0,245.0,4.0,5.0,"B* 10MON +CL","nan","O,R",96.68417,-4.7325
NGC_2236,"nan",1,"06 28.3","+06 51",200.0,224.0,11.5,5.0,"CL,PRI,PC,*10,12..15","nan","O,R",97.41208,6.8325
NGC_2239,"nan",1,"06 29.6","+04 58",192.0,128.0,"nan","nan","*8 IN L,P,BCL","nan","O,R",97.7325,4.94833
NGC_2243,"nan",1,"06 28.8","-31 16",231.0,109.0,10.5,5.0,"PB,CL,R,VGLBM,4'","nan","O,R",97.43667,-31.28444
NGC_2244,"nan",6,"06 31.0","+04 53",165.0,118.0,5.0,5.0,"CL,BEAUTIFUL,STSC,12MON","nan","O,SH,R,9",98.08208,4.86417
NGC_2250,"nan",1,"06 31.5","-05 01",141.0,226.0,9.0,5.0,"CL,PRI,LC,IF,*812.14","nan","O,R",98.18333,-5.03611
NGC_2251,"nan",1,"06 33.4","+08 23",135.0,307.0,8.5,5.0,"CL,VL,E,RI,LC","nan","O,R",98.69083,8.36278
NGC_2252,"nan",1,"06 33.6","+05 24",130.0,147.0,7.5,5.0,"CL,VL,PRI,LC,STS","nan","O,R",98.73333,5.37917
NGC_2254,"nan",1,"06 34.7","+07 42",118.0,271.0,11.0,5.0,"CL,S,PC,IF,*11...13","nan","O,R",99.01417,7.67861
NGC_2259,"nan",1,"06 37.2","+10 55",85.0,122.0,11.0,5.0,"CL,CRI,EC,IF,ST ES","nan","O,R",99.64667,10.89389
NGC_2262,"nan",1,"06 37.1","+01 13",62.0,240.0,11.5,5.0,"CL,VC,IR,BM,ST ES","nan","O,R",99.59833,1.19389
NGC_2264,"nan",6,"06 39.8","+09 55",52.0,62.0,4.0,5.0,"15MON,CL,**,(NEB)","nan","O,LY,R,SH",100.29417,9.89222
NGC_2266,"nan",1,"06 41.7","+27 00",119.0,343.0,9.5,5.0,"CL,PS,EC,RI,ST11..15","nan","O,R",100.815,26.97444
NGC_2269,"nan",1,"06 42.6","+04 35",18.0,108.0,10.0,5.0,"CL,VMC,NOT RI,ST VS","nan","O,R",100.98125,4.55722
NGC_2281,"nan",1,"06 47.6","+41 05",89.0,135.0,7.0,5.0,"CL,PRI,VLC,ST PL","nan","O,R",102.33917,41.05417
NGC_2286,"nan",1,"06 46.4","-03 09",269.0,334.0,8.5,5.0,"CL,L,C,AB100*9...15","nan","O,R",101.91292,-3.17833
NGC_2287,"nan",1,"06 46.0","-20 44",270.0,30.0,5.0,5.0,"CL,VL,B,LC,ST 8...","nan","O,R,M41",101.76875,-20.76139
NGC_2301,"nan",1,"06 50.5","+00 30",223.0,207.0,6.5,5.0,"CL,RI,L,IF,ST L&S","nan","O,R",102.94667,0.46917
NGC_2302,"nan",1,"06 50.7","-07 02",212.0,124.0,"nan","nan","CL,L,P,LC","nan","nan",102.97875,-7.06417
NGC_2304,"nan",1,"06 53.6","+18 03",187.0,183.0,11.0,5.0,"CL,PL,RI,MC,ST VS","nan","O,R",103.76458,18.01722
NGC_2309,"nan",1,"06 54.8","-07 10",157.0,119.0,10.5,5.0,"CL,PL,PRI,MC,ST13","nan","O,R",104.00333,-7.2
NGC_2311,"nan",1,"06 56.5","-04 33",135.0,257.0,9.5,5.0,"CL,LC,NOT RI","nan","O,R",104.43458,-4.58444
NGC_2323,"nan",1,"07 01.7","-08 18",67.0,56.0,7.0,5.0,"CL,VL,RI,PC,E,,ST12...16","nan","O,R,M50",105.72583,-8.3375
NGC_2324,"nan",1,"07 02.9","+01 06",56.0,240.0,9.0,5.0,"CL,L,RI,CC,ST12...16","nan","O,R",106.04792,1.06194
NGC_2331,"nan",1,"07 05.7","+27 24",150.0,41.0,8.5,5.0,"CL,L,VLC,S CL INV","nan","O,R",106.81458,27.36028
NGC_2335,"nan",1,"07 05.4","-10 02",13.0,289.0,9.5,5.0,"CL,L,LC","nan","O,R",106.64667,-10.07278
NGC_2343,"nan",1,"07 07.1","-10 37",314.0,264.0,8.0,5.0,"CL,CL,P,LC","nan","O,R",107.07042,-10.65722
NGC_2345,"nan",1,"07 07.2","-13 07",311.0,124.0,8.0,5.0,"CL,PL,PRI,GBM,*10.14","nan","O,R",107.08917,-13.15722
