"Name","Type","RA_ICRS","DE_ICRS","pmRA","pmDE","Plx","dataSource","Family","Age","RVcomb","Xhelio","Yhelio","Zhelio","U","V","W","e_Xhelio","e_Yhelio","e_Zhelio","e_U","e_V","e_W","nRVcomb","Mass16","Mass50","Mass84","nSNe16","nSNe50","nSNe84","nsg8M16","nsg8M50","nsg8M84","Weightsc","NameBoth","dist"
"ADS_16795","o",352.59216,58.55341,18.6566,2.84661,4.75961,"hunt","alphaPer",56.90967,-13.87447,-78.95194,190.52318,-9.61079,-13.07686,-19.65107,-3.68611,0.13488,0.32549,0.01642,0.37267,0.73421,0.24144,5.0,26.92659,38.53893,61.51261,0.0,0.0,1.0,0.0,0.0,1.0,0.95862,"ADS_16795",206.45788
"ASCC_18","o",81.33025,0.36763,0.15635,1.37329,2.41504,"hunt","cr135",9.25826,27.43923,-359.84142,-148.27161,-133.13721,-25.28744,-8.1235,-7.02016,1.06024,0.43687,0.39228,1.07529,0.50028,0.42121,23.0,100.05116,112.41332,155.23829,0.0,0.0,1.0,0.0,1.0,2.0,0.23021,"ASCC_18",411.33422
"ASCC_19","o",81.97813,-1.85602,1.16772,-1.18248,2.80542,"hunt","none",7.44946,22.78304,-301.52763,-139.25499,-116.82826,-18.65082,-11.86371,-6.74532,0.7161,0.33072,0.27746,1.7426,0.80004,0.69669,23.0,58.50769,71.56376,106.21443,0.0,0.0,1.0,0.0,1.0,2.0,0.24619,"ASCC_19",352.07912
"ASCC_20","o",82.19355,1.7213,-0.5691,0.75899,2.73025,"hunt","cr135",12.54216,30.10775,-320.3679,-126.77936,-108.45426,-27.14719,-9.01839,-9.30021,0.5752,0.22763,0.19472,0.55385,0.22833,0.18909,52.0,130.18075,160.76187,209.04777,0.0,1.0,2.0,0.0,1.0,3.0,0.22613,"ASCC_20",361.2076
"ASCC_21","o",82.21204,3.60659,1.53235,-0.57628,2.90244,"hunt","none",6.89822,19.70818,-307.18024,-111.09371,-96.94548,-17.67816,-8.82544,-3.71203,0.57435,0.20772,0.18126,0.86201,0.30068,0.28551,32.0,100.59046,129.60193,176.79305,0.0,0.0,1.0,0.0,1.0,2.0,0.20699,"ASCC_21",340.73441
"ASCC_58","o",153.70559,-55.02031,-13.30197,2.7601,2.09626,"hunt","m6",57.01261,10.6041,95.61815,-461.5226,10.3891,-25.64787,-16.51868,-11.49389,0.13477,0.6505,0.01464,0.22918,0.9529,0.06882,52.0,405.60138,464.85073,562.19635,3.0,5.0,8.0,3.0,5.0,8.0,0.9732,"ASCC_58",471.4381
"ASCC_100","o",285.40309,33.60094,1.73216,-3.45097,2.75056,"hunt","alphaPer",64.89169,-16.19597,151.88534,317.08776,79.0821,-2.8599,-15.00482,-8.55742,0.2402,0.50147,0.12507,0.25047,0.47027,0.16415,22.0,128.51478,152.54753,227.9768,0.0,1.0,3.0,0.0,1.0,3.0,0.97196,"ASCC_100",360.37173
"ASCC_127","o",347.30213,65.18291,7.40973,-1.64539,2.65542,"hunt","none",12.16521,-13.65615,-142.58291,344.7656,28.76674,-5.30196,-16.62513,-9.17323,0.18007,0.4354,0.03633,0.51707,1.19324,0.10454,37.0,200.69578,242.97222,278.158,0.0,1.0,2.0,1.0,2.0,4.0,0.99844,"ASCC_127",374.19344
"Alessi_5","o",160.90216,-61.1115,-15.3998,2.54393,2.49661,"hunt","m6",56.36561,10.1578,121.70844,-372.19749,-13.49687,-23.58483,-17.61089,-9.71422,0.11786,0.36042,0.01307,0.20397,0.44433,0.07838,68.0,648.77898,742.68574,895.95699,5.0,8.0,10.0,5.0,8.0,10.0,0.9636,"Alessi_5",391.82404
"Alessi_13","o",51.99294,-35.77332,35.49917,-4.18382,9.50233,"hunt","alphaPer",24.74788,17.44995,-31.58069,-49.43219,-86.17548,-12.32299,-21.52864,-4.68647,0.01415,0.02215,0.03862,0.29763,0.51288,0.92648,63.0,101.76961,126.34411,146.78738,0.0,1.0,1.0,0.0,1.0,2.0,0.6689,"Alessi_13",104.24536
