"Cluster","Rlim","Rc","Age","e_Age","EBV","e_EBV","R_sun","e_R_sun","RGC","X_sun","Y_sun","Z","Ref.","RA","DEC"
"NGC_110",11.0,0.6,0.9,0.04,0.46,0.1,1150,53,9.14,"585",975.0,"172",6,6.85417,71.38333
"NGC_272",3.2,0.29,2.5,0.1,0.06,0.02,1068,50,9.12,"517",798.0,"-486",6,12.85,35.83167
"NGC_657",3.0,0.9,1.6,0.11,0.34,0.05,1372,63,9.44,"881",1041.0,"-151",6,25.8375,55.83639
"NGC_743",4.0,0.26,0.5,0.02,0.95,0.2,1618,75,9.64,"1065",1217.0,"-46",6,29.65417,60.155
"NGC_956",5.0,0.64,1.0,0.04,0.1,0.05,1455,67,9.68,"1097",883.0,"-367",6,38.125,44.59333
"NGC_1498",3.8,0.68,1.6,0.11,0.04,0.02,1020,47,9.44,"680",-297.0,"-700",6,60.075,-12.015
"NGC_1520",3.6,0.5,2.0,0.08,0.06,0.01,775,36,8.25,"-227",-587.0,"-452",6,59.4625,-76.795
"NGC_1557",13.0,0.1,3.0,0.12,0.11,0.05,1055,49,8.31,"-197",-805.0,"-653",6,63.29583,-70.47167
"NGC_1724",8.0,0.8,0.6,0.02,0.57,0.1,1437,66,9.85,"1332",526.0,"121",6,75.88333,49.49167
"NGC_1785",3.0,0.25,0.5,0.02,0.06,0.02,3080,140,8.52,"-437",-2477.0,"-1777",6,74.64583,-68.84444
"NGC_1807",9.0,0.46,1.0,0.04,0.32,0.05,960,44,9.46,"928",-99.0,"-224",6,77.67917,16.52167
"NGC_1857",4.0,0.08,0.16,0.12,0.97,0.2,1545,71,10.02,"1513",310.0,"34",6,80.05,39.35
"NGC_1891",10.0,0.14,2.0,0.05,0.03,0.02,860,40,8.96,"364",-624.0,"-467",6,80.35417,-35.74
"NGC_2013",3.0,0.32,1.5,0.06,0.23,0.05,1100,51,9.52,"981",426.0,"255",6,86.00417,55.79333
"NGC_2017",6.0,0.69,1.6,0.11,0.06,0.02,1120,52,9.37,"767",-681.0,"-450",6,84.82083,-17.84667
"NGC_2026",8.0,0.38,0.55,0.02,0.6,0.1,1418,65,9.91,"1401",-178.0,"-125",6,85.8,20.13333
"NGC_2039",5.0,0.36,1.2,0.05,0.32,0.05,920,42,9.38,"863",-273.0,"-164",6,86.0,8.69167
"NGC_2061",9.0,0.96,2.1,0.08,0.03,0.01,542,25,8.79,"246",-409.0,"-256",6,85.675,-34.00944
"NGC_2063",6.0,0.8,1.3,0.05,0.32,0.05,1525,70,9.97,"1430",-445.0,"-285",6,86.67917,8.78167
"NGC_2132",12.0,0.38,1.65,0.12,0.06,0.02,974,45,8.58,"19",-842.0,"-490",6,88.825,-59.91
"NGC_2165",5.0,0.44,1.5,0.06,0.23,0.05,1445,67,9.89,"1328",427.0,"377",6,92.76667,51.67667
"NGC_2189",7.0,0.78,0.8,0.03,0.39,0.05,1869,86,10.19,"1641",-853.0,"-268",6,93.0375,1.065
"NGC_2219",3.5,0.3,0.8,0.03,0.4,0.08,2023,93,10.24,"1660",-1118.0,"-292",6,95.93333,-4.67667
"NGC_2220",6.5,0.4,3.0,0.12,0.06,0.01,1170,54,8.92,"322",-1020.0,"-475",6,95.29583,-44.75833
"NGC_2224",7.0,0.44,0.01,0.0,1.0,0.25,2415,111,10.81,"2284",-785.0,"23",6,96.86667,12.59333
"NGC_2234",14.0,0.84,0.8,0.03,0.51,0.1,1617,75,10.07,"1555",-434.0,"79",6,97.35,16.68333
"NGC_2248",1.5,0.16,1.0,0.04,0.23,0.05,1740,80,10.23,"1707",-226.0,"250",6,98.64583,26.30444
"NGC_2250",2.0,0.29,0.6,0.02,0.48,0.1,1795,83,10.02,"1456",-1031.0,"-201",6,98.2,-5.03333
"NGC_2260",10.0,0.55,0.01,0.0,1.25,0.2,1985,90,10.23,"1667",-1071.0,"-126",6,99.5125,-1.47333
"NGC_2265",6.0,0.6,0.3,0.01,0.48,0.1,2160,100,10.54,"nan",-781.0,"123",6,100.42083,11.905
"NGC_2312",3.8,0.18,0.33,0.01,0.16,0.05,2245,103,10.58,"2030",-928.0,"246",6,104.69583,10.295
"NGC_2318",10.0,0.21,0.05,0.0,0.65,0.05,1335,62,9.48,"924",-958.0,"-104",6,104.8625,-13.69833
"NGC_2331",7.0,0.04,1.7,0.12,0.06,0.02,1285,59,9.77,"1222",-210.0,"337",6,106.74583,27.26167
"NGC_2338",3.5,0.21,0.55,0.02,0.48,0.05,1800,83,9.95,"1381",-1154.0,"32",6,106.94583,-5.72
"NGC_2348",5.0,0.33,1.8,0.07,0.13,0.05,1070,48,8.42,"-139",-969.0,"-432",6,105.7625,-67.41167
"NGC_2349",9.0,0.55,0.75,0.03,0.61,0.1,1628,75,9.76,"1195",-1106.0,"10",6,107.7,-8.59333
"NGC_2351",5.0,0.49,0.24,0.01,0.92,0.25,1882,87,9.93,"1336",-1325.0,"2",6,108.37917,-10.48667
"NGC_2352",3.0,0.9,0.12,0.0,0.32,0.15,1750,81,9.57,"953",-1455.0,"-191",6,108.27083,-24.03833
"NGC_2364",6.5,0.5,0.2,0.01,0.31,0.05,1919,88,10.0,"1401",-1307.0,"101",6,110.19167,-7.55
"NGC_2408",14.0,0.45,3.0,0.12,0.03,0.0,1133,52,9.44,"794",585.0,"557",6,115.0375,71.655
"NGC_2455",4.0,0.24,0.18,0.01,0.54,0.1,2650,122,10.14,"1389",-2254.0,"107",6,117.25417,-21.30167
"NGC_2459",2.7,0.04,1.6,0.11,0.03,0.02,1300,60,9.64,"1060",-640.0,"397",6,118.00833,9.55667
"NGC_2587",2.0,0.11,0.1,0.0,0.23,0.1,1740,80,9.26,"609",-1624.0,"136",6,125.85417,-29.50833
"NGC_2609",2.5,0.06,0.8,0.03,0.23,0.1,1320,61,8.46,"-138",-1280.0,"-291",6,127.38333,-61.11
"NGC_2666",5.5,0.3,3.2,0.13,0.03,0.01,860,40,9.36,"664",47.0,"544",6,132.44583,44.70333
"NGC_2678",6.5,0.6,2.3,0.09,0.03,0.01,900,41,9.24,"621",-452.0,"469",6,132.50833,11.33833
"NGC_2932",10.5,0.07,0.5,0.02,0.55,0.1,1525,70,8.59,"-47",-1521.0,"103",6,143.86667,-46.81
"NGC_2995",3.5,0.7,0.05,0.0,1.94,0.3,380,17,8.46,"-53",-376.0,"-8",6,146.01667,-54.78
