"Seq","Name","l","Diam","R","Z","E(B-V)","logT","_RA","_DE"
1,"Trumpler 31",2,1.43,986,-39,0.35,8.87,269.975,-28.18333
2,"NGC 6520",2,2.29,1577,-78,0.43,7.72,270.85,-27.88333
3,"NGC 6530",6,5.42,1330,-31,0.33,6.87,271.125,-24.36667
4,"Bochum 14",6,0.34,578,-5,1.51,7.0,270.5,-23.7
5,"NGC 6514",7,6.65,816,-4,0.19,7.37,270.59583,-23.03
6,"NGC 6546",7,3.82,938,-23,0.49,7.85,271.9,-23.33333
7,"NGC 6531",7,2.91,1205,-7,0.28,7.07,271.05,-22.48333
8,"NGC 6494",9,5.3,628,31,0.36,8.48,269.25,-18.98333
9,"Markarian 38",11,0.86,1471,-24,0.4,6.88,273.82,-19.003
10,"Trumpler 33",12,2.55,1755,-99,0.36,7.68,276.175,-19.71667
11,"Collinder 469",12,1.29,1481,-20,0.42,7.8,274.1,-18.21667
12,"NGC 6603",12,6.28,3600,-82,0.79,8.3,274.6,-18.43333
13,"IC 4725",13,5.23,620,-48,0.48,7.96,277.925,-19.11667
14,"NGC 6613",14,1.88,1296,-23,0.45,7.22,275.0,-17.1
15,"Collinder 394",14,4.42,690,-112,0.24,7.8,283.1,-20.2
16,"NGC 6618",15,9.45,1300,-17,1.51,6.0,275.10833,-16.17667
17,"NGC 6716",15,2.3,789,-131,0.22,7.96,283.625,-19.9
18,"Blanco 1",15,5.48,269,-264,0.01,7.8,0.825,-30.13333
19,"NGC 6611",16,3.05,1749,24,0.78,6.88,274.7,-13.81667
20,"Trumpler 32",17,2.5,1720,39,0.64,8.48,274.375,-13.35
21,"NGC 6604",18,2.47,1696,50,0.97,6.81,274.5,-12.23333
22,"NGC 6631",19,4.54,2600,-8,0.45,8.6,276.8,-12.03333
23,"Ruprecht 147",21,1.27,174,-39,0.15,"nan",289.175,-16.3
24,"NGC 6649",21,1.99,1369,-19,1.2,7.57,278.375,-10.4
25,"NGC 6694",23,3.26,1600,-81,0.59,7.93,281.325,-9.38333
26,"NGC 6664",24,4.06,1164,-6,0.71,7.16,279.175,-8.21667
27,"NGC 6683",26,1.04,1197,-16,0.54,7.0,280.55,-6.28333
28,"NGC 6705",27,7.1,1877,-91,0.43,8.3,282.75,-6.26667
29,"Basel 1",27,3.17,2178,-74,0.48,7.89,282.05,-5.85
30,"NGC 6704",28,4.33,2974,-115,0.72,7.86,282.725,-5.2
31,"Trumpler 35",28,1.75,1206,0,1.22,7.86,280.725,-4.13333
32,"Collinder 359",29,17.37,249,54,0.19,7.51,270.15,2.93333
33,"IC 4665",30,7.17,352,103,0.17,7.63,266.575,5.71667
34,"Berkeley 79",31,4.01,2300,33,1.19,7.81,281.3,-1.21667
35,"Alessi 10",31,2.69,513,-184,0.22,8.35,301.2,-10.525
36,"Berkeley 81",33,4.36,3000,-131,1.0,9.0,285.4,-0.51667
37,"NGC 6994",35,1.62,620,-346,0.07,9.4,314.75,-12.63333
38,"NGC 6633",36,2.19,376,54,0.18,8.63,276.88,6.57
40,"IC 4756",36,5.49,484,44,0.19,8.7,279.63,5.49
41,"NGC 6755",38,5.79,1421,-42,0.83,7.72,286.95,4.23333
42,"NGC 6756",39,1.75,1507,-44,1.18,7.79,287.175,4.68333
43,"Alessi 19",40,14.08,550,121,0.04,8.0,274.6,12.025
44,"NGC 6709",42,4.38,1075,88,0.3,8.18,282.825,10.31667
45,"Berkeley 82",46,0.5,860,24,1.02,7.49,287.83333,13.11083
46,"Collinder 399",54,33.42,1291,44,0.38,8.2,291.35,20.18333
47,"NGC 6802",55,1.63,1124,18,0.85,8.87,292.65,20.26667
48,"Harvard 20",56,3.14,1540,-125,0.25,7.48,298.275,18.33333
49,"Roslund 3",58,2.13,1467,-120,0.35,8.04,299.675,20.48333
50,"NGC 6823",59,3.3,1893,-5,0.84,6.82,295.79167,23.29833
51,"NGC 6830",60,2.38,1639,-51,0.5,7.57,297.75,23.1
52,"Stock 1",60,7.45,320,13,0.15,"nan",293.95,25.21667
53,"Turner 1",63,1.95,1675,21,0.48,7.46,297.26667,27.29833
54,"NGC 7036",64,1.16,1000,-366,0.1,9.5,317.50833,15.51833
55,"NGC 6885",65,1.74,597,-42,0.08,9.16,303.0,26.48333
56,"NGC 6834",65,3.01,2067,43,0.71,7.88,298.05,29.41667
57,"Stephenson 1",66,2.27,390,104,0.04,7.73,283.5,36.81667
58,"Roslund 4",66,2.65,2510,-56,0.99,7.45,301.225,29.21667
59,"Alessi 12",67,6.25,537,-107,0.08,8.1,310.82917,23.775
60,"Saurer 6",67,4.89,9330,511,0.77,9.29,297.75,32.25
61,"NGC 6940",69,5.6,770,-96,0.21,8.86,308.6,28.28333
62,"NGC 6791",69,17.03,5853,1107,0.12,9.64,290.22083,37.77167
63,"Roslund 5",71,5.66,389,2,0.1,7.83,302.6,33.8
64,"NGC 6871",72,13.28,1574,56,0.44,6.96,301.5,35.78333
65,"Biurakan 2",72,6.43,1106,26,0.36,7.01,302.3,35.48333
66,"NGC 6819",73,3.43,2360,348,0.24,9.17,295.325,40.18667
67,"Basel 6",74,3.15,1548,89,0.58,7.98,301.7,38.35
68,"IC 4996",75,3.02,1732,39,0.67,6.95,304.125,37.63333
69,"Berkeley 87",75,1.84,633,3,1.37,7.15,305.42921,37.3705
70,"Dolidze 42",76,1.98,972,18,0.57,7.54,304.925,38.13333
71,"Berkeley 86",76,1.94,1112,25,0.9,7.12,305.05,38.69
72,"NGC 6913",76,3.34,1148,12,0.74,7.11,305.98333,38.52333
73,"IC 1311",77,7.76,5333,398,0.76,8.62,302.575,41.21667
74,"NGC 6910",78,3.31,1139,40,0.97,7.13,305.78333,40.775
75,"NGC 6811",79,4.95,1215,253,0.16,8.8,294.29167,46.375
76,"NGC 6866",79,5.91,1450,173,0.17,8.58,300.97917,44.15833
77,"NGC 7063",83,1.8,689,-118,0.09,7.98,321.1,36.48333
78,"Berkeley 54",83,2.68,2300,-166,0.77,9.6,315.8,40.46667
79,"NGC 7044",85,5.52,3161,-229,0.59,9.28,318.25,42.48333
80,"NGC 6996",86,1.44,620,1,0.54,8.0,314.10417,45.47
81,"NGC 7039",87,3.87,951,-28,0.13,7.82,317.7,45.61667
82,"Basel 12",88,1.71,1466,-32,0.57,8.5,317.625,46.23333
83,"Basel 14",88,1.4,964,-60,0.65,8.3,320.325,44.81667
84,"Basel 13",88,3.6,1236,-27,0.34,8.8,318.075,46.56667
85,"IC 1369",89,3.03,2083,-15,0.57,8.64,318.025,47.73333
86,"NGC 7062",89,2.15,1480,-71,0.45,8.46,320.825,46.38333
87,"Basel 15",90,2.36,1355,-2,0.67,8.5,318.975,48.85
88,"NGC 7082",91,10.49,1442,-73,0.24,8.23,322.25,47.13333
89,"NGC 7067",91,1.16,1332,-39,0.85,7.49,321.05,48.01667
90,"NGC 7031",91,3.67,900,36,0.85,8.14,316.80333,50.88194
91,"NGC 7092",92,2.75,326,-13,0.01,8.44,322.95,48.45
92,"Platais 1",92,3.69,1268,-36,0.36,8.24,322.50833,48.97667
93,"IC 5146",94,4.96,852,-82,0.59,8.02,328.38333,47.26833
94,"NGC 7086",94,4.53,1298,5,0.81,8.14,322.625,51.58333
95,"NGC 7209",95,4.76,1168,-149,0.17,8.62,331.325,46.48333
96,"NGC 6939",95,3.45,1185,253,0.32,9.35,307.875,60.66167
97,"NGC 7128",97,2.68,2307,17,1.02,7.25,326.0,53.71667
98,"NGC 7243",98,6.82,808,-78,0.22,8.06,333.775,49.9
99,"Trumpler 37",99,21.61,835,54,0.47,7.05,324.53625,57.44667
100,"IC 1442",101,3.41,2346,-90,0.54,6.98,334.125,54.05
101,"NGC 7245",101,3.06,2106,-68,0.47,8.25,333.825,54.33333
