"No","Name","RA_1950","Dec_1950","Diam_arcmin","Richness","Reality","B","R","Remarks","RA_deg","DEC_deg"
1,"Haffner 7","7h 21.2m","-29° 24'",3.0,"P","+","+","+","nan",110.3,-29.4
2,"Collinder 140","7h 22.0m","-32° 06'",50.0,"vP","nan","?","nan","nan",110.5,-32.1
3,"Haffner 11","7h 33.4m","-27° 37'",5.0,"M","+","+","+","nan",113.35,-27.61667
4,"VDBH_4","7h 36.0m","-35° 55'",2.5,"P:","+","+","+","nan",114.0,-35.91667
5,"Haffner 13","7h 38.5m","-30° 00'",30.0,"vP","rb","?","nan","nan",114.625,-30.0
6,"NGC2439","7h 38.9m","-31° 32'",6.0,"R","+","+","+","nan",114.725,-31.53333
7,"Haffner 14","7h 42.8m","-28° 15'",8.0,"M","nan","?","nan","nan",115.7,-28.25
8,"Haffner 15","7h 43.4m","-32° 40'",3.5,"P","+","+","+","nan",115.85,-32.66667
9,"NGC 2451","7h 43.5m","-37° 51'",30.0,"P","+","+","+","nan",115.875,-37.85
10,"Ruprecht 35","7h 44.2m","-31° 08'",2.5,"P","+","+","nan","nan",116.05,-31.13333
11,"Czernik 32","7h 48.4m","-29° 42'",4.5,"M:","±","+","nan","nan",117.1,-29.7
12,"Haffner 17","7h 49.8m","-31° 43'",3.5,"P","+","+","+","nan",117.45,-31.71667
13,"NGC 2477","7h 30.5m","-38° 25'",15.0,"R","+","+","+","nan",112.625,-38.41667
14,"Ruprecht 152","7h 52.8m","-38° 08'",2.0,"P","+","+","+","nan",118.2,-38.13333
15,"NGC 2489","7h 54.2m","-29° 56'",5.0,"M","+","+","+","nan",118.55,-29.93333
16,"Haffner 20","7h 54.3m","-30° 16'",3.0,"P","+","+","+","nan",118.575,-30.26667
17,"Ruprecht 50","8h 01.4m","-30° 45'",3.0,"P","d=","+","nan","nan",120.35,-30.75
18,"NGC 2533","8h 05.0m","-29° 45'",6.0,"M","+","+","+","nan",121.25,-29.75
19,"VDBH_19","8h 05.1m","-32° 14'",2.5,"P","+","+","+","nan",121.275,-32.23333
20,"Ruprecht 54","8h 09.3m","-31° 48'",3.0,"M:","dt","?","?","nan",122.325,-31.8
21,"Haffner 22","8h 10.5m","-27° 44'",6.0,"M","+","+","nan","nan",122.625,-27.73333
22,"NGC 2546","8h 10.6m","-37° 29'",35.0,"M","+","+","nan","K",122.65,-37.48333
23,"VDBH_23","8h 12.5m","-36° 15'",13.0,"P:","d=","+","nan","nan",123.125,-36.25
24,"Pismis 1","8h 15.9m","-36° 56'",3.0,"P","+","+","?","nan",123.975,-36.93333
25,"Pismis 2","8h 16.3m","-41° 27'",4.0,"R:","+","+","+","nan",124.075,-41.45
26,"NGC 2567","8h 16.6m","-30° 29'",9.0,"M","+","+","+","nan",124.15,-30.48333
27,"NGC 2571","8h 16.9m","-29° 35'",5.0,"P","+","+","nan","nan",124.225,-29.58333
28,"NGC 2580","8h 19.6m","-30° 09'",6.0,"P","+","+","nan","nan",124.9,-30.15
29,"NGC 2588","8h 21.2m","-32° 49'",2.0,"M","+","+","nan","nan",125.3,-32.81667
30,"NGC 2587","8h 21.4m","-28° 20'",5.0,"M","+","+","nan","nan",125.35,-28.33333
31,"Ruprecht 60","8h 22.9m","-47° 02'",3.0,"M","+","+","+","nan",125.725,-47.03333
32,"Ruprecht 61","8h 23.0m","-34° 02'",3.0,"P","+","+","nan","nan",125.75,-34.03333
33,"Pismis 3","8h 29.1m","-38° 30'",6.0,"M:","+","+","nan","nan",127.275,-38.5
34,"VDBH_34","8h 29.6m","-44° 19'",13.0,"vP","dz","?","nan","nan",127.4,-44.31667
35,"Ruprecht 63","8h 31.1m","-48° 08'",3.0,"M:","+","+","+","nan",127.775,-48.13333
36,"Pismis 4","8h 32.8m","-44° 06'",15.0,"P","dz","?","nan","nan",128.2,-44.1
37,"VDBH_37","8h 34.0m","-43° 25'",2.5,"P:","+","+","+","nan",128.5,-43.41667
