"ID","Flag","RAICRS","DEICRS","pmRA","pmDE","plx","[Fe/H]","e_[Fe/H]","logAge","e_logAge","m-M","e_m-M","E(BP-RP)","e_E(BP-RP)","AVmag","e_AVmag","Rc","e_Rc","Rt","e_Rt","R50Mem","R50Mass","RJ","e_RJ","Mass","e_Mass","fbin","Trlx","e_Trlx"
"alessi1","nan",13.36064251,49.53057108,6.482488534,-6.382492901,1.415265836,0.499999815,0.125,8.840106094,0.229842758,9.082851808,0.208905592,0.031189924,0.001871396,0.07590068,0.004554041,3.267386164,0.829819862,6.374721007,1.66629035,2.43283022,3.093078834,6.302562485,0.415138846,169.0,33.0,0.53,6.666163701,0.089381668
"alessi12","nan",310.8475768,23.81180416,4.314984658,-4.699768248,1.838391784,0.499999815,0.125,7.790285164,0.202547414,9.146522509,0.210370018,0.15100958,0.009060575,0.367481813,0.022048909,8.09210208,0.349619037,20.65682435,1.109329499,5.888450824,4.859135162,9.104614104,0.602863838,319.0,63.0,0.22,34.83547498,0.210969804
"alessi21","nan",107.6927678,-9.505923407,-5.522611326,2.668947042,1.761575454,0.249999244,0.125,7.770115295,0.202022998,8.928498837,0.205355473,0.108445873,0.006506752,0.263903031,0.015834182,4.573391029,0.091222248,"nan","nan",5.924480206,5.617702546,9.00820466,0.596892533,493.0,98.0,0.43,33.44397373,0.19680615
"alessi3","nan",109.2118932,-46.18586876,-9.788547074,11.95658498,3.611407565,0.249999244,0.125,8.920123326,0.231923206,7.100409502,0.163309419,0.01575854,0.000945512,0.038348407,0.002300904,6.947106645,0.475945322,14.9729991,1.012129402,4.923484909,5.142315136,6.789242497,0.452616166,195.0,39.0,0.53,30.34577851,0.23667065
"alessi43","nan",132.6180038,-41.74812873,-5.550020869,3.947957742,1.056902236,0.0,0.125,6.559999934,0.170559998,10.0,0.23,0.50955414,0.030573248,1.24,0.0744,4.914629645,0.132224107,35.53327611,4.003006687,6.178668,6.161449709,15.07578483,1.004113898,665.0,133.0,0.28,30.96514293,0.238365368
"alessi5","nan",160.8297101,-61.03852839,-15.35078112,2.46930143,2.514316592,0.0,0.125,7.609594409,0.197849455,8.55224939,0.196701736,0.311869065,0.018712144,0.758933369,0.045536002,4.121080702,0.081934834,9.187541274,0.262818174,3.745456034,4.901011874,9.36903856,0.622063536,492.0,98.0,0.17,41.08356507,0.187668641
"alessi62","nan",283.9857255,21.53791054,0.314434813,-1.152686195,1.629252381,0.499999815,0.125,8.959994838,0.232959866,8.966321418,0.206225393,0.210129777,0.012607787,0.511350812,0.030681049,4.444463618,0.376926239,30.22831282,10.71739379,4.750642084,4.590196768,10.67565652,0.711710435,672.0,134.0,0.48,24.56426283,0.13268669
"alessi94","nan",5.342501611,46.83860709,-2.052895663,-5.01643716,1.757437673,0.249999244,0.125,8.439332694,0.21942265,9.06972971,0.208603783,0.177734794,0.010664088,0.432517622,0.025951057,10.5761493,3.922148429,49.84508485,90.20359569,6.475247504,4.617102928,9.374298597,0.62495324,86.0,17.0,0.39,26.41983561,0.362115511
"alessi96","nan",75.55678745,37.43359533,0.65731228,-12.38944153,3.03447367,-0.249999398,0.125,7.699837726,0.200195781,8.432278703,0.19394241,0.491247117,0.029474827,1.195449859,0.071726992,3.814598616,0.259237197,10.15633309,1.266178416,2.965232393,3.355510606,6.041630508,0.400016632,146.0,29.0,0.19,17.00335375,0.139090996
"ascc101","nan",288.3780346,36.33531534,0.972818199,1.221999239,2.523790022,0.249999244,0.125,8.198762696,0.21316783,8.08,0.18584,0.184392569,0.011063554,0.448719318,0.026923159,4.497265936,0.12636686,8.284525895,0.301605449,3.587466355,2.978564582,6.736189455,0.44414436,182.0,36.0,0.27,12.11042619,0.101976271
"ascc105","nan",295.4913277,27.35836066,1.372184856,-1.614475199,1.77453157,0.249999244,0.125,7.810232518,0.203066045,9.475696125,0.217941011,0.298626728,0.017917604,0.726708143,0.043602489,5.744091741,0.146164038,13.84201329,0.410174987,3.954882595,3.987547372,6.855423959,0.452140261,187.0,37.0,0.22,14.65996601,0.144423974
"ascc108","nan",298.3367021,39.40123464,-0.451589397,-1.666479746,0.861212535,-0.249999398,0.125,8.829946696,0.229578614,10.40841914,0.23939364,0.267254547,0.016035273,0.650363941,0.039021836,7.281565569,0.445248514,74.78927905,44.20438076,6.410096508,6.703643102,10.05323426,0.669052048,540.0,108.0,0.41,38.83829645,0.243310409
"ascc11","nan",53.05848058,44.85590842,0.903985736,-3.070052849,1.183198813,0.499999815,0.125,7.989894564,0.207737259,10.66776141,0.245358512,0.414486791,0.024869207,1.008653606,0.060519216,4.038669859,0.070416421,18.78963871,0.89069873,3.867975411,4.745950737,10.8004151,0.720027674,915.0,183.0,0.46,22.37745375,0.119824826
"ascc111","nan",302.9628962,37.5439827,-1.129550675,-1.552188743,1.167091197,0.249999244,0.125,7.980003372,0.207480088,10.00180627,0.230041544,0.302697634,0.018161858,0.736614692,0.044196882,4.447019193,0.431425301,32.23276828,23.42806916,3.585668903,3.903184228,7.686853013,0.50469237,245.0,49.0,0.46,13.81726532,0.129543413
"ascc113","nan",317.9857953,38.62267874,0.82410213,-3.746081025,1.7637164,0.249999244,0.125,8.129999999,0.21138,8.8,0.2024,0.134372303,0.008062338,0.326995,0.0196197,16.11886751,0.992508277,14.37886213,0.217640613,5.527903786,5.085667426,10.63318362,0.707902491,451.0,90.0,0.39,41.47283181,0.219848373
"ascc124","nan",341.9160454,46.36600934,0.353506518,-1.673406559,1.420945844,0.0,0.125,7.640481437,0.198652517,10.1932744,0.234445311,0.4400731,0.026404386,1.070917889,0.064255073,5.163827297,0.209249419,14.05778902,1.08046394,4.385603065,5.414111539,9.019116577,0.597378492,463.0,92.0,0.19,24.42246489,0.172943634
"ascc125","nan",344.1533664,62.75355119,-1.150677957,-2.386017856,1.175517149,-0.749997542,0.125,7.170261715,0.186426805,10.42936974,0.239875504,1.220636918,0.073238215,2.970419941,0.178225196,4.968322875,0.785337174,"nan","nan",8.625890267,15.00800321,21.26349466,1.417340079,4913.0,982.0,0.52,155.1796895,0.460510446
"ascc127","nan",347.3080053,64.99666013,7.496633657,-1.800775037,2.640631691,0.499999815,0.125,7.309630167,0.190050384,7.644118326,0.175814721,0.002017938,0.000121076,0.004910652,0.000294639,4.909763124,0.091252459,14.05463029,0.532193042,4.185256228,6.241181788,6.394846378,0.42375488,166.0,33.0,0.14,36.45085171,0.319779252
"ascc16","nan",81.55253729,1.607000291,1.332593098,-0.187753793,2.870598868,0.249999244,0.125,7.220108088,0.18772281,7.365854578,0.169414655,0.027035798,0.001622148,0.065791614,0.003947497,5.42217388,1.237474756,"nan","nan",6.721341009,6.890562994,11.70086203,0.778581485,1057.0,211.0,0.45,94.69410909,0.282578234
"ascc41","nan",116.6974443,0.101462582,0.637697288,-3.954342006,3.371199155,-0.249999398,0.125,7.530199698,0.195785192,8.244349373,0.189620036,0.29812035,0.017887221,0.725475871,0.043528552,2.829633513,0.064115974,"nan","nan",3.501955968,3.437607583,6.904282452,0.453802602,213.0,42.0,0.22,20.50347518,0.133478801
"ascc42","nan",118.2122747,-53.02481429,-5.376627472,8.949047078,1.429807423,0.0,0.125,7.729974286,0.200979331,9.679454882,0.222627462,0.31630919,0.018978551,0.769738415,0.046184305,4.020383375,0.15493607,12.3898286,1.084126668,3.712044354,4.327620875,7.589977636,0.505998509,270.0,54.0,0.29,15.95098158,0.144066077
"ascc58","nan",153.617738,-54.98574302,-13.32008315,2.811282864,2.087571158,-0.249999398,0.125,7.640481437,0.198652517,8.709297499,0.200313842,0.251947441,0.015116847,0.613114098,0.036786846,5.471976178,0.128740227,17.20677204,1.127517009,5.746491302,6.800773583,7.788528133,0.511922037,284.0,56.0,0.15,51.48277731,0.326466371
"ascc6","nan",26.75902512,57.71798592,-0.853567313,0.06978968,0.614918449,0.249999244,0.125,8.0,0.208,11.23,0.25829,0.345181837,0.02071091,0.84,0.0504,6.440488499,0.059222987,94.91999532,15.3311194,9.2849001,7.678566894,10.6241209,0.707505698,720.0,144.0,0.58,49.37748846,0.285725307
"ascc68","nan",180.6352948,-60.93542212,-6.645073299,1.681265002,0.989562955,0.499999815,0.125,8.0,0.208,11.20110108,0.257625325,0.385623723,0.023137423,0.938415331,0.05630492,4.654847067,0.117651024,13.93832213,0.916359745,4.773764261,6.804083543,11.53055069,0.76688826,847.0,169.0,0.33,45.42429556,0.223892117
"ascc77","nan",212.7187907,-62.35930235,-4.256549122,-3.189859777,0.874779718,0.249999244,0.125,8.169999998,0.21242,10.31,0.23713,0.282853914,0.016971235,0.688325,0.0412995,5.161613332,0.152473727,13.66371501,0.738213041,3.618028564,5.07035198,9.292267239,0.616513334,417.0,83.0,0.52,16.37150768,0.146551486
"ascc85","nan",251.7666399,-45.60750788,0.152682303,-4.147170309,1.146093222,-0.249999398,0.125,7.829946696,0.203578614,10.06392061,0.231470174,0.392035751,0.023522145,0.954018999,0.05724114,7.699953638,1.016595656,14.5988601,2.288700254,4.415921572,5.058573744,9.175511488,0.611700766,400.0,80.0,0.35,19.29292402,0.157448556
"ascc88","nan",256.5854532,-35.50756373,1.24459754,-2.275836579,0.906350261,0.0,0.125,8.0,0.208,9.8012,0.2254276,0.714047668,0.04284286,1.737635,0.1042581,"nan","nan",14.68881553,4.525157707,5.844653798,7.226129422,12.31026431,0.818894354,981.0,196.0,0.52,27.25761957,0.185469884
"ascc89","nan",260.7761409,-62.65324595,-0.482656614,-8.939407132,2.069699094,0.249999244,0.125,7.699837726,0.200195781,8.957848157,0.206030508,0.180238828,0.01081433,0.438611187,0.026316671,6.203738837,0.412795543,11.33692482,0.801012004,3.988418966,6.194196422,8.009986468,0.533999098,290.0,58.0,0.14,47.54115218,0.292493673
