"Name","Age","RAdeg","DEdeg","pmRA","pmDE","plx","expect_wd_number","prob_wd_number"
"Alessi_10",91,301.232,-10.529,1.454,-7.902,2.219,1,3
"Alessi_24",72,260.978,-62.818,-0.43,-8.963,2.042,2,1
"Alessi_3",631,109.187,-46.68,-9.793,11.916,3.575,11,5
"Alessi_34",35,120.062,-50.655,-5.01,5.743,2.045,1,12
"Alessi_37",138,341.971,46.29,0.335,-1.643,1.384,5,1
"Alessi_62",999,283.963,21.607,0.291,-1.133,1.622,23,0
"Alessi_9",281,265.642,-46.744,9.831,-9.151,4.778,3,1
"Alessi_96",206,75.485,37.488,0.971,-12.561,3.053,4,5
"Alessi-Teutsch_12",118,255.411,-59.008,-2.313,-8.985,1.644,2,1
"ASCC_101",489,288.345,36.36,0.967,1.281,2.51,10,2
"ASCC_127",18,347.302,65.183,7.41,-1.645,2.655,0,2
"ASCC_51",181,140.397,-69.855,-7.613,7.964,1.818,3,0
"ASCC_87",83,255.698,-28.458,-1.214,-3.77,1.298,4,1
"ASCC_99",354,282.172,-18.384,5.247,-1.307,3.281,6,2
"VDBH_23, BH_23",28,123.448,-36.356,-7.183,7.317,2.296,0,1
"VDBH_56, BH_56",17,134.369,-43.22,-5.517,5.39,1.103,0,0
"VDBH_99, BH_99",100,159.554,-59.109,-14.477,0.98,2.224,3,0
"Blanco_1",104,0.915,-30.011,18.725,2.593,4.232,3,1
"COIN-Gaia_13",186,83.392,41.828,-3.95,-1.588,1.948,5,4
"Collinder_132",24,108.346,-30.971,-4.125,3.727,1.525,0,1
"Collinder_350",588,267.065,1.418,-4.869,-0.066,2.686,10,2
"Collinder_394",91,283.058,-20.272,-1.453,-5.874,1.336,6,1
"Collinder_69",13,83.814,9.888,1.215,-2.047,2.504,0,3
"CWNU_1084",97,302.547,33.49,5.048,-0.388,3.104,2,1
"CWNU_45",41,108.099,-27.984,-3.139,6.275,1.613,1,1
"CWNU_519",41,313.932,56.755,5.012,3.49,3.072,1,3
"CWNU_522",61,75.678,8.081,0.883,-4.484,2.575,1,3
"Haffner_13",20,115.139,-30.018,-6.172,5.91,1.781,0,4
"Harvard_10",199,244.813,-54.966,-2,-10.61,1.448,7,0
"Herschel_1",213,116.708,0.077,0.669,-3.97,3.369,4,1
"HSC_2304",186,147.315,-60.184,-7.092,4.119,0.899,6,0
"HSC_2384",81,159.049,-64.212,-16.865,1.64,1.776,2,1
"HSC_2403",241,168.646,-58.836,-13.672,1.96,1.449,3,1
"HSC_2636",13,204.889,-44.482,-25.972,-19.412,7.472,0,9
"HSC_2733",17,228.065,-44.529,-20.667,-21.892,6.849,0,3
"IC_2391",21,130.26,-53.042,-24.797,23.267,6.622,0,3
"IC_4665",33,266.532,5.635,-0.881,-8.532,2.867,1,1
"IC_4756",1288,279.627,5.437,1.284,-4.968,2.108,54,1
"LISC_3534",161,12.088,49.906,7.368,-3.082,2.189,5,4
"Loden_46",831,155.878,-54.677,-11.417,4.7,0.88,20,0
"Melotte_111",645,186.017,26.423,-12.155,-8.855,11.709,8,1
"Melotte_20",51,51.332,49.119,22.918,-25.463,5.741,2,7
"Melotte_22",150,56.68,24.108,19.955,-45.457,7.378,4,11
"NGC_1039",131,40.548,42.722,0.652,-5.791,2.003,8,2
"NGC_1662",776,72.114,10.904,-1.154,-1.966,2.439,17,1
"NGC_1901",891,79.288,-68.441,1.703,12.701,2.367,16,1
"NGC_2281",616,102.09,41.094,-2.98,-8.278,1.931,23,1
"NGC_2287",169,101.495,-20.703,-4.369,-1.362,1.363,16,1
"NGC_2422",109,114.169,-14.493,-7.069,1.042,2.1,5,2
"NGC_2451B",40,116.176,-37.942,-9.4,4.744,2.676,1,1
"NGC_2516",239,119.521,-60.793,-4.634,11.226,2.427,21,3
"NGC_2527",692,121.274,-28.131,-5.569,7.331,1.565,24,1
"NGC_2548",389,123.455,-5.77,-1.294,1.037,1.291,28,1
"NGC_2632",676,130.088,19.666,-35.943,-12.903,5.404,26,13
"NGC_2682",4265,132.85,11.817,-10.965,-2.906,1.15,244,2
"NGC_3532",398,166.394,-58.694,-10.402,5.229,2.088,62,10
"NGC_5822",912,226.07,-54.357,-7.462,-5.479,1.2,112,0
"NGC_6405",300,265.067,-32.228,-1.368,-5.847,2.177,14,1
"NGC_6475",223,268.476,-34.828,3.08,-5.366,3.583,21,9
"NGC_6633",691,276.805,6.559,1.204,-1.804,2.54,34,4
"NGC_6716",60,283.621,-19.892,-1.485,-5.989,1.429,3,0
"NGC_6991",1548,313.649,47.377,5.604,8.436,1.767,45,3
"NGC_752",1174,29.16,37.793,9.772,-11.824,2.269,46,3
"OC_0185",9,332.741,63.396,-1.301,-2.486,1.077,0,0
"OC_0407",29,107.37,-25.201,-4.992,3.635,1.622,0,1
"OC_0450",41,118.138,-42.432,-11.398,4.659,3.051,1,4
"OC_0588",601,195.998,-60.096,-12.071,-3.854,1.497,26,1
