"Cluster","X","Y","Z","Age","Rad","Rad0","Z0","nRef","_RA","_DE","[Mg/H]","e_[Mg/H]","o_[Mg/H]","[Si/H]","e_[Si/H]","o_[Si/H]","[Fe/H]","e_[Fe/H]","o_[Fe/H]","[Ni/H]","e_[Ni/H]","o_[Ni/H]"
"ASCC_11",-8.8322,0.4008,-0.11,0.2344,8.84,8.81,0.1142,2,53.0504183056,44.840780465,-0.12,0.11,7.0,-0.16,0.08,7.0,-0.2,0.14,7,-0.22,0.06,7.0
"ASCC_113",-8.053,0.5493,-0.0441,0.182,8.07,8.24,0.0023,0,317.9625909659,38.5453210641,-0.07,0.09,13.0,-0.12,0.06,13.0,-0.19,0.15,13,-0.29,0.16,13.0
"ASCC_12",-9.0918,0.2961,-0.0104,0.2951,9.1,8.42,0.0401,0,72.4206014451,41.714310072,0.08,0.08,2.0,-0.01,0.06,2.0,-0.12,0.11,3,-0.14,0.05,2.0
"ASCC_18",-8.4822,-0.1483,-0.1114,0.0093,8.48,8.5,-0.0909,2,81.3302510951,0.3676214465,-0.08,0.18,2.0,-0.12,0.13,2.0,-0.08,0.05,2,-0.18,0.04,2.0
"ASCC_19",-8.4238,-0.1393,-0.0953,0.0074,8.42,8.56,-0.1122,2,81.9781246974,-1.8560171445,-0.13,0.04,4.0,-0.14,0.04,4.0,-0.07,0.04,4,-0.1,0.03,4.0
"ASCC_20",-8.4426,-0.1268,-0.0868,0.0126,8.44,8.42,-0.0382,2,82.1935567805,1.7213006767,-0.09,0.08,13.0,-0.12,0.06,13.0,-0.07,0.04,13,-0.13,0.05,13.0
"ASCC_21",-8.4294,-0.1111,-0.0754,0.0069,8.43,8.56,-0.1068,2,82.212033556,3.6065880313,-0.23,0.13,7.0,-0.22,0.08,7.0,-0.16,0.11,7,-0.19,0.03,7.0
"ASCC_23",-8.6924,0.1267,0.1723,0.2884,8.69,8.79,0.152,0,95.0298212921,46.6856980869,"nan","nan","nan","nan","nan","nan",-0.15,0.07,2,"nan","nan","nan"
"ASCC_6",-9.0922,1.1411,-0.0899,0.0912,9.16,9.01,0.0141,0,26.8421657654,57.738606117,0.07,0.05,5.0,0.03,0.05,5.0,-0.03,0.1,5,-0.07,0.05,5.0
"ASCC_9",-9.8249,1.5436,-0.0444,0.0295,9.95,9.62,0.0503,0,41.6238996734,57.7768519108,-0.16,0.04,3.0,-0.21,0.05,3.0,-0.27,0.13,3,-0.27,0.02,3.0
"Alessi-Teutsch_10",-8.4747,0.1127,-0.1097,0.0034,8.48,8.53,-0.0971,0,56.3306190292,29.7416123912,"nan","nan","nan","nan","nan","nan",-0.22,0.14,2,"nan","nan","nan"
"Alessi-Teutsch_11",-8.0936,0.6304,0.124,0.182,8.12,7.59,-0.0536,0,304.1016902415,52.0742572706,0.03,0.13,2.0,-0.05,0.05,2.0,-0.12,0.04,2,-0.1,0.1,2.0
"Alessi_12",-7.9178,0.4866,-0.0881,0.123,7.93,8.34,0.146,0,310.8707954338,23.5384886064,-0.04,0.08,5.0,-0.09,0.05,5.0,-0.1,0.03,5,-0.16,0.07,5.0
"Alessi_2",-8.6536,0.2789,0.0888,0.263,8.66,9.31,0.0573,0,71.557055203,55.1840756745,-0.11,0.05,3.0,-0.14,0.03,3.0,-0.11,0.05,3,-0.1,0.02,3.0
"Alessi_20",-8.3185,0.3751,-0.006,0.0068,8.33,8.35,-0.0084,0,2.6434300798,58.7565236076,-0.14,0.12,6.0,-0.12,0.1,6.0,-0.13,0.14,6,-0.16,0.09,6.0
"Alessi_22",-8.2269,0.3034,-0.1282,0.6761,8.23,8.96,0.1784,0,357.1723382165,36.2293063521,-0.17,0.07,4.0,-0.18,0.05,4.0,-0.11,0.07,4,-0.13,0.02,4.0
"Alessi_84",-8.2907,0.0555,0.109,0.1175,8.29,8.36,-0.1164,0,110.5100904775,55.3846218136,-0.07,0.09,9.0,-0.08,0.06,9.0,-0.04,0.13,9,-0.06,0.04,9.0
"Alessi_96",-8.4369,0.0681,0.0064,0.2089,8.44,8.35,-0.0101,0,75.48516589,37.4875999284,-0.07,0.05,6.0,-0.08,0.05,6.0,-0.06,0.08,6,-0.09,0.02,6.0
"Berkeley_23",-12.8786,-1.063,0.4928,1.0965,12.92,11.83,-0.0118,0,98.3150596361,20.5346948874,-0.33,0.01,2.0,-0.34,0.0,2.0,-0.4,0.04,2,-0.39,0.01,2.0
"Berkeley_69",-11.2851,0.3078,-0.0738,0.4169,11.29,11.36,0.0384,0,81.090882091,32.6081630633,-0.16,0.11,2.0,-0.22,0.07,2.0,-0.32,0.17,3,-0.28,0.06,2.0
"Berkeley_8",-10.0369,2.5112,0.7679,1.9055,10.35,9.94,0.7522,0,30.2972587683,75.4907103832,-0.21,0.01,2.0,-0.25,0.0,2.0,-0.29,0.02,2,-0.28,0.01,2.0
"Bochum_1",-11.8701,-0.8186,0.2554,0.1514,11.9,12.17,0.2682,0,96.2566525004,19.8462323709,-0.13,0.07,2.0,-0.13,0.01,2.0,-0.14,0.17,2,-0.11,0.04,2.0
"Briceno_1",-8.4251,-0.1165,-0.0867,0.0081,8.43,8.56,-0.1152,2,81.0833569163,1.695612342,-0.18,0.09,7.0,-0.17,0.07,7.0,-0.11,0.05,7,-0.14,0.03,7.0
"COIN-Gaia_19",-9.336,0.1379,0.0212,0.2089,9.34,9.34,-0.072,0,82.191363866,34.3361450656,-0.04,0.06,8.0,-0.07,0.05,8.0,-0.12,0.08,8,-0.13,0.04,8.0
"COIN-Gaia_23",-9.037,-0.0338,0.0196,0.0661,9.04,10.07,0.0425,0,87.4302939672,27.0132386596,-0.17,0.01,2.0,-0.17,0.05,2.0,-0.27,0.19,2,-0.31,0.09,2.0
"COIN-Gaia_24",-9.0816,-0.1168,0.0304,0.1,9.08,8.65,0.0463,0,90.7236490897,23.1639629656,-0.21,0.1,3.0,-0.21,0.07,3.0,-0.23,0.11,4,-0.42,0.11,3.0
"COIN-Gaia_30",-8.5339,0.5733,0.1196,0.1549,8.55,8.34,-0.0916,0,21.1712944047,70.5754303584,-0.09,0.01,2.0,-0.15,0.02,2.0,-0.23,0.16,2,-0.25,0.04,2.0
"COIN-Gaia_38",-9.0728,0.6388,-0.0712,0.3467,9.1,8.64,0.1954,0,51.4705387138,51.0759593318,-0.03,0.08,5.0,-0.02,0.05,5.0,-0.06,0.05,5,-0.1,0.08,5.0
"COIN-Gaia_5",-8.6967,0.6699,-0.0386,0.2239,8.72,8.64,0.0677,0,27.4627050364,58.0500709464,-0.13,0.07,2.0,-0.18,0.0,2.0,-0.28,0.13,2,-0.34,0.03,2.0
"CWNU_10",-9.0637,-0.2141,0.0586,0.2884,9.07,9.21,-0.0094,0,95.3175677,18.8270134708,-0.2,0.01,2.0,-0.25,0.02,2.0,-0.31,0.34,2,-0.31,0.03,2.0
"CWNU_1007",-8.4723,-0.0322,-0.0479,0.0195,8.47,8.42,0.0339,0,79.2077696231,18.4777705517,-0.04,0.1,2.0,-0.05,0.09,2.0,-0.05,0.02,2,-0.12,0.05,2.0
"CWNU_1054",-8.4879,-0.1784,-0.059,0.1202,8.49,8.69,0.0477,0,89.7280337061,0.9536278465,-0.08,0.09,2.0,-0.18,0.04,2.0,-0.2,0.01,2,-0.29,0.03,2.0
"CWNU_1076",-8.3854,0.2366,0.0042,0.1096,8.39,8.52,-0.0996,0,41.2353232232,56.7087576308,-0.07,0.05,7.0,-0.09,0.05,7.0,-0.07,0.06,7,-0.09,0.02,7.0
"CWNU_1093",-8.5963,-0.1775,0.2208,0.2399,8.6,8.75,-0.1569,0,117.2595585861,20.1788085645,-0.17,0.08,4.0,-0.18,0.05,4.0,-0.21,0.12,4,-0.24,0.03,4.0
"CWNU_1095",-8.2361,0.1042,0.2107,0.257,8.24,9.59,-0.2392,0,171.3523893602,63.8398174445,-0.08,0.06,5.0,-0.07,0.06,5.0,-0.02,0.06,5,-0.05,0.02,5.0
"CWNU_1111",-8.3793,-0.0567,-0.02,0.0214,8.38,8.38,0.0291,0,85.1034911294,13.7072285435,"nan","nan","nan","nan","nan","nan",-0.07,0.03,4,"nan","nan","nan"
"CWNU_1227",-8.4418,-0.2338,-0.0543,0.0115,8.45,8.44,0.0186,0,94.6142763976,-7.7807746336,-0.11,0.18,2.0,-0.22,0.05,2.0,-0.15,0.07,2,-0.27,0.02,2.0
"CWNU_1242",-8.3887,0.0007,-0.0947,0.0072,8.39,8.42,-0.0756,0,65.6174389968,15.2512103228,-0.11,0.08,2.0,-0.09,0.08,2.0,-0.06,0.07,3,-0.11,0.01,2.0
"CWNU_1451",-9.9233,-0.1755,0.0416,0.4169,9.92,10.14,0.0917,0,90.0671947903,24.405764378,"nan","nan","nan","nan","nan","nan",0.0,0.15,2,"nan","nan","nan"
"CWNU_158",-9.4476,-0.6737,0.0188,0.5129,9.47,11.43,-0.0526,0,99.9341121493,5.2332853823,-0.15,0.11,2.0,-0.16,0.07,2.0,-0.19,0.05,3,-0.23,0.02,2.0
"CWNU_1722",-9.775,2.76,-0.1009,0.2239,10.16,9.99,-0.0579,0,8.7528494513,60.5664163139,-0.03,0.23,2.0,-0.1,0.1,2.0,-0.17,0.13,2,-0.19,0.02,2.0
"CWNU_1773",-10.086,0.6446,0.0675,0.1905,10.11,10.19,0.0816,0,74.6421592756,44.5618256878,-0.18,0.07,2.0,-0.17,0.06,2.0,-0.21,0.14,2,-0.24,0.03,2.0
"CWNU_1857",-6.8547,0.649,-0.0315,0.6457,6.89,8.12,-0.1294,0,281.9630946939,-6.0764599637,"nan","nan","nan","nan","nan","nan",-0.22,0.04,4,"nan","nan","nan"
"CWNU_232",-8.5311,-0.2437,-0.0683,0.1288,8.53,8.66,0.0385,0,92.3463385286,-2.9941775951,0.01,0.07,2.0,-0.03,0.06,2.0,-0.08,0.11,2,-0.12,0.04,2.0
"CWNU_239",-9.4465,-0.7239,-0.0537,0.0129,9.47,9.84,0.0788,0,98.2795952858,2.4458377563,"nan","nan","nan","nan","nan","nan",-0.19,0.12,5,"nan","nan","nan"
"CWNU_518",-9.0393,0.2709,0.0161,0.0955,9.04,8.74,0.0134,0,74.4094931904,42.238428405,0.05,0.13,3.0,0.01,0.13,3.0,-0.06,0.11,3,-0.06,0.06,3.0
"CWNU_519",-8.1478,0.3176,0.0625,0.0224,8.15,8.14,-0.0554,0,313.9317099884,56.7545237609,-0.15,0.09,4.0,-0.15,0.06,4.0,-0.08,0.08,4,-0.1,0.03,4.0
"CWNU_52",-8.7113,0.0506,-0.1011,0.055,8.71,9.84,0.1072,0,72.3388415084,26.1854000195,-0.09,0.07,4.0,-0.1,0.06,4.0,-0.12,0.18,5,-0.13,0.03,4.0
"CWNU_80",-8.8327,-0.235,-0.0079,0.123,8.84,8.52,0.0846,0,93.9598571541,11.8911075676,-0.06,0.09,5.0,-0.1,0.07,5.0,-0.13,0.05,5,-0.18,0.03,5.0
"CWNU_87",-9.8555,2.2302,-0.1161,0.2042,10.1,10.21,-0.1186,0,22.6125134063,59.6329732647,-0.2,0.01,2.0,-0.15,0.0,2.0,-0.16,0.01,2,-0.2,0.01,2.0
"Casado-Alessi_1",-8.4926,0.5645,-0.1381,0.7413,8.51,8.79,-0.0697,0,13.3544790073,49.5481413243,-0.05,0.03,2.0,-0.08,0.04,2.0,-0.09,0.02,2,-0.09,0.03,2.0
"Collinder_104",-9.4685,-0.688,-0.005,0.0145,9.49,9.58,-0.0032,0,99.1870627234,4.7102399561,"nan","nan","nan","nan","nan","nan",-0.25,0.22,2,"nan","nan","nan"
"Collinder_106",-9.4073,-0.6248,0.0141,0.01,9.43,9.54,0.0206,0,99.2952628948,6.0502383192,"nan","nan","nan","nan","nan","nan",-0.21,0.14,10,"nan","nan","nan"
"Collinder_107",-9.3722,-0.6461,0.0053,0.0151,9.39,9.84,0.1065,0,99.6216139933,4.6350868296,"nan","nan","nan","nan","nan","nan",-0.14,0.07,2,"nan","nan","nan"
"Collinder_110",-9.9472,-1.0386,-0.043,1.5136,10.0,9.5,-0.2327,0,99.697362449,2.0728880737,-0.12,0.04,2.0,-0.15,0.01,2.0,-0.15,0.19,2,-0.17,0.02,2.0
"Collinder_419",-7.9152,0.9799,0.0689,0.0052,7.98,8.13,0.0635,0,304.5270596194,40.7256795965,-0.39,0.1,3.0,-0.39,0.07,3.0,-0.44,0.47,3,-0.44,0.03,3.0
"Collinder_463",-8.6286,0.6618,0.1607,0.1479,8.65,8.68,-0.1567,0,27.2856111063,71.8038298874,-0.08,0.06,6.0,-0.1,0.07,6.0,-0.17,0.2,6,-0.19,0.02,6.0
"Collinder_69",-8.494,-0.1004,-0.0601,0.0052,8.49,8.56,-0.0711,2,83.814170799,9.8880641462,-0.3,0.09,10.0,-0.3,0.06,10.0,-0.25,0.25,12,-0.29,0.09,10.0
"Collinder_95",-8.7261,-0.2425,0.0226,0.0043,8.73,8.89,0.0474,2,97.7834403739,9.8390464823,-0.3,0.06,6.0,-0.32,0.02,6.0,-0.27,0.13,6,-0.3,0.03,6.0
"Czernik_12",-9.5427,1.2742,-0.1338,1.2023,9.63,10.02,0.2691,0,39.8488694251,54.9181880436,-0.21,0.12,7.0,-0.23,0.08,7.0,-0.25,0.11,7,-0.28,0.04,7.0
"Czernik_23",-11.156,-0.0286,0.0721,0.4266,11.16,11.16,-0.0988,2,87.5275690538,28.8982909242,"nan","nan","nan","nan","nan","nan",-0.23,0.02,2,"nan","nan","nan"
"Delta_Cephei_Cluster",-8.1808,0.2334,0.0197,0.0676,8.18,7.71,0.0293,0,336.4237277098,57.1572294567,-0.09,0.04,3.0,-0.07,0.04,3.0,-0.02,0.05,3,-0.04,0.0,3.0
"Dolidze_8",-7.9564,0.9445,0.0653,0.0038,8.01,8.15,0.0614,0,306.1262524909,42.2900186063,-0.11,0.07,2.0,-0.09,0.06,2.0,-0.11,0.07,2,-0.1,0.02,2.0
"FSR_0591",-10.0618,1.9299,-0.0602,0.017,10.25,10.19,-0.0078,0,36.9254505153,58.7712726845,-0.17,0.02,2.0,-0.19,0.0,2.0,-0.29,0.08,2,-0.26,0.02,2.0
"FSR_0632",-8.8005,0.525,0.0589,0.3802,8.82,8.47,0.0337,0,53.0130743661,59.1325228189,0.02,0.03,3.0,0.01,0.03,3.0,0.0,0.05,3,-0.06,0.06,3.0
"FSR_0665",-10.5159,1.3441,-0.0018,0.055,10.6,10.72,0.0492,0,61.3010362676,51.5150878678,-0.23,0.15,2.0,-0.29,0.11,2.0,-0.38,0.11,2,-0.33,0.04,2.0
"FSR_0667",-9.1043,0.5411,0.0101,0.3236,9.12,9.24,-0.0423,2,61.7769310813,51.1496566669,-0.09,0.05,6.0,-0.1,0.02,6.0,-0.13,0.14,6,-0.15,0.06,6.0
"FSR_0732",-9.232,0.3212,0.0333,0.0195,9.24,9.4,0.0533,0,75.6311268874,42.5451536488,-0.06,0.07,4.0,-0.14,0.04,4.0,-0.17,0.06,4,-0.11,0.12,4.0
"FSR_0883",-10.865,-0.3899,0.0351,0.1778,10.87,10.91,0.025,0,91.0812282586,22.0306208936,"nan","nan","nan","nan","nan","nan",-0.2,0.05,2,"nan","nan","nan"
"FSR_0893",-10.184,-0.3454,0.0927,0.182,10.19,10.26,-0.1981,0,93.3987317554,21.6019004441,"nan","nan","nan","nan","nan","nan",-0.23,0.06,2,"nan","nan","nan"
"FSR_0905",-9.5311,-0.2752,0.1827,0.7762,9.54,8.23,-0.0017,0,98.4309515466,22.313092051,-0.16,0.15,3.0,-0.15,0.1,3.0,-0.19,0.23,3,-0.24,0.02,3.0
"FSR_0942",-10.8905,-0.7721,-0.152,0.5754,10.92,12.11,0.1367,2,91.5060371876,13.6699990714,-0.24,0.02,2.0,-0.22,0.02,2.0,-0.24,0.02,2,-0.27,0.03,2.0
"FSR_0953",-10.6217,-0.7491,0.0007,0.5248,10.65,9.72,-0.2027,0,94.7594405187,14.1460041875,"nan","nan","nan","nan","nan","nan",-0.25,0.1,2,"nan","nan","nan"
"FoF_1800",-8.4809,1.3169,0.0234,0.2042,8.58,8.91,-0.1005,0,337.8244314383,58.0450480962,-0.01,0.08,4.0,0.01,0.03,4.0,-0.02,0.07,4,-0.03,0.02,4.0
"FoF_1973",-10.5482,-0.4144,0.1943,0.5129,10.56,10.49,0.1058,0,95.4517890537,22.4133505843,-0.14,0.02,3.0,-0.09,0.02,3.0,-0.07,0.04,3,-0.12,0.01,3.0
"FoF_2117",-6.7775,0.7362,-0.0251,0.1995,6.82,7.88,-0.0169,0,282.3429490768,-4.4865517945,"nan","nan","nan","nan","nan","nan",-0.06,0.03,12,"nan","nan","nan"
"FoF_658",-9.2927,-0.7475,-0.1795,1.2303,9.32,10.59,-0.1631,0,95.2716167242,-3.4681367861,-0.17,0.09,3.0,-0.18,0.09,3.0,-0.23,0.04,3,-0.24,0.05,3.0
"Gulliver_32",-9.6368,-0.6824,0.0087,0.4571,9.66,10.14,0.0499,0,98.3836226963,7.4658448917,"nan","nan","nan","nan","nan","nan",-0.07,0.01,2,"nan","nan","nan"
