"Name","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","logt","E_logt","e_logt","E(B-V)","e_E(B-V)","d","e_d","Nt","Nh","Nhip","RA_deg","DE_deg"
"Blanco 1, MWSC_7","00 04 13.47","-29 55 40.26",18.65,0.08,2.63,0.08,4.11,0.1,8.16,0.59,0.2,0.007,0.001,251.6,0.4,48,237,5,1.05612,-29.92785
"Platais 2, MWSC_109","01 11 41.91","+32 03 34.40",14.99,0.91,-9.99,0.66,4.8,0.71,8.65,0.14,0.27,0.041,0.007,180.0,1.6,2,3,2,17.92462,32.05956
"Alpha Per, MWSC_274","03 25 49.74","+49 08 21.03",22.8,0.05,-25.29,0.04,5.56,0.06,7.8,0.05,0.25,0.109,0.001,167.7,0.3,84,79,7,51.45725,49.13918
"Alessi 13, MWSC_278","03 24 19.92","-35 49 26.86",37.08,0.11,-4.3,0.12,9.62,0.16,8.75,0.05,0.05,0.027,0.004,97.8,0.7,9,9,0,51.083,-35.82413
"Pleiades, MWSC_305","03 46 16.73","+24 13 27.06",19.92,0.05,-45.2,0.04,7.38,0.06,8.15,0.08,0.15,0.01,0.001,126.3,0.2,91,280,11,56.56971,24.22418
"Platais 3, MWSC_395","04 39 37.44","+71 16 03.03",3.83,0.15,-20.37,0.17,5.22,0.2,8.92,0.18,0.5,0.0,0.006,176.4,0.6,14,27,0,69.906,71.26751
"Platais 4, MWSC_467","05 06 55.86","+22 36 15.54",1.99,0.21,-7.21,0.2,2.9,0.28,8.31,0.09,0.52,0.198,0.003,296.9,0.7,7,123,0,76.73275,22.60432
"Collinder 65, MWSC_540","05 26 34.75","+15 43 17.21",-0.17,0.18,-5.37,0.18,2.77,0.24,8.02,0.44,0.23,0.031,0.001,375.8,0.3,18,1222,2,81.64479,15.72145
"NGC2232, MWSC_871","06 27 50.50","-04 47 30.02",-4.62,0.19,-1.8,0.19,3.56,0.24,8.02,0.13,0.28,0.0,0.034,356.6,0.7,8,218,4,96.96042,-4.79167
"Alessi 3, MWSC_1157","07 16 08.68","-46 33 31.12",-9.74,0.14,12.13,0.12,3.81,0.15,8.9,0.09,0.1,0.035,0.004,261.5,1.1,20,14,0,109.03617,-46.55864
"NGC2451A, MWSC_1308","07 42 32.56","-38 19 44.51",-21.21,0.13,15.42,0.13,5.27,0.15,8.17,0.22,0.31,0.014,0.002,196.6,0.6,24,77,7,115.63567,-38.32903
"Praesepe, MWSC_1527","08 39 54.62","+19 36 05.43",-36.03,0.07,-12.86,0.06,5.39,0.08,8.9,0.12,0.18,0.01,0.001,183.0,0.2,56,319,2,129.97758,19.60151
"IC 2391, MWSC_1529","08 40 28.73","-53 10 02.84",-24.51,0.1,23.28,0.09,6.74,0.12,7.91,0.39,0.43,0.057,0.003,158.5,0.8,24,18,4,130.11971,-53.16746
"Platais 8, MWSC_1629","09 06 44.79","-58 59 11.66",-15.83,0.12,14.73,0.12,7.45,0.16,7.9,0.26,0.09,0.024,0.003,143.3,0.7,12,25,1,136.68662,-58.98657
"Platais 9, MWSC_1639","09 10 33.81","-43 53 06.96",-24.62,0.21,12.91,0.2,5.89,0.24,8.09,0.45,0.19,0.005,0.003,190.7,0.8,9,63,4,137.64087,-43.88527
"IC 2602, MWSC_1841","10 42 28.05","-64 14 37.49",-17.63,0.08,10.57,0.07,6.79,0.1,8.0,0.05,0.26,0.004,0.002,149.0,0.4,32,99,8,160.61687,-64.24375
"Coma Ber, MWSC_2020","12 24 23.72","+25 57 23.45",-12.22,0.07,-9.01,0.07,11.55,0.09,8.75,0.18,0.15,0.053,0.001,85.6,0.1,33,10,7,186.09883,25.95651
"Platais 10, MWSC_2150","13 41 50.68","-59 07 48.14",-30.51,0.14,-10.52,0.14,4.02,0.19,8.29,0.12,0.18,0.093,0.003,231.0,0.9,8,43,0,205.46117,-59.13004
"Alessi 9, MWSC_2670","17 44 59.78","-47 02 35.25",9.71,0.2,-8.81,0.21,4.94,0.26,8.42,0.13,0.32,0.091,0.002,224.9,0.6,11,68,1,266.24908,-47.04312
"Collinder 350, MWSC_2700","17 48 14.26","+01 20 25.42",-5.28,0.19,-0.13,0.19,2.69,0.24,9.0,0.14,0.22,0.167,0.003,298.3,0.7,10,165,0,267.05942,1.34039
"NGC6475, MWSC_2739","17 53 29.50","-34 39 22.33",3.15,0.09,-5.51,0.09,3.45,0.11,8.29,0.18,0.31,0.156,0.001,300.8,0.3,49,1428,8,268.37292,-34.6562
"Ruprecht 147, MWSC_3078","19 16 18.33","-16 17 23.19",-1.04,0.18,-26.92,0.19,3.53,0.23,8.86,0.12,0.65,0.059,0.003,265.1,0.9,18,43,1,289.07637,-16.28978
"NGC7092, MWSC_3521","21 32 05.91","+48 27 02.73",-7.54,0.1,-20.13,0.1,3.33,0.12,8.7,0.06,0.23,0.01,0.002,290.6,0.9,26,24,0,323.02462,48.45076
"ASCC123, MWSC_3654","22 41 36.00","+54 09 56.43",11.67,0.15,-1.09,0.13,4.38,0.17,8.1,0.4,0.39,0.097,0.003,243.5,0.9,12,37,4,340.4,54.16568
