"Cluster","RA_ICRS","DE_ICRS","pmRA*","e_pmRA*","pmDE","e_pmDE","DMode","RV","e_RV","o_RV","f_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","f_[Fe/H]","GX","e_GX","GY","e_GY","GZ","e_GZ","U","e_U","V","e_V","W","e_W","Rap","Rperi","EC","Zmax","RGC","e_RGC","Ageref","Distref","E(B-V)ref","Ref","_RA.icrs","_DE.icrs"
"ASCC_10",51.87,34.981,-1.737,0.159,-1.368,0.143,672.0,-27.205301,5.914619,33,"Y",-0.099124715,0.09548039,22,"Y",-8922.711,39.375397,262.82886,17.759655,-204.87274,13.843532,37.388092,5.1413,242.47977,2.3610682,9.097183,1.914063,10.213539811115435,8.385820843371175,0.0982678384325739,0.2419847282091406,8929.715,40.64825,8.599,606.1777,0.14290322,"(3)",51.87,34.981
"ASCC_105",295.548,27.366,1.464,0.162,-1.635,0.145,551.8,-20.011822,2.4682927,6,"Y",0.0445,0.04946716,4,"nan",-8088.1978,13.828405,490.5041,26.936068,19.861168,1.0906789,3.6744423,1.1951965,233.79207,2.209259,1.0884781,0.45498312,8.27506637932771,7.554390348574778,0.0455275277693264,0.0464564683844841,8103.1753,12.220863,7.994,517.13025,0.10967743,"(3)",295.548,27.366
"ASCC_108",298.306,39.349,-0.519,0.099,-1.69,0.129,1154.0,-14.734756,6.2211437,12,"Y",-0.097217396,0.051180754,10,"Y",-8030.9897,36.15798,1105.1392,129.31161,122.1086,14.287868,16.281788,2.0249312,235.8217,5.952604,3.4770455,1.0979337,8.443800285631662,7.58418512289888,0.0536321403359445,0.1556289296180578,8108.687,17.879642,7.911,1071.0258,0.11,"(3)",298.306,39.349
"ASCC_11",53.056,44.856,0.926,0.163,-3.03,0.147,854.5,-21.486809,12.735339,52,"Y",-0.23756212,0.08949256,26,"Y",-9074.736,63.093254,414.92984,35.62957,-137.0327,11.766867,25.644064,10.955988,232.32086,6.258975,2.9961653,2.2301748,9.43301136922681,8.512870255301435,0.051273107288735,0.1196666525448105,9084.768,64.3002,8.61,650.0,0.15,"(1)",53.056,44.856
"ASCC_113",317.933,38.638,0.8,0.125,-3.679,0.163,558.2,-5.747304,10.2115345,7,"nan",-0.0418,0.05622455,5,"nan",-8271.255,3.8172739,550.1397,30.5469,-64.04053,3.555903,15.930338,1.3793514,244.9376,10.066474,-0.20843029,1.2819982,8.767487921775471,8.349387517387067,0.0244262106056934,0.0406684814094482,8289.63,1.7717221,8.629,527.95874,0.03032258,"(3)",317.933,38.638
"ASCC_114",324.99,53.997,-3.716,0.11,-3.421,0.115,913.2,-26.255,7.5165534,2,"nan",-0.104,0.032526914,2,"nan",-8452.71,10.38331,907.1547,83.576126,16.403057,1.5112132,36.028236,1.7738093,228.8936,7.4745007,6.274393,1.3949155,8.68417205790351,7.841714769704096,0.0509780380918518,0.0933760217656893,8501.463,19.016855,7.746,894.9523,0.29,"(3)",324.99,53.997
"ASCC_115",329.28,51.558,-0.549,0.068,-0.543,0.088,746.0,-28.919989,"nan",1,"nan",0.01,"nan",1,"nan",-8437.68,7.3662925,739.18054,55.741932,-32.606045,2.458837,17.575094,"nan",223.93787,"nan",8.19075,"nan",8.53238619983499,7.431124406522237,0.0689861910997317,0.1074924631604921,8470.369,12.163186,8.59,600.0,0.15,"(1)",329.28,51.558
"ASCC_12",72.4,41.744,-0.634,0.181,-2.794,0.122,1030.7,-10.625878,14.500641,26,"nan",-0.15166667,0.14784172,18,"nan",-9324.432,101.92938,301.2358,31.190168,-34.025925,3.5230682,19.121494,13.86303,240.90353,4.3784413,-3.520729,1.4611403,9.985177679178824,9.202148373682157,0.0408097148784269,0.054859913452432,9329.115,102.50391,8.63,600.0,0.15,"(2)",72.4,41.744
"ASCC_123",340.299,53.986,12.093,0.473,-1.407,0.437,233.1,-9.494427,"nan",1,"nan",0.0,0.0,0,"nan",-8398.252,1.325794,225.18037,5.150922,-16.834463,0.385083,2.9724522,"nan",239.7896,"nan",0.17493439,"nan",8.551283371190898,8.36938700034942,0.0107499506135063,0.0087749848273751,8400.764,1.4931912,8.191,250.0,0.15,"(2)",340.2989,53.986
"ASCC_128",349.949,54.435,1.236,0.139,0.186,0.114,650.3,-11.645216,10.99778,10,"nan",-0.137,0.08768124,2,"nan",-8558.822,14.311384,608.7846,39.816788,-68.88374,4.505276,11.496127,3.7259624,239.98843,10.292951,7.6973476,1.2220927,8.837438877583844,8.528163901837864,0.0178096308935772,0.1140030927744916,8580.651,17.079708,8.486,644.76294,0.14612904,"(3)",349.949,54.435
"ASCC_13",78.255,44.417,-0.473,0.097,-1.743,0.111,1078.2,-8.720693,17.544558,12,"nan",-0.026250003,0.10849385,4,"nan",-9371.984,112.83791,305.6382,33.419823,58.702507,6.418804,17.426407,16.800169,244.31404,5.0353765,-0.3931198,1.3303236,10.267830228368616,9.341523498218477,0.0472380040191849,0.0922273929977856,9376.787,112.32914,7.647,1072.013,0.21870968,"(3)",78.255,44.417
"ASCC_16",81.198,1.655,1.355,0.265,-0.015,0.248,348.8,18.842321,8.705363,46,"Y",-0.091690764,0.05001872,8,"Y",-8648.749,10.802787,-119.37625,4.176898,-109.94273,3.846809,-5.7450047,7.7079935,244.52582,3.0058308,3.1523829,2.7751446,9.17956671387167,8.701408597833526,0.0267411652721836,0.0981848054491465,8650.309,10.954366,7.047,317.68747,0.030000001,"(3)",81.198,1.655
"ASCC_19",81.982,-1.987,1.152,0.252,-1.234,0.219,357.6,17.53713,1.4739739,14,"Y",-0.17888317,0.048081473,10,"Y",-8645.816,11.01873,-142.04427,5.1179867,-118.99505,4.287506,-2.955677,1.2753417,242.66223,0.69414335,2.1075363,0.6285944,9.009358022991044,8.705179332342214,0.0171711337726385,0.0998398535827228,8647.956,11.067593,7.086,313.04028,0.018064518,"(3)",81.982,-1.987
"ASCC_21",82.179,3.527,1.404,0.263,-0.632,0.238,345.5,28.75099,14.079322,28,"nan",-0.107999995,0.31817082,4,"nan",-8651.284,10.822846,-112.91038,3.9259412,-98.6964,3.4317093,-14.505533,12.685068,240.78401,4.6174254,0.46061516,4.042382,9.119847631633844,8.479365750749576,0.0363926424987483,0.0754222556275965,8652.618,10.94904,7.032,305.49222,0.038064517,"(3)",82.179,3.527
"ASCC_23",95.047,46.71,1.098,0.179,-0.598,0.182,616.3,-19.428469,3.5212317,38,"Y",-0.052697368,0.09083451,31,"Y",-8922.705,35.971992,129.47969,7.9932346,153.43794,9.4722805,29.369919,3.3335698,245.1914,0.9216077,4.541568,1.021753,10.188071694701112,8.542355478772384,0.0878632505648046,0.2126451293230567,8925.153,36.14206,8.48,589.9295,0.091290325,"(3)",95.047,46.71
"ASCC_29",103.571,-1.67,-1.008,0.13,-1.019,0.115,1027.2,10.645336,2.8490887,6,"Y",-0.24433333,0.019604417,3,"nan",-9183.778,87.34133,-585.1929,60.574997,-2.2939873,0.23745759,3.60537,2.3818512,244.39296,1.6920449,0.59489393,0.8993807,10.20942823149647,8.930720896850382,0.0668075951797212,0.0285166893355352,9202.268,90.413315,7.95,1023.29297,0.077096775,"(3)",103.571,-1.67
