"Cluster","Comment"
"BDSB_1","Classified as infrared cluster (IRC)."
"BDSB_2","Classified as infrared cluster (IRC)."
"BDSB_3","Classified as cluster candidate (IRCC)."
"BDSB_6","Classified as cluster candidate (IRCC)."
"BDSB_7","Classified as stellar group (IRGr)."
"BDSB_8","Classified as infrared cluster (IRC)."
"BDSB_9","Classified as infrared cluster (IRC)."
"BDSB_10","Classified as stellar group (IRGr)."
"BDSB_11","Classified as stellar group (IRGr)."
"BDSB_12","Classified as stellar group (IRGr)."
"BDSB_14","Classified as infrared cluster (IRC)."
"BDSB_15","Classified as stellar group (IRGr)."
"BDSB_16","Classified as infrared cluster (IRC)."
"BDSB_18","Classified as infrared cluster (IRC)."
"BDSB_19","Classified as cluster candidate (IRCC)."
"BDSB_21","Classified as stellar group (IRGr)."
"BDSB_22","Classified as stellar group (IRGr)."
"BDSB_23","Classified as stellar group (IRGr)."
"BDSB_24","Classified as stellar group (IRGr)."
"BDSB_26","Classified as cluster candidate (IRCC)."
"BDSB_27","Classified as cluster candidate (IRCC)."
"BDSB_28","Classified as cluster candidate (IRCC)."
"BDSB_29","Classified as infrared cluster (IRC)."
"BDSB_30","Classified as infrared cluster (IRC)."
"BDSB_34","Classified as infrared cluster (IRC)."
"BDSB_35","Classified as infrared cluster (IRC)."
"BDSB_36","Classified as infrared cluster (IRC)."
"BDSB_37","Classified as infrared cluster (IRC)."
"BDSB_38","Classified as infrared cluster (IRC)."
"BDSB_39","Classified as cluster candidate (IRCC)."
"BDSB_41","Classified as infrared cluster (IRC)."
"BDSB_42","Classified as infrared cluster (IRC)."
"BDSB_43","Classified as infrared cluster (IRC)."
"BDSB_44","Classified as stellar group (IRGr)."
"BDSB_45","Classified as infrared cluster (IRC)."
"BDSB_46","Classified as stellar group (IRGr)."
"BDSB_47","Classified as infrared cluster (IRC)."
"BDSB_48","Classified as infrared cluster (IRC)."
"BDSB_50","Classified as infrared cluster (IRC)."
"BDSB_51","Classified as cluster candidate (IRCC)."
"BDSB_52","Classified as infrared cluster (IRC)."
"BDSB_53","Classified as infrared cluster (IRC)."
"BDSB_54","Classified as infrared cluster (IRC)."
"BDSB_55","Classified as infrared cluster (IRC)."
"BDSB_56","Classified as infrared cluster (IRC)."
"BDSB_57","Classified as cluster candidate (IRCC)."
"BDSB_60","Classified as open cluster (IROC)."
"BDSB_62","Classified as cluster candidate (IRCC)."
"BDSB_63","Classified as cluster candidate (IRCC)."
"BDSB_64","Classified as infrared cluster (IRC)."
