"Cluster","Comment"
"Alessi J1813.3-3214","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 8","Present study."
"HD 160706 Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 9","Present study."
"DB 5,Dutra-Bica 5,MWSC 2693","Web updates in DAML02, some were later removed (2003 to 2010)."
"DB 6,Dutra-Bica 6,MWSC 2694","Web updates in DAML02, some were later removed (2003 to 2010)."
"VVV 147,VVV-CL 147","Present study."
"DB 18,Dutra-Bica 18,MWSC 2665","Web updates in DAML02, some were later removed (2003 to 2010)."
"Schmitz J1808.6-3116","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 10","Present study."
"Theta Oph Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"DB 7,Dutra-Bica 7,MWSC 2711","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 12","Present study."
"Bica 11","Present study."
"Bica 13","Present study."
"DB 10,Dutra-Bica 10,MWSC 2715","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 14","Present study."
"DB 11,Dutra-Bica 11,MWSC 2717","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 15","Present study."
"DB 12,Dutra-Bica 12,MWSC 2714","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 16","Present study."
"Bica 17","Present study."
"Bica 19","Present study."
"Bica 18","Present study."
"Ferrero 1,ASCC 96,Slotegraaf 61,MWSC 2893","Web updates in DAML02, some were later removed (2003 to 2010). The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003. Asterisms and clusters by L. Ferrero."
"Bica 20","Present study."
"NGC 6476,ESO 456-8,MWSC 2743","Web updates in DAML02, some were later removed (2003 to 2010)."
"DB 25,Dutra-Bica 25,MWSC 2763","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 21","Present study."
"NGC 6519,ESO 456-41","Original NGC and IC catalogues at Vizier: NGC 2000.0, Sky Publishing, ed. Sinnott 1988 (1997yCat.7118....0S)."
"Bica 23","Present study."
"Bica 22","Present study."
"Bica 24","Present study."
"DB 28,Dutra-Bica 28,MWSC 2738","Web updates in DAML02, some were later removed (2003 to 2010)."
"Alessi J1802.7-2922","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"DB 31,Dutra-Bica 31,MWSC 2721","Web updates in DAML02, some were later removed (2003 to 2010)."
"Teutsch J1800.4-2852","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"DB 32,Dutra-Bica 32,MWSC 2768","Web updates in DAML02, some were later removed (2003 to 2010)."
"Alessi J1753.2-2729","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"DB 59,Dutra-Bica 59,DB2001 1,BDB 3,MWSC 2648,MWSC 2645","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 25","Present study."
"Schmitz J1816.2-3004","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Schmitz J1811.7-2922","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1800.0-2755","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Patchick 99","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Schmitz J1808.8-2852","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 26","Present study."
"Ferrero 25","Asterisms reported by amateur astronomers in the web. Asterisms and clusters by L. Ferrero."
"DB 40,Dutra-Bica 40,MWSC 2736","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 27","Present study."
"Teutsch J1806.3-2751","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 640,Terzan 9B","Present study."
"DB 45,Dutra-Bica 45,MWSC 2695","Web updates in DAML02, some were later removed (2003 to 2010)."
"Bica 28","Present study."
"DB 60,Dutra-Bica 60,DB2001 2,BDB 4,MWSC 2657,MWSC 2656","Web updates in DAML02, some were later removed (2003 to 2010)."
"Teutsch J1814.6-2814,Ryu 563","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 29","Present study."
"DB 49,Dutra-Bica 49,MWSC 2760","Web updates in DAML02, some were later removed (2003 to 2010)."
"Alessi 167","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 641","Present study."
"Teutsch J1759.0-2448","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003. Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Schmitz J1903.9-3126","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"HD 173484 Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Schmitz J1906.6-3118","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 30","Present study."
"Schmitz 1","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Ryu 608,Bica 31","Present study."
"Patchick 80","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Trifid Cluster,NGC 6514,MWSC 2788,MWSC 2789","2MASS website."
"Teutsch 72,DSH J1802.8-2249","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Ryu 175,Bica 32","Present study."
"Kronberger 49,DSH J1810.3-2320","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Streicher 62","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Kronberger 48","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Teutsch 14b,DSH J1803.5-2208","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch 14a,DSH J1803.5-2207,Teutsch J1803.5-2207,MWSC 2791","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Patchick 31","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Patchick 58","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Bica 33","Present study."
"Teutsch J1817.4-2322","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Ryu 630,Bica 34","Present study."
"Teutsch J1815.2-2228","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Ferrero 45","Asterisms and clusters by L. Ferrero."
"Streicher 61","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1935.4+4634","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Juchert J1738.5-1659","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Lorenzin 3","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 642","Present study."
"Bica 643","Present study."
"Patchick 97","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch 264","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Lima 2","Discoveries by our group members and communicated in the present work (2002 to 2017)."
"Bica 644","Present study."
"Lima 1","Discoveries by our group members and communicated in the present work (2002 to 2017)."
"Teutsch J1755.4-1759","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 35","Present study."
"Dolidze 50,OCL 32,Alessi J1605.5-2031,MWSC 2349","Analysis of Dolidze objects by M. Kronberger reported in DAML02. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Kronberger 20","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Teutsch J1813.9-1951","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"NGC 6595,ESO 590-15,BDSB 5,BDB 9,MWSC 2868,MWSC 2870","2MASS website."
"Dias 5,MWSC 2876","Web updates in DAML02, some were later removed (2003 to 2010)."
"Teutsch J1811.8-1851","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 36","Present study."
"Teutsch J1735.9-1348","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"NGC 6554,ESO 590-3,MWSC 2821","Original NGC and IC catalogues at Vizier: NGC 2000.0, Sky Publishing, ed. Sinnott 1988 (1997yCat.7118....0S)."
"Ryu 675,Bica 37","Present study."
"Teutsch J1759.3-1659","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 38","Present study."
"Polakis 1","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"SgrOB4,MWSC 2859","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 39","Present study."
"Teutsch 262","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Turner 2,Kronberger J1817.2-1849,MWSC 2872","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Turner 3,Kronberger J1817.5-1851,MWSC 2874","Web updates in DAML02, some were later removed (2003 to 2010). Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Turner 4,Kronberger J1817.1-1842,MWSC 2871","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Dolidze 51,MWSC 2832","Analysis of Dolidze objects by M. Kronberger reported in DAML02."
"HD 175360 Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Ryu 694,Bica 40","Present study."
"Ryu 203,Bica 41","Present study."
"Bica 43","Present study."
"Bica 42","Present study."
"Teutsch J1819.8-1831","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 44","Present study."
"Teutsch J1850.1-2201","Asterisms and cluster alikes by B. Alessi reported in DAML02. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Teutsch 260","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Picot 1,Napoleon's Hat,Ramakers 6","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003. Asterisms reported by amateur astronomers in the web."
"HD 183575 Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Bica 45","Present study."
"IC 4715,ESO 591-1","Original NGC and IC catalogues at Vizier: NGC 2000.0, Sky Publishing, ed. Sinnott 1988 (1997yCat.7118....0S)."
"Alessi 40,ASCC 97,MWSC 2963","Web updates in DAML02, some were later removed (2003 to 2010). List of clusters and alike reported by B. Alessi."
"Teutsch J1814.2-1606","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"HD 186449 Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Alessi J1815.5-1559","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Kronberger 50","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Alessi 63,Alessi J1812.4-1522,Teutsch J1812.4-1522","List of clusters and alike reported by B. Alessi. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Teutsch 265,Dolidze 52a,Teutsch J1825.8-1704","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Dolidze 52,MWSC 2907","Analysis of Dolidze objects by M. Kronberger reported in DAML02. Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Dolidze 52d","Analysis of Dolidze objects by M. Kronberger reported in DAML02."
"SerCp I Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Alessi 31,ASCC 92,MWSC 2723","Web updates in DAML02, some were later removed (2003 to 2010). List of clusters and alike reported by B. Alessi. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"NGC 6647,OCL 45,MWSC 2939","Web updates in DAML02, some were later removed (2003 to 2010)."
"NGC 6605,OCL 47,MWSC 2882","Web updates in DAML02, some were later removed (2003 to 2010)."
"HD 182251 Group","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Alessi 1849-18,Summer Christmas Tree","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Patchick 87","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"ESO 464-9,MWSC 3443","Web updates in DAML02, some were later removed (2003 to 2010)."
"Alessi J1847.9-1813","Asterisms and cluster alikes by B. Alessi reported in DAML02. The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Bica 46","Present study."
"Bica 47","Present study."
"Kronberger 25,J1822.6-1443,MWSC 2901","The Preliminary Amateur Open Cluster Catalog, Version 08/03/2003."
"Elosser 7","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Teutsch J1823.4-1447","Asterisms and cluster alikes by B. Alessi reported in DAML02."
"Kharchenko 2,MWSC 2900","Web updates in DAML02, some were later removed (2003 to 2010)."
"Kharchenko 3,MWSC 2901","Web updates in DAML02, some were later removed (2003 to 2010)."
