"Cluster","Comment"
"ADS 16795","Gold sample."
"AH03 J0748-26.9","Gold sample."
"ASCC 100","Gold sample."
"ASCC 101","Gold sample."
"ASCC 105","Gold sample."
"ASCC 106","Gold sample."
"ASCC 107","Gold sample."
"ASCC 108","Gold sample."
"ASCC 11","Gold sample."
"ASCC 110","Gold sample."
"ASCC 111","Gold sample."
"ASCC 113","Gold sample."
"ASCC 114","Gold sample."
"ASCC 115","Gold sample."
"ASCC 12","Gold sample."
"ASCC 125","Bronze sample."
"ASCC 127","Gold sample."
"ASCC 128","Gold sample."
"ASCC 13","Gold sample."
"ASCC 14","Gold sample."
"ASCC 18","Gold sample."
"ASCC 19","Gold sample."
"ASCC 20","Gold sample."
"ASCC 21","Gold sample."
"ASCC 23","Gold sample."
"ASCC 24","Wood sample."
"ASCC 27","Gold sample."
"ASCC 28","Gold sample."
"ASCC 29","Gold sample."
"ASCC 30","Gold sample."
"ASCC 33","Gold sample."
"ASCC 36","Gold sample."
"ASCC 45","Gold sample."
"ASCC 5","Gold sample."
"ASCC 51","Gold sample."
"ASCC 52","Gold sample."
"ASCC 58","Gold sample."
"ASCC 6","Gold sample."
"ASCC 60","Bronze sample."
"ASCC 61","Gold sample."
"ASCC 62","Gold sample."
"ASCC 63","Gold sample."
"ASCC 65","Silver sample."
"ASCC 66","Gold sample."
"ASCC 67","Gold sample."
"ASCC 69","Gold sample."
"ASCC 71","Gold sample."
"ASCC 72","Gold sample."
"ASCC 73","Gold sample."
"ASCC 75","Gold sample."
"ASCC 77","Gold sample."
"ASCC 79","Gold sample."
"ASCC 85","Gold sample."
"ASCC 87","Gold sample."
"ASCC 88","Gold sample."
"ASCC 9","Gold sample."
"ASCC 90","Gold sample."
"ASCC 93","Wood sample."
"ASCC 94","Gold sample."
"ASCC 95","Gold sample."
"ASCC 99","Gold sample."
"AT 21","Gold sample."
"AT 4","Gold sample."
"Alessi-Teutsch 10","Gold sample."
"Alessi-Teutsch 11","Gold sample."
"Alessi-Teutsch 12","Gold sample."
"Alessi-Teutsch 3","Gold sample."
"Alessi-Teutsch 5","Gold sample."
"Alessi-Teutsch 8","Gold sample."
"Alessi-Teutsch 9","Gold sample."
"Alessi 10","Gold sample."
"Alessi 116","Gold sample."
"Alessi 12","Gold sample."
"Alessi 13","Gold sample."
"Alessi 144","Gold sample."
"Alessi 161","Gold sample."
"Alessi 17","Gold sample."
"Alessi 170","Gold sample."
"Alessi 19","Gold sample."
"Alessi 190","Gold sample."
"Alessi 191","Gold sample."
"Alessi 2","Gold sample."
"Alessi 20","Gold sample."
"Alessi 21","Gold sample."
"Alessi 22","Gold sample."
"Alessi 24","Gold sample."
"Alessi 3","Gold sample."
"Alessi 31","Gold sample."
"Alessi 33","Gold sample."
"Alessi 34","Gold sample."
"Alessi 36","Gold sample."
"Alessi 37","Gold sample."
"Alessi 40","Gold sample."
"Alessi 43","Silver sample."
"Alessi 5","Gold sample."
"Alessi 50","Gold sample."
"Alessi 53","Gold sample."
"Alessi 6","Gold sample."
"Alessi 60","Gold sample."
"Alessi 62","Gold sample."
"Alessi 72","Gold sample."
"Alessi 8","Gold sample."
"Alessi 80B","Gold sample."
"Alessi 84","Gold sample."
"Alessi 9","Gold sample."
"Alessi 94","Gold sample."
"Alessi 96","Gold sample."
"Alessi J0601.6+3531","Gold sample."
"Alessi J0622.4+2114","Gold sample."
"Alessi J1933.7+1147","Gold sample."
"Alessi J2327.0+55","Gold sample."
"Andrews-Lindsay 5","Silver sample."
"Antalova 1","Gold sample."
"Antalova 2","Wood sample."
"Archinal 1","Bronze sample."
"Auner 1","Gold sample."
"Aveni-Hunter 1","Gold sample."
"BDSB 124","Gold sample."
"BDSB 30","Wood sample."
"BDSB 82","Gold sample."
"BDSB 91","Wood sample."
"BDSB 93","Wood sample."
"BDSB 96","Silver sample."
"VDBH 110, BH 110","Silver sample."
"VDBH 111, BH 111","Gold sample."
"VDBH 118, BH 118","Gold sample."
"VDBH 131, BH 131","Bronze sample."
"VDBH 132, BH 132","Gold sample."
"VDBH 144, BH 144","Silver sample."
"VDBH 150, BH 150","Gold sample."
"VDBH 151, BH 151","Bronze sample."
"VDBH 164, BH 164","Gold sample."
"VDBH 19, BH 19","Gold sample."
"VDBH 200, BH 200","Gold sample."
"VDBH 202, BH 202","Gold sample."
"VDBH 211, BH 211","Gold sample."
"VDBH 217, BH 217","Gold sample."
"VDBH 221, BH 221","Gold sample."
"VDBH 222, BH 222","Gold sample."
"VDBH 23, BH 23","Gold sample."
"VDBH 231, BH 231","Bronze sample."
"VDBH 245, BH 245","Silver sample."
"VDBH 37, BH 37","Gold sample."
"VDBH 54, BH 54","Gold sample."
"VDBH 55, BH 55","Gold sample."
"VDBH 56, BH 56","Gold sample."
"VDBH 66, BH 66","Gold sample."
"VDBH 67, BH 67","Silver sample."
"VDBH 72, BH 72","Gold sample."
"VDBH 73, BH 73","Gold sample."
"VDBH 75, BH 75","Gold sample."
"VDBH 78, BH 78","Gold sample."
"VDBH 79, BH 79","Gold sample."
"VDBH 84, BH 84","Gold sample."
"VDBH 85, BH 85","Gold sample."
"VDBH 87, BH 87","Gold sample."
"VDBH 88, BH 88","Gold sample."
"VDBH 90, BH 90","Gold sample."
"VDBH 92, BH 92","Gold sample."
"VDBH 99, BH 99","Gold sample."
"Barkhatova 1","Gold sample."
"Basel 1","Gold sample."
"Basel 10","Gold sample."
"Basel 11A","Gold sample."
"Basel 11B","Gold sample."
"Basel 13","Bronze sample."
"Basel 17","Gold sample."
"Basel 18","Gold sample."
"Basel 4","Gold sample."
"Basel 8","Gold sample."
"Berkeley 1","Gold sample."
"Berkeley 10","Gold sample."
"Berkeley 100","Silver sample."
"Berkeley 101","Gold sample."
"Berkeley 102","Gold sample."
"Berkeley 103","Silver sample."
"Berkeley 104","Gold sample."
"Berkeley 11","Gold sample."
"Berkeley 12","Gold sample."
"Berkeley 13","Gold sample."
"Berkeley 14","Gold sample."
"Berkeley 14A","Gold sample."
"Berkeley 15","Gold sample."
"Berkeley 17","Gold sample."
"Berkeley 18","Gold sample."
"Berkeley 19","Gold sample."
"Berkeley 2","Gold sample."
"Berkeley 20","Silver sample."
"Berkeley 21","Gold sample."
"Berkeley 22","Gold sample."
"Berkeley 23","Gold sample."
"Berkeley 24","Gold sample."
"Berkeley 25","Gold sample."
"Berkeley 27","Gold sample."
"Berkeley 28","Gold sample."
"Berkeley 29","Gold sample."
"Berkeley 30","Gold sample."
"Berkeley 31","Gold sample."
"Berkeley 32","Gold sample."
"Berkeley 33","Gold sample."
"Berkeley 34","Bronze sample."
"Berkeley 35","Gold sample."
"Berkeley 36","Silver sample."
"Berkeley 37","Gold sample."
"Berkeley 39","Gold sample."
"Berkeley 4","Gold sample."
"Berkeley 43","Wood sample."
"Berkeley 44","Gold sample."
"Berkeley 45","Gold sample."
"Berkeley 47","Gold sample."
"Berkeley 49","Silver sample."
"Berkeley 50","Gold sample."
"Berkeley 51","Silver sample."
"Berkeley 52","Gold sample."
"Berkeley 53","Silver sample."
"Berkeley 54","Gold sample."
"Berkeley 55","Silver sample."
"Berkeley 56","Gold sample."
"Berkeley 58","Gold sample."
"Berkeley 59","Bronze sample."
"Berkeley 6","Gold sample."
"Berkeley 60","Gold sample."
"Berkeley 61","Gold sample."
"Berkeley 62","Gold sample."
"Berkeley 63","Gold sample."
"Berkeley 64","Gold sample."
"Berkeley 65","Gold sample."
"Berkeley 66","Silver sample."
"Berkeley 67","Gold sample."
"Berkeley 68","Gold sample."
"Berkeley 69","Gold sample."
"Berkeley 7","Gold sample."
"Berkeley 70","Gold sample."
"Berkeley 71","Gold sample."
"Berkeley 72","Gold sample."
"Berkeley 73","Gold sample."
"Berkeley 75","Silver sample."
"Berkeley 76","Gold sample."
"Berkeley 77","Gold sample."
"Berkeley 78","Gold sample."
"Berkeley 79","Gold sample."
"Berkeley 8","Gold sample."
"Berkeley 80","Gold sample."
"Berkeley 81","Gold sample."
"Berkeley 82","Gold sample."
"Berkeley 83","Gold sample."
"Berkeley 84","Gold sample."
