"Cluster","Comment"
'Collinder_275',"Likely not a real open cluster."
'Collinder_345',"Likely not a real open cluster."
'Dolidze_33',"Likely not a real open cluster."
'Dolidze_34',"Likely not a real open cluster."
'ESO_008_06',"Likely not a real open cluster."
'ESO_021_06',"Likely not a real open cluster."
'ESO_026_02',"Likely not a real open cluster."
'ESO_099_06',"Likely not a real open cluster."
'ESO_139_54',"Likely not a real open cluster."
'ESO_141_47',"Likely not a real open cluster."
'ESO_277_04',"Likely not a real open cluster."
'ESO_337_23',"Likely not a real open cluster."
'ESO_389_05',"Likely not a real open cluster."
'ESO_397_01',"Likely not a real open cluster."
'ESO_447_29',"Likely not a real open cluster."
'ESO_456_09',"Likely not a real open cluster."
'ESO_525_08',"Likely not a real open cluster."
'FSR_59',"Likely not a real open cluster."
'Hogg_20',"Likely not a real open cluster."
'Loden_1002',"Likely not a real open cluster."
'Loden_991',"Likely not a real open cluster."
'Lynga_11',"Likely not a real open cluster."
'Lynga_13',"Likely not a real open cluster."
'NGC_6588',"Likely not a real open cluster."
'NGC_6724',"Likely not a real open cluster."
'NGC_6773',"Likely not a real open cluster."
'NGC_6839',"Likely not a real open cluster."
'NGC_6840',"Likely not a real open cluster."
'NGC_6858',"Likely not a real open cluster."
'NGC_6938',"Likely not a real open cluster."
'Ruprecht_114',"Likely not a real open cluster."
'Ruprecht_116',"Likely not a real open cluster."
