"Cluster","Comment"
"DBSB_3","Classified as stellar group (IRGr)."
"DBSB_4","Classified as infrared cluster (IRC)."
"DBSB_5","Classified as infrared cluster (IRC)."
"DBSB_6","Classified as open cluster (IROC)."
"DBSB_7","Classified as infrared cluster (IRC)."
"DBSB_8","Classified as cluster candidate (IRCC)."
"DBSB_9","Classified as infrared cluster (IRC)."
"DBSB_10","Classified as stellar group (IRGr)."
"DBSB_11","Classified as open cluster (IROC)."
"DBSB_12","Classified as stellar group (IRGr)."
"DBSB_15","Classified as open cluster (IROC)."
"DBSB_18","Classified as infrared cluster (IRC)."
"DBSB_19","Classified as stellar group (IRGr)."
"DBSB_21","Classified as stellar group (IRGr)."
"DBSB_23","Classified as infrared cluster (IRC)."
"DBSB_27","Classified as stellar group (IRGr)."
"DBSB_28","Classified as infrared cluster (IRC)."
"DBSB_33","Classified as infrared cluster (IRC)."
"DBSB_35","Classified as stellar group (IRGr)."
"DBSB_36","Classified as infrared cluster (IRC)."
"DBSB_38","Classified as infrared cluster (IRC)."
"DBSB_39","Classified as stellar group (IRGr)."
"DBSB_40","Classified as cluster candidate (IRCC)."
"DBSB_41","Classified as cluster candidate (IRCC)."
"DBSB_43","Classified as stellar group (IRGr)."
"DBSB_44","Classified as infrared cluster (IRC)."
"DBSB_45","Classified as infrared cluster (IRC)."
"DBSB_48","Classified as infrared cluster (IRC)."
"DBSB_51","Classified as stellar group (IRGr)."
"DBSB_53","Classified as open cluster (IROC)."
"DBSB_54","Classified as infrared cluster (IRC)."
"DBSB_56","Classified as infrared cluster (IRC)."
"DBSB_57","Classified as infrared cluster (IRC)."
"DBSB_58","Classified as infrared cluster (IRC)."
"DBSB_59","Classified as infrared cluster (IRC)."
"DBSB_60","Classified as infrared cluster (IRC)."
"DBSB_61","Classified as open cluster (IROC)."
"DBSB_62","Classified as cluster candidate (IRCC)."
"DBSB_64","Classified as infrared cluster (IRC)."
"DBSB_65","Classified as infrared cluster (IRC)."
"DBSB_66","Classified as stellar group (IRGr)."
"DBSB_67","Classified as infrared cluster (IRC)."
"DBSB_68","Classified as stellar group (IRGr)."
"DBSB_69","Classified as stellar group (IRGr)."
"DBSB_70","Classified as open cluster (IROC)."
"DBSB_71","Classified as infrared cluster (IRC)."
"DBSB_72","Classified as stellar group (IRGr)."
"DBSB_73","Classified as stellar group (IRGr)."
"DBSB_74","Classified as infrared cluster (IRC)."
"DBSB_75","Classified as infrared cluster (IRC)."
"DBSB_77","Classified as infrared cluster (IRC)."
"DBSB_78","Classified as infrared cluster (IRC)."
"DBSB_79","Classified as infrared cluster (IRC)."
"DBSB_80","Classified as infrared cluster (IRC)."
"DBSB_82","Classified as stellar group (IRGr)."
"DBSB_83","Classified as cluster candidate (IRCC)."
"DBSB_84","Classified as cluster candidate (IRCC)."
"DBSB_85","Classified as stellar group (IRGr)."
"DBSB_86","Classified as stellar group (IRGr)."
"DBSB_87","Classified as infrared cluster (IRC)."
"DBSB_88","Classified as stellar group (IRGr)."
"DBSB_89","Classified as infrared cluster (IRC)."
"DBSB_90","Classified as stellar group (IRGr)."
"DBSB_91","Classified as infrared cluster (IRC)."
"DBSB_92","Classified as infrared cluster (IRC)."
"DBSB_93","Classified as infrared cluster (IRC)."
"DBSB_94","Classified as infrared cluster (IRC)."
"DBSB_95","Classified as infrared cluster (IRC)."
"DBSB_97","Classified as stellar group (IRGr)."
"DBSB_98","Classified as infrared cluster (IRC)."
"DBSB_99","Classified as cluster candidate (IRCC)."
"DBSB_100","Classified as infrared cluster (IRC)."
"DBSB_101","Classified as stellar group (IRGr)."
"DBSB_102","Classified as infrared cluster (IRC)."
"DBSB_103","Classified as stellar group (IRGr)."
"DBSB_104","Classified as stellar group (IRGr)."
"DBSB_105","Classified as stellar group (IRGr)."
"DBSB_106","Classified as infrared cluster (IRC)."
"DBSB_108","Classified as stellar group (IRGr)."
"DBSB_113","Classified as infrared cluster (IRC)."
"DBSB_114","Classified as infrared cluster (IRC)."
"DBSB_115","Classified as stellar group (IRGr)."
"DBSB_116","Classified as infrared cluster (IRC)."
"DBSB_117","Classified as stellar group (IRGr)."
"DBSB_118","Classified as infrared cluster (IRC)."
"DBSB_119","Classified as infrared cluster (IRC)."
"DBSB_120","Classified as stellar group (IRGr)."
"DBSB_121","Classified as stellar group (IRGr)."
"DBSB_122","Classified as stellar group (IRGr)."
"DBSB_123","Classified as stellar group (IRGr)."
"DBSB_125","Classified as infrared cluster (IRC)."
"DBSB_126","Classified as infrared cluster (IRC)."
"DBSB_128","Classified as infrared cluster (IRC)."
"DBSB_129","Classified as infrared cluster (IRC)."
"DBSB_130","Classified as infrared cluster (IRC)."
"DBSB_131","Classified as infrared cluster (IRC)."
"DBSB_132","Classified as infrared cluster (IRC)."
"DBSB_133","Classified as infrared cluster (IRC)."
"DBSB_134","Classified as infrared cluster (IRC)."
"DBSB_135","Classified as infrared cluster (IRC)."
"DBSB_136","Classified as cluster candidate (IRCC)."
"DBSB_137","Classified as infrared cluster (IRC)."
"DBSB_138","Classified as stellar group (IRGr)."
"DBSB_139","Classified as infrared cluster (IRC)."
"DBSB_140","Classified as infrared cluster (IRC)."
"DBSB_141","Classified as cluster candidate (IRCC)."
"DBSB_142","Classified as cluster candidate (IRCC)."
"DBSB_143","Classified as infrared cluster (IRC)."
"DBSB_144","Classified as infrared cluster (IRC)."
"DBSB_145","Classified as stellar group (IRGr)."
"DBSB_146","Classified as infrared cluster (IRC)."
"DBSB_147","Classified as infrared cluster (IRC)."
"DBSB_148","Classified as cluster candidate (IRCC)."
"DBSB_149","Classified as cluster candidate (IRCC)."
"DBSB_150","Classified as stellar group (IRGr)."
"DBSB_151","Classified as cluster candidate (IRCC)."
"DBSB_152","Classified as stellar group (IRGr)."
"DBSB_153","Classified as cluster candidate (IRCC)."
"DBSB_154","Classified as cluster candidate (IRCC)."
"DBSB_155","Classified as infrared cluster (IRC)."
"DBSB_156","Classified as infrared cluster (IRC)."
"DBSB_157","Classified as cluster candidate (IRCC)."
"DBSB_158","Classified as cluster candidate (IRCC)."
"DBSB_159","Classified as infrared cluster (IRC)."
"DBSB_160","Classified as cluster candidate (IRCC)."
"DBSB_161","Classified as infrared cluster (IRC)."
"DBSB_162","Classified as infrared cluster (IRC)."
"DBSB_163","Classified as infrared cluster (IRC)."
"DBSB_164","Classified as infrared cluster (IRC)."
"DBSB_165","Classified as infrared cluster (IRC)."
"DBSB_166","Classified as stellar group (IRGr)."
"DBSB_167","Classified as open cluster (IROC)."
"DBSB_168","Classified as cluster candidate (IRCC)."
"DBSB_169","Classified as infrared cluster (IRC)."
"DBSB_170","Classified as cluster candidate (IRCC)."
"DBSB_171","Classified as stellar group (IRGr)."
"DBSB_172","Classified as infrared cluster (IRC)."
"DBSB_173","Classified as infrared cluster (IRC)."
"DBSB_174","Classified as cluster candidate (IRCC)."
"DBSB_175","Classified as cluster candidate (IRCC)."
"DBSB_176","Classified as infrared cluster (IRC)."
"DBSB_177","Classified as cluster candidate (IRCC)."
"DBSB_178","Classified as infrared cluster (IRC)."
"DBSB_179","Classified as infrared cluster (IRC)."
