"Cluster","Comment"
"ASCC_10","Ellipticities (core, all): e_core=0.1823, e_all=0.2643."
"ASCC_101","Ellipticities (core, all): e_core=0.3538, e_all=0.4315."
"ASCC_105","Ellipticities (core, all): e_core=0.1969, e_all=0.0748."
"ASCC_107","Ellipticities (core, all): e_core=0.194, e_all=0.155."
"ASCC_108","Ellipticities (core, all): e_core=0.4181, e_all=0.2192."
"ASCC_11","Ellipticities (core, all): e_core=0.1692, e_all=0.3133."
"ASCC_110","Ellipticities (core, all): e_core=0.1359, e_all=0.1782."
"ASCC_111","Ellipticities (core, all): e_core=0.3093, e_all=0.0482."
"ASCC_113","Ellipticities (core, all): e_core=0.0816, e_all=0.0548."
"ASCC_114","Ellipticities (core, all): e_core=0.1957, e_all=0.2056."
"ASCC_115","Ellipticities (core, all): e_core=0.3696, e_all=0.4748."
"ASCC_12","Ellipticities (core, all): e_core=0.2163, e_all=0.0914."
"ASCC_123","Ellipticities (core, all): e_core=0.449, e_all=0.2335."
"ASCC_127","Ellipticities (core, all): e_core=0.4202, e_all=0.1441."
"ASCC_128","Ellipticities (core, all): e_core=0.1745, e_all=0.1551."
"ASCC_13","Ellipticities (core, all): e_core=0.0676, e_all=0.2181."
"ASCC_16","Ellipticities (core, all): e_core=0.0982, e_all=0.2542."
"ASCC_19","Ellipticities (core, all): e_core=0.3434, e_all=0.0227."
"ASCC_21","Ellipticities (core, all): e_core=0.3943, e_all=0.1449."
"ASCC_23","Ellipticities (core, all): e_core=0.0564, e_all=0.0789."
"ASCC_29","Ellipticities (core, all): e_core=0.1847, e_all=0.1652."
"ASCC_30","Ellipticities (core, all): e_core=0.213, e_all=0.0912."
"ASCC_32","Ellipticities (core, all): e_core=0.2794, e_all=0.0682."
"ASCC_41","Ellipticities (core, all): e_core=0.404, e_all=0.4015."
"ASCC_58","Ellipticities (core, all): e_core=0.0818, e_all=0.136."
"ASCC_6","Ellipticities (core, all): e_core=0.0569, e_all=0.2032."
"ASCC_66","Ellipticities (core, all): e_core=0.4012, e_all=0.2744."
"ASCC_67","Ellipticities (core, all): e_core=0.3785, e_all=0.0986."
"ASCC_71","Ellipticities (core, all): e_core=0.2606, e_all=0.1925."
"ASCC_73","Ellipticities (core, all): e_core=0.1272, e_all=0.0986."
"ASCC_77","Ellipticities (core, all): e_core=0.0836, e_all=0.0818."
"ASCC_79","Ellipticities (core, all): e_core=0.0532, e_all=0.054."
"ASCC_85","Ellipticities (core, all): e_core=0.404, e_all=0.1822."
"ASCC_87","Ellipticities (core, all): e_core=0.3201, e_all=0.4304."
"ASCC_88","Ellipticities (core, all): e_core=0.0645, e_all=0.1711."
"ASCC_9","Ellipticities (core, all): e_core=0.2138, e_all=0.0739."
"ASCC_90","Ellipticities (core, all): e_core=0.2662, e_all=0.2124."
"ASCC_97","Ellipticities (core, all): e_core=0.175, e_all=0.0792."
"ASCC_99","Ellipticities (core, all): e_core=0.4047, e_all=0.2078."
"Alessi_1","Ellipticities (core, all): e_core=0.4225, e_all=0.2188."
"Alessi_10","Ellipticities (core, all): e_core=0.2615, e_all=0.2586."
"Alessi_12","Ellipticities (core, all): e_core=0.205, e_all=0.2342."
"Alessi_13","Ellipticities (core, all): e_core=0.5275, e_all=0.6241."
"Alessi_15","Ellipticities (core, all): e_core=0.2739, e_all=0.1829."
"Alessi_18","Ellipticities (core, all): e_core=0.2402, e_all=0.0416."
"Alessi_19","Ellipticities (core, all): e_core=0.4174, e_all=0.3191."
"Alessi_2","Ellipticities (core, all): e_core=0.2799, e_all=0.4225."
"Alessi_20","Ellipticities (core, all): e_core=0.213, e_all=0.2239."
"Alessi_21","Ellipticities (core, all): e_core=0.1417, e_all=0.2245."
"Alessi_24","Ellipticities (core, all): e_core=0.4114, e_all=0.5676."
"Alessi_3","Ellipticities (core, all): e_core=0.1702, e_all=0.2685."
"Alessi_31","Ellipticities (core, all): e_core=0.3469, e_all=0.2857."
"Alessi_37","Ellipticities (core, all): e_core=0.1351, e_all=0.0845."
"Alessi_43","Ellipticities (core, all): e_core=0.4662, e_all=0.3734."
"Alessi_44","Ellipticities (core, all): e_core=0.4075, e_all=0.1838."
"Alessi_5","Ellipticities (core, all): e_core=0.174, e_all=0.2929."
