"Cluster","Comment"
"ADS_16795","Classified as moving group. CMD class: 0.83 (50th percentile)."
"AH03_J0748-26.9","Classified as open cluster. CMD classes: 1.00 (50th percentile), true positive (human-assigned)."
"ASCC_5","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_6","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_9","Classified as open cluster. CMD classes: 1.00 (50th percentile), true positive (human-assigned)."
"ASCC_11","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_12","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_13","Classified as open cluster. CMD classes: 1.00 (50th percentile), true positive (human-assigned)."
"ASCC_14","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_18","Classified as moving group. CMD class: 0.99 (50th percentile)."
"ASCC_19","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_20","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"ASCC_21","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_23","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_24","Classified as moving group. CMD class: 0.98 (50th percentile)."
"ASCC_27","Classified as open cluster. CMD class: 0.95 (50th percentile)."
"ASCC_28","Classified as open cluster. CMD classes: 1.00 (50th percentile), true positive (human-assigned)."
"ASCC_29","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_30","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_33","Classified as moving group. CMD class: 0.99 (50th percentile)."
"ASCC_36","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"ASCC_45","Classified as open cluster. CMD class: 0.88 (50th percentile)."
"ASCC_51","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_52","Classified as moving group. CMD classes: 0.98 (50th percentile), true positive (human-assigned)."
"ASCC_58","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_59","Classified as moving group. CMD class: 0.88 (50th percentile)."
"ASCC_60","Classified as open cluster. CMD class: 0.04 (50th percentile)."
"ASCC_61","Classified as open cluster. CMD class: 0.98 (50th percentile)."
"ASCC_62","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_63","Classified as open cluster. CMD class: 0.36 (50th percentile)."
"ASCC_65","Classified as open cluster. CMD classes: 0.97 (50th percentile), true positive? (human-assigned)."
"ASCC_66","Classified as open cluster. CMD class: 0.81 (50th percentile)."
"ASCC_67","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_69","Classified as moving group. CMD class: 1.00 (50th percentile)."
"ASCC_71","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_72","Classified as open cluster. CMD class: 0.24 (50th percentile)."
"ASCC_73","Classified as moving group. CMD class: 1.00 (50th percentile)."
"ASCC_75","Classified as open cluster. CMD class: 0.98 (50th percentile)."
"ASCC_77","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_79","Classified as open cluster. CMD class: 0.97 (50th percentile)."
"ASCC_84","Classified as moving group. CMD class: 0.94 (50th percentile)."
"ASCC_85","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_87","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"ASCC_88","Classified as open cluster. CMD class: 1.00 (50th percentile)."
"ASCC_90","Classified as open cluster. CMD class: 0.95 (50th percentile)."
"ASCC_93","Classified as open cluster. CMD classes: 0.13 (50th percentile), false positive (human-assigned)."
"ASCC_94","Classified as open cluster. CMD class: 0.97 (50th percentile)."
"ASCC_95","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"ASCC_99","Classified as open cluster. CMD class: 0.99 (50th percentile)."
"ASCC_100","Classified as moving group. CMD class: 0.94 (50th percentile)."
"ASCC_101","Classified as open cluster. CMD class: 0.99 (50th percentile)."
