"Cluster","Comment"
"Alessi_10","Tidal & Core radii: r_t=143+/-69.9 [pc], r_c=0.4+/-0.0 [pc]; stars within r_t: N~100"
"Alessi_12","Tidal & Core radii: r_t=34+/-7.6 [pc], r_c=0.63+/-0.01 [pc]; stars within r_t: N~302"
"Alessi_19","Tidal & Core radii: r_t=22+/-23.5 [pc], r_c=0.24+/-0.02 [pc]; stars within r_t: N~91"
"Alessi_2","Tidal & Core radii: r_t=37+/-14.6 [pc], r_c=0.55+/-0.0 [pc]; stars within r_t: N~192"
"Alessi_20","Tidal & Core radii: r_t=79+/-36.8 [pc], r_c=0.35+/-0.0 [pc]; stars within r_t: N~297"
"Alessi_21","Tidal & Core radii: r_t=44+/-22.1 [pc], r_c=0.48+/-0.0 [pc]; stars within r_t: N~225"
"Alessi_24","Tidal & Core radii: r_t=10+/-1.1 [pc], r_c=0.58+/-0.01 [pc]; stars within r_t: N~147"
"Alessi_3","Tidal & Core radii: r_t=39+/-11.9 [pc], r_c=0.53+/-0.01 [pc]; stars within r_t: N~194"
"Alessi_31","Tidal & Core radii: r_t=52+/-43.9 [pc], r_c=0.46+/-0.0 [pc]; stars within r_t: N~163"
"Alessi_37","Tidal & Core radii: r_t=74+/-56.1 [pc], r_c=0.54+/-0.0 [pc]; stars within r_t: N~195"
"Alessi_43","Tidal & Core radii: r_t=52+/-27.9 [pc], r_c=0.18+/-0.0 [pc]; stars within r_t: N~497"
"Alessi_5","Tidal & Core radii: r_t=26+/-5.0 [pc], r_c=0.71+/-0.01 [pc]; stars within r_t: N~412"
"Alessi_6","Tidal & Core radii: r_t=25+/-11.8 [pc], r_c=0.65+/-0.02 [pc]; stars within r_t: N~180"
"Alessi_60","Tidal & Core radii: r_t=68+/-64.0 [pc], r_c=0.59+/-0.0 [pc]; stars within r_t: N~100"
"Alessi_62","Tidal & Core radii: r_t=21+/-6.5 [pc], r_c=0.4+/-0.0 [pc]; stars within r_t: N~180"
"Alessi_8","Tidal & Core radii: r_t=18+/-19.5 [pc], r_c=0.39+/-0.06 [pc]; stars within r_t: N~78"
"Alessi_9","Tidal & Core radii: r_t=190+/-25.5 [pc], r_c=0.52+/-0.0 [pc]; stars within r_t: N~221"
"Antalova_2","Tidal & Core radii: r_t=107+/-55.4 [pc], r_c=0.65+/-0.0 [pc]; stars within r_t: N~339"
"ASCC_101","Tidal & Core radii: r_t=192+/-29.4 [pc], r_c=0.26+/-0.0 [pc]; stars within r_t: N~134"
"ASCC_105","Tidal & Core radii: r_t=54+/-43.5 [pc], r_c=0.37+/-0.0 [pc]; stars within r_t: N~218"
"ASCC_107","Tidal & Core radii: r_t=104+/-76.1 [pc], r_c=0.51+/-0.0 [pc]; stars within r_t: N~145"
"ASCC_108","Tidal & Core radii: r_t=86+/-44.8 [pc], r_c=0.42+/-0.0 [pc]; stars within r_t: N~293"
"ASCC_11","Tidal & Core radii: r_t=34+/-23.6 [pc], r_c=0.58+/-0.03 [pc]; stars within r_t: N~256"
"ASCC_110","Tidal & Core radii: r_t=143+/-65.3 [pc], r_c=0.28+/-0.0 [pc]; stars within r_t: N~94"
"ASCC_111","Tidal & Core radii: r_t=66+/-50.2 [pc], r_c=0.35+/-0.0 [pc]; stars within r_t: N~149"
"ASCC_113","Tidal & Core radii: r_t=25+/-2.3 [pc], r_c=0.77+/-0.01 [pc]; stars within r_t: N~298"
"ASCC_114","Tidal & Core radii: r_t=23+/-5.4 [pc], r_c=0.58+/-0.03 [pc]; stars within r_t: N~235"
"ASCC_115","Tidal & Core radii: r_t=200+/-0.0 [pc], r_c=0.29+/-0.0 [pc]; stars within r_t: N~95"
"ASCC_12","Tidal & Core radii: r_t=84+/-65.8 [pc], r_c=0.5+/-0.0 [pc]; stars within r_t: N~179"
"ASCC_127","Tidal & Core radii: r_t=191+/-22.7 [pc], r_c=0.36+/-0.0 [pc]; stars within r_t: N~262"
"ASCC_128","Tidal & Core radii: r_t=92+/-69.7 [pc], r_c=0.36+/-0.0 [pc]; stars within r_t: N~123"
"ASCC_13","Tidal & Core radii: r_t=200+/-0.0 [pc], r_c=0.5+/-0.0 [pc]; stars within r_t: N~133"
