"Cluster","Comment"
"Theia_117","Classified as primordial binary cluster 1 along with ADS_16795, and as primordial binary cluster 134 along with Delta_Cephei_Cluster, and of multiple system 4 along with ADS_16795 and Delta_Cephei_Cluster."
"ADS_16795","Classified as primordial binary cluster 1 along with Theia_117, and of multiple system 4 along with Delta_Cephei_Cluster and Theia_117."
"ASCC_12","Classified as tidal capture (resonant trapping binary) 2 along with HXHWL_18, and as tidal capture (resonant trapping binary) 46 along with COIN-Gaia_39, and of multiple system 2 along with COIN-Gaia_10, COIN-Gaia_39, HSC_1308 and HXHWL_18."
"HXHWL_18","Classified as tidal capture (resonant trapping binary) 2 along with ASCC_12, and as primordial binary cluster 190 along with HSC_1308, and of multiple system 2 along with COIN-Gaia_10, COIN-Gaia_39, HSC_1308 and ASCC_12."
"CWNU_350","Classified as tidal capture (resonant trapping binary) 3 along with ASCC_13."
"ASCC_13","Classified as tidal capture (resonant trapping binary) 3 along with CWNU_350."
"Theia_13","Classified as primordial binary cluster 4 along with ASCC_18, and as primordial binary cluster 321 along with OCSN_65, and as primordial binary cluster 337 along with Sigma_Orionis, and of multiple system 3 along with ASCC_18, Sigma_Orionis, OCSN_65 and CWNU_1054."
"ASCC_18","Classified as primordial binary cluster 4 along with Theia_13, and of multiple system 3 along with Sigma_Orionis, OCSN_65, CWNU_1054 and Theia_13."
"UBC_17a","Classified as primordial binary cluster 5 along with ASCC_19, and as primordial binary cluster 320 along with OCSN_61, and of multiple system 1 along with OCSN_61 and ASCC_19."
"ASCC_19","Classified as primordial binary cluster 5 along with UBC_17a, and of multiple system 1 along with UBC_17a and OCSN_61."
"Briceno_1","Classified as primordial binary cluster 6 along with ASCC_20, and as primordial binary cluster 7 along with ASCC_21, and of multiple system 5 along with ASCC_21 and ASCC_20."
"ASCC_20","Classified as primordial binary cluster 6 along with Briceno_1, and of multiple system 5 along with ASCC_21 and Briceno_1."
"ASCC_21","Classified as primordial binary cluster 7 along with Briceno_1, and of multiple system 5 along with ASCC_20 and Briceno_1."
"CWNU_61","Classified as tidal capture (resonant trapping binary) 8 along with ASCC_51."
"ASCC_51","Classified as tidal capture (resonant trapping binary) 8 along with CWNU_61."
"NGC_3228","Classified as tidal capture (resonant trapping binary) 9 along with ASCC_58."
"ASCC_58","Classified as tidal capture (resonant trapping binary) 9 along with NGC_3228."
"HSC_2406","Classified as primordial binary cluster 10 along with ASCC_65, and as primordial binary cluster 228 along with NGC_3590, and of multiple system 6 along with ASCC_65 and NGC_3590."
"ASCC_65","Classified as primordial binary cluster 10 along with HSC_2406, and of multiple system 6 along with HSC_2406 and NGC_3590."
"ESO_064-05","Classified as primordial binary cluster 11 along with ASCC_71."
"ASCC_71","Classified as primordial binary cluster 11 along with ESO_064-05."
"ASCC_85","Classified as tidal capture (resonant trapping binary) 12 along with NGC_6178."
"NGC_6178","Classified as tidal capture (resonant trapping binary) 12 along with ASCC_85."
"Stephenson_1","Classified as primordial binary cluster 13 along with ASCC_100, and of multiple system 7 along with ASCC_101 and ASCC_100."
"ASCC_100","Classified as primordial binary cluster 13 along with Stephenson_1, and as tidal capture (resonant trapping binary) 14 along with ASCC_101, and of multiple system 7 along with Stephenson_1 and ASCC_101."
"ASCC_101","Classified as tidal capture (resonant trapping binary) 14 along with ASCC_100, and of multiple system 7 along with Stephenson_1 and ASCC_100."
"ASCC_108","Classified as tidal capture (resonant trapping binary) 15 along with HSC_582."
"HSC_582","Classified as tidal capture (resonant trapping binary) 15 along with ASCC_108."
"ASCC_125","Classified as primordial binary cluster 16 along with HSC_862, and as primordial binary cluster 374 along with UBC_178, and of multiple system 8 along with UPK_198, Theia_4, UBC_178 and HSC_862."
