"Cluster","Comment"
"ASCC_20","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.17/5.6 Msun"
"Alessi_24","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.26/3.77 Msun"
"VDBH_99, BH_99","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.19/5.16 Msun"
"Blanco_1","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.18/3.01 Msun"
"COIN-Gaia_12","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.47/2.08 Msun"
"COIN-Gaia_24","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.57/2.57 Msun"
"Collinder_135","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.17/3.6 Msun"
"Melotte_111","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.12/2.17 Msun"
"NGC_1039","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.3/3.04 Msun"
"NGC_1901","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.25/1.81 Msun"
"NGC_2215","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.47/2.07 Msun"
"NGC_2287","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.36/3.23 Msun"
"NGC_2301","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.4/3.25 Msun"
"NGC_2360","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.49/1.81 Msun"
"NGC_2447","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.47/2.12 Msun"
"NGC_2482","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.58/2.43 Msun"
"NGC_2516","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.25/3.55 Msun"
"NGC_2539","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.56/2.08 Msun"
"NGC_2682","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.44/1.2 Msun"
"NGC_3114","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.45/3.74 Msun"
"NGC_3532","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.27/2.75 Msun"
"NGC_3680","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.5/1.51 Msun"
"NGC_5460","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.45/3.25 Msun"
"NGC_5822","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.49/1.87 Msun"
"NGC_6475","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.24/2.84 Msun"
"NGC_6633","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.25/2.02 Msun"
"NGC_6811","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.49/1.85 Msun"
"NGC_6866","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.61/2.06 Msun"
"NGC_6940","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.5/1.83 Msun"
"NGC_6991","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.36/1.61 Msun"
"NGC_7058","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.21/4.47 Msun"
"NGC_7063","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.34/4.12 Msun"
"NGC_752","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.26/1.51 Msun"
"RSG_5","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.18/4.4 Msun"
"Ruprecht_147","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.29/1.29 Msun"
"Stephenson_1","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.22/3.74 Msun"
"Stock_1","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.3/2.27 Msun"
"UPK_136","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.37/4.2 Msun"
"UPK_303","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.2/2.86 Msun"
"UPK_429","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.5/2.0 Msun"
"UPK_467","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.35/3.21 Msun"
"UPK_612","Lowest/Highest stellar mass in the catalogue with a mass-ratio estimate: 0.18/2.24 Msun"
