"Cluster","Comment"
"MCM_1","Association of stars. Associated with mid-IR extended emission."
"MCM_2","Associated with mid-IR extended emission. Cluster of stars."
"MCM_3","Cluster of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm."
"MCM_4","Association of stars. Associated with mid-IR extended emission. Detected in 2MASS catalog with our algorithm."
"MCM_6","Association of stars. Detected in 2MASS catalog with our algorithm."
"MCM_7","Association of stars. Detected in 2MASS catalog with our algorithm. Appears in 2MASS images."
"MCM_8","Cluster of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm."
"MCM_9","Cluster of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm."
"MCM_10","Association of stars. Appears in 2MASS images."
"MCM_11","Association of stars. Detected in 2MASS catalog with our algorithm."
"MCM_12","Association of stars. Associated with mid-IR extended emission. Detected in 2MASS catalog with our algorithm."
"MCM_13","Cluster of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm."
"MCM_14","Associated with mid-IR extended emission. Cluster of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm. Detected using 'bright' 3.6m magnitude cut."
"MCM_15","Associated with mid-IR extended emission. Cluster of stars."
"MCM_16","Association of stars. Associated with mid-IR extended emission. Detected in 2MASS catalog with our algorithm."
"MCM_17","Association of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm."
"MCM_18","Associated with mid-IR extended emission. Cluster of stars."
"MCM_19","Association of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm."
"MCM_20","Cluster of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm. Detected using 'bright' 3.6m magnitude cut."
"MCM_21","Associated with mid-IR extended emission. Cluster of stars."
"MCM_22","Associated with mid-IR extended emission. Cluster of stars."
"MCM_23","Association of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm. Appears in 2MASS images."
"MCM_24","Associated with mid-IR extended emission. Cluster of stars."
"MCM_25","Associated with mid-IR extended emission. Cluster of stars. Appears in 2MASS images."
"MCM_26","Cluster of stars. Detected using no magnitude cut. Appears in 2MASS images."
"MCM_27","Association of stars. Detected using no magnitude cut. Appears in 2MASS images."
"MCM_28","Associated with mid-IR extended emission. Cluster of stars."
"MCM_29","Associated with mid-IR extended emission. Cluster of stars."
"MCM_30","Cluster of stars. Detected using no magnitude cut. Detected in 2MASS catalog with our algorithm. Appears in 2MASS images. Detected using 'bright' 3.6m magnitude cut."
"MCM_31","Associated with mid-IR extended emission. Cluster of stars."
"MCM_32","Associated with mid-IR extended emission. Cluster of stars. Detected using no magnitude cut. Appears in 2MASS images."
"MCM_33","Associated with mid-IR extended emission. Cluster of stars."
"MCM_34","Associated with mid-IR extended emission. Cluster of stars."
"MCM_35","Association of stars. Detected using no magnitude cut. Appears in 2MASS images. Detected using 'bright' 3.6m magnitude cut."
"MCM_36","Associated with mid-IR extended emission. Cluster of stars."
