"Cluster","Comment"
"Andrews-Lindsay_5","Classified as optical pair P1, along with HSC_279."
"HSC_279","Classified as optical pair P1, along with Andrews-Lindsay_5."
"CWNU_207","Classified as tidal capture (resonant trapping pair) P10, along with HSC_2144."
"HSC_2144","Classified as tidal capture (resonant trapping pair) P10, along with CWNU_207."
"CWNU_1446","Classified as optical pair (not dynamically associated) P100, along with CWNU_1615."
"CWNU_1615","Classified as optical pair (not dynamically associated) P100, along with CWNU_1446."
"CWNU_1466","Classified as optical pair P101, along with HSC_2947."
"HSC_2947","Classified as optical pair P101, along with CWNU_1466."
"CWNU_1503","Classified as optical pair (not dynamically associated) P102, along with NGC_2302."
"NGC_2302","Classified as optical pair (not dynamically associated) P102, along with CWNU_1503."
"CWNU_284","Classified as optical pair P103, along with CWNU_1674."
"CWNU_1674","Classified as optical pair P103, along with CWNU_284."
"CWNU_1718","Classified as optical pair P104, along with CWNU_2446."
"CWNU_2446","Classified as optical pair P104, along with CWNU_1718."
"CWNU_175","Classified as optical pair P105, along with NGC_4609."
"NGC_4609","Classified as optical pair P105, along with CWNU_175."
"CWNU_1917","Classified as optical pair (not dynamically associated) P106, along with HSC_149."
"HSC_149","Classified as optical pair (not dynamically associated) P106, along with CWNU_1917."
"CWNU_1997","Classified as optical pair P107, along with UBC_397."
"UBC_397","Classified as optical pair P107, along with CWNU_1997."
"CWNU_2307","Classified as optical pair P108, along with HSC_1315."
"HSC_1315","Classified as optical pair P108, along with CWNU_2307."
"CWNU_2312","Classified as optical pair P109, along with FoF_1428."
"FoF_1428","Classified as optical pair P109, along with CWNU_2312."
"CWNU_2105","Classified as tidal capture (resonant trapping pair) P11, along with HSC_1440."
"HSC_1440","Classified as tidal capture (resonant trapping pair) P11, along with CWNU_2105."
"CWNU_2338","Classified as optical pair (not dynamically associated) P110, along with UBC_379."
"UBC_379","Classified as optical pair (not dynamically associated) P110, along with CWNU_2338."
"CWNU_2481","Classified as optical pair (not dynamically associated) P111, along with NGC_6216."
"NGC_6216","Classified as optical pair (not dynamically associated) P111, along with CWNU_2481."
"CWNU_2717","Classified as optical pair (not dynamically associated) P112, along with FSR_0904."
"FSR_0904","Classified as optical pair (not dynamically associated) P112, along with CWNU_2717."
"CWNU_2718","Classified as optical pair P113, along with Dias_6."
"Dias_6","Classified as optical pair P113, along with CWNU_2718."
"CWNU_80","Classified as optical pair P114, along with Theia_282."
"Theia_282","Classified as optical pair P114, along with CWNU_80."
"Czernik_2","Classified as optical pair (not dynamically associated) P115, along with HSC_983."
"HSC_983","Classified as optical pair (not dynamically associated) P115, along with Czernik_2."
"FSR_0238","Classified as optical pair P116, along with HSC_630."
"HSC_630","Classified as optical pair P116, along with FSR_0238."
"FSR_0923","Classified as optical pair P117, along with FSR_0931."
"FSR_0931","Classified as optical pair P117, along with FSR_0923."
