"Cluster","Comment"
"ASCC 105","Belongs to cluster aggregate 'Agg01' along with UPK 82."
"UPK 82","Belongs to cluster aggregate 'Agg01' along with ASCC 105."
"ASCC 19","Belongs to cluster aggregate 'Agg02' along with Gulliver 6, UBC 17a and UBC 17b."
"Gulliver 6","Belongs to cluster aggregate 'Agg02' along with ASCC 19, UBC 17a and UBC 17b."
"UBC 17a","Belongs to cluster aggregate 'Agg02' along with ASCC 19, Gulliver 6 and UBC 17b."
"UBC 17b","Belongs to cluster aggregate 'Agg02' along with ASCC 19, Gulliver 6 and UBC 17a."
"ASCC 88","Belongs to cluster aggregate 'Agg03' along with Gulliver 29."
"Gulliver 29","Belongs to cluster aggregate 'Agg03' along with ASCC 88."
"Alessi 2","Belongs to cluster aggregate 'Agg04' along with UPK 312."
"UPK 312","Belongs to cluster aggregate 'Agg04' along with Alessi 2."
"Alessi 43","Belongs to cluster aggregate 'Agg05' along with Collinder 197."
"Collinder 197","Belongs to cluster aggregate 'Agg05' along with Alessi 43."
"Alessi 44","Belongs to cluster aggregate 'Agg06' along with UBC 14."
"UBC 14","Belongs to cluster aggregate 'Agg06' along with Alessi 44."
"Alessi 5","Belongs to cluster aggregate 'Agg07' along with BH 99."
"BH 99","Belongs to cluster aggregate 'Agg07' along with Alessi 5."
"Alessi Teutsch 5","Belongs cluster aggregate 'to' Agg08 along with BDSB30."
"BDSB30","Belongs to Agg08 cluster aggregate 'along' with Alessi Teutsch 5."
"BH 121","Belongs to cluster aggregate 'Agg09' along with IC 2948 and Ruprecht 94."
"IC 2948","Belongs to cluster aggregate 'Agg09' along with BH 121 and Ruprecht 94."
"Ruprecht 94","Belongs to cluster aggregate 'Agg09' along with BH 121 and IC 2948."
"Barkhatova 1","Belongs to cluster aggregate 'Agg10' along with Gulliver 30."
"Gulliver 30","Belongs to cluster aggregate 'Agg10' along with Barkhatova 1."
"Berkeley 58","Belongs to cluster aggregate 'Agg11' along with NGC 7788 and NGC 7790."
"NGC 7788","Belongs to cluster aggregate 'Agg11' along with Berkeley 58 and NGC 7790."
"NGC 7790","Belongs to cluster aggregate 'Agg11' along with Berkeley 58 and NGC 7788."
"Berkeley 62","Belongs to cluster aggregate 'Agg12' along with COIN-Gaia 29."
"COIN-Gaia 29","Belongs cluster aggregate 'to' Agg12 along with Berkeley 62."
"Berkeley 81","Belongs to cluster aggregate 'Agg13' along with NGC 6735."
"NGC 6735","Belongs to cluster aggregate 'Agg13' along with Berkeley 81."
"Biurakan 2","Belongs to cluster aggregate 'Agg14' along with FSR 0198, NGC 6871 and Teutsch 8."
"FSR 0198","Belongs to cluster aggregate 'Agg14' along with Biurakan 2, NGC 6871 and Teutsch 8."
"NGC 6871","Belongs to cluster aggregate 'Agg14' along with Biurakan 2, FSR 0198 and Teutsch 8."
"Teutsch 8","Belongs to cluster aggregate 'Agg14' along with Biurakan 2, FSR 0198 and NGC 6871."
