"Cluster","Comment"
"Berkeley_18","The red limit of the straggler area is BP-RP=1.31. There are several stragglers candidates with a radius larger than the apparent radius of the cluster (r=12 arcmin (Dias et al., 2002A&A...389..871D, Cat. B/ocl).  Apparently, stars DR2 208498367050003072, DR2 208543824983422848, DR2 208563959789949568 are massive stragglers. This object probably suffers from differential reddening. We suggest exploring this effect in future works."
"Berkeley_21","The red limit of the straggler area is BP-RP=1.44. Apparently, star Gaia DR2 3424171202249574656 is a massive straggler."
"Berkeley_22","The red limit of the straggler area is BP-RP=1.55."
"Berkeley_23","Best fit with log(t)=9.1, Av=1.2 and solar metallicity."
"Berkeley_29","Best fit with log(t)=9.4, E(b-v)=0.2 and solar metallicity."
"Berkeley_32","The red limit of the straggler area is BP-RP=0.86"
"Berkeley_39","The distance d=3035.4 (dmode+01) of Cantat-Gaudin et al.  (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the  isochrone. There are several stragglers candidates with a radius  larger than the apparent radius of the cluster (r=10 arcmin  (Dias et al., 2002A&A...389..871D, Cat. B/ocl)."
"Berkeley_70","The red limit of the straggler area is BP-RP=1.28. An isochrone of log(t)=9.3 provide a better fit."
"Blanco_1","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.975, Av=0.031, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star Zeta Sculptoris=HD 224990=DR2 2320885329010329216 as a possible blue straggler however, according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) it is not a member."
"Coin_15","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.219, E(b-v)=0.477 and Z=0.028 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Coin_2","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.635, E(b-v)=0.286 and Z=0.017 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Coin_35","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.273, E(b-v)=0.725 and Z=0.032 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Collinder_110","There are several stragglers candidates with a radius larger than the cluster's apparent radius (r=18.0 arcmin (Dias et al., 2002A&A...389..871D, Cat. B/ocl)."
"Collinder_140","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.473, Av=0.105, [Fe/H]=0.010 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"Collinder_261","There are several stragglers candidates with a radius larger than the apparent radius of the cluster (r=9.0 arcmin (Dias et al., 2002A&A...389..871D, Cat. B/ocl). This object probably suffers from differential reddening. We suggest exploring this effect in future works."
"Collinder_394","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.969, Av=0.683, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d= 659.4 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"Collinder_463","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.427, Av =0.836, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=789.8 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"Gulliver_1","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters  log(t)=9.13, E(B-V)=0.220 and Z=0.016 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Gulliver_12","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=7.909, E(b-v)=0.268 and Z=0.014 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Gulliver_21","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.536, E(b-v)=0.054 and Z=0.038 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Gulliver_23","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.768, E(b-v)=0.828 and Z=0.030 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Gulliver_27","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.504, E(b-v)=0.603 and Z=0.005 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Gulliver_36","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.813, E(b-v)=0.181 and Z=0.040 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Gulliver_39","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.918, E(b-v)=0.716 and Z=0.016 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Gulliver_4","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters  log(t)=9.16, E(b-v)=0.509 and Z=0.021 are from Monteiro & Dias (2019MNRAS.487.2385M)."
"Gulliver_40","This cluster was not include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl), parameters log(t)=8.244, E(b-v)=0.255 and Z=0.010 are from Monteiro & Dias (2019MNRAS.487.2385M)."
