"Cluster","Comment"
"Alessi 3","The expected number of WDs is 8.8, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Alessi 5","The expected number of WDs is 1.6, 0 WD candidates found, and 1 WD candidate found in the wide search."
"Alessi 8","The expected number of WDs is 1.6, 1 WD candidate found, and 2 WD candidates found in the wide search."
"Alessi 9","The expected number of WDs is 2.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Alessi 12","The expected number of WDs is 2.8, 0 WD candidates found, and 9 WD candidates found in the wide search."
"Alessi 19","The expected number of WDs is 0.54, 0 WD candidates found, and 25 WD candidates found in the wide search."
"Alessi 21","The expected number of WDs is 1.4, 1 WD candidate found, and 17 WD candidates found in the wide search."
"Alpha Per","The expected number of WDs is 0.72, 0 WD candidates found, and 1 WD candidate found in the wide search."
"ASCC 4","The expected number of WDs is 10.4, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 10","The expected number of WDs is 7.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 11","The expected number of WDs is 23.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 12","The expected number of WDs is 4.5, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 23","The expected number of WDs is 7.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 41","The expected number of WDs is 1.5, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 42","The expected number of WDs is 8.4, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 47","The expected number of WDs is 4.7, 1 WD candidate found, and 0 WD candidates found in the wide search."
"ASCC 68","The expected number of WDs is 23.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 101","The expected number of WDs is 4.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 103","The expected number of WDs is 3.5, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 113","The expected number of WDs is 13.3, 1 WD candidate found, and 16 WD candidates found in the wide search."
"ASCC 115","The expected number of WDs is 4.17, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 124","The expected number of WDs is 11.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"ASCC 128","The expected number of WDs is 7.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Blanco 1","The expected number of WDs is 3.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Bochum 5","The expected number of WDs is 11.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Collinder 121","The expected number of WDs is 0.0, 0 WD candidates found, and 15 WD candidates found in the wide search."
"Collinder 132","The expected number of WDs is 0.0, 0 WD candidates found, and 27 WD candidates found in the wide search."
"ESO 166-04","The expected number of WDs is 5.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"IC 2391","The expected number of WDs is 0.0, 0 WD candidates found, and 1 WD candidate found in the wide search."
"IC 2488","The expected number of WDs is 22.8, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Loden 143","The expected number of WDs is 0.55, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Lynga 2","The expected number of WDs is 3.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"M39","The expected number of WDs is 8.1, 1 WD candidate found, and 0 WD candidates found in the wide search."
"M44","The expected number of WDs is 27.8, 11 WD candidates found, and 0 WD candidates found in the wide search."
"M47","The expected number of WDs is 16.5, 1 WD candidate found, and 10 WD candidates found in the wide search."
"NGC 189","The expected number of WDs is 18.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 225","The expected number of WDs is 5.1, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1027","The expected number of WDs is 22.9, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1039","The expected number of WDs is 10.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1342","The expected number of WDs is 37.7, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1513","The expected number of WDs is 43.1, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1528","The expected number of WDs is 35.1, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1545","The expected number of WDs is 3.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1647","The expected number of WDs is 24.1, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1662","The expected number of WDs is 18.1, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1750","The expected number of WDs is 28.7, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1758","The expected number of WDs is 31.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 1778","The expected number of WDs is 20.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2099","The expected number of WDs is 327.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2184","The expected number of WDs is 5.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2186","The expected number of WDs is 21.7, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2281","The expected number of WDs is 28.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2287","The expected number of WDs is 24.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2301","The expected number of WDs is 25.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2302","The expected number of WDs is 8.7, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2323","The expected number of WDs is 26.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2335","The expected number of WDs is 17.8, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2343","The expected number of WDs is 3.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2396","The expected number of WDs is 4.5, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2430","The expected number of WDs is 47.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2448","The expected number of WDs is 7.4, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2451B","The expected number of WDs is 0.0, 0 WD candidates found, and 10 WD candidates found in the wide search."
"NGC 2516","The expected number of WDs is 34.6, 1 WD candidate found, and 6 WD candidates found in the wide search."
"NGC 2527","The expected number of WDs is 40.7, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2546","The expected number of WDs is 19.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2548","The expected number of WDs is 38.5, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2669","The expected number of WDs is 12.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2670","The expected number of WDs is 6.9, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 2925","The expected number of WDs is 3.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 3114","The expected number of WDs is 38.2, 1 WD candidate found, and 0 WD candidates found in the wide search."
"NGC 3330","The expected number of WDs is 2.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 3496","The expected number of WDs is 301.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 3532","The expected number of WDs is 19.7, 3 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 4609","The expected number of WDs is 2.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 4852","The expected number of WDs is 19.8, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 5316","The expected number of WDs is 28.7, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 5460","The expected number of WDs is 9.7, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 5662","The expected number of WDs is 7.8, 0 WD candidates found, and 1 WD candidate found in the wide search."
"NGC 5749","The expected number of WDs is 2.1, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6025","The expected number of WDs is 7.4, 0 WD candidates found, and 2 WD candidates found in the wide search."
"NGC 6087","The expected number of WDs is 5.5, 1 WD candidate found, and 0 WD candidates found in the wide search."
"NGC 6124","The expected number of WDs is 17.9, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6204","The expected number of WDs is 5.4, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6242","The expected number of WDs is 8.9, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6249","The expected number of WDs is 0.71, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6281","The expected number of WDs is 16.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6416","The expected number of WDs is 24.9, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6425","The expected number of WDs is 23.9, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6475","The expected number of WDs is 33.4, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6494","The expected number of WDs is 35.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6633","The expected number of WDs is 31.1, 1 WD candidate found, and 0 WD candidates found in the wide search."
"NGC 6709","The expected number of WDs is 12.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6716","The expected number of WDs is 3.2, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 6997","The expected number of WDs is 42.6, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 7063","The expected number of WDs is 1.8, 0 WD candidates found, and 1 WD candidate found in the wide search."
"NGC 7082","The expected number of WDs is 21.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 7086","The expected number of WDs is 46.0, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 7243","The expected number of WDs is 11.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"NGC 7654","The expected number of WDs is 20.3, 0 WD candidates found, and 0 WD candidates found in the wide search."
"Pismis 4","The expected number of WDs is 3.4, 0 WD candidates found, and 3 WD candidates found in the wide search."
"Platais 4","The expected number of WDs is 0.32, 0 WD candidates found, and 0 WD candidates found in the wide search."
