"Cluster","Comment"
"Alessi_10","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=3."
"Alessi_24","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=1."
"Alessi_3","Number of WDs: expected from single-star evolution N=11, with probability of formation through binary evolution >=0.5 N=5."
"Alessi_34","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=12."
"Alessi_37","Number of WDs: expected from single-star evolution N=5, with probability of formation through binary evolution >=0.5 N=1."
"Alessi_62","Number of WDs: expected from single-star evolution N=23, with probability of formation through binary evolution >=0.5 N=0."
"Alessi_9","Number of WDs: expected from single-star evolution N=3, with probability of formation through binary evolution >=0.5 N=1."
"Alessi_96","Number of WDs: expected from single-star evolution N=4, with probability of formation through binary evolution >=0.5 N=5."
"Alessi-Teutsch_12","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=1."
"ASCC_101","Number of WDs: expected from single-star evolution N=10, with probability of formation through binary evolution >=0.5 N=2."
"ASCC_127","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=2."
"ASCC_51","Number of WDs: expected from single-star evolution N=3, with probability of formation through binary evolution >=0.5 N=0."
"ASCC_87","Number of WDs: expected from single-star evolution N=4, with probability of formation through binary evolution >=0.5 N=1."
"ASCC_99","Number of WDs: expected from single-star evolution N=6, with probability of formation through binary evolution >=0.5 N=2."
"VDBH_23, BH_23","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=1."
"VDBH_56, BH_56","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=0."
"VDBH_99, BH_99","Number of WDs: expected from single-star evolution N=3, with probability of formation through binary evolution >=0.5 N=0."
"Blanco_1","Number of WDs: expected from single-star evolution N=3, with probability of formation through binary evolution >=0.5 N=1."
"COIN-Gaia_13","Number of WDs: expected from single-star evolution N=5, with probability of formation through binary evolution >=0.5 N=4."
"Collinder_132","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=1."
"Collinder_350","Number of WDs: expected from single-star evolution N=10, with probability of formation through binary evolution >=0.5 N=2."
"Collinder_394","Number of WDs: expected from single-star evolution N=6, with probability of formation through binary evolution >=0.5 N=1."
"Collinder_69","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=3."
"CWNU_1084","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=1."
"CWNU_45","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=1."
"CWNU_519","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=3."
"CWNU_522","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=3."
"Haffner_13","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=4."
"Harvard_10","Number of WDs: expected from single-star evolution N=7, with probability of formation through binary evolution >=0.5 N=0."
"Herschel_1","Number of WDs: expected from single-star evolution N=4, with probability of formation through binary evolution >=0.5 N=1."
"HSC_2304","Number of WDs: expected from single-star evolution N=6, with probability of formation through binary evolution >=0.5 N=0."
"HSC_2384","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=1."
"HSC_2403","Number of WDs: expected from single-star evolution N=3, with probability of formation through binary evolution >=0.5 N=1."
"HSC_2636","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=9."
"HSC_2733","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=3."
"IC_2391","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=3."
"IC_4665","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=1."
"IC_4756","Number of WDs: expected from single-star evolution N=54, with probability of formation through binary evolution >=0.5 N=1."
"LISC_3534","Number of WDs: expected from single-star evolution N=5, with probability of formation through binary evolution >=0.5 N=4."
"Loden_46","Number of WDs: expected from single-star evolution N=20, with probability of formation through binary evolution >=0.5 N=0."
"Melotte_111","Number of WDs: expected from single-star evolution N=8, with probability of formation through binary evolution >=0.5 N=1."
"Melotte_20","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=7."
"Melotte_22","Number of WDs: expected from single-star evolution N=4, with probability of formation through binary evolution >=0.5 N=11."
"NGC_1039","Number of WDs: expected from single-star evolution N=8, with probability of formation through binary evolution >=0.5 N=2."
"NGC_1662","Number of WDs: expected from single-star evolution N=17, with probability of formation through binary evolution >=0.5 N=1."
"NGC_1901","Number of WDs: expected from single-star evolution N=16, with probability of formation through binary evolution >=0.5 N=1."
"NGC_2281","Number of WDs: expected from single-star evolution N=23, with probability of formation through binary evolution >=0.5 N=1."
"NGC_2287","Number of WDs: expected from single-star evolution N=16, with probability of formation through binary evolution >=0.5 N=1."
"NGC_2422","Number of WDs: expected from single-star evolution N=5, with probability of formation through binary evolution >=0.5 N=2."
"NGC_2451B","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=1."
"NGC_2516","Number of WDs: expected from single-star evolution N=21, with probability of formation through binary evolution >=0.5 N=3."
"NGC_2527","Number of WDs: expected from single-star evolution N=24, with probability of formation through binary evolution >=0.5 N=1."
"NGC_2548","Number of WDs: expected from single-star evolution N=28, with probability of formation through binary evolution >=0.5 N=1."
"NGC_2632","Number of WDs: expected from single-star evolution N=26, with probability of formation through binary evolution >=0.5 N=13."
"NGC_2682","Number of WDs: expected from single-star evolution N=244, with probability of formation through binary evolution >=0.5 N=2."
"NGC_3532","Number of WDs: expected from single-star evolution N=62, with probability of formation through binary evolution >=0.5 N=10."
"NGC_5822","Number of WDs: expected from single-star evolution N=112, with probability of formation through binary evolution >=0.5 N=0."
"NGC_6405","Number of WDs: expected from single-star evolution N=14, with probability of formation through binary evolution >=0.5 N=1."
"NGC_6475","Number of WDs: expected from single-star evolution N=21, with probability of formation through binary evolution >=0.5 N=9."
"NGC_6633","Number of WDs: expected from single-star evolution N=34, with probability of formation through binary evolution >=0.5 N=4."
"NGC_6716","Number of WDs: expected from single-star evolution N=3, with probability of formation through binary evolution >=0.5 N=0."
"NGC_6991","Number of WDs: expected from single-star evolution N=45, with probability of formation through binary evolution >=0.5 N=3."
"NGC_752","Number of WDs: expected from single-star evolution N=46, with probability of formation through binary evolution >=0.5 N=3."
"OC_0185","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=0."
"OC_0407","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=1."
"OC_0450","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=4."
"OC_0588","Number of WDs: expected from single-star evolution N=26, with probability of formation through binary evolution >=0.5 N=1."
"OCSN_77","Number of WDs: expected from single-star evolution N=4, with probability of formation through binary evolution >=0.5 N=1."
"Pismis_4","Number of WDs: expected from single-star evolution N=5, with probability of formation through binary evolution >=0.5 N=1."
"Platais_12","Number of WDs: expected from single-star evolution N=6, with probability of formation through binary evolution >=0.5 N=7."
"Platais_8","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=1."
"Platais_9","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=13."
"Pozzo_1","Number of WDs: expected from single-star evolution N=0, with probability of formation through binary evolution >=0.5 N=1."
"Roslund_6","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=4."
"RSG_4","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=4."
"RSG_5","Number of WDs: expected from single-star evolution N=1, with probability of formation through binary evolution >=0.5 N=1."
"Ruprecht_147","Number of WDs: expected from single-star evolution N=68, with probability of formation through binary evolution >=0.5 N=3."
"Ruprecht_91","Number of WDs: expected from single-star evolution N=5, with probability of formation through binary evolution >=0.5 N=0."
"Stock_1","Number of WDs: expected from single-star evolution N=11, with probability of formation through binary evolution >=0.5 N=3."
"Stock_10","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=0."
"Stock_12","Number of WDs: expected from single-star evolution N=3, with probability of formation through binary evolution >=0.5 N=2."
"Stock_2","Number of WDs: expected from single-star evolution N=36, with probability of formation through binary evolution >=0.5 N=21."
"Theia_1023","Number of WDs: expected from single-star evolution N=2, with probability of formation through binary evolution >=0.5 N=1."
