"Cluster","RA","DEC","GLON","GLAT","Class","Diam","Dist","E(B-V)","n_E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","Nc","r_pmRA","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","RAJ2000","DEJ2000"
"Berkeley 58","00 00 12","+60 58 00",116.7534,-1.2889,"nan",5.0,3715.0,0.55,"nan",8.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.05002,60.96671
"NGC 7801","00 00 21","+50 44 30",114.7295,-11.3147," r",8.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.08752,50.74162
"Stock 18","00 01 36","+64 39 00",117.6276,2.2928,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.40005,64.65005
"Berkeley 59","00 02 36","+67 23 00",118.2493,4.9567,"nan",10.0,"nan","nan","nan","nan",-2.11,0.81,-1.2,0.75,-2.3,-0.78,2.0," BDW",-11.0,30.0,"nan"," RGDZ","nan","nan","nan",0.64985,67.38336
"Berkeley 104","00 03 30","+63 36 00",117.6332,1.2225,"nan",3.0,4365.0,0.45,"nan",8.89,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.07,"nan","nan",0.87495,63.59999
"Blanco 1","00 04 07","-29 50 00",15.5719,-79.2612,"nan",70.0,269.0,0.01,"nan",7.796,20.17,2.58,3.0,2.58,-1.15,-20.36,27.0," TYC","nan","nan","nan","nan",0.23,0.06,"nan",1.02919,-29.83332
"Stock 19","00 04 24","+56 02 00",116.3545,-6.2365,"nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.09993,56.03337
"NGC 7826","00 05 17","-20 41 30",61.8749,-77.6529," r",20.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.32083,-20.69167
"NGC 7833","00 06 31","+27 38 24",110.8946,-34.1796," n","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.62914,27.63997
"Czernik 1","00 07 42","+61 25 00",117.7242,-1.012,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1.925,61.41672
"Berkeley 1","00 09 36","+60 26 00",117.7894,-2.02,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.40006,60.43334
"King 13","00 10 06","+61 13 00",117.9754,-1.2566,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",2.52488,61.21669
"Berkeley 60","00 17 42","+60 58 00",118.8482,-1.6373,"nan",3.0,4365.0,0.86,"nan",8.2,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.07,"nan","nan",4.42508,60.96666
"Mayer 1","00 21 54","+61 45 00",119.4438,-0.9215,"nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",5.47506,61.75004
"King 1","00 22 00","+64 24 00",119.7577,1.7098,"nan",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",5.50001,64.39997
"Stock 20","00 24 54","+62 39 00",119.8892,-0.0649,"nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",6.22489,62.64996
"NGC 103","00 25 16","+61 19 24",119.7966,-1.389,"nan",4.0,3026.0,0.406,"nan",8.126,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",6.3167,61.32333
"Berkeley 2","00 25 18","+60 24 00",119.7069,-2.308,"nan",2.0,5250.0,0.8,"nan",8.9,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",6.32491,60.39997
"NGC 110","00 27 25","+71 23 00",120.9962,8.6019," d",20.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",6.85421,71.38331
"NGC 129","00 30 00","+60 13 06",120.2702,-2.5426,"nan",19.0,1625.0,0.548,"nan",7.886,-1.06,2.81,1.6,2.81,-0.92,1.68,10.0," TYC",-38.5,0.2,1.0," MMB","nan","nan","nan",7.50001,60.21831
"Stock 21","00 30 06","+57 59 00",120.0969,-4.7709,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",7.52504,57.98334
"NGC 133","00 31 19","+63 21 00",120.6778,0.5663,"nan",7.0,630.0,0.6,"nan",7.0,-0.7,4.7,-0.4,3.6,-0.73,-0.34,8.0," Car","nan","nan","nan","nan","nan","nan","nan",7.82909,63.34995
"NGC 136","00 31 31","+61 30 36",120.558,-1.2699,"nan",1.5,4093.0,0.56,"nan",8.3,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",7.87913,61.50999
