"process","fname","N_clust","N_clust_max","Nbox","frame_limit"
"no",ubc161,nan,nan,nan,""
"no",ubc48,nan,nan,nan,""
"no",ubc50,nan,nan,nan,""
"no",ubc67,nan,nan,nan,""
"no",vdbh19,nan,nan,nan,""
"no",ubc140,nan,nan,nan,""
"no",alessi6,nan,nan,nan,""
"no",ubc65,nan,nan,nan,""
"no",ubc112,nan,nan,nan,""
"no",alessi17,nan,nan,nan,""
"no",coingaia2,nan,nan,nan,""
"no",gulliver2,nan,nan,nan,""
"no",ubc37,nan,nan,nan,""
"no",gulliver1,nan,nan,nan,""
"no",ubc115,nan,nan,nan,""
"no",czernik2,nan,nan,nan,""
"no",ubc35,nan,nan,nan,""
"no",ubc43,nan,nan,nan,""
"no",ascc11,nan,nan,nan,""
"no",ubc109,nan,nan,nan,""
"no",ufmg1,nan,nan,nan,""
"no",ubc117,nan,nan,nan,""
"no",stock1,nan,nan,nan,""
"no",ubc138,nan,nan,nan,""
"no",ubc62,nan,nan,nan,""
"no",ubc127,nan,nan,nan,""
"no",ubc142,nan,nan,nan,""
"no",haffner1,nan,nan,nan,""
"no",gaia1,nan,nan,nan,""
"no",ngc663,nan,nan,nan,""
"no",ubc111,nan,nan,nan,""
"no",ascc4,nan,nan,nan,""
"no",ngc2516,nan,5000,nan,""
"no",ngc2477,nan,5000,nan,""
"no",ngc3532,nan,5000,nan,""
"no",vdbh136,nan,5000,nan,""
"no",ngc6791,nan,5000,nan,""
"no",trumpler5,nan,5000,nan,""
"no",ngc7789,nan,5000,3,""
"no",alessi13,100,"nan","nan","nan"
"no",alessi145,100,"nan","nan","nan"
"no",alessi170,150,"nan","nan","nan"
"no",alessi60,150,"nan","nan","nan"
"no",ascc10,100,"nan","nan","nan"
"no",ascc100,100,"nan","nan","nan"
"no",ascc119,170,"nan","nan","nan"
"no",ascc125,"nan",350,"nan","nan"
"no",ascc27,50,"nan","nan","nan"
"no",ascc45,130,"nan","nan","nan"
"no",ascc47,170,"nan","nan","nan"
"no",auner1,100,"nan","nan","nan"
"no",basel8,50,"nan","nan","nan"
"no",bdsb16,"nan",50,"nan","nan"
"no",berkeley54,"nan",500,"nan","nan"
"no",bica2,"nan",200,"nan","nan"
"no",blanco1,"nan","nan",5,"nan"
"no",coingaia11,150,"nan","nan","nan"
"no",coingaia21,75,"nan","nan","nan"
"no",collinder228,"nan",100,"nan","nan"
"no",collinder232,"nan",100,"nan","nan"
"no",collinder302,25,"nan","nan","nan"
"no",cwnu1,"nan",184,"nan","nan"
"no",cwnu10,"nan",67,"nan","nan"
"no",cwnu100,"nan",46,"nan","nan"
"no",cwnu1001,"nan",60,"nan","nan"
"no",cwnu1002,"nan",54,"nan","nan"
"no",cwnu1003,"nan",59,"nan","nan"
"no",cwnu1004,"nan",38,"nan","nan"
"no",cwnu1005,"nan",32,"nan","nan"
"no",cwnu1006,"nan",41,"nan","nan"
"no",cwnu1007,"nan",139,"nan","nan"
"no",cwnu1008,"nan",44,"nan","nan"
"no",cwnu1009,"nan",107,"nan","nan"
"no",cwnu101,"nan",64,"nan","nan"
"no",cwnu1010,"nan",48,"nan","nan"
"no",cwnu1011,"nan",52,"nan","nan"
"no",cwnu1012,"nan",107,"nan","nan"
"no",cwnu1013,"nan",51,"nan","nan"
"no",cwnu1014,"nan",104,"nan","nan"
"no",cwnu1015,"nan",73,"nan","nan"
"no",cwnu1016,"nan",56,"nan","nan"
"no",cwnu1017,"nan",32,"nan","nan"
"no",cwnu1018,"nan",67,"nan","nan"
"no",cwnu1019,"nan",38,"nan","nan"
"no",cwnu102,"nan",52,"nan","nan"
"no",cwnu1020,"nan",198,"nan","nan"
"no",cwnu1021,"nan",36,"nan","nan"
"no",cwnu1022,"nan",35,"nan","nan"
"no",cwnu1023,"nan",116,"nan","nan"
"no",cwnu1024,"nan",302,"nan","nan"
"no",cwnu1025,"nan",64,"nan","nan"
"no",cwnu1026,"nan",46,"nan","nan"
"no",cwnu1027,"nan",30,"nan","nan"
"no",cwnu1028,"nan",30,"nan","nan"
"no",cwnu1029,"nan",152,"nan","nan"
"no",cwnu103,"nan",62,"nan","nan"
"no",cwnu1030,"nan",94,"nan","nan"
"no",cwnu1031,"nan",38,"nan","nan"
"no",cwnu1032,"nan",49,"nan","nan"
"no",cwnu1033,"nan",41,"nan","nan"
"no",cwnu1034,"nan",75,"nan","nan"
"no",cwnu1035,"nan",35,"nan","nan"
"no",cwnu1036,"nan",28,"nan","nan"
"no",cwnu1037,"nan",59,"nan","nan"
"no",cwnu1038,"nan",174,"nan","nan"
"no",cwnu1039,"nan",78,"nan","nan"
"no",cwnu104,"nan",72,"nan","nan"
"no",cwnu1040,"nan",48,"nan","nan"
"no",cwnu1041,"nan",30,"nan","nan"
"no",cwnu1042,"nan",68,"nan","nan"
"no",cwnu1043,"nan",52,"nan","nan"
"no",cwnu1044,"nan",699,"nan","nan"
"no",cwnu1045,"nan",406,"nan","nan"
"no",cwnu1046,"nan",52,"nan","nan"
"no",cwnu1047,"nan",30,"nan","nan"
"no",cwnu1048,"nan",32,"nan","nan"
"no",cwnu1049,"nan",83,"nan","nan"
"no",cwnu105,"nan",51,"nan","nan"
"no",cwnu1050,"nan",54,"nan","nan"
"no",cwnu1051,"nan",30,"nan","nan"
"no",cwnu1052,"nan",28,"nan","nan"
"no",cwnu1053,"nan",107,"nan","nan"
"no",cwnu1054,"nan",67,"nan","nan"
"no",cwnu1055,"nan",60,"nan","nan"
"no",cwnu1056,"nan",56,"nan","nan"
"no",cwnu1057,"nan",32,"nan","nan"
"no",cwnu1058,"nan",97,"nan","nan"
"no",cwnu1059,"nan",57,"nan","nan"
"no",cwnu106,"nan",67,"nan","nan"
"no",cwnu1060,"nan",25,"nan","nan"
"no",cwnu1061,"nan",62,"nan","nan"
"no",cwnu1062,"nan",51,"nan","nan"
"no",cwnu1063,"nan",38,"nan","nan"
"no",cwnu1064,"nan",25,"nan","nan"
"no",cwnu1065,"nan",32,"nan","nan"
"no",cwnu1066,"nan",35,"nan","nan"
"no",cwnu1067,"nan",48,"nan","nan"
"no",cwnu1068,"nan",92,"nan","nan"
"no",cwnu1069,"nan",142,"nan","nan"
"no",cwnu107,"nan",59,"nan","nan"
"no",cwnu1070,"nan",75,"nan","nan"
"no",cwnu1071,"nan",52,"nan","nan"
"no",cwnu1072,"nan",46,"nan","nan"
"no",cwnu1073,"nan",32,"nan","nan"
"no",cwnu1074,"nan",35,"nan","nan"
"no",cwnu1075,"nan",81,"nan","nan"
"no",cwnu1076,"nan",48,"nan","nan"
"no",cwnu1077,"nan",51,"nan","nan"
"no",cwnu1078,"nan",57,"nan","nan"
"no",cwnu1079,"nan",41,"nan","nan"
"no",cwnu108,"nan",75,"nan","nan"
"no",cwnu1080,"nan",40,"nan","nan"
"no",cwnu1081,"nan",28,"nan","nan"
"no",cwnu1082,"nan",788,"nan","nan"
"no",cwnu1083,"nan",612,"nan","nan"
"no",cwnu1084,"nan",83,"nan","nan"
"no",cwnu1085,"nan",102,"nan","nan"
"no",cwnu1086,"nan",48,"nan","nan"
"no",cwnu1087,"nan",67,"nan","nan"
"no",cwnu1088,"nan",30,"nan","nan"
"no",cwnu1089,"nan",51,"nan","nan"
"no",cwnu109,"nan",118,"nan","nan"
"no",cwnu1090,"nan",108,"nan","nan"
"no",cwnu1091,"nan",33,"nan","nan"
"no",cwnu1092,"nan",28,"nan","nan"
"no",cwnu1093,"nan",35,"nan","nan"
"no",cwnu1094,"nan",27,"nan","nan"
"no",cwnu1095,"nan",60,"nan","nan"
"no",cwnu1096,"nan",38,"nan","nan"
"no",cwnu1097,"nan",25,"nan","nan"
"no",cwnu1098,"nan",112,"nan","nan"
"no",cwnu1099,"nan",32,"nan","nan"
"no",cwnu11,"nan",51,"nan","nan"
"no",cwnu110,"nan",123,"nan","nan"
"no",cwnu1100,"nan",48,"nan","nan"
"no",cwnu1101,"nan",107,"nan","nan"
"no",cwnu1102,"nan",62,"nan","nan"
"no",cwnu1103,"nan",32,"nan","nan"
"no",cwnu1104,"nan",52,"nan","nan"
"no",cwnu1105,"nan",49,"nan","nan"
