"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"ADS 12696","ads12696",11.0,6.7,294.31735,29.33689,64.00852,3.9749,0.1604,-2.4837,-4.7159,-16.9973,3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"ADS 13292","ads13292",83.0,1.0,300.59778,35.31288,71.86015,2.4244,0.5153,-3.3527,-6.7129,-5.66374,2.0,1.6,"nan",1.8,"nan","nan","nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.24,0.37,"n"
"ADS 16795;AR Cas","ads16795",25.0,88.7,351.3901,58.44167,111.87712,-2.57522,4.4213,19.1632,2.1681,-12.6819,4.0,0.215,0.0071,0.47,0.4243,0.47,"nan",46.0,16.0,-0.1615,0.1294,"nan","nan","nan","nan","nan","CC",0.0,0.23,"y"
"AH03 J0822 36.4;MWSC 1477","ah03j0822364",11.0,6.7,125.54654,-36.37083,254.97634,0.33739,0.2452,-2.9466,3.4633,"nan",0.0,1.63,0.5081,1.29,0.5138,"nan","nan",822.0,406.0,"nan","nan",114.0,"nan","nan","nan","nan","DC",0.0,0.16,"y"
"AH03 J1725 34.4","ah03j1725344",236.0,3.8,261.39383,-34.39988,353.10208,0.6297,0.5585,-0.996,-2.3792,6.81885,18.0,0.29,"nan",4.9,"nan","nan","nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.51,"n"
"AH03 J2011+26.7;MWSC 3281","ah03j2011p267",20.0,3.7,302.92289,26.61667,65.60612,-3.93192,0.6012,-3.1955,-5.662,-29.05855,2.0,2.57,"nan",2.79,"nan","nan","nan",22.0,"nan","nan","nan","nan","nan","nan","nan","nan","AA",0.0,0.4,"n"
"Alessi 1;Casado Alessi 1;MWSC 88;CA 1;LeDrew 1","alessi1",99.0,14.6,13.33616,49.55139,123.24945,-13.31786,1.4108,6.4839,-6.3911,-4.2843,51.0,0.69,0.1574,0.31,0.1318,0.67,"nan",708.0,373.0,-0.0835,0.2228,169.0,192.0,0.53,"nan","nan","AA",0.0,0.95,"n"
"Alessi 10;MWSC 3242;LeDrew 3;OCSN 140","alessi10",192.0,24.5,301.2536,-10.54576,31.6103,-21.06766,2.2566,1.4759,-7.8836,-15.4419,40.0,0.465,0.312,0.6,0.16,0.95,"nan",157.0,149.0,0.019,0.1512,102.0,70.0,0.46,"nan","nan","AA",0.0,0.96,"n"
"Alessi 11;MWSC 3321","alessi11",12.0,7.6,305.29954,18.37571,59.82984,-10.29233,0.2725,-3.3193,-5.3186,-39.6815,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"Alessi 116","alessi116",90.0,15.1,310.21266,20.16338,64.02746,-13.12233,1.0756,-6.2856,-9.2956,24.381,51.0,0.875,0.0071,0.315,0.2616,0.45,"nan",1036.0,83.0,-0.2,0.0,136.0,"nan","nan","nan","nan","AA",0.0,0.66,"n"
"Alessi 12;MWSC 3404;LeDrew 2;FoF 2391","alessi12",303.0,29.6,310.88335,23.78644,67.44184,-11.49676,1.8379,4.3168,-4.7015,1.6587,101.0,0.54,0.1172,0.25,0.1032,0.92,"nan",123.0,54.0,0.0,0.1709,416.0,147.0,0.23,0.1473,"0.0","AA",0.0,0.97,"n"
"Alessi 129","alessi129",19.0,4.9,103.89154,13.90337,200.94896,7.1814,0.1766,-0.1861,-0.6226,61.9502,4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"Alessi 13;MWSC 278;Chi For Group;Harrington 2;Slotegraaf 3;Ramakers 26","alessi13",100.0,167.3,51.9803,-35.66006,237.21791,-55.71016,9.4652,36.0433,-4.5204,17.41965,48.0,0.1,0.0051,0.12,0.2054,0.6,"nan",64.0,239.0,0.18,0.079,384.0,204.0,"nan","nan","nan","AA",0.0,0.9,"n"
"Alessi 135","alessi135",26.0,4.7,87.41182,27.03902,182.08832,-0.22105,1.0476,-0.3448,-1.0326,-3.70055,6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CB",1.0,0.0,"n"
"Alessi 14;MWSC 885","alessi14",76.0,6.4,97.59994,9.72255,201.8897,-0.19638,0.2268,-0.4836,-1.1072,67.3405,7.0,2.09,0.0,1.94,0.0,"nan","nan",398.0,0.0,"nan","nan",44.0,"nan","nan","nan","nan","CC",0.0,0.22,"y"
"Alessi 144","alessi144",24.0,15.3,112.61461,5.64218,212.29184,11.27136,1.1795,-2.6671,-1.5626,10.814,12.0,0.84,0.0424,0.16,0.1131,0.35,"nan",101.0,38.0,0.035,0.3465,84.0,"nan","nan","nan","nan","BB",0.0,0.29,"n"
"Alessi 145;UBC 13","alessi145",96.0,54.3,120.85018,3.46538,218.20309,17.6103,1.6001,-7.8536,-1.2454,25.0426,39.0,0.625,0.0096,0.0,0.0,"nan","nan",182.0,82.0,-0.064,0.0028,"nan","nan","nan","nan","nan","AB",0.0,0.51,"n"
"Alessi 146","alessi146",15.0,6.7,152.81995,-59.91239,284.11394,-3.05387,0.1941,-5.0467,2.4467,2.7193,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
