"Seq","Cluster","Nstars","RA_ICRS","DE_ICRS","pmRA","pmDE","Plx","logAge","Z","AV","MOD","_RA.icrs","_DE.icrs"
0,"ASCC_10",129,51.78416323589,34.84709344355,-1.815788026662628,-1.4702938062966564,1.450101799195018,8.5652785,0.108537,0.629316,9.100323,51.7841730694,34.84709997819
1,"ASCC_101",154,288.4115343528,36.34733221936,0.9780433304082587,1.2342143065269595,2.4828039528429984,8.441943,0.004296,0.1898405,8.079734,288.41152895592,36.34732673396
2,"ASCC_105",181,295.58935313448,27.49288541553,1.3961089272332574,-1.6260625768424952,1.7556195921828133,7.891654,0.0507145,0.409259,8.770193,295.58934613961,27.49289264248
3,"ASCC_107",63,297.17084324992,21.96166082885,-0.222547193565775,-5.136114994547896,1.0948511564125487,7.196614,0.352933,1.689755,9.700084,297.17084431641,21.96168365603
4,"ASCC_11",280,53.04128116941,44.84954039705,0.9192470965565164,-3.075351628186457,1.1398295251016335,8.795452000000001,-0.055409,0.600277,9.689326,53.04127540669,44.84955406528
5,"ASCC_111",147,302.94125128004,37.47944360079,-1.1453174027476298,-1.5903379017184505,1.128516270820332,8.683383500000001,0.080884,0.390977,9.649064,302.94125769446,37.47945066896
6,"ASCC_113",338,318.03076737969,38.78179428757,0.8313734616024473,-3.7057032714203575,1.7408185584386806,8.6355455,-0.050536,0.130845,8.748551,318.03076263971,38.78181075736
7,"ASCC_114",201,325.01837298559,53.99606724613,-3.698083142493221,-3.4613197650898817,1.03828852742945,7.795484500000001,0.034372,0.918525,9.790555,325.01840094543,53.99608262977
8,"ASCC_115",85,329.23243367283,51.50961639729,-0.5500565605963237,-0.6779580118015358,1.277105039650259,8.292209499999998,0.049517,0.7190765,9.320508,329.23243760079,51.50961941043
9,"ASCC_123",217,353.26240420438,52.93742508766,7.956014666249963,-2.3445843519321907,2.2264690767278057,7.874789,-0.007685,0.000389,6.811017,353.26234553366,52.93743550802
10,"ASCC_127",243,-13.04212291925,65.22869772138,7.430668513639701,-1.7149485271978064,2.616501688423684,7.301121500000001,0.152138,0.429233,7.879815,346.95779826115,65.22870534336
11,"ASCC_128",105,-10.19666129915,54.40640015094,1.23564362533396,0.1507561428950439,1.493626378185395,8.487814,0.025223,0.410023,9.129753,349.80332926538,54.40639948091
12,"ASCC_16",508,81.39757440502,1.76714694339,1.382401028716597,-0.1285608653987789,2.841026009339223,7.1217475,-0.056907,0.19949,7.583778000000001,81.39756825809,1.76714751477
13,"ASCC_19",183,81.98841402951,-1.94031996562,1.1693636070042628,-1.1849878771188662,2.769279105944878,7.027323,0.07591,0.129879,7.699963,81.98840882935,-1.940314699
14,"ASCC_21",406,81.83535944672,2.46583189689,1.436423836056583,-0.3072442877294927,2.8444114411455024,6.986064,-0.008213,0.0996355,7.659815,81.8353530567,2.46583326242
15,"ASCC_23",141,95.05655905988,46.72867968402,1.0653226153236852,-0.6096950376123265,1.5732898022308954,8.403506,0.024836,0.339445,9.0000655,95.05655215239,46.72868239378
16,"ASCC_32",432,105.76821014326,-26.56294719533,-3.2013230428935406,3.4835211929586207,1.209779563187463,7.3859945,-0.0034105,0.258329,9.529777,105.76822605047,-26.56296267765
17,"ASCC_41",157,116.68719918181,0.17453166594,0.6710424644686507,-3.943701231670644,3.344898598245555,7.807900500000001,-0.088674,0.000878,7.389582,116.68719619939,0.1745491935
18,"ASCC_58",324,153.95386326702,-55.18887485566,-13.404497488932376,2.702712243558866,2.085768242695912,7.6607105,0.057307,0.249756,8.459614,153.95396762572,-55.18888686767
19,"ASCC_73",71,189.12897221819,-67.18510605177,-11.521965504909796,-2.861622774632232,1.52843677336452,8.515983,-0.1507565,0.2320225,9.0227005,189.12910428272,-67.1850933334
20,"ASCC_79",236,229.82174879681,-60.81481974902,-3.026820058605981,-3.9679969508997193,1.1432629945682131,7.066326,0.047673,0.412216,9.434142,229.82177638416,-60.81480211347
21,"ASCC_85",171,251.8739464833,-45.5440142865,0.1692027847512774,-4.122361803517874,1.098873485229353,7.964308,0.096413,0.559207,9.590565,251.87394540955,-45.54399596489
22,"ASCC_87",99,255.64461509869,-28.4169270082,-1.185447889821227,-3.7729169170817456,1.2695407812052693,8.6312865,0.140729,0.569477,9.450278,255.64462108915,-28.41691023968
23,"ASCC_88",101,256.88817587023,-35.58385195815,0.8982607049003373,-3.282245195892771,1.066418374049379,8.6607635,0.100135,1.449711,9.849845,256.88817096129,-35.58383737039
24,"ASCC_90",116,264.8377481207,-34.88782906292,-1.5786413181738954,-2.730611856446889,1.691096347988419,9.03625,0.083137,0.320144,8.72937,264.83775667416,-34.88781692687
25,"ASCC_97",261,279.31611376346,-19.14099120353,-2.42041769191977,-6.4183755790027694,1.6925084137475923,7.942194000000001,0.1051795,1.1676615,8.890768,279.31612515041,-19.14096267741
26,"ASCC_99",108,282.26872622837,-18.43916667064,5.229881609814184,-1.421413572707189,3.326494800114093,8.778006,-0.0397105,0.469824,7.279764,282.26870172653,-18.43916035324
27,"Alessi_1",115,13.44069417438,49.44183683809,6.368846397033081,-6.023750726552327,1.3600363897569985,9.061802,-0.108406,0.080952,9.189522,13.4406506414,49.44186361031
28,"Alessi_10",103,301.25172552951,-10.532569527,1.4772371710747436,-7.883739780671151,2.2257929097354303,7.979756,0.019327,0.330311,8.359614,301.2517188515,-10.53253448816
29,"Alessi_12",328,310.84757679402,23.83321074664,4.272951440759751,-4.6773227185139,1.801116728852223,8.122428,-0.02015,0.103524,8.602111,310.84755603271,23.83323153473
30,"Alessi_13",94,52.38332127058,-35.17669101895,35.23240489466431,-4.884521372320613,9.353322533344665,7.690035,0.231169,0.099819,5.109854,52.38312969683,-35.17666930982
31,"Alessi_19",142,274.82700091507,12.26655392162,-1.006531294048956,-7.063459619704645,1.6756005969737688,7.6596885,0.128875,0.30966,8.7899435,274.82700549306,12.26658531477
32,"Alessi_2",198,71.61852157492,55.18084437737,-0.9246746785527182,-1.0993128945468422,1.5832000994235162,8.8457205,0.057571,0.5201985,9.089354,71.61852877238,55.18084926321
33,"Alessi_20",272,2.54072643865,58.70600459261,8.113678474206278,-2.4559615069623755,2.294134169438083,7.200215,-0.1034265,0.595333,8.0437945,2.54065701479,58.70601550797
34,"Alessi_21",357,107.74961533414,-9.62229403957,-5.482419159333809,2.684789876793233,1.6991425588641658,7.781079,-0.005948,0.289488,8.8498535,107.74964004815,-9.62230597197
35,"Alessi_24",241,260.80882377287,-62.61009437013,-0.4611997332975364,-8.945561474282549,2.018888673807791,7.8840795,0.078243,0.338642,8.500685,260.80882822848,-62.61005461208
36,"Alessi_3",160,109.29115618718,-46.19442429339,-9.851907889381526,11.847123398543612,3.56190814786836,8.857588,-0.055644,0.140543,7.368839,109.29121944267,-46.19447694725
37,"Alessi_31",181,267.71870782499,-11.84987164568,-1.1387729716340655,-4.177558020596973,1.4419028611682396,7.896816,0.3587535,1.749318,9.260259,267.71871299641,-11.84985307875
