"Type","Cluster","n_Cluster","GLON","GLAT","RAJ2000","DEJ2000","dsun","e_dsun","RG","e_RG","ZG","e_ZG","Age","e_Age","Rlim","e_Rlim","Mphot","e_Mphot","sigma","e_sigma"
"OCs","NGC 4337","a",299.3,4.6,186.02083,-58.12194,2.75,0.38,7.1,0.5,0.22,0.03,1.58,0.18,8.01,1.6,186,18,0.9,0.1
"OCs","NGC 3680","nan",286.8,16.9,171.41667,-43.23639,0.95,0.13,7.8,0.5,0.28,0.04,1.58,0.36,6.11,0.28,102,12,0.9,0.1
"OCs","NGC 752","a",137.1,-23.3,29.40833,37.81694,0.43,0.04,8.3,0.5,-0.17,0.02,1.41,0.16,3.72,0.25,158,15,0.7,0.1
"OCs","M 67","nan",215.7,31.9,132.8375,11.81306,0.85,0.04,8.6,0.5,0.45,0.02,3.55,0.41,6.93,0.49,772,29,1.0,0.0
"OCs","NGC 1582","nan",159.3,-2.9,67.95833,43.79611,0.95,0.09,8.9,0.5,-0.05,0.0,0.2,0.09,5.56,0.56,197,19,1.2,0.1
"OCs","NGC 2180","b",203.8,-7.0,92.43333,4.82333,1.05,0.14,9.0,0.5,-0.13,0.02,0.71,0.33,3.35,0.61,27,7,5.2,0.9
"OCs","NGC 188","nan",122.9,22.4,12.00417,85.24583,1.82,0.17,9.1,0.5,0.69,0.06,7.08,1.63,13.23,1.06,323,19,1.0,0.1
"OCRs","Lynga 8","nan",333.3,-0.1,245.01667,-50.23306,2.4,0.33,6.0,0.6,0.0,0.0,0.4,0.14,1.4,0.35,38,10,6.8,1.4
"OCRs","NGC 6481","nan",29.9,14.9,268.2,4.1675,1.51,0.21,6.8,0.5,0.39,0.05,2.24,0.77,1.32,0.22,8,3,7.2,2.1
"OCRs","ESO 324-15","nan",309.3,20.6,200.8875,-41.8925,1.32,0.18,7.3,0.5,0.46,0.06,3.16,0.36,3.83,0.77,13,4,6.4,1.9
"OCRs","Bica 5","nan",294.9,-0.6,175.39583,-62.41778,1.91,0.26,7.4,0.5,-0.02,0.0,0.5,0.17,1.66,0.28,25,7,6.1,1.2
"OCRs","NGC 7036","nan",64.5,-21.4,317.49167,15.51444,1.46,0.2,7.5,0.5,-0.53,0.07,2.24,0.52,3.4,0.42,15,4,6.3,1.4
"OCRs","NGC 7193","nan",70.1,-34.3,330.78333,10.80389,1.25,0.17,7.7,0.5,-0.7,0.1,4.47,1.54,3.64,0.36,11,3,5.7,1.5
"OCRs","NGC 1901","nan",279.0,-33.6,79.55833,-68.44389,0.42,0.06,8.0,0.5,-0.23,0.03,0.5,0.23,1.21,0.24,22,6,0.7,0.1
"OCRs","Alessi 3","nan",257.9,-15.4,109.1375,-46.67528,0.26,0.04,8.1,0.5,-0.07,0.01,0.63,0.22,1.53,0.15,18,5,0.9,0.2
"OCRs","ESO 435-48","nan",264.8,22.3,152.38333,-28.36194,2.69,0.37,8.7,0.5,1.02,0.14,1.58,0.73,6.25,0.78,16,5,9.2,2.5
"OCRs","NGC 3231","nan",142.0,44.6,156.74167,66.79833,1.08,0.17,8.7,0.5,0.76,0.12,2.0,0.92,2.82,0.31,11,4,3.1,1.0
"OCRs","Ruprecht 31","nan",250.1,-6.0,115.75,-35.6,2.29,0.32,9.0,0.5,-0.24,0.03,0.79,0.18,4.0,1.0,27,7,8.1,1.8
"OCRs","ESO 425-15","nan",236.4,-20.4,93.6375,-29.365,1.91,0.26,9.1,0.5,-0.66,0.09,1.12,0.52,3.88,0.55,16,5,7.1,1.8
"OCRs","ESO 426-26","nan",239.6,-16.5,99.075,-30.86583,2.0,0.28,9.1,0.5,-0.57,0.08,0.63,0.14,5.8,1.16,29,7,5.3,1.2
"OCRs","ESO 425-06","nan",235.4,-22.3,91.21667,-29.18444,2.0,0.18,9.2,0.5,-0.76,0.07,3.16,0.36,3.48,0.58,14,4,6.9,2.0
"OCRs","Ruprecht 3","nan",238.8,-14.8,100.53333,-29.45194,2.29,0.32,9.4,0.5,-0.59,0.08,1.12,0.26,3.33,0.67,24,7,7.1,1.7
"OCRs","NGC 1663","nan",185.9,-19.7,72.35,13.14028,2.4,0.33,10.3,0.6,-0.81,0.11,5.01,2.31,6.98,1.4,15,4,3.9,1.0
