"VVV-CL","RA","DEC","RAJ2000","DEJ2000","N","R","Tile","Com"
"VVV 005, VVV-CL 005",174.74583,-63.47889,"11 38 59","-63 28 44",25.0,24,"d001","nebulosity, embedded; partofcloud [SMN83] Lam Cen 1; Be star"
"VVV 006, VVV-CL 006",177.3,-62.2075,"11 49 12","-62 12 27",12.0,30,"d039","weak nebulosity, embedded; faint; MSX6C G295.7483-00.2076"
"VVV 007, VVV-CL 007",178.4625,-64.34167,"11 53 51","-64 20 30",15.0,20,"d002","weak nebulosity, embedded; IR IRAS 11513-6403"
"VVV 008, VVV-CL 008",178.87083,-63.94,"11 55 29","-63 56 24",25.0,37,"d002","no nebulosity; overdensity"
"VVV 009, VVV-CL 009",179.0125,-63.31583,"11 56 03","-63 18 57",30.0,35,"d002","no nebulosity; overdensity"
"VVV 010, VVV-CL 010",182.94583,-61.77306,"12 11 47","-61 46 23",10.0,28,"d079","strong nebulosity, embedded GAL 298.26+00.74;IR-[HSL2000] IRS 1;Mas Caswell CH3OH 298.26+00.74; stellar group; outflow; very red"
"VVV 011, VVV-CL 011",183.17083,-62.70861,"12 12 41","-62 42 31",16.0,6,"d041","no nebulosity; very concentrated"
"VVV 012, VVV-CL 012",185.05833,-62.88444,"12 20 14","-62 53 04",15.0,37,"d042","nebulosity, embedded; small; IR IRAS 12175-6236"
"VVV 013, VVV-CL 013",187.15417,-62.97361,"12 28 37","-62 58 25",15.0,27,"d042","nebulosity, embedded; YSO G300.3412-00.2190"
"VVV 014, VVV-CL 014",214.7875,-60.51278,"14 19 09","-60 30 46",60.0,30,"d089","no nebulosity; overdensity; IR IRAS14153-6018 (83 away)"
"VVV 015, VVV-CL 015",188.71667,-61.67111,"12 34 52","-61 40 16",10.0,20,"d119","nebulosity, embedded; very close to DBSB 77 - part of DBSB 77 or triggered?;IR Caswell H2O 300.97+01.14"
"VVV 016, VVV-CL 016",188.75,-61.69444,"12 35 00","-61 41 40",10.0,40,"d119","nebulosity, embedded; close to DBSB 77; young cluster+ SF on the border"
"VVV 017, VVV-CL 017",188.89583,-63.04417,"12 35 35","-63 02 39",10.0,30,"d043","nebulosity, embedded GAL 301.12-00.20;IR; Mas Caswell H2O 301.14-00.23"
"VVV 018, VVV-CL 018",191.16667,-62.79611,"12 44 40","-62 47 46",25.0,30,"d082","nebulosity, embedded; IR IRAS 12417-6231"
"VVV 019, VVV-CL 019",196.775,-61.4175,"13 07 06","-61 25 03",10.0,50,"d121","nebulosity; YSOs; stellar group"
"VVV 020, VVV-CL 020",196.9,-61.32444,"13 07 36","-61 19 28",13.0,24,"d121","no nebulosity; several stars"
"VVV 021, VVV-CL 021",197.9625,-62.61444,"13 11 51","-62 36 52",8.0,29,"d084","weak nebulosity; stellar group; Rad DWS84 G305.27+0.17"
"VVV 022, VVV-CL 022",198.15,-62.62111,"13 12 36","-62 37 16",8.0,53,"d084","nebulosity, embedded; red; Mas Caswell OH 305.362+00.150"
"VVV 023, VVV-CL 023",198.30417,-62.55722,"13 13 13","-62 33 26",15.0,27,"d084","nebulosity, embedded; IR IRAS 13100-6217"
"VVV 024, VVV-CL 024",199.6875,-62.74417,"13 18 45","-62 44 39",8.0,27,"d084","nebulosity, embedded; close to DBSB 85; IR IRAS 13154-6228A"
"VVV 025, VVV-CL 025",202.84167,-63.47417,"13 31 22","-63 28 27",5.0,17,"d047","weak nebulosity, embedded; faint; IR IRAS 13280-6312 (35 away)"
"VVV 026, VVV-CL 026",202.85833,-63.46444,"13 31 26","-63 27 52",7.0,18,"d047","weak nebulosity, embedded; faint; IR IRAS 13280-6312"
"VVV 027, VVV-CL 027",203.1,-62.7275,"13 32 24","-62 43 39",40.0,13,"d047","close to nebulosity; overdensity"
"VVV 028, VVV-CL 028",205.09583,-61.73333,"13 40 23","-61 44 00",10.0,12,"d086","stellar group; very close to C 1336-614(BH 151); concentrated"
"VVV 029, VVV-CL 029",205.475,-62.12722,"13 41 54","-62 07 38",20.0,27,"d086","nebulosity, embedded; IR IRAS 13384-6152"
"VVV 030, VVV-CL 030",206.36667,-62.2425,"13 45 28","-62 14 33",5.0,20,"d086","nebulosity, embedded;  faint group; IR IRAS 13419-6159"
"VVV 031, VVV-CL 031",206.83333,-62.31222,"13 47 20","-62 18 44",15.0,45,"d049","weak nebulosity; overdensity; masers; IR IRAS 13438-6203"
"VVV 032, VVV-CL 032",207.67083,-61.58694,"13 50 41","-61 35 13",15.0,54,"d087","nebulosity GAL 309.92+00.48, embedded, very red stars; YSO DZOA 4655-11; DkNeb; 6 Mas"
"VVV 033, VVV-CL 033",210.8625,-61.27028,"14 03 27","-61 16 13",7.0,27,"d088","nebulosity, embedded; stellar group"
"VVV 034, VVV-CL 034",211.03333,-61.33194,"14 04 08","-61 19 55",5.0,34,"d088","nebulosity, embedded; stellar group"
"VVV 035, VVV-CL 035",211.6125,-61.49306,"14 06 27","-61 29 35",8.0,28,"d088","nebulosity, embedded; stellar group"
"VVV 036, VVV-CL 036",212.2625,-61.26722,"14 09 03","-61 16 02",52.0,50,"d088","no nebulosity; overdensity; IR IRAS 14054-6102"
"VVV 037, VVV-CL 037",212.27917,-61.41194,"14 09 07","-61 24 43",15.0,43,"d088","nebulosity, embedded; IR IRAS 14054-6110"
"VVV 038, VVV-CL 038",213.18333,-61.785,"14 12 44","-61 47 06",10.0,20,"d051","nebulosity, embedded; faint; IR IRAS 14090-6132"
"VVV 039, VVV-CL 039",213.88333,-61.69639,"14 15 32","-61 41 47",72.0,60,"d051","no nebulosity; 2E 1412.0-6127 (X-ray source at 91)"
"VVV 040, VVV-CL 040",221.09167,-59.19639,"14 44 22","-59 11 47",20.0,32,"d092","faint; no nebulosity"
