"Cluster","RA_ICRS","DE_ICRS","GLON","GLAT","r50","nbstars07","pmRA*","pmDE","plx","Flag","AgeNN","AVNN","DMNN","DistPc"
"ASCC_10          ",51.87,34.981,155.723,-17.77,0.558,65,-1.737,-1.368,1.459,"NN            ",8.42,0.63,9.1,660
"ASCC_101         ",288.399,36.369,68.028,11.608,0.372,69,0.934,1.288,2.488,"NN            ",8.69,0.19,8.08,412
"ASCC_105         ",295.548,27.366,62.825,2.063,0.648,113,1.464,-1.635,1.783,"NN            ",7.87,0.41,8.77,567
"ASCC_107         ",297.164,21.987,58.904,-1.901,0.174,57,-0.155,-5.156,1.109,"NN            ",7.23,1.69,9.7,870
"ASCC_108         ",298.306,39.349,74.378,6.074,0.537,188,-0.519,-1.69,0.838,"NN            ",8.03,0.34,10.32,1160
"ASCC_11          ",53.056,44.856,150.546,-9.224,0.312,245,0.926,-3.03,1.141,"NN            ",8.39,0.6,9.69,867
"ASCC_110         ",300.742,33.528,70.411,1.378,0.203,65,0.271,-3.132,0.497,"NN            ",8.9,0.75,11.47,1971
"ASCC_111         ",302.891,37.515,74.714,2.056,0.537,136,-1.15,-1.524,1.166,"NN            ",8.44,0.39,9.65,851
"ASCC_113         ",317.933,38.638,82.877,-6.589,0.529,175,0.8,-3.679,1.762,"NN            ",8.46,0.13,8.75,563
"ASCC_114         ",324.99,53.997,97.082,1.028,0.216,134,-3.716,-3.421,1.066,"NN            ",7.68,0.92,9.79,908
"ASCC_115         ",329.28,51.558,97.528,-2.504,0.25,32,-0.549,-0.543,1.311,"NN            ",8.12,0.72,9.32,731
"ASCC_12          ",72.4,41.744,162.986,-1.893,0.303,139,-0.634,-2.794,0.941,"NN            ",7.97,0.7,10.1,1048
"ASCC_123         ",340.299,53.986,104.434,-4.141,1.294,49,12.093,-1.407,4.262,"NN            ",7.65,0,6.81,229
"ASCC_127         ",347.205,64.974,112.349,4.232,0.627,117,7.474,-1.745,2.633,"NN            ",7.26,0.43,7.88,376
