"Name","RA","DEC","GLON","GLAT","HDis","E(B-V)","Age","[Fe/H]","RVel","pmRA","pmDE"
"Berkeley 104",0.86892,63.59694,117.63,1.22,4365.0,0.45,0.79,"0.07","nan","nan","nan"
"Berkeley 12",71.14267,42.69131,161.66,-1.99,3162.0,0.7,4.0,"0.07","nan","nan","nan"
"Berkeley 17",80.15054,30.59571,175.65,-3.65,2700.0,0.7,12.0,"-0.33","nan","nan","nan"
"Berkeley 18",80.54053,45.3973,163.63,5.01,5800.0,0.46,4.26,"0.02","nan","nan","nan"
"Berkeley 19",81.02218,29.60012,176.9,-3.59,4831.0,0.4,3.09,"-0.5","nan","nan","nan"
"Berkeley 20",83.24785,0.21039,203.51,-17.28,8400.0,0.12,6.02,"-0.75","nan","nan","nan"
"Berkeley 21",87.92388,21.78244,186.84,-2.51,5000.0,0.76,2.18,"-0.83","nan","nan","nan"
"Berkeley 22",89.6007,7.83685,199.8,-8.05,7663.0,0.7,1.06,"-0.3","nan","nan","nan"
"Berkeley 23",98.36667,20.55275,192.6,5.44,6918.0,0.4,0.79,"0.07","nan","nan","nan"
"Berkeley 29",103.319,16.91765,197.98,8.02,14871.0,0.157,1.05,"-0.18","nan","nan","nan"
"Berkeley 31",104.37818,8.28765,206.225,5.109,8272.0,0.08,2.05,"-0.5;-0.5",61.0,-4.3,-3.97
"Berkeley 32",104.52014,6.43308,207.95,4.4,3100.0,0.16,3.38,"-0.58","nan","nan","nan"
"Berkeley 39",116.67038,-4.60093,223.46,10.09,4780.0,0.12,7.94,"-0.17","nan","nan","nan"
"Berkeley 60",4.40636,60.97283,118.84,-1.63,4365.0,0.86,0.16,"0.07","nan","nan","nan"
"Berkeley 64",35.25047,65.89827,131.91,4.6,3981.0,1.05,1.0,"-0.61","nan","nan","nan"
"Berkeley 70",81.42154,41.90353,166.89,3.58,4158.0,0.48,4.0,"-0.32","nan","nan","nan"
"Berkeley 86",305.09509,38.74297,76.7,1.3,1112.0,"nan",0.01,"nan",-19.3,-3.8,-4.11
"Blanco 1",1.06305,-29.88174,15.285,-79.28,269.0,0.01,0.06,"0.23",5.0,20.17,3.0
"Collinder 121",103.53647,-24.63597,235.4,-10.4,471.0,"nan",0.01,"nan",35.0,-3.19,4.56
"Collinder 135",109.26302,-36.877,248.8,-11.2,316.0,"nan",0.02,"nan",34.0,-10.55,6.27
"Collinder 140",110.86649,-32.13038,245.085,-7.905,405.0,0.03,0.03,"-0.1",10.5,-8.27,4.52
"Collinder 197",131.28427,-41.46406,261.7,0.89,838.0,"nan",0.01,"nan",33.1,-9.8,7.5
"Collinder 205",135.17396,-48.9478,269.2,-1.8,1853.0,"nan",0.01,"nan",8.5,-3.86,6.5
"Collinder 228",160.74856,-59.96604,287.5,-1.0,2201.0,"nan",0.0,"nan",-12.0,-6.55,2.03
"Collinder 261",189.47886,-68.35887,301.68,-5.52,2190.0,0.27,8.9,"-0.14","nan","nan","nan"
"Collinder 394",282.75688,-20.26416,14.7,-9.0,690.0,"nan",0.06,"nan",6.0,-4.8,-4.78
"Dolidze 25",101.23195,0.32539,211.9,-1.3,6304.0,"nan",0.0,"nan",71.0,1.81,-1.98
"Hogg 16",202.38303,-61.23342,307.5,1.3,1585.0,"nan",0.01,"nan",-35.8,-3.71,-3.17
"IC 1805",38.19009,61.53481,134.7,1.0,1886.0,"nan",0.0,"nan",-26.0,-1.1,-1.92
"IC 1848",42.88834,60.50067,137.2,1.0,2002.0,"nan",0.0,"nan",-22.0,-5.15,0.35
"IC 2391",130.0499,-53.06863,270.36,-6.9,175.0,0.008,0.04,"-0.09","nan","nan","nan"
"IC 2395",130.34506,-48.21207,266.6,-3.8,705.0,"nan",0.01,"nan",0.5,-3.6,2.21
"IC 2581",156.86248,-57.63742,284.595,0.015,2446.0,0.415,0.01,"-0.34;-0.34",-6.0,-6.32,3.67
"IC 2602",160.74553,-64.39398,289.6,-4.9,161.0,0.024,0.03,"-0.09",22.0,-17.49,10.1
"IC 2714",169.36523,-62.7242,292.4,-1.79,1238.0,0.341,0.34,"-0.01","nan","nan","nan"
"IC 2944",174.21255,-63.05883,294.6,-1.4,1794.0,"nan",0.0,"nan",-1.0,-5.39,0.04
"IC 4651",261.1969,-49.92804,340.09,-7.9,888.0,0.116,1.14,"0.09;0.0",-31.0,1.5,-5.35
"IC 4665",266.55044,5.70843,30.6,17.1,352.0,"nan",0.04,"nan",-13.0,-0.99,-7.77
"IC 4725",277.9501,-19.17747,13.65,-4.465,620.0,0.476,0.09,"0.17;0.17",3.0,-2.78,-6.15
"IC 4756",279.72925,5.47073,36.39,5.27,484.0,0.192,0.5,"-0.06;-0.03",-25.8,1.06,-4.32
"IC 4996",304.16454,37.6685,75.4,1.3,1732.0,"nan",0.0,"nan",-22.0,-1.98,-5.25
"King 11",356.94635,68.62547,117.16,6.47,2892.0,1.27,1.11,"-0.23","nan","nan","nan"
"King 15",8.20662,61.87251,120.74,-0.92,3162.0,0.7,0.25,"0.07","nan","nan","nan"
"King 5",48.65165,52.71943,143.74,-4.27,1900.0,"nan",1.0,"-0.38","nan","nan","nan"
"King 6",52.03063,56.45582,143.36,-0.07,871.0,0.5,0.25,"0.46","nan","nan","nan"
"King 8",87.34772,33.63781,176.39,3.12,6403.0,0.58,0.41,"-0.46","nan","nan","nan"
"Lynga 6",241.27899,-51.93015,330.4,0.3,1600.0,"nan",0.02,"nan",-59.4,-13.61,-1.83
"Melotte 111,Coma Ber",186.26965,26.09933,221.35,84.02,96.0,0.013,0.44,"-0.05",-0.1,-11.38,-9.05
"Melotte 20",50.48775,48.62204,146.93,-7.11,185.0,0.09,0.07,"-0.05","nan","nan","nan"
"Melotte 22,Pleiades",56.75037,24.11794,166.57,-23.52,150.0,0.03,0.13,"-0.03",5.6,19.15,-45.72
"Melotte 25",66.72509,15.87124,180.06,-22.34,45.0,0.01,0.78,"0.13","nan","nan","nan"
"Melotte 66",111.59519,-47.65699,259.55,-14.24,4313.0,0.143,2.78,"-0.35","nan","nan","nan"
"Melotte 71",114.37349,-12.08029,228.96,4.49,3154.0,0.113,0.23,"-0.3","nan","nan","nan"
"NGC 1027",40.72535,61.55507,135.8,1.5,772.0,"nan",0.15,"nan",15.0,0.76,0.35
"NGC 1039",40.47768,42.79146,143.615,-15.6,499.0,0.07,0.17,"-0.3;-0.3",-7.8,0.39,-6.8
"NGC 1193",46.37872,44.39576,146.74,-12.19,4300.0,0.12,7.9,"-0.29","nan","nan","nan"
"NGC 1245",48.67436,47.24982,146.64,-8.92,2876.0,0.3,0.5,"0.1","nan","nan","nan"
"NGC 129",7.56924,60.16357,120.3,-2.6,1625.0,"nan",0.07,"nan",-36.8,-1.86,-1.7
"NGC 1342",52.91022,37.34098,154.975,-15.37,665.0,0.319,0.45,"-0.16;-0.16",-10.9,-0.55,-2.89
"NGC 1348",53.52189,51.42082,146.96,-3.7,1820.0,1.02,0.13,"0.07","nan","nan","nan"
"NGC 1502",61.76074,62.33792,143.6,7.6,821.0,"nan",0.01,"nan",-18.0,-0.85,0.55
"NGC 1528",63.82693,51.28482,152.0,0.3,776.0,"nan",0.36,"nan",-10.3,1.81,-2.44
"NGC 1545",65.26718,50.24236,153.38,0.19,711.0,0.303,0.28,"-0.06;-0.09",-12.0,0.45,-3.12
"NGC 1647",71.49455,19.04965,180.4,-16.8,540.0,"nan",0.14,"nan",-2.0,-1.37,-1.02
"NGC 1662",72.12572,10.9343,187.705,-21.105,437.0,0.304,0.42,"-0.09;-0.09",-13.9,-2.44,-2.83
"NGC 1664",72.738,43.62271,161.7,-0.5,1199.0,"nan",0.29,"nan",7.8,1.96,-5.1
"NGC 1778",77.0298,37.03508,168.9,-2.0,1469.0,"nan",0.14,"nan",10.0,3.33,-3.21
