"Name","DM0","e_DM0","E_B-V_","log_age_","_RA","_DE"
"Berkeley 11",11.67,0.1,0.969,7.3,65.15,44.917
"Berkeley 62",11.09,0.2,0.894,7.2,15.25,63.95
"Berkeley 86",9.48,0.05,0.996,6.4,305.05,38.69
"Berkeley 94",12.7,0.05,0.7,7.2,335.725,55.873
"Berkeley 96",12.5,0.05,0.634,6.8,337.454,55.396
"Berkeley 82",9.7,0.1,1.035,7.7,287.833,13.111
"Biurakan 2",10.8,0.25,0.42,7.2,302.3,35.483
"Bochum 1",12.53,0.05,0.573,6.4,96.375,19.767
"Bochum 2",14.04,0.1,0.894,6.4,102.225,0.383
"Bochum 4",9.27,0.05,0.188,7.5,112.904,-17.193
"Bochum 8",10.44,0.05,0.508,8.1,153.042,-58.07
"Bochum 10",11.6,0.1,0.332,6.8,160.559,-59.146
"Bochum 11",12.01,0.25,0.479,6.4,161.813,-60.097
"Bochum 13",10.52,0.1,0.804,6.4,259.35,-35.55
"Bochum 14",9.22,0.1,1.566,6.9,270.5,-23.7
"Collinder 121",9.0,0.1,0.027,7.0,104.083,-24.73
"Collinder 140",7.71,0.05,0.026,7.6,111.112,-31.85
"Collinder 197",10.13,0.05,0.604,6.8,131.212,-41.233
"Collinder 205",10.92,0.05,0.775,6.4,135.133,-48.983
"Collinder 223",11.65,0.1,0.245,7.9,158.067,-60.02
"Collinder 228",11.8,0.1,0.334,6.5,161.0,-60.087
"Collinder 258",9.66,0.1,0.168,7.5,186.817,-60.778
"Collinder 359",7.43,0.2,0.21,7.2,270.275,2.9
"Collinder 394",8.9,0.05,0.25,7.9,283.067,-20.203
"Czernik 20",12.76,0.05,0.533,7.0,80.025,39.467
"Dolidze 25",12.38,0.25,0.722,6.4,101.275,0.3
"Harvard 20",11.2,0.1,0.255,8.2,298.275,18.333
"Haffner 15",12.27,0.2,1.114,7.8,116.375,-32.842
"Haffner 16",12.6,0.04,0.198,7.45,117.583,-25.467
"Haffner 18",13.3,0.1,0.413,7.2,118.125,-26.367
"Haffner 19",13.06,0.05,0.46,7.5,118.196,-26.283
"Hogg 10",12.0,0.08,0.482,7.65,167.675,-60.367
"Hogg 16",11.4,0.1,0.447,7.4,202.325,-61.2
"Hogg 18",10.2,0.2,0.492,7.9,222.675,-52.267
"Hogg 22",11.9,0.1,0.716,6.4,251.654,-47.083
"IC 1805",11.43,0.07,0.775,6.5,38.175,61.45
"IC 1848",11.39,0.15,0.617,6.8,42.337,60.634
"IC 2391",5.74,0.07,0.004,7.7,130.133,-53.033
"IC 2395",9.1,0.1,0.073,7.3,130.629,-48.1
"IC 2488",10.16,0.05,0.231,8.1,141.908,-57.0
"IC 2581",11.68,0.07,0.425,7.1,156.871,-57.617
"IC 2602",5.68,0.05,0.038,7.6,160.742,-64.4
"IC 2944",11.58,0.1,0.356,6.5,174.585,-63.373
"IC 4665",7.57,0.1,0.192,7.6,266.575,5.717
"IC 4725",8.62,0.07,0.484,7.6,277.946,-19.117
"IC 4996",10.66,0.15,0.643,7.0,304.125,37.633
"King 12",11.8,0.1,0.573,7.0,358.254,61.946
"Lynga 1",11.43,0.1,0.5,8.1,210.008,-62.15
"Lynga 6",11.55,0.1,1.356,7.65,241.217,-51.933
"Lynga 14",11.84,0.25,1.483,6.4,253.75,-45.333
"Markarian 38",11.17,0.05,0.322,7.3,273.826,-19.002
"Markarian 50",11.25,0.1,0.722,7.1,348.807,60.45
