"Name","RAJ2000","DEJ2000","Nc","R","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","Dist","e_Dist","logAge","e_logAge","E(B-V)","e_E(B-V)","Z","e_Z"
"Alessi 20",2.59167,58.74194,124,7.46,2.311,0.068,8.195,0.027,-2.341,0.028,-4.314,3.034,436,12,6.975,0.087,0.26,0.05,0.01,0.001
"NGC 146",8.24167,63.33417,197,3.32,0.311,0.026,-2.836,0.01,-0.454,0.007,17.84,17.63,2727,400,7.51,0.147,0.43,0.02,0.005,0.009
"King 16",10.9375,64.18556,551,6.93,0.314,0.04,-2.654,0.04,-0.409,0.013,-42.961,0.919,2494,101,7.203,0.056,0.67,0.04,0.002,0.001
"Berkeley 4",11.25417,64.38472,238,3.34,0.284,0.044,-2.421,0.013,-0.269,0.009,-53.13,1.19,2744,395,7.181,0.075,0.65,0.04,0.005,0.007
"NGC 366",16.60833,62.23,156,2.09,0.328,0.05,-2.06,0.011,-0.414,0.009,83.14,15.82,2667,254,7.302,0.087,0.94,0.07,0.003,0.004
"NGC 457",19.89583,58.28667,1079,6.35,0.297,0.05,-1.578,0.006,-0.651,0.009,79.484,2.578,2271,233,7.431,0.101,0.37,0.04,0.003,0.004
"NGC 581",23.34583,60.65,237,3.18,0.37,0.032,-1.382,0.004,-0.504,0.01,-45.33,0.32,2061,258,7.336,0.069,0.34,0.04,0.003,0.005
"FSR 0551",24.9375,64.71139,52,3.95,1.063,0.052,0.112,0.022,-1.422,0.021,-23.49,5.29,829,3,7.207,0.048,0.45,0.02,0.006,0.003
"NGC 659",26.1,60.67333,272,3.17,0.272,0.05,-0.799,0.008,-0.276,0.01,77.81,17.61,3018,260,7.436,0.077,0.55,0.02,0.009,0.005
"Riddle 4",31.84583,60.25694,117,2.72,0.337,0.05,-0.761,0.006,-0.523,0.007,-30.388,0.407,2270,371,7.328,0.099,0.74,0.06,0.003,0.006
"NGC 884",35.59583,57.12583,1253,7.24,0.395,0.038,-0.607,0.007,-1.049,0.009,-43.525,0.284,1989,222,7.232,0.053,0.41,0.01,0.004,0.004
"IC 1805",38.20833,61.63778,136,5.03,0.449,0.039,-0.702,0.015,-0.669,0.018,-40.93,3.99,2158,211,6.878,0.055,0.73,0.08,0.019,0.004
"ASCC 9",41.72917,57.73,525,8.33,0.391,0.034,0.156,0.012,-1.086,0.01,-72.118,2.037,2047,105,7.268,0.035,0.81,0.06,0.002,0.001
"Stock 23",49.04583,60.11556,62,10.43,1.62,0.003,-4.286,0.005,-0.921,0.013,-16.298,6.274,726,32,7.641,0.084,0.33,0.02,0.03,0.009
"Czernik 15",50.8,52.25,74,2.58,0.309,0.05,0.396,0.007,-1.082,0.006,-84.82,1.8,2605,295,7.491,0.071,0.89,0.07,0.003,0.006
"Juchert 9",58.84167,58.39111,39,1.34,0.186,0.087,-0.223,0.018,-0.033,0.023,-34.63,0.52,7632,1461,6.896,0.171,0.74,0.09,0.021,0.005
"NGC 1502",61.95417,62.33194,154,3.28,0.916,0.054,-0.571,0.016,-0.848,0.018,-14.76,6.48,1243,66,7.01,0.029,0.73,0.07,0.025,0.005
"ASCC 19",81.98333,-1.98694,188,25.37,2.768,0.089,1.152,0.019,-1.234,0.018,23.574,2.129,354,12,7.141,0.053,0.07,0.02,0.021,0.004
"ASCC 21",82.17917,3.52694,131,17.45,2.866,0.131,1.404,0.026,-0.632,0.022,16.034,3.808,353,12,7.09,0.034,0.05,0.01,0.018,0.002
"Collinder 69",83.79167,9.81306,669,37.42,2.462,0.124,1.194,0.021,-2.118,0.017,27.727,3.754,401,9,6.965,0.036,0.1,0.01,0.014,0.002
"NGC 1980",83.85,-5.915,122,7.89,2.585,0.05,1.23,0.017,0.529,0.025,25.264,7.055,297,30,6.932,0.031,0.03,0.01,0.006,0.002
"FSR 0850",86.3125,24.75361,49,2.12,0.456,0.05,1.286,0.017,-2.518,0.01,19.37,1.35,1861,166,7.565,0.233,0.48,0.05,0.002,0.002
"Collinder 95",97.7875,9.89389,144,6.77,1.458,0.117,-2.263,0.028,-5.159,0.026,8.726,0.595,630,51,6.715,0.143,0.19,0.12,0.053,0.008
"NGC 2244",98.04583,4.91389,623,9.02,0.617,0.127,-1.598,0.019,0.179,0.017,102.43,17.38,1304,29,6.904,0.12,0.44,0.01,0.005,0.003
"Collinder 107",99.20417,4.97194,159,16.89,0.617,0.067,-1.325,0.015,0.659,0.013,131.6,7.42,1328,26,7.146,0.026,0.41,0.03,0.004,0.001
"NGC 2264",100.24167,9.895,667,13.27,1.355,0.05,-1.796,0.04,-3.651,0.011,19.006,4.567,600,14,6.798,0.086,0.08,0.01,0.005,0.002
"VDB 92",105.975,-11.53333,21,2.89,0.86,0.024,-4.469,0.013,1.461,0.01,25.6,11.31,1085,124,6.852,0.132,0.3,0.04,0.034,0.003
"Collinder 132",108.48333,-30.75806,99,61.2,1.501,0.087,-4.14,0.019,3.732,0.024,27.339,3.912,660,37,7.668,0.035,0.05,0.01,0.015,0.005
"Collinder 135",109.3625,-37.04417,352,46.46,3.278,0.117,-9.975,0.027,6.157,0.025,16.719,2.325,310,8,7.575,0.029,0.07,0.01,0.018,0.002
"NGC 2362",109.67083,24.95389,165,2.74,0.742,0.074,-2.791,0.014,2.953,0.018,28.86,5.65,1285,123,6.872,0.12,0.17,0.03,0.005,0.004
"Ruprecht 18",111.1625,-26.21667,203,3.84,0.372,0.029,-0.495,0.006,1.159,0.007,31.403,0.373,2317,181,7.676,0.155,0.57,0.04,0.004,0.002
"Collinder 140",111.88333,-31.96611,150,22.07,2.594,0.105,-8.074,0.022,4.789,0.024,16.018,3.503,398,7,7.654,0.03,0.03,0.01,0.019,0.003
"NGC 2414",113.3,-15.45333,174,2.72,0.171,0.05,-1.393,0.006,1.46,0.014,194.97,3.02,4467,449,7.233,0.123,0.53,0.07,0.007,0.004
"NGC 2439",115.19167,-31.69389,551,3.15,0.232,0.047,-2.283,0.004,3.159,0.005,78.975,1.239,2972,104,7.463,0.057,0.33,0.03,0.002,0.0
"Haffner 13",115.20833,-30.07306,210,13.58,1.742,0.074,-6.184,0.018,5.879,0.015,33.488,7.284,529,14,7.56,0.043,0.07,0.0,0.013,0.002
"NGC 2451B",116.12917,-37.95389,298,23.83,2.719,0.095,-9.671,0.034,4.702,0.025,22.791,2.739,370,9,7.557,0.028,0.09,0.01,0.018,0.003
"Haffner 15",116.37917,-32.84611,175,1.8,0.238,0.051,-2.154,0.009,3.289,0.011,52.95,0.42,4686,144,7.141,0.011,0.81,0.04,0.023,0.001
