"Name","q_Name","GLON","GLAT","Rad","Age","Rgc","pmRA","e_pmRA","pmDE","e_pmDE","HRV","e_HRV","Fe/H","e_Fe/H","N*","SimbadName","RA","DEC"
"Czernik 21   ",1,171.8933,0.4622,6.6,"2.24",12.27,2.38,0.09,-1.04,0.07,45.0,0.3,-0.32,0.01,2,"Cl Czernik 21                  ",81.683,36.015
"Berkeley 71  ",2,176.6384,0.8936,4.8,"1.05",11.26,0.69,0.08,-1.66,0.06,-9.4,0.3,-0.23,0.04,6,"Cl Berkeley 71                 ",85.237,32.266
"Chupina 1    ",0,215.3987,31.6938,5.0,"0.01",8.57,-10.89,0.14,-2.77,0.1,33.8,0.2,0.0,0.02,2,"Cl Chupina 1                   ",132.5291,11.945
"NGC 188      ",2,122.8416,22.384,17.7,"4.47",9.14,-2.33,0.04,-0.92,0.03,-41.4,1.1,0.09,0.02,14,"NGC 188                        ",11.8499,85.255
"NGC 2202     ",0,203.5978,-4.8847,4.8,"1.58",9.8,-0.97,0.03,0.53,0.03,52.8,0.1,-0.14,0.01,1,"NGC 2202                       ",94.215,6.027
"NGC 1245     ",2,146.6533,-8.9081,11.4,"1.06",10.6,0.51,0.04,-1.63,0.03,-29.0,0.8,-0.08,0.02,24,"NGC 1245                       ",48.7001,47.253
"NGC 2243     ",1,239.48,-18.0146,5.1,"1.36",10.78,-1.28,0.02,5.5,0.02,59.8,0.4,-0.46,0.03,8,"NGC 2243                       ",97.392,-31.2851
"Czernik 7    ",0,131.1573,0.5299,3.9,"1.31",10.23,-0.39,0.01,-0.45,0.02,-39.5,0.0,-0.07,0.01,1,"Cl Czernik 7                   ",30.7551,62.253
"FSR 0687     ",0,156.9333,0.967,5.0,"0",11.5,0.53,0.08,0.35,0.05,-29.3,0.4,-0.15,0.02,1,"[FSR2007] 0687                 ",69.8708,48.1945
"NGC 1802     ",0,179.5885,-9.2419,4.8,"1.41",10.07,2.01,0.04,-0.62,0.27,35.0,0.6,-0.3,0.01,2,"NGC 1802                       ",77.528,24.18
"FSR 0940     ",0,195.5557,-1.2914,5.1,"2.51",10.35,0.47,0.05,-2.51,0.04,71.8,0.1,-0.23,0.01,1,"[FSR2007] 0940                 ",93.562,14.8
"NGC 1907     ",1,172.6189,0.3057,5.4,"0.4",9.59,-0.06,0.07,-3.54,0.06,2.8,0.2,-0.08,0.01,3,"NGC 1907                       ",82.02,35.325
"NGC 6811     ",2,79.2233,12.0047,7.2,"0.64",7.86,-3.44,0.06,-8.73,0.04,8.0,0.3,-0.05,0.02,4,"NGC 6811                       ",294.342,46.395
"FSR 0852     ",0,184.1286,-0.4317,4.8,"1",10.14,1.09,0.08,-1.97,0.06,27.1,0.2,-0.31,0.01,1,"[FSR2007] 0852                 ",88.373,25.173
"Collinder 95 ",0,201.8031,0.0402,5.4,"0.02",8.59,-2.05,0.14,-5.46,0.14,19.7,1.6,-0.14,0.02,1,"Cl Collinder 95                ",97.77,9.91
"L 1641S      ",0,212.4711,-19.0105,12.9,"0",8.4,0.36,0.16,-0.5,0.13,22.0,2.0,-0.05,0.05,11,"[KPS2012] MWSC 0647            ",85.62,-8.15
"NGC 2311     ",0,217.7569,-0.6935,6.0,"0.65",9.85,-1.46,0.08,0.8,0.07,100.5,0.2,-0.32,0.01,1,"NGC 2311                       ",104.445,-4.61
"FSR 0716     ",1,162.2554,3.6174,3.9,"0.64",12.35,-0.33,0.04,-1.77,0.03,20.8,13.7,-0.4,0.01,1,"[FSR2007] 0716                 ",77.7869,45.715
"King 2       ",1,122.8645,-4.6707,3.0,"4.68",11.9,-1.49,0.02,-0.92,0.02,-135.5,0.0,-0.36,0.01,1,"Cl King 2                      ",12.732,58.201
"IC 348       ",0,160.5067,-17.8063,7.5,"0.01",8.43,4.38,0.26,-6.26,0.12,16.7,0.3,-0.11,0.02,2,"IC 348                         ",56.1531,32.15
"Koposov 62   ",0,187.2643,4.1906,4.2,"2.6",11.41,-0.02,0.04,-0.43,0.03,51.8,0.0,-0.27,0.01,1,"[KGZ2008] 62                   ",94.509,24.695
"Briceno 1    ",0,200.9817,-18.344,30.0,"0.01",8.3,1.45,0.1,-0.08,0.09,21.0,1.0,-0.06,0.06,30,"NAME Briceno 1                 ",81.15,1.8
"Melotte 20   ",1,147.4872,-6.5275,120.0,"0.05",8.15,23.34,0.13,-25.8,0.11,1.0,1.3,0.01,0.05,60,"Cl Melotte 20                  ",51.675,48.7999
"Berkeley 31  ",1,206.2232,5.1295,3.0,"2",13.85,0.24,0.06,-1.08,0.06,59.6,0.3,-0.45,0.01,1,"Cl Berkeley 31                 ",104.395,8.298
"Czernik 20   ",1,168.2836,1.4287,6.6,"1.55",9.97,0.58,0.05,-1.56,0.04,31.4,2.4,-0.16,0.03,7,"Cl Czernik 20                  ",80.1151,39.54
"Trumpler 5   ",1,202.8071,1.0182,13.5,"3.16",10.59,-0.58,0.06,0.23,0.04,50.5,0.4,-0.44,0.01,3,"Cl Trumpler 5                  ",99.12,9.47
"Berkeley 66  ",2,139.4199,0.1803,3.3,"1.41",14.08,0.01,0.15,-0.1,0.12,-50.0,0.2,-0.19,0.03,5,"Cl Berkeley 66                 ",46.016,58.7401
"NGC 6866     ",1,79.5648,6.8354,5.1,"0.44",7.87,-1.18,0.04,-5.91,0.08,14.2,0.4,0.01,0.01,2,"NGC 6866                       ",300.987,44.16
"SAI 16       ",1,131.4481,0.6267,2.7,"1.41",11.69,-0.7,0.03,-0.37,0.04,-61.2,0.2,-0.28,0.01,1,"SAI 16                         ",31.413,62.2651
"NGC 2204     ",1,226.009,-16.1042,6.3,"1.95",10.85,-0.58,0.04,1.95,0.04,91.9,0.9,-0.26,0.02,12,"NGC 2204                       ",93.888,-18.66
"Saurer 1     ",0,214.6969,7.383,2.7,"3.98",20.69,-0.36,0.05,-0.39,0.04,105.0,0.0,-0.42,0.01,1,"Cl Saurer 1                    ",110.2341,1.8
