"ID","RAdeg","e_RAdeg","DEdeg","e_DEdeg","GLON","e_GLON","GLAT","e_GLAT","Num","NCore","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","m-M","A0","logA","RVel","e_Rvel","o_Rvel","Type"
"CWNU 2927",258.1907,0.021,-39.9973,0.018,347.0513,0.02,-0.4867,0.015,194,78,0.203,0.047,-0.789,0.111,-2.275,0.068,12.9,6.2,7.8,-35.22,1.1,8,1
"CWNU 2928",63.3036,0.078,43.1134,0.132,157.3867,0.126,-5.8195,0.163,55,26,0.548,0.025,0.23,0.093,-2.74,0.061,11.35,1.8,6.8,-31.74,6.12,1,1
"CWNU 2929",308.0126,0.049,35.1342,0.082,75.0937,0.072,-2.7083,0.042,84,37,0.154,0.036,-3.257,0.109,-5.497,0.131,14.0,4.6,9.0,"nan","nan",0,1
"CWNU 2930",115.4063,0.034,-18.8241,0.036,235.3382,0.045,2.0572,0.025,86,35,0.177,0.056,-1.226,0.124,1.878,0.129,13.25,1.5,8.8,63.09,2.06,1,1
"CWNU 2931",119.1998,0.023,-29.2691,0.014,246.0982,0.013,-0.2615,0.019,56,33,0.118,0.079,-1.533,0.116,1.605,0.064,13.85,2.35,8.7,"nan","nan",0,1
"SAI 88",123.2452,0.018,-41.8746,0.015,258.517,0.01,-4.2168,0.014,79,33,0.127,0.074,-1.135,0.105,3.319,0.172,13.65,3.55,9.3,"nan","nan",0,1
"CWNU 2932",352.3928,0.223,58.2021,0.077,112.284,0.114,-2.9784,0.064,131,48,0.474,0.022,-3.884,0.082,-2.919,0.068,11.55,2.6,8.6,-37.19,3.78,2,1
"CWNU 2933",141.8074,0.046,-57.7257,0.022,278.2929,0.033,-4.9868,0.014,69,35,0.063,0.024,-3.124,0.111,3.142,0.077,14.55,1.8,9.2,57.32,0.51,1,1
"CWNU 2934",338.7021,0.048,56.3803,0.016,104.8126,0.017,-1.6078,0.013,81,17,0.163,0.03,-2.736,0.068,-1.438,0.114,13.45,2.1,8.5,-52.19,2.8,1,1
"CWNU 2935",65.6487,0.036,50.4741,0.035,153.3839,0.028,0.5239,0.043,120,33,0.161,0.053,0.202,0.099,0.111,0.068,13.3,3.5,8.7,-35.95,1.14,4,1
