"Cluster","RA_ICRS","DE_ICRS","MA22","e_MA22","NA22","MA23f","e_MA23f","NA23f","MA23g","e_MA23g","NA23g","MZ23","e_MZ23","NZ23","MK24","e_MK24","NK24","MF24","e_MF24","NF24"
"ASCC_61",161.5697,-57.038,-0.28,0.16,43.0,-0.22,0.12,72,-0.08,0.03,14.0,-0.25,0.1,50.0,-0.25,0.08,81.0,-0.14,0.08,71.0
"ASCC_63",164.1153,-60.4947,-0.04,0.14,7.0,-0.44,0.18,34,-0.14,0.06,8.0,"nan","nan","nan",-0.13,0.07,18.0,-0.35,0.23,29.0
"ASCC_75",206.9008,-62.4709,-0.16,0.07,7.0,-0.21,0.1,6,"nan","nan","nan",-0.3,0.14,10.0,-0.18,0.03,13.0,"nan","nan","nan"
"Alessi_22",357.648,36.1007,-0.16,0.08,16.0,-0.08,0.08,22,"nan","nan","nan",0.07,0.07,13.0,-0.02,0.07,17.0,-0.06,0.09,29.0
"Alessi_50",95.5235,21.0768,-0.18,0.09,90.0,-0.51,0.14,54,-0.38,0.04,5.0,-0.41,0.07,16.0,-0.37,0.09,25.0,-0.34,0.18,51.0
"Alessi_62",284.0636,21.5933,-0.07,0.09,126.0,0.01,0.07,165,"nan","nan","nan",0.05,0.07,114.0,-0.05,0.09,167.0,0.0,0.04,199.0
"Alessi_116",310.1589,20.1905,-0.2,0.09,98.0,-0.11,0.06,129,-0.06,0.02,7.0,-0.07,0.08,88.0,-0.1,0.08,112.0,-0.04,0.06,124.0
"Alessi_170",100.4441,-5.245,-0.14,0.1,128.0,-0.24,0.14,111,0.01,0.02,6.0,-0.05,0.11,70.0,-0.08,0.06,80.0,-0.07,0.07,97.0
"Auner_1",106.0572,-19.7587,-0.38,0.12,45.0,-0.63,0.13,21,-0.42,0.05,5.0,-0.66,0.12,13.0,-0.46,0.09,28.0,-0.51,0.16,26.0
"BH_55",134.0302,-39.5027,-0.08,0.12,106.0,-0.37,0.12,73,-0.27,0.04,11.0,-0.36,0.11,13.0,-0.29,0.07,44.0,-0.23,0.11,72.0
"BH_66",141.3317,-54.7262,-0.27,0.13,54.0,-0.5,0.18,94,-0.28,0.08,17.0,-0.5,0.09,20.0,-0.33,0.08,48.0,-0.32,0.16,77.0
"BH_73",142.9736,-50.2283,-0.14,0.15,26.0,-0.39,0.08,24,"nan","nan","nan",-0.44,0.1,10.0,-0.32,0.06,24.0,-0.34,0.14,28.0
"BH_84",150.3539,-58.2198,-0.38,0.18,11.0,-0.4,0.17,30,"nan","nan","nan","nan","nan","nan",-0.18,0.07,9.0,-0.5,0.14,28.0
"BH_85",150.4758,-49.5682,-0.16,0.08,112.0,-0.47,0.18,38,-0.29,0.04,8.0,-0.34,0.08,18.0,-0.42,0.13,56.0,-0.27,0.12,40.0
"BH_118",170.7413,-58.5537,-0.19,0.11,68.0,-0.29,0.15,42,-0.22,0.08,14.0,-0.41,0.15,28.0,-0.2,0.11,49.0,-0.21,0.1,42.0
"BH_202",253.7833,-40.9466,-0.27,0.11,153.0,-0.19,0.1,124,0.16,0.03,10.0,-0.36,0.1,127.0,-0.12,0.06,252.0,-0.27,0.1,134.0
"BH_211",255.5178,-41.1243,-0.22,0.12,64.0,-0.09,0.2,13,0.21,0.02,5.0,-0.4,0.12,38.0,-0.12,0.07,82.0,-0.31,0.09,20.0
"Berkeley_2",6.3211,60.3938,-0.31,0.12,63.0,-0.39,0.14,103,-0.24,0.09,16.0,-0.7,0.05,8.0,-0.32,0.09,41.0,-0.38,0.17,95.0
"Berkeley_8",30.3089,75.4782,0.0,0.17,414.0,-0.41,0.13,197,-0.27,0.05,36.0,-0.29,0.13,45.0,-0.35,0.06,229.0,-0.21,0.13,210.0
"Berkeley_9",53.1655,52.651,0.04,0.15,125.0,-0.19,0.07,103,-0.09,0.06,6.0,-0.01,0.11,48.0,-0.19,0.04,72.0,-0.16,0.1,116.0
