"Name","RA_ICRS","DE_ICRS","GLON","GLAT","pmRA","pmDE","Plx","d_pc","RV","logt","Av","diffAV50","CST","N","r50pc","CMDCl50"
"ADS_16795           ",352.59216492,58.55341329,112.50889463,-2.668,18.6566039,2.84661253,4.75961052,206.45788462,-13.35774436,7.75518608,0.17429753,0.47076963,6.83219864,41,9.57,0.828
"AH03_J0748-26.9     ",117.1558869,-26.97267949,243.20021931,-0.6276,-2.46548955,3.18503456,0.20935812,3979.0648833,79.36052331,8.0617404,1.0366689,1.07900274,11.58552411,68,2.37,1.0
"ASCC_5              ",14.46908222,55.82917381,123.84274797,-7.031,-2.40663082,-1.91881768,0.53819722,1740.9832069,"nan",7.32589102,1.17621279,0.72346848,8.31642236,25,1.66,1.0
"ASCC_6              ",26.84215882,57.73860678,130.3636862,-4.324,-0.83414476,0.14917466,0.62966733,1501.88586403,-28.83784149,7.96103024,0.6565339,0.75796357,19.25857004,209,3.76,0.999
"ASCC_9              ",41.62390108,57.77684685,137.8066871,-1.733,0.16875807,-1.13867954,0.40228194,2299.27724834,-23.7910867,7.46564054,2.49999785,1.07768381,17.56655281,136,5.56,1.0
"ASCC_11             ",53.05042398,44.84076681,150.55167577,-9.238,0.90530141,-3.07237438,1.17058217,825.9352722,-17.28520635,8.36957026,0.72898781,0.996622,27.89348821,315,2.77,0.999
"ASCC_12             ",72.42059742,41.71429711,163.01816915,-1.9,-0.67604714,-2.91644873,0.9549891,1014.51750457,-26.14465879,8.4734292,0.70915082,0.82951069,19.41706905,157,3.96,1.0
"ASCC_13             ",78.22066967,44.36502692,163.52977738,3.072,-0.54823427,-1.80948014,0.88155036,1076.15264565,-17.42266769,7.94514036,0.61692888,0.66987878,11.41564199,117,4.98,1.0
"ASCC_14             ",80.00385802,35.22905658,171.77059711,-1.108,-0.56400492,-3.59743755,0.927376,1004.25092121,-15.06850226,7.68908143,0.67634851,0.83395645,3.35332804,32,3.62,0.999
"ASCC_18             ",81.33025179,0.36762755,202.39396825,-18.89,0.15634828,1.37329274,2.41504096,411.33421579,26.15758033,6.96652937,0.22809882,0.76179832,5.07672406,82,2.13,0.995
"ASCC_19             ",81.97812989,-1.8560224,204.78898604,-19.38,1.16771674,-1.18247821,2.80542177,352.07912043,11.65061088,6.87212467,0.22972958,0.51640519,9.30711743,61,1.98,1.0
"ASCC_20             ",82.19355425,1.72130405,201.59021723,-17.47,-0.5690951,0.75899004,2.73024842,361.20759548,27.88555658,7.09837246,0.1079708,0.47139122,8.64395005,194,4.12,0.993
"ASCC_21             ",82.21204038,3.60658547,199.8828505,-16.53,1.5323534,-0.57628365,2.90244259,340.73440964,10.16829406,6.83873701,0.13768683,0.70442617,11.05617115,116,2.75,1.0
"ASCC_23             ",95.02982828,46.68569526,167.4900251,14.39,1.07858876,-0.63605991,1.60932656,603.67282762,-13.25086514,8.46416616,0.17966793,0.66583881,21.3346729,194,3.31,0.997
"ASCC_24             ",97.26088906,-7.03519235,216.68856762,-8.165,-7.35355702,-2.88101932,4.72756672,209.76508315,35.99828722,7.50882268,0.39099787,0.47899516,5.83357086,18,7.08,0.985
"ASCC_27             ",103.51203969,-4.51159597,217.24517615,-1.476,-0.70465143,0.62480562,0.28057876,3093.00481716,"nan",7.72897339,3.28840196,2.46263719,8.28525119,51,4.19,0.954
"ASCC_28             ",103.45291027,-0.1287823,213.31714573,0.4694,-2.56918404,-2.428013,0.91907614,1039.73871055,48.98105424,7.9781239,0.30027463,0.4529935,3.51093826,25,7.72,0.998
"ASCC_29             ",103.58953286,-1.66867729,214.74986972,-0.1113,-0.99378007,-1.0505324,0.97071031,993.44651786,12.10932459,8.07814837,0.10661657,0.39912516,14.47895133,91,2.24,0.999
"ASCC_30             ",104.23729253,-6.21213759,219.08860179,-1.608,-1.57923518,-0.15666855,0.88755763,1060.38401827,15.53417802,8.20350361,0.33680458,0.8964681,11.3099033,88,3.59,0.999
"ASCC_33             ",105.45444654,-24.43701314,235.98124333,-8.74,-9.78093881,1.14338219,2.3235263,416.70785047,16.8788504,8.33320713,0.05557162,0.37202615,9.60590908,49,9.21,0.985
"ASCC_36             ",108.6233592,-21.10056525,234.29735131,-4.633,-2.24212769,2.00072473,1.01376607,952.98872005,16.0470875,8.10520649,0.17016807,0.37271044,5.63889517,29,3.18,0.993
"ASCC_45             ",124.14491525,-35.65482525,253.72109195,-0.1878,-2.86844439,3.18765398,0.24553392,3535.0290058,"nan",7.46660185,2.06079197,2.28116596,4.79361113,54,12.67,0.884
"ASCC_51             ",140.3967267,-69.8552943,286.58773674,-13.97,-7.61303782,7.96359467,1.81832702,544.83474207,8.7346691,8.09970093,0.07270944,0.34683238,19.46774937,172,5.21,0.999
"ASCC_52             ",141.8228284,-54.50968599,276.06605245,-2.657,-5.15363604,4.19896878,0.38863429,2349.71507909,6.73055538,8.4344058,1.03351206,1.11692351,3.79467954,39,13.56,0.979
"ASCC_58             ",153.70559195,-55.02031159,281.70492996,1.263,-13.301967,2.7601003,2.09626027,471.43809668,11.68279989,7.75597095,0.12798242,0.59088817,19.43184966,236,4.24,0.997
"ASCC_59             ",155.39603909,-57.67908029,283.95303862,-0.4378,-8.77797258,4.82179829,0.50127624,1913.30497299,"nan",9.65740967,0.33704804,0.41198607,3.04239277,12,3.36,0.882
"ASCC_60             ",158.17090211,-58.63124986,285.69880735,-0.4814,-5.43598496,2.5946494,0.18672286,4388.02094824,109.32080076,7.666291,2.63199222,3.12833714,7.76545007,146,6.88,0.037
"ASCC_61             ",161.59049343,-57.04482418,286.5227371,1.788,-7.96156497,3.60842687,0.33331991,2719.72272472,-19.78931122,9.08309031,0.49548896,0.69099066,19.48868674,167,2.95,0.976
"ASCC_62             ",162.76183505,-60.08322363,288.4471836,-0.6415,-6.39430819,2.08663854,0.40429437,2291.20499651,41.38309811,7.53004313,0.9074052,1.23726904,4.62418829,86,7.98,0.999
"ASCC_63             ",164.0968243,-60.47665098,289.21446606,-0.7059,-5.25427976,2.25131124,0.16473312,5115.94971348,17.94078338,8.61818027,2.29602528,2.364519,16.07524187,171,4.16,0.363
"ASCC_65             ",167.83398675,-61.16702171,291.15997526,-0.6042,-6.30891883,1.13289182,0.3819801,2387.22451536,4.17192021,6.80490303,1.08605421,1.92681897,6.36299733,66,2.6,0.966
"ASCC_66             ",168.34376049,-55.42612746,289.263473,4.822,-11.30001175,3.0046105,1.02918688,950.90684753,-8.81039784,7.96060228,0.29233563,0.59134606,5.87319675,49,1.28,0.807
"ASCC_67             ",175.37530127,-61.05654916,294.57101719,0.6748,-6.74072786,0.95755268,0.49314213,1884.62966784,"nan",7.63634229,0.58400285,0.77804595,10.60079154,78,4.6,1.0
"ASCC_69             ",181.59366412,-69.85703281,299.04262223,-7.326,-6.45409606,-1.89022098,1.3423262,726.69589916,4.67615707,7.86272621,0.60552713,0.28604971,6.76881817,38,10.69,0.999
"ASCC_71             ",185.1690943,-67.52149108,299.98870607,-4.826,-9.35821421,-1.36064864,0.78226603,1222.37045043,-14.30120359,8.32504606,0.74932903,0.57514217,17.0851755,147,3.52,0.999
"ASCC_72             ",193.76376292,-61.05354969,303.36979775,1.815,-5.25114745,-0.37080658,0.3123869,2878.7597798,-12.77776931,8.25167894,1.91785264,2.90162289,14.62847761,147,3.0,0.238
"ASCC_73             ",189.29220321,-67.21018149,301.5468539,-4.377,-11.48238799,-2.87602545,1.55051383,628.01129984,-20.24526526,8.19946527,0.20976344,0.77894616,11.45248292,80,6.36,0.996
"ASCC_75             ",206.93197947,-62.4524761,309.38873563,-0.2885,-2.63223099,-2.18660369,0.47568959,1976.15269486,"nan",8.01176929,1.54704767,1.39940315,7.20351302,36,5.09,0.983
"ASCC_77             ",212.69603971,-62.36042349,311.99031,-0.8924,-4.25715446,-3.16237868,0.87470636,1098.0431702,-16.42211428,7.83674169,0.69624913,0.94040072,20.10097025,220,2.82,0.999
"ASCC_79             ",229.36721461,-61.07482263,319.67947629,-3.044,-3.06871118,-4.00049408,1.18666478,816.38055552,-8.85988937,6.73967695,0.62529668,1.75026125,22.35109796,214,4.63,0.973
"ASCC_84             ",238.68273064,-60.71272864,323.5669228,-5.411,-1.35984231,-4.20060314,1.15191099,851.03464242,-1.96194839,7.46561384,0.77999344,0.47180845,3.79649723,13,1.59,0.942
"ASCC_85             ",251.92430697,-45.57210398,339.83354568,-0.3075,0.16324774,-4.10842346,1.13670081,852.49738503,8.01273128,8.09499693,0.52044892,0.64658409,20.66174166,201,5.22,1.0
"ASCC_87             ",255.69785201,-28.45807211,355.11587164,8.042,-1.21401017,-3.76971905,1.29819646,751.41860654,-0.21994449,8.63451099,0.43246703,1.02794147,10.41221912,90,3.73,0.993
"ASCC_88             ",256.85062355,-35.55640977,349.99941629,3.0,0.91135567,-3.28504204,1.10312782,872.94765245,-17.81535017,8.08216143,1.87654996,0.62793609,11.45384078,96,2.83,1.0
"ASCC_90             ",264.76196704,-34.81736389,354.26553406,-1.913,-1.52864961,-2.65506629,1.70642716,571.0344496,6.27788425,8.61197948,0.68440089,1.05110496,17.13616171,184,9.42,0.945
"ASCC_93             ",271.91260729,-22.28335608,8.2454042,-0.9464,1.39844125,3.4608463,0.45283924,1821.68428269,-5.39344212,9.65392399,4.22203445,2.63061035,5.78006806,40,2.5,0.127
"ASCC_94             ",273.92216203,-14.90845919,15.62646622,0.9337,-0.21310383,-1.11248401,0.60065837,1552.28516124,-9.44262971,6.93041539,1.94104439,2.27221274,7.93641575,85,5.09,0.972
"ASCC_95             ",274.0570994,-25.8321451,6.06525761,-4.365,-0.65366965,-2.1463447,0.83059175,1144.17378894,13.75669731,8.10593224,0.78544772,0.54903626,11.23206249,81,3.46,0.994
"ASCC_99             ",282.17181947,-18.38406542,16.16547486,-7.682,5.24745277,-1.30712533,3.28096245,298.96316195,-29.85613033,7.94974232,0.69083807,1.23878253,19.24533953,193,5.01,0.991
"ASCC_100            ",285.40308767,33.60094346,64.40553462,12.68,1.73216404,-3.45096553,2.75056451,360.3717288,-13.8464349,7.8121891,0.22926374,0.65819326,8.78245616,87,9.98,0.94
"ASCC_101            ",288.34468256,36.35990257,68.00063836,11.64,0.96745283,1.28139139,2.50979239,397.29552501,-18.1155724,8.27605438,0.09941535,0.38151522,21.06710304,224,4.55,0.993
"ASCC_104            ",294.6958354,18.61877529,54.82784124,-1.571,2.37216857,-3.77048625,2.46060966,407.9730496,-11.53186859,8.08528948,0.23151189,0.37019822,3.93737199,39,4.13,0.989
"ASCC_105            ",295.47160222,27.38609425,62.80833477,2.132,1.36975029,-1.61801442,1.77588144,553.35901037,-16.19158851,7.97047138,0.29599361,0.8450028,18.42512507,173,4.6,0.999
"ASCC_106            ",295.7915641,1.56308576,40.31747184,-10.76,0.80950719,-2.49344759,1.32684764,738.15506812,-15.38444805,8.08850145,1.21809649,0.57662097,9.05015254,50,5.4,0.996
"ASCC_107            ",297.15176841,21.97962092,58.89091481,-1.896,-0.1965861,-5.12175031,1.11467165,867.31472195,-10.37599586,7.38596678,1.4809323,1.50203907,11.54781008,88,2.38,0.997
"ASCC_108            ",298.38722026,39.34259987,74.40482717,6.017,-0.47504435,-1.72714394,0.83731149,1152.07895887,-8.81347575,8.27994585,0.3709195,1.15399367,23.7054574,305,7.51,0.999
"ASCC_110            ",300.72462084,33.52724535,70.40301505,1.39,0.29810052,-3.15930599,0.48983675,1892.11101437,-5.62738044,8.5500536,1.3288123,1.35912675,13.94851187,135,5.18,0.986
"ASCC_111            ",302.96058097,37.53095892,74.75722541,2.018,-1.14612856,-1.57601198,1.15987112,843.97450001,-14.19964618,7.8956635,0.67081201,1.2702359,17.55382944,163,3.51,0.997
"ASCC_113            ",317.96259567,38.54530468,82.82450625,-6.669,0.82781254,-3.68641795,1.77102656,557.41869802,-6.49254903,8.26482534,0.10802431,0.48163408,32.27412782,491,5.6,0.999
"ASCC_114            ",325.06281466,53.98983419,97.10953359,0.9942,-3.69805377,-3.47522941,1.06047174,917.60444455,-19.55419656,7.51233816,1.05556548,1.70343757,22.16186415,249,3.07,0.996
"ASCC_115            ",329.18989889,51.54924563,97.47818101,-2.477,-0.57674113,-0.6774558,1.28702126,753.44408579,-16.73561409,7.89088511,0.79653662,0.89952073,13.29149125,103,3.96,0.997
"ASCC_125            ",344.10169328,62.71052173,110.17408975,2.723,-0.54101369,-2.19665603,1.19127287,828.1774537,-23.13068919,6.56088281,3.82475233,2.44619787,11.85950766,114,0.84,0.967
"ASCC_127            ",347.30213146,65.18290876,112.46826356,4.409,7.4097292,-1.64539414,2.65542162,374.19344177,-16.98492958,7.08511949,0.29403377,0.66480523,23.63704139,247,6.47,0.994
