"Names","RA_deg","Dec_deg","RA(J2000)","Dec(J2000)","D","E(B-V)","e_E(B-V)","E(J−H)/E(J−K)","(m-M)0","e_(m-M)0","Distance","e_Distance","Age","e_Age"
"Koposov 10,FSR 795",86.86917,35.43222,"05:47:28.6","+35:25:56",4,0.81,0.25,0.79,11.54,0.3,2000,300,8.6,0.0
"Koposov 12,FSR 802",90.23417,35.27667,"06:00:56.2","+35:16:36",9,0.3,0.03,0.51,11.55,0.03,2050,50,8.9,0.1
"Koposov 27,Teutsch 1",84.875,33.35,"05:39:30.0","+33:21:00",3,0.45,0.1,0.69,12.8,0.5,3700,900,8.65,0.0
"Koposov 36",84.21167,31.21083,"05:36:50.6","+31:12:39",9,0.83,0.11,0.63,11.16,0.16,1700,150,8.35,0.0
"Koposov 43",88.06083,29.91917,"05:52:14.6","+29:55:09",8,0.38,0.1,0.44,12.21,0.09,2800,120,9.3,0.1
"Koposov 49,Teutsch 10",86.0925,28.82028,"05:44:22.2","+28:49:13",6,0.42,0.05,0.94,11.46,0.22,2000,200,9.15,0.0
"Koposov 52",88.45375,26.84056,"05:53:48.9","+26:50:26",5,1.03,0.04,0.58,12.32,0.11,2900,140,8.95,0.1
"Koposov 53",92.23417,26.26361,"06:08:56.2","+26:15:49",3,0.34,0.04,0.61,12.52,0.03,3200,100,8.5,0.0
"Koposov 62",94.50833,24.71056,"06:18:02.0","+24:42:38",6,0.34,0.02,0.57,12.21,0.05,2800,60,9.4,0.1
"Koposov 63,FSR 869",92.50608,24.56056,"06:10:01.7","+24:33:38",5,0.26,0.04,0.4,12.32,0.28,3000,350,9.15,0.1
"Koposov 77",85.96879,21.71028,"05:43:52.3","+21:42:37",5,0.57,0.01,0.55,11.23,0.02,1750,50,9.65,0.1
