"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_0,NGC_1817","nan",186.181,0.182,-13.025,0.173,0.817,0.549,0.058,0.516,0.252,-0.888,0.221,567,1.41,0.0846,-0.25,1,352.0,687.0,5076.0,0,78.1382,16.7096
"FoF_2,NGC_2204","nan",226.034,0.11,-16.126,0.116,0.461,0.252,0.039,-0.538,0.237,1.975,0.282,384,1.38,0.0828,0.25,1,576.0,708.0,6219.0,0,93.8771,-18.6908
"FoF_3,NGC_2243","nan",239.472,0.069,-18.018,0.062,0.331,0.257,0.048,-1.261,0.151,5.493,0.164,361,3.39,0.2034,0.0,1,625.0,713.0,6569.0,0,97.385,-31.2792
"FoF_4,Melotte_66","nan",259.574,0.073,-14.278,0.089,0.384,0.258,0.04,-1.476,0.2,2.74,0.255,330,2.69,0.1614,0.0,1,917.0,651.0,7005.0,0,111.5585,-47.6941
"FoF_5","n",292.316,0.216,-12.736,0.129,0.559,0.506,0.026,-6.873,0.177,1.425,0.215,171,3.16,0.1896,0.0,1,"nan","nan","nan",0,156.1448,-72.508
"FoF_10,Collinder_74","nan",199.007,0.086,-10.376,0.049,0.252,0.364,0.044,0.981,0.2,-1.497,0.199,91,2.19,0.1314,-0.25,1,479.0,245.0,5423.0,0,87.1669,7.3857
"FoF_11,NGC_2225","nan",218.776,0.068,-9.865,0.045,0.236,0.276,0.03,-0.273,0.28,0.553,0.354,93,2.04,0.1224,-0.5,1,616.0,710.0,6013.0,0,96.6442,-9.6368
"FoF_17,NGC_2186","nan",203.55,0.105,-6.176,0.051,0.333,0.426,0.037,0.409,0.27,-1.967,0.306,123,0.933,0.056,-0.5,1,557.0,705.0,5517.0,0,93.0471,5.4618
"FoF_18,Tombaugh_1","nan",232.35,0.087,-7.321,0.055,0.332,0.368,0.042,-2.565,0.194,3.808,0.201,300,1.45,0.087,-0.25,1,776.0,1184.0,6350.0,0,105.1215,-20.5838
"FoF_21,NGC_6253","nan",335.468,0.064,-6.256,0.065,0.271,0.56,0.053,-4.516,0.227,-5.295,0.22,673,3.24,0.1944,0.25,1,2017.0,870.0,9633.0,0,254.786,-52.7051
"FoF_27,NGC_1245","nan",146.646,0.095,-8.931,0.077,0.457,0.295,0.043,0.504,0.231,-1.544,0.21,602,1.02,0.0612,0.5,1,203.0,661.0,4261.0,0,48.6732,47.2373
"FoF_28,NGC_2141","nan",198.046,0.077,-5.801,0.05,0.29,0.282,0.059,-0.015,0.234,-0.697,0.265,361,2.63,0.1578,0.5,1,507.0,700.0,5414.0,0,90.7385,10.4499
"FoF_29,Czernik_25","nan",202.425,0.081,-5.133,0.045,0.353,0.445,0.05,-0.208,0.253,0.244,0.256,151,0.933,0.056,0.0,1,561.0,260.0,5495.0,0,93.4411,6.9409
"FoF_30,Haffner_5","nan",236.057,0.071,-4.639,0.055,0.25,0.569,0.043,0.978,0.167,-4.084,0.175,197,2.63,0.1578,-0.25,1,871.0,534.0,6450.0,1,109.4877,-22.6603
"FoF_32,Ruprecht_18","nan",239.916,0.075,-4.949,0.051,0.227,0.367,0.041,-0.517,0.166,1.136,0.286,221,0.214,0.0128,-0.75,1,907.0,1049.0,6587.0,0,111.1489,-26.2097
"FoF_34,FSR_1361","nan",251.554,0.134,-5.024,0.066,0.408,0.357,0.032,-2.513,0.264,3.935,0.305,291,0.741,0.0445,-1.75,1,1035.0,429.0,6878.0,0,117.6563,-36.3923
"FoF_35,NGC_2477","nan",253.579,0.182,-5.836,0.138,0.837,0.672,0.052,-2.442,0.239,0.866,0.253,2480,2.24,0.1344,-0.75,1,1040.0,764.0,6902.0,0,118.0536,-38.5426
