"Name","RAJ2000","DEJ2000","Ebv","dm","Dist","logt","Weight","Nref","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV"
"AH03_J0748_26.9   ",117.165,-26.98,0.282,12.078,2604,8.57,0.03,1,"-1.941","1.313","3.115","1.195","nan","nan"
"Alessi1           ",13.26,49.765,0.082,7.989,396,8.334,0.15,2,"0.857","0.976","-4.489","0.533","6","1.8"
"Alessi2           ",71.505,55.207,0.309,8.787,572,7.529,0.1,2,"1.62","0.446","-3.654","0.602","nan","nan"
"Alessi3           ",109.125,-46.685,0.098,8.166,430,8.859,0.18,2,"-1.203","0.601","5.537","0.648","20","7.4"
"Alessi5           ",160.785,-61.167,0.15,8.127,422,7.6,0.1,1,"-14.33","2.24","4.4","2.24","8.2","6.69"
"Alessi10          ",301.185,-10.479,0.241,11.419,1922,8.29,0.03,1,"1.651","0.735","-6.04","0.824","75.9","2.6"
"Alessi12          ",310.95,23.792,0.175,10.223,1108,8.377,0.1,2,"4.33","1.44","-5.35","1.44","-26","3.7"
"Alessi19          ",274.62,12.167,0.04,8.252,447,8.0,0.12,1,"0.42","1.63","-6.56","1.63","-5.1","1.24"
"Alessi20          ",2.64,58.76,0.22,8.768,567,6.48,0.07,1,"8.73","0.53","-3.11","0.53","-11.5","0.01"
"Alessi21          ",107.7,-9.337,0.104,9.506,796,7.325,0.16,2,"3.473","0.677","-1.3","0.871","38.8","1.8"
"Alessi24          ",261.0,-62.864,0.1,8.132,423,7.03,0.2,1,"1.35","0.45","-8.31","0.44","-6.95","9.14"
"Alessi33          ",105.495,-26.503,0.073,9.492,791,8.189,0.17,2,"-0.768","0.113","0.813","0.153","nan","nan"
"Alessi34          ",120.45,-50.558,0.264,9.289,721,8.309,0.14,2,"-3.767","1.078","7.52","1.076","17.8","2.8"
"Alessi37          ",342.03,46.252,0.15,8.542,511,8.48,0.11,1,"-0.82","0.11","-2.75","0.05","nan","nan"
"Alessi40          ",279.15,-19.467,0.394,10.817,1457,8.485,0.1,2,"2.641","0.585","-5.946","0.639","-16.31","5.17"
"Alessi43          ",132.57,-41.72,0.554,9.765,897,8.005,0.16,2,"-6.523","0.555","4.893","0.557","17.13","8.67"
"Alessi44          ",295.635,1.523,0.564,9.058,648,8.486,0.11,2,"-1.232","0.979","-7.051","0.935","-62.2","0.2"
"Alessi53          ",97.35,9.181,0.655,13.156,4278,8.97,0.06,1,"0.58","0.02","-1.96","0.02","nan","nan"
