"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 1",1,0.41,6.89,260.16,-24.86,-4.75,0.5,-21.64,0.54,6.73,0.2,-4.46,4.57,1,29,53,5.82,7.2,0.02,1.44,1.66,0.05,8.14,0.67,"nan","nan","nan","nan","nan","nan"
"OCSN 2",1,5.04,13.18,257.35,-17.54,-5.68,0.45,-11.25,0.7,4.78,0.16,-20.12,3.29,1,12,48,6.41,7.15,0.0,0.96,2.91,0.24,3.25,0.11,3.03,0.03,5.15,0.18,"nan","nan"
"OCSN 3",1,11.87,-3.87,276.52,-20.48,7.31,0.87,-26.9,4.19,6.3,0.68,-10.81,2.62,1,89,231,6.56,8.45,0.21,3.74,5.25,0.49,9.75,0.89,8.78,0.26,15.33,1.7,"nan","nan"
"OCSN 4",1,13.4,1.66,272.15,-16.51,0.02,0.31,-3.93,0.27,2.08,0.07,-10.09,8.89,1,16,41,9.27,7.95,0.35,0.99,1.76,0.14,3.04,0.18,"nan","nan","nan","nan","nan","nan"
"OCSN 5",1,19.53,-10.36,286.21,-16.56,0.81,0.89,-11.69,1.42,4.12,0.34,-22.79,3.04,1,62,149,7.48,7.9,0.19,2.44,4.26,0.32,7.6,0.41,1.74,"nan",1.93,"nan","nan","nan"
"OCSN 6",1,24.87,2.64,276.81,-5.96,0.18,0.47,-11.23,0.87,2.4,0.12,-23.25,22.17,1,14,61,10.95,8.8,1.01,1.08,1.06,0.02,2.55,0.07,1.59,0.02,4.09,0.21,"nan","nan"
"OCSN 7",1,25.73,-2.87,282.13,-7.71,1.12,0.4,-11.15,0.46,2.29,0.11,-10.04,5.26,1,30,101,8.67,7.95,0.22,1.77,2.47,0.21,4.61,0.3,0.92,0.03,1.36,0.17,"nan","nan"
"OCSN 8",1,32.75,-17.82,298.74,-8.18,9.73,3.77,-25.44,3.95,7.25,0.36,-10.37,9.91,1,23,60,5.87,7.95,0.08,4.04,3.64,0.22,11.81,2.17,4.44,0.17,9.26,1.3,"nan","nan"
"OCSN 9",1,42.15,19.56,269.03,16.68,-1.45,0.4,-8.93,0.64,3.27,0.14,-16.2,3.31,1,33,139,7.63,7.6,0.1,1.89,3.9,0.11,5.36,0.07,"nan","nan","nan","nan","nan","nan"
"OCSN 10",1,43.01,13.19,275.41,14.82,-2.06,0.42,-7.64,0.57,2.73,0.16,-14.98,5.17,1,31,88,8.49,7.45,0.19,1.65,2.76,0.35,5.51,0.89,2.69,0.02,3.72,0.13,"nan","nan"
"OCSN 11",1,47.93,20.55,270.27,22.07,-1.46,0.43,-7.91,0.59,3.36,0.15,-18.21,2.56,1,28,84,7.81,7.75,0.18,1.96,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 12",1,49.35,14.8,276.54,21.08,-1.45,0.47,-6.09,0.53,2.31,0.16,-17.25,3.26,1,39,135,8.71,7.45,0.17,2.7,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"OCSN 13",1,55.66,2.05,291.75,21.1,1.43,0.34,-6.47,0.38,2.0,0.07,-10.37,3.79,1,74,341,8.87,6.9,0.15,0.64,0.44,0.37,2.04,9.15,0.65,0.04,2.37,0.46,"nan","nan"
"OCSN 14",1,56.92,3.25,291.25,22.77,1.24,0.42,-5.64,0.32,1.95,0.06,-4.65,7.44,1,13,66,11.14,8.35,0.94,0.37,0.39,0.01,1.54,0.2,0.63,0.01,0.99,0.04,"nan","nan"
