Groups,AgeM,e_AgeM,AgeF,e_AgeF_l,e_AgeF_h,DPM,e_DPM,DPf,e_DPf_l,e_DPf_h,AVPM,e_AVPM,AVPf,e_AVPf_l,e_AVPf_h,[Fe/H]M,e_[Fe/H]M,[Fe/H]f,e_[Fe/H]f_l,e_[Fe/H]f_h,RA,Dec,pmRA,e+pmRA,e-pmRA,pmDE,e+pmDE,e-pmDE,Plx,e+Plx,e-Plx
"Alessi 21,CMa00",85,21,70,-20,5,570,1,549.3,-6.3,1.3,0.34,0.05,0.31,-0.05,0.01,0,0.07,0.07,-0.05,0.05,107.7,-9.36,-5.52,0.19,-0.26,2.59,0.22,-0.19,1.73,0.14,-0.07
CMa01,172,36,200,-13,13,1059,19,1015,-43,16,0.42,0.08,0.43,-0.02,0.1,0.07,0.09,0.05,-0.01,0.03,106.8,-7.66,-3.94,0.14,-0.18,1.13,0.1,-0.15,0.91,0.09,-0.03
CMa02,137,67,125,-13,13,1071,35,1020,-113,76,0.99,0.12,1.25,-0.05,0.09,-0.15,0.12,-0.48,-0.04,0.32,105.68,-7.74,-1.59,0.13,-0.09,-3.45,0.21,-0.14,0.87,0.08,-0.08
"Gulliver 13,CMa03",536,419,650,-25,25,1531,35,1542,-76,58,1.71,0.17,1.18,-0.05,0.19,-0.12,0.11,0.3,-0.01,0.01,104.86,-13.25,-2.92,0.13,-0.16,0.31,0.15,-0.18,0.63,0.08,-0.06
CMa05,17,27,18,-2,7,1229,28,1130,-33,9,1.27,0.16,1.11,-0.03,0.05,-0.14,0.06,-0.1,-0.02,0.04,105.32,-11.2,-2.98,0.11,-0.15,0.79,0.08,-0.14,0.78,0.1,-0.05
"VdB 92,CMa06",10.1,1,9,-0.5,0.5,1099,29,1069,-8,25,0.96,0.09,1.18,-0.03,0.04,-0.15,0.05,0.07,-0.01,0.02,106.11,-11.45,-4.2,0.35,-0.38,1.52,0.19,-0.21,0.85,0.09,-0.07
"FOF 2216,CMa07",13.1,1.5,14,-1,1,1149,45,1092,-5,4,0.67,0.08,0.74,-0.03,0.02,-0.03,0.11,0.07,-0.02,0.02,106.6,-12.79,-3.36,0.2,-0.08,0.79,0.13,-0.13,0.84,0.04,-0.06
CMa08,18,5,18,-1,1,1138,46,1005,-12,55,1.01,0.07,0.99,-0.05,0.01,0.05,0.09,0.05,-0.01,0.03,107.43,-12.3,-3.13,0.19,-0.17,0.87,0.13,-0.13,0.84,0.05,-0.06
"NGC 2318,CMa09",329,186,325,-13,13,1346,9,1219,-21,109,1.08,0.29,1.08,-0.11,0.13,0.07,0.21,0.14,-0.01,0.02,104.87,-13.81,-1.78,0.14,-0.13,-2.18,0.14,-0.14,0.71,0.05,-0.08
"FOF 2302,CMa13",208,63,225,-13,13,873,4,855,-61,19,0.27,0.07,0.37,-0.03,0.05,0.07,0.04,0.02,-0.05,0.03,107.27,-7.19,-0.91,0.11,-0.12,-1.22,0.12,-0.11,1.13,0.11,-0.07
"NGC 2353,CMa15",114,36,150,-13,13,1074,63,1251,-62,53,0.53,0.06,0.45,-0.02,0.05,-0.13,0.11,0.28,-0.01,0.01,108.66,-10.23,-1.09,0.18,-0.29,0.77,0.18,-0.19,0.8,0.22,-0.08
"NGC 2323,CMa17",163,81,175,-13,13,986,34,933,-74,19,0.91,0.11,0.86,-0.05,0.1,-0.15,0.06,0.07,-0.02,0.07,105.7,-8.33,-0.71,0.26,-0.33,-0.66,0.28,-0.21,0.97,0.25,-0.08
"NGC 2343,CMa18",181,43,150,-13,13,1024,25,1050,-77,24,0.63,0.1,0.59,-0.05,0.09,-0.03,0.06,0.14,-0.01,0.02,107.01,-10.62,0.26,0.18,-0.13,-0.18,0.15,-0.12,0.91,0.06,-0.06
"NGC 2335,CMa19",42,30,60,-15,5,1446,99,1413,-436,66,1.54,0.11,1.24,-0.1,0.01,-0.09,0.11,0.3,-0.2,0.01,106.67,-10.03,-0.77,0.14,-0.16,-0.66,0.13,-0.16,0.58,0.08,-0.1
CMa23,131,65,150,-13,25,1374,99,1552,-182,39,1.2,0.1,1.2,-0.05,0.09,-0.16,0.13,0.14,-0.01,0.02,106.66,-12.35,-0.96,0.17,-0.19,-0.28,0.21,-0.16,0.62,0.12,-0.11
