"Groups","Ages","e_Ages","DPs","e_DPs","AVPs","e_AVPs","[Fe/H]s","e_[Fe/H]s","RA","Dec","pmRA","e+pmRA","e-pmRA","pmDE","e+pmDE","e-pmDE","Plx","e+Plx","e-Plx"
"Alessi 21,CMa00","85.0;70","21.0;12.5","570;549.3","1;3.8","0.34;0.31","0.05;0.03","0.0;0.07","0.07;0.05",107.7,-9.36,-5.52,0.19,-0.26,2.59,0.22,-0.19,1.73,0.14,-0.07
"CMa01","172.0;200","36.0;13.0","1059;1015.0","19;29.5","0.42;0.43","0.08;0.06","0.07;0.05","0.09;0.02",106.8,-7.66,-3.94,0.14,-0.18,1.13,0.1,-0.15,0.91,0.09,-0.03
"CMa02","137.0;125","67.0;13.0","1071;1020.0","35;94.5","0.99;1.25","0.12;0.07","-0.15;-0.48","0.12;0.18",105.68,-7.74,-1.59,0.13,-0.09,-3.45,0.21,-0.14,0.87,0.08,-0.08
"Gulliver 13,CMa03","536.0;650","419.0;25.0","1531;1542.0","35;67.0","1.71;1.18","0.17;0.12","-0.12;0.3","0.11;0.01",104.86,-13.25,-2.92,0.13,-0.16,0.31,0.15,-0.18,0.63,0.08,-0.06
"CMa05","17.0;18","27.0;4.5","1229;1130.0","28;21.0","1.27;1.11","0.16;0.04","-0.14;-0.1","0.06;0.03",105.32,-11.2,-2.98,0.11,-0.15,0.79,0.08,-0.14,0.78,0.1,-0.05
"VdB 92,CMa06","10.1;9","1.0;0.5","1099;1069.0","29;16.5","0.96;1.18","0.09;0.04","-0.15;0.07","0.05;0.02",106.11,-11.45,-4.2,0.35,-0.38,1.52,0.19,-0.21,0.85,0.09,-0.07
"FOF 2216,CMa07","13.1;14","1.5;1.0","1149;1092.0","45;4.5","0.67;0.74","0.08;0.02","-0.03;0.07","0.11;0.02",106.6,-12.79,-3.36,0.2,-0.08,0.79,0.13,-0.13,0.84,0.04,-0.06
"CMa08","18.0;18","5.0;1.0","1138;1005.0","46;33.5","1.01;0.99","0.07;0.03","0.05;0.05","0.09;0.02",107.43,-12.3,-3.13,0.19,-0.17,0.87,0.13,-0.13,0.84,0.05,-0.06
"NGC 2318,CMa09","329.0;325","186.0;13.0","1346;1219.0","9;65.0","1.08;1.08","0.29;0.12","0.07;0.14","0.21;0.02",104.87,-13.81,-1.78,0.14,-0.13,-2.18,0.14,-0.14,0.71,0.05,-0.08
"FOF 2302,CMa13","208.0;225","63.0;13.0","873;855.0","4;40.0","0.27;0.37","0.07;0.04","0.07;0.02","0.04;0.04",107.27,-7.19,-0.91,0.11,-0.12,-1.22,0.12,-0.11,1.13,0.11,-0.07
"NGC 2353,CMa15","114.0;150","36.0;13.0","1074;1251.0","63;57.5","0.53;0.45","0.06;0.04","-0.13;0.28","0.11;0.01",108.66,-10.23,-1.09,0.18,-0.29,0.77,0.18,-0.19,0.8,0.22,-0.08
"NGC 2323,CMa17","163.0;175","81.0;13.0","986;933.0","34;46.5","0.91;0.86","0.11;0.08","-0.15;0.07","0.06;0.05",105.7,-8.33,-0.71,0.26,-0.33,-0.66,0.28,-0.21,0.97,0.25,-0.08
"NGC 2343,CMa18","181.0;150","43.0;13.0","1024;1050.0","25;50.5","0.63;0.59","0.1;0.07","-0.03;0.14","0.06;0.02",107.01,-10.62,0.26,0.18,-0.13,-0.18,0.15,-0.12,0.91,0.06,-0.06
"NGC 2335,CMa19","42.0;60","30.0;10.0","1446;1413.0","99;251.0","1.54;1.24","0.11;0.06","-0.09;0.3","0.11;0.11",106.67,-10.03,-0.77,0.14,-0.16,-0.66,0.13,-0.16,0.58,0.08,-0.1
"CMa23","131.0;150","65.0;19.0","1374;1552.0","99;110.5","1.2;1.2","0.1;0.07","-0.16;0.14","0.13;0.02",106.66,-12.35,-0.96,0.17,-0.19,-0.28,0.21,-0.16,0.62,0.12,-0.11
