Name,OName,RAJ2000,DEJ2000,pmRA,e_pmRA,pmDE,e_pmDE,corr,plx,e_plx,Rscale,Nstar,GLON,GLAT
NGC 104     ,47 Tuc    ,6.024,-72.081,5.252,0.021,-2.551,0.021,0.0,0.232,0.009,10.03,39932,305.8947,-44.8896
NGC 288     ,          ,13.188,-26.583,4.164,0.024,-5.705,0.024,0.01,0.141,0.011,2.79,4689,151.2657,-89.381
NGC 362     ,          ,15.809,-70.849,6.694,0.025,-2.535,0.024,0.0,0.114,0.011,3.37,3878,301.5332,-46.2472
Whiting 1   ,          ,30.737,-3.253,-0.228,0.065,-2.046,0.056,0.03,0.017,0.047,0.52,40,161.617,-60.6363
NGC 1261    ,          ,48.068,-55.216,1.596,0.025,-2.064,0.025,0.01,0.068,0.011,1.73,1218,270.5382,-52.1243
Palomar 1   ,          ,53.333,79.581,-0.252,0.034,0.007,0.037,0.08,0.112,0.023,0.54,92,130.0648,19.028
E 1         ,AM 1      ,58.76,-49.615,0.291,0.107,-0.177,0.086,-0.22,-0.015,0.062,0.36,58,258.3608,-48.4705
Eridanus    ,          ,66.185,-21.187,0.51,0.039,-0.301,0.041,-0.09,0.05,0.033,0.52,44,218.1061,-41.3326
Palomar 2   ,          ,71.525,31.381,1.045,0.034,-1.522,0.031,0.04,0.042,0.021,0.64,180,170.5308,-9.0723
NGC 1851    ,          ,78.528,-40.047,2.145,0.024,-0.65,0.024,-0.02,0.088,0.011,2.59,2497,244.5137,-35.0362
NGC 1904    ,M 79      ,81.044,-24.524,2.469,0.025,-1.594,0.025,0.0,0.088,0.011,1.9,1556,227.2288,-29.3515
NGC 2298    ,          ,102.248,-36.005,3.32,0.025,-2.175,0.026,0.01,0.121,0.011,1.39,1047,245.6285,-16.0059
NGC 2419    ,          ,114.535,38.882,0.007,0.028,-0.523,0.026,0.03,0.003,0.017,1.12,333,180.3694,25.2413
Ko 2        ,          ,119.571,26.255,-0.601,0.189,-0.025,0.129,-0.24,0.393,0.163,1.57,7,195.1121,25.5456
Pyxis       ,          ,136.991,-37.221,1.03,0.032,0.138,0.035,0.03,0.016,0.022,2.06,69,261.3192,6.9977
NGC 2808    ,          ,138.013,-64.863,0.994,0.024,0.273,0.024,-0.01,0.112,0.01,4.08,4740,282.1927,-11.2522
E 3         ,ESO 37-1  ,140.238,-77.282,-2.727,0.027,7.083,0.027,0.0,0.146,0.013,1.7,252,292.2683,-19.0171
Palomar 3   ,          ,151.383,0.072,0.086,0.06,-0.148,0.071,-0.41,-0.001,0.05,0.71,61,240.1412,41.8649
NGC 3201    ,          ,154.403,-46.412,8.348,0.022,-1.958,0.022,0.0,0.222,0.01,5.61,11398,277.2283,8.6406
ESO 93-8    ,          ,169.925,-65.22,-4.068,0.033,1.4,0.034,-0.01,0.101,0.018,0.56,32,293.5082,-4.0404
Palomar 4   ,          ,172.32,28.974,-0.188,0.042,-0.476,0.041,-0.14,-0.025,0.033,0.53,96,202.3093,71.8026
Crater      ,Laevens 1 ,174.067,-10.877,-0.059,0.125,-0.116,0.116,-0.23,0.003,0.142,0.51,15,274.8072,47.8476
Bliss 1     ,          ,177.511,-41.772,-2.34,0.042,0.138,0.038,-0.16,0.025,0.039,0.62,10,290.8321,19.6528
Ko 1        ,          ,179.827,12.26,-1.513,0.135,-0.814,0.105,-0.21,-0.048,0.133,0.3,6,260.9767,70.7549
NGC 4147    ,          ,182.526,18.543,-1.707,0.027,-2.09,0.027,-0.02,0.029,0.013,0.89,347,252.8463,77.1896
NGC 4372    ,          ,186.439,-72.659,-6.409,0.024,3.297,0.024,0.0,0.187,0.01,4.44,2552,300.9931,-9.884
Rup 106     ,          ,189.667,-51.15,-1.254,0.026,0.401,0.026,0.03,0.067,0.013,1.23,302,300.8877,11.6711
NGC 4590    ,M 68      ,189.867,-26.744,-2.739,0.024,1.779,0.024,0.0,0.113,0.011,2.61,3284,299.6262,36.0509
BH 140      ,          ,193.473,-67.177,-14.848,0.024,1.224,0.024,0.0,0.219,0.011,4.41,1197,303.1706,-4.3064
NGC 4833    ,          ,194.891,-70.877,-8.377,0.025,-0.963,0.025,-0.01,0.164,0.011,3.22,2941,303.6039,-8.0159
NGC 5024    ,M 53      ,198.23,18.168,-0.133,0.024,-1.331,0.024,0.0,0.067,0.011,3.02,3398,332.9616,79.7641
NGC 5053    ,          ,199.113,17.7,-0.329,0.025,-1.213,0.025,-0.02,0.05,0.011,2.32,1453,335.6986,78.9459
Kim 3       ,          ,200.688,-30.601,-0.849,0.178,3.396,0.14,-0.12,0.103,0.159,0.4,9,310.8599,31.7882
NGC 5139    ,omega Cen ,201.697,-47.48,-3.25,0.022,-6.746,0.022,0.01,0.193,0.009,14.62,53127,309.1019,14.9678
NGC 5272    ,M 3       ,205.548,28.377,-0.152,0.023,-2.67,0.022,0.0,0.11,0.01,4.58,8992,42.2156,78.7072
NGC 5286    ,          ,206.612,-51.374,0.198,0.025,-0.153,0.025,0.0,0.088,0.011,2.5,847,311.6144,10.568
AM 4        ,          ,209.09,-27.167,-0.291,0.445,-2.512,0.344,-0.36,0.079,0.343,0.39,8,320.2833,33.5078
NGC 5466    ,          ,211.364,28.534,-5.342,0.025,-0.822,0.024,0.01,0.057,0.011,2.36,2210,42.1486,73.592
NGC 5634    ,          ,217.405,-5.976,-1.692,0.027,-1.478,0.026,-0.01,0.056,0.012,0.97,339,342.2097,49.2608
NGC 5694    ,          ,219.901,-26.539,-0.464,0.029,-1.105,0.029,-0.06,0.034,0.017,0.76,149,331.0553,30.3599
IC 4499     ,          ,225.077,-82.214,0.466,0.025,-0.489,0.025,0.01,0.054,0.011,1.65,589,307.3536,-20.4735
Munoz 1     ,          ,225.45,66.969,-0.1,0.203,-0.02,0.207,-0.23,0.221,0.136,2.73,5,105.4418,45.4798
NGC 5824    ,          ,225.994,-33.068,-1.189,0.026,-2.234,0.026,-0.02,0.057,0.012,1.51,514,332.5549,22.0707
Palomar 5   ,          ,229.019,-0.121,-2.73,0.028,-2.654,0.027,0.0,0.048,0.015,3.17,233,0.8388,45.856
NGC 5897    ,          ,229.352,-21.01,-5.422,0.025,-3.393,0.025,-0.01,0.105,0.011,2.59,2234,342.9464,30.2942
NGC 5904    ,M 5       ,229.638,2.081,4.086,0.023,-9.87,0.023,-0.01,0.141,0.01,5.28,9163,3.8583,46.7967
NGC 5927    ,          ,232.003,-50.673,-5.056,0.025,-3.217,0.025,-0.01,0.127,0.011,4.45,1304,326.6042,4.8598
NGC 5946    ,          ,233.869,-50.66,-5.331,0.028,-1.657,0.027,-0.01,0.112,0.012,1.39,180,327.5826,4.1906
BH 176      ,          ,234.781,-50.05,-3.989,0.029,-3.057,0.029,-0.02,0.072,0.018,1.34,90,328.4147,4.3389
NGC 5986    ,          ,236.512,-37.786,-4.192,0.026,-4.568,0.026,-0.01,0.111,0.011,2.57,1118,337.0221,13.269
