fname,N_clust,N_clust_max
ryu152,nan,50
ryu537,nan,50
ryu153,nan,50
ryu538,nan,50
ryu539,nan,50
ubc1001,nan,46
cwnu3932,nan,265
ryu540,nan,50
ubc1593,nan,25
cwwdl7654,nan,57
cwnu4605,nan,80
cwnu3869,nan,201
theia67,nan,56
ryu541,nan,50
ocsn1,nan,84
cwnu4888,nan,245
hsc2,nan,25
cwnu4831,nan,54
hsc3,nan,25
hsc4,nan,25
ubc91,nan,132
hsc5,nan,25
ubc1567,nan,70
cwwdl4491,nan,54
hsc6,nan,25
ryu154,nan,50
cwnu4885,nan,54
hsc7,nan,25
hsc8,nan,28
hsc9,nan,25
cwnu3480,nan,127
cwnu4655,nan,66
hsc10,nan,25
cwnu4787,nan,93
cwnu4830,nan,116
hsc11,nan,25
ryu544,nan,50
hsc12,nan,28
ryu155,nan,50
cwnu4459,nan,54
cwnu4887,nan,83
hsc13,nan,25
hsc14,nan,62
ryu156,nan,50
ryu157,nan,50
hsc15,nan,25
ryu545,nan,50
ryu546,nan,50
cwwdl1671,nan,235
ubc1002,nan,113
cwnu2146,nan,25
ryu547,nan,50
cwnu4736,nan,371
hsc16,nan,25
ryu548,nan,50
cwnu2569,nan,52
oc0001,nan,27
ubc336,nan,178
ryu158,nan,50
cwwdl1676,nan,67
hsc17,nan,25
cwnu1785,nan,35
ryu549,nan,50
cwnu4829,nan,107
ryu159,nan,50
cwnu2050,nan,25
ryu550,nan,50
cwnu4119,nan,109
oc0002,nan,52
ryu160,nan,50
hsc18,nan,25
hsc19,nan,25
ryu551,nan,50
hsc20,nan,28
cwnu4843,nan,44
cwnu3240,nan,50
ryu552,nan,50
ryu553,nan,50
ryu161,nan,50
cwnu4790,nan,73
hsc23,nan,25
cwnu4881,nan,136
hsc25,nan,25
hsc26,nan,110
hsc27,nan,25
hxhwl29,nan,100
cwnu1494,nan,49
cwwdl14643,nan,32
ryu554,nan,50
cwnu4607,nan,176
hsc31,nan,824
ryu555,nan,50
hsc32,nan,25
